,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,ade_e,EX_ade_e,5.253043249424843,-26.522642469397923,1000.0,uptake,3.103841774408073,-15.34904912475849,6.675075383121255,uptake
1,arg__L_e,EX_arg__L_e,7.605633801932197,0.0,528.3433108846032,uptake,4.493906254792828,4.04451562931348,104.04451562931254,uptake
2,ca2_e,EX_ca2_e,0.13383500547363378,0.1204515049267824,0.13383500547326935,uptake,0.07907848101435018,0.07117063291291521,0.07907848101435015,uptake
3,cgly_e,EX_cgly_e,2.369586698257059,0.0,173.5611994462523,uptake,0.0,-1000.0,999.9999999999999,secretion
4,cl_e,EX_cl_e,0.13383500547363378,0.1204515049267824,0.13383500547326954,uptake,0.07907848101435018,0.07117063291291521,0.07907848101435015,uptake
5,cobalt2_e,EX_cobalt2_e,0.0025712777228363856,0.0023141499505625837,0.0025712777228293878,uptake,0.0015192791741469784,0.0013673512567322816,0.0015192791741469778,uptake
6,cu2_e,EX_cu2_e,0.018230359054909964,0.016407323149488708,0.018230359054860413,uptake,0.010771689344702072,0.009694520410231873,0.01077168934470206,uptake
7,fe2_e,EX_fe2_e,0.1726612990884633,-85.5588905397291,9.951313535912877,uptake,0.10201959654396961,0.09181763688957273,4.439643723846061,uptake
8,fe3_e,EX_fe3_e,0.20076536459906505,0.18068882813992657,0.20076536459851835,uptake,0.1186253179173961,0.10676278612565658,0.11862531791739542,uptake
9,fol_e,EX_fol_e,0.017201847965775396,-28.66803303481645,0.01720184796572878,uptake,0.010163977675043253,0.0,0.010163977675043257,uptake
10,fum_e,EX_fum_e,499.9945617522818,328.5665341550404,1000.0,uptake,0.0,-19.174005413207038,0.0,secretion
11,gln__L_e,EX_gln__L_e,6.766574455416228,0.0,179.50499441642134,uptake,7.0468574006541855,0.0,1000.0,uptake
12,gly_e,EX_gly_e,12.683958730088591,-1000.0,184.97676230338584,uptake,7.909093910357818,-92.8831828319333,19.132268966520726,uptake
13,gua_e,EX_gua_e,184.65943379592065,0.0,1000.0,uptake,3.6851483720191776,0.0,3.6948992460862877,uptake
14,h2o_e,EX_h2o_e,579.8038875087607,-1000.0,1000.0,uptake,-191.6681231067662,-1000.0,1000.0,secretion
15,his__L_e,EX_his__L_e,2.4359770890607355,0.0,2.4359770890541177,uptake,1.819929329918925,1.2954012336030292,24.90712667281452,uptake
16,ile__L_e,EX_ile__L_e,7.470307455379328,-630.4060848504733,678.1567425548343,uptake,4.412427312683331,-99.36597289576159,4.413946591857481,uptake
17,k_e,EX_k_e,5.018954125536032,4.51705871300163,5.01895412552237,uptake,2.9655265983927155,2.668973938553446,2.9655265983927146,uptake
18,leu__L_e,EX_leu__L_e,11.584403237472001,-626.7033986465676,11.58440323744047,uptake,6.844823656076126,-93.83965870954295,6.844823656076122,uptake
19,lys__L_e,EX_lys__L_e,8.823622346462564,0.0,645.070621672184,uptake,0.0,-49.999999999999375,99.9999999999988,secretion
20,met__L_e,EX_met__L_e,3.9548565527174087,0.0,3.957421894644868,uptake,2.3398266633120155,0.0,9.700181488269893,uptake
21,mg2_e,EX_mg2_e,0.22305834245605638,0.20075250821130405,0.22305834245544934,uptake,0.13179746835725034,0.1186177215215254,0.13179746835725029,uptake
22,mn2_e,EX_mn2_e,0.017767529064799437,0.015990776158387465,0.017767529064751084,uptake,0.010498219093355628,0.009448397184020074,0.010498219093355625,uptake
23,nh4_e,EX_nh4_e,625.9609891596551,-1000.0,1000.0,uptake,2.4967985875848795,-1000.0,112.26898302991555,uptake
24,no2_e,EX_no2_e,195.09519315618363,-999.9976858500495,651.8972427301852,uptake,0.0,0.0,0.0,secretion
25,o2_e,EX_o2_e,1000.0,657.1428571643718,1000.0,uptake,0.0,0.0,1000.0,secretion
26,pro__L_e,EX_pro__L_e,5.683937970215978,-166.31302724459593,5.683937970200506,uptake,3.3584425784106067,-96.9774016794275,3.358442578410606,uptake
27,so4_e,EX_so4_e,0.11154202761664245,0.1003878248554049,57.24324496412834,uptake,0.06590633057449595,0.0593156975170464,33.39264903085002,uptake
28,thr__L_e,EX_thr__L_e,6.5229973167319475,-79.84358812382175,1000.0,uptake,3.8542137585182483,0.0,103.46879238265957,uptake
29,val__L_e,EX_val__L_e,10.895480797192397,-627.3234288428151,646.9352942778486,uptake,0.0,-985.0885286253687,105.78611092501347,secretion
30,zn2_e,EX_zn2_e,0.008768057034872068,0.007891251331418403,0.008768057034848205,uptake,0.005180741983841192,0.004662667785457077,0.00518074198384119,uptake
31,15dap_e,EX_15dap_e,0.0,-637.1293615603374,0.0,secretion,0.0,-99.99999999999756,0.0,secretion
32,ac_e,EX_ac_e,0.0,0.0,0.0,secretion,0.0,0.0,0.0,secretion
33,acald_e,EX_acald_e,-952.723305009509,-1000.0,1000.0,secretion,-29.807634492302196,-1000.0,1000.0,secretion
34,ala__D_e,EX_ala__D_e,0.0,-1000.0,1000.0,secretion,0.0,-1000.0,1000.0,secretion
35,ala__L_e,EX_ala__L_e,-477.5495185214306,-1000.0,1000.0,secretion,25.202441038003265,-1000.0,1000.0,uptake
