,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,2pglyc_e,EX_2pglyc_e,25.355189635452916,0.0,108.53395638091195,uptake,0.0,0.0,127.27272727272545,secretion
1,4hphac_e,EX_4hphac_e,499.99713303000465,328.5688483049859,500.00000000000006,uptake,4.045010738987747,0.0,4.045010738984244,uptake
2,ca2_e,EX_ca2_e,0.13383500547363378,0.1204515049267824,0.13383500547326935,uptake,0.15243580460639874,0.13719222414563986,0.15243580460626668,uptake
3,cgly_e,EX_cgly_e,2.369586698257059,0.0,173.5611994462523,uptake,2.688581012542024,0.0,202.41972291128812,uptake
4,cl_e,EX_cl_e,0.13383500547363378,0.1204515049267824,0.13383500547326954,uptake,0.15243580460639874,0.13719222414563986,0.1524358046062663,uptake
5,cobalt2_e,EX_cobalt2_e,0.0025712777228363856,0.0023141499505625837,0.0025712777228293878,uptake,0.002928641779181534,0.0026357776012610945,0.0029286417791789935,uptake
6,cu2_e,EX_cu2_e,0.018230359054909964,0.016407323149488708,0.018230359054860413,uptake,0.020764070214397065,0.01868766319294115,0.020764070214379045,uptake
7,cytd_e,EX_cytd_e,13.817275099207688,0.0,69.57840472861194,uptake,0.0,-350.0000000000031,0.0,secretion
8,fe2_e,EX_fe2_e,0.1726612990884633,-85.5588905397291,9.951313535912877,uptake,0.19665829547204003,-1000.0,13.638530927462837,uptake
9,fe3_e,EX_fe3_e,0.20076536459906505,0.18068882813992657,0.20076536459851835,uptake,0.22866835011849423,0.20580151510648648,1000.0,uptake
10,fol_e,EX_fol_e,0.017201847965775396,-28.66803303481645,0.01720184796572878,uptake,0.019592613502724402,-26.397460987477633,0.019592613502707308,uptake
11,fum_e,EX_fum_e,499.9945617522818,328.5665341550404,1000.0,uptake,-8.662688091476639,-999.9973642223987,630.3585393672726,secretion
12,gln__L_e,EX_gln__L_e,6.766574455416228,0.0,179.50499441642134,uptake,16.35189565555334,0.0,214.71670608998673,uptake
13,gua_e,EX_gua_e,184.65943379592065,0.0,1000.0,uptake,0.0,0.0,56.38156022374189,secretion
14,h2o_e,EX_h2o_e,579.8038875087607,-1000.0,1000.0,uptake,0.0,-1000.0,1000.0,secretion
15,ile__L_e,EX_ile__L_e,7.470307455379328,-630.4060848504733,678.1567425548343,uptake,8.508553674638325,-192.34230169283202,8.508553674630946,uptake
16,k_e,EX_k_e,5.018954125536032,4.51705871300163,5.01895412552237,uptake,5.716503748037819,5.144853373229575,5.716503748032886,uptake
17,leu__L_e,EX_leu__L_e,11.584403237472001,-626.7033986465676,11.58440323744047,uptake,13.194439094164363,-988.1250048152624,13.1944390941529,uptake
18,lys__L_e,EX_lys__L_e,8.823622346462564,0.0,645.070621672184,uptake,0.0,0.0,1000.0,secretion
19,malthp_e,EX_malthp_e,75.19281671485905,17.6735350469724,90.82156230614862,uptake,4.871000683192022,0.0,54.38390061434935,uptake
20,met__L_e,EX_met__L_e,3.9548565527174087,0.0,3.957421894644868,uptake,4.507443275920499,0.0,20.457640634300425,uptake
21,mg2_e,EX_mg2_e,0.22305834245605638,0.20075250821130405,0.22305834245544934,uptake,0.254059674343998,0.22865370690939987,0.25405967434377763,uptake
22,mn2_e,EX_mn2_e,0.017767529064799437,0.015990776158387465,0.017767529064751084,uptake,0.020236914694144414,0.018213223224714175,0.020236914694126862,uptake
23,nac_e,EX_nac_e,0.058573706526211994,0.052716335873767686,0.05857370652584801,uptake,0.0,0.0,0.06671000920763143,secretion
24,nh4_e,EX_nh4_e,625.9609891596551,-1000.0,1000.0,uptake,0.0,-1000.0,1000.0,secretion
25,no2_e,EX_no2_e,195.09519315618363,-999.9976858500495,651.8972427301852,uptake,0.0,0.0,350.66823331988235,secretion
26,o2_e,EX_o2_e,1000.0,657.1428571643718,1000.0,uptake,3.182995381720996,0.01175556810060129,1000.0,uptake
27,pro__L_e,EX_pro__L_e,5.683937970215978,-166.31302724459593,5.683937970200506,uptake,6.473909084969747,-194.17348182353228,6.473909084964183,uptake
28,ribflv_e,EX_ribflv_e,0.011467898643850272,0.0,0.011467898643819072,uptake,0.013061742335149631,0.011755568101624434,0.013061742335138293,uptake
29,ser__L_e,EX_ser__L_e,6.2476906109478,0.0,1000.0,uptake,15.343535008612026,0.0,1000.0,uptake
30,so4_e,EX_so4_e,0.11154202761664245,0.1003878248554049,57.24324496412834,uptake,0.12704448038089505,0.1143400323427063,66.78100669900769,uptake
31,thr__L_e,EX_thr__L_e,6.5229973167319475,-79.84358812382175,1000.0,uptake,7.429583470352265,0.0,206.6866251233129,uptake
32,val__L_e,EX_val__L_e,10.895480797192397,-627.3234288428151,646.9352942778486,uptake,-195.48718003703732,-988.8463907869516,1000.0,secretion
33,zn2_e,EX_zn2_e,0.008768057034872068,0.007891251331418403,0.008768057034848205,uptake,0.009986668467009022,0.008988001620300324,0.00998666846700036,uptake
34,15dap_e,EX_15dap_e,0.0,-637.1293615603374,0.0,secretion,0.0,-1000.0,0.0,secretion
35,4abz_e,EX_4abz_e,0.0,0.0,28.683514697985174,secretion,0.0,0.0,26.41509433962282,secretion
36,Larab_e,EX_Larab_e,0.0,0.0,493.3333333232993,secretion,0.0,0.0,333.3333333333333,secretion
37,ac_e,EX_ac_e,0.0,0.0,0.0,secretion,0.0,0.0,0.0,secretion
38,acald_e,EX_acald_e,-952.723305009509,-1000.0,1000.0,secretion,0.0,-1000.0,1000.0,secretion
39,ala__D_e,EX_ala__D_e,0.0,-1000.0,1000.0,secretion,0.0,-1000.0,0.0,secretion
40,ala__L_e,EX_ala__L_e,-477.5495185214306,-1000.0,1000.0,secretion,0.0,0.0,1000.0,secretion
41,alaala_e,EX_alaala_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,0.0,secretion
42,arab__D_e,EX_arab__D_e,0.0,0.0,0.0,secretion,0.0,0.0,0.0,secretion
43,arab__L_e,EX_arab__L_e,0.0,-1000.0,479.99999996988316,secretion,0.0,-1000.0,0.0,secretion
44,but_e,EX_but_e,0.0,0.0,0.0,secretion,0.0,0.0,0.0,secretion
45,cit_e,EX_cit_e,0.0,0.0,508.9508504147251,secretion,0.0,0.0,1000.0,secretion
46,co2_e,EX_co2_e,-1000.0,-1000.0,-362.87063843965825,secretion,-677.8775879842906,-1000.0,458.90127397319054,secretion
47,dextrin_e,EX_dextrin_e,0.0,0.0,199.99999998744983,secretion,0.0,0.0,108.76780122869651,secretion
48,drib_e,EX_drib_e,0.0,0.0,141.17647057938188,secretion,0.0,0.0,108.76780122869803,secretion
49,etha_e,EX_etha_e,0.0,-17.142857141781793,0.0,secretion,67.44689330118128,0.0,999.9999999999854,uptake
50,etoh_e,EX_etoh_e,0.0,-1000.0,1000.0,secretion,-538.0960542051,-1000.0,999.9999999999981,secretion
51,for_e,EX_for_e,-495.9822371517901,-1000.0,0.0,secretion,0.006530871167574816,0.0,127.27860505677789,uptake
52,fuc__L_e,EX_fuc__L_e,0.0,0.0,799.9999999498234,secretion,0.0,0.0,217.53560245739476,secretion
53,gal_e,EX_gal_e,0.0,0.0,119.99999999247089,secretion,0.0,0.0,54.383900614347745,secretion
54,galt_e,EX_galt_e,0.0,0.0,399.9999999748897,secretion,0.0,0.0,108.76780122869543,secretion
55,glc__D_e,EX_glc__D_e,0.0,-1000.0,399.99999997489977,secretion,0.0,-1000.0,217.53560245739482,secretion
56,glcur_e,EX_glcur_e,0.0,-109.09090908406398,0.0,secretion,0.0,0.0,0.0,secretion
57,glu__L_e,EX_glu__L_e,0.0,-1000.0,685.9274498153302,secretion,23.63791710589015,-1000.0,1000.0,uptake
58,glucan4_e,EX_glucan4_e,0.0,0.0,63.15789473288055,secretion,0.0,0.0,43.507120491478084,secretion
59,glucan6_e,EX_glucan6_e,0.0,0.0,47.99999999698925,secretion,0.0,0.0,31.076514636770103,secretion
60,glyc3p_e,EX_glyc3p_e,0.0,0.0,98.03067027953489,secretion,1000.0,263.554836252316,1000.0,uptake
61,glyc_e,EX_glyc_e,0.0,-218.18181816812827,799.9999999498148,secretion,0.0,-336.73835240897387,217.5356024573945,secretion
62,gthox_e,EX_gthox_e,0.0,-499.9999999999988,500.0,secretion,0.0,-500.0,500.0,secretion
63,gthrd_e,EX_gthrd_e,0.0,-1000.0,1000.0,secretion,0.0,-1000.0,1000.0,secretion
64,h2_e,EX_h2_e,0.0,0.0,0.0,secretion,-356.3780571238479,-1000.0,1000.0,secretion
65,h2o2_e,EX_h2o2_e,0.0,-500.00000000000114,499.9999999999999,secretion,0.0,-499.99999999999966,499.99999999999994,secretion
66,h2s_e,EX_h2s_e,0.0,-171.42857141781968,175.34088489499402,secretion,0.0,-199.99999999999451,202.41972291128846,secretion
67,h_e,EX_h_e,-900.4712234549726,-1000.0,1000.0,secretion,0.0,-1000.0,1000.0,secretion
68,hxan_e,EX_hxan_e,0.0,0.0,1000.0,secretion,0.0,0.0,1000.0,secretion
69,lcts_e,EX_lcts_e,0.0,0.0,92.30769230190256,secretion,0.0,0.0,43.50712049147932,secretion
70,lmn2_e,EX_lmn2_e,0.0,0.0,92.3076923019039,secretion,0.0,-1000.0,72.51186748579887,secretion
71,melib_e,EX_melib_e,0.0,-399.99999997490016,0.0,secretion,0.0,0.0,54.38390061435015,secretion
72,meoh_e,EX_meoh_e,0.0,-1000.0,0.0,secretion,0.0,0.0,0.0,secretion
73,mobd_e,EX_mobd_e,0.0,0.0,171.42857141781562,secretion,0.0,0.0,200.00000000001205,secretion
74,murein4p3p_e,EX_murein4p3p_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,0.0,secretion
75,murein4p4p_e,EX_murein4p4p_e,0.0,-1000.0,0.0,secretion,0.0,-999.9999999999995,0.0,secretion
76,murein4px4p_e,EX_murein4px4p_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,0.0,secretion
77,murein4px4px4p_e,EX_murein4px4px4p_e,0.0,-999.9999999999998,0.0,secretion,0.0,-999.9999999999995,0.0,secretion
78,murein5p3p_e,EX_murein5p3p_e,0.0,0.0,1000.0,secretion,0.0,0.0,999.9999999999999,secretion
79,murein5p4p_e,EX_murein5p4p_e,0.0,-1000.0,1000.0,secretion,0.0,-999.9999999999992,1000.0000000000007,secretion
80,murein5p5p5p_e,EX_murein5p5p5p_e,0.0,-1000.0,1000.0,secretion,0.0,-999.9999999999998,500.00000000000006,secretion
81,murein5p5p_e,EX_murein5p5p_e,0.0,-499.99999999999994,1000.0,secretion,0.0,-500.00000000000085,1000.0,secretion
82,murein5px3p_e,EX_murein5px3p_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,0.0,secretion
83,murein5px4p_e,EX_murein5px4p_e,0.0,-999.9999999999998,1000.0,secretion,0.0,-1000.0,1000.0000000000003,secretion
84,murein5px4px4p_e,EX_murein5px4px4p_e,0.0,-1000.0,1000.0,secretion,0.0,-500.0,1000.0000000000002,secretion
85,no3_e,EX_no3_e,0.0,0.0,999.9976858500497,secretion,143.58950024042508,0.0,795.3675274368702,uptake
86,orn_e,EX_orn_e,0.0,-671.4334658449596,637.1293615603387,secretion,0.0,-199.999999999995,1000.0,secretion
87,pheme_e,EX_pheme_e,0.0,-9.795918366732542,0.0,secretion,0.0,-11.764705882352656,0.0,secretion
88,pi_e,EX_pi_e,0.0,-1000.0,42.33186579273211,secretion,-1000.0,-1000.0,-650.0000000000043,secretion
89,ppa_e,EX_ppa_e,0.0,0.0,171.42857141781255,secretion,0.0,0.0,199.99999999999804,secretion
90,ptrc_e,EX_ptrc_e,0.0,-637.1293615603382,671.4334658449662,secretion,0.0,-999.9999999999994,199.99999999999886,secretion
91,pyr_e,EX_pyr_e,0.0,-199.9999999874501,0.0,secretion,0.0,0.0,0.0,secretion
92,raffin_e,EX_raffin_e,0.0,0.0,399.99999997489226,secretion,0.0,0.0,43.50712049147924,secretion
93,rib__D_e,EX_rib__D_e,0.0,0.0,126.3157894657554,secretion,0.0,-127.2727272727241,108.76780122869789,secretion
94,rmn_e,EX_rmn_e,0.0,0.0,799.9999999497771,secretion,0.0,0.0,217.5356024573952,secretion
95,s_e,EX_s_e,0.0,-171.4285714178041,0.0,secretion,0.0,-199.99999999999503,0.0,secretion
96,salchs4_e,EX_salchs4_e,0.0,-85.71428570890255,0.0,secretion,0.0,-99.99999999999807,0.0,secretion
97,salchs4fe_e,EX_salchs4fe_e,0.0,0.0,85.7142857089071,secretion,0.0,0.0,100.00000000000072,secretion
98,sbt__D_e,EX_sbt__D_e,0.0,0.0,399.99999997490005,secretion,0.0,0.0,217.53560245739504,secretion
99,so3_e,EX_so3_e,0.0,0.0,171.42857141781286,secretion,0.0,0.0,199.9999999999973,secretion
100,spmd_e,EX_spmd_e,0.0,-85.71428570890609,0.0,secretion,0.0,-66.66666666666617,0.0,secretion
101,succ_e,EX_succ_e,-499.9945617522818,-1000.0,-328.56653415504235,secretion,-12.981526836817892,-1000.0,-0.0026357776013128387,secretion
102,taur_e,EX_taur_e,0.0,0.0,114.28571427854585,secretion,0.0,0.0,200.0000000000083,secretion
103,tol_e,EX_tol_e,0.0,0.0,0.0,secretion,0.0,0.0,0.0,secretion
104,tsul_e,EX_tsul_e,0.0,0.0,86.78059972312708,secretion,0.0,0.0,101.20986145564144,secretion
105,uaagmda_e,EX_uaagmda_e,0.0,0.0,1000.0,secretion,0.0,0.0,1000.0,secretion
106,udcpdp_e,EX_udcpdp_e,0.0,-1000.0,1000.0,secretion,0.0,-1000.0,349.99999999999847,secretion
107,udcpo5_e,EX_udcpo5_e,0.0,-2.860548271572622,0.0,secretion,0.0,-3.4912718204488726,0.0,secretion
108,udcpp_e,EX_udcpp_e,0.0,-1000.0,0.0,secretion,0.0,-350.0000000000002,0.0,secretion
109,ura_e,EX_ura_e,-5.311616955951055,-61.92331239964711,8.374043866337505,secretion,-96.73573232894907,-1000.0,9.661300763398343,secretion
110,urate_e,EX_urate_e,-178.43403616282978,-1000.0,0.0,secretion,-2.774536648761002,-1000.0,0.0,secretion
111,urea_e,EX_urea_e,0.0,-521.4982404628354,0.0,secretion,0.0,-49.99999999999982,943.9212976304651,secretion
112,xan_e,EX_xan_e,0.0,0.0,1000.0,secretion,0.0,0.0,1000.0,secretion
113,xyl3_e,EX_xyl3_e,0.0,0.0,82.75862068446334,secretion,0.0,0.0,54.38390061434965,secretion
114,xyl__D_e,EX_xyl__D_e,0.0,0.0,126.31578946576361,secretion,0.0,0.0,108.7678012286993,secretion
115,xylan12_e,EX_xylan12_e,0.0,0.0,1000.0,secretion,0.0,0.0,1000.0,secretion
116,xylan4_e,EX_xylan4_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,36.25593374289906,secretion
117,xylan8_e,EX_xylan8_e,0.0,-1000.0,500.0,secretion,0.0,-1000.0,518.1279668714498,secretion
118,xylb_e,EX_xylb_e,0.0,0.0,99.99999999371583,secretion,0.0,0.0,72.51186748579856,secretion
119,4hba_c,sink_4hba_c,0.0,-0.005733658912741086,0.0,secretion,-0.006530871167574816,-0.006530871167569156,-0.005877784050812236,secretion
120,5drib_c,sink_5drib_c,0.0,-57.142857139271264,0.0,secretion,0.0,-43.75000000000047,0.0,secretion
121,mobd_c,sink_mobd_c,0.0,-171.42857141781386,0.0,secretion,0.0,-200.0000000000016,0.0,secretion
