,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,2pglyc_e,EX_2pglyc_e,25.355189635452916,0.0,108.53395638091195,uptake,25.355189635452916,0.0,108.53395638091195,uptake
1,4hphac_e,EX_4hphac_e,499.99713303000465,328.5688483049859,500.00000000000006,uptake,499.99713303000465,328.5688483049859,500.00000000000006,uptake
2,LalaLglu_e,EX_LalaLglu_e,9.33785217825266,0.0,1000.0,uptake,9.33785217825266,0.0,1000.0,uptake
3,ade_e,EX_ade_e,5.253043249424843,-26.522642469397923,1000.0,uptake,5.253043249424843,-26.522642469397923,1000.0,uptake
4,arg__L_e,EX_arg__L_e,7.605633801932197,0.0,528.3433108846032,uptake,7.605633801932197,0.0,528.3433108846032,uptake
5,ca2_e,EX_ca2_e,0.13383500547363378,0.1204515049267824,0.13383500547326935,uptake,0.13383500547363378,0.1204515049267824,0.13383500547326935,uptake
6,cgly_e,EX_cgly_e,2.369586698257059,0.0,173.5611994462523,uptake,2.369586698257059,0.0,173.5611994462523,uptake
7,cl_e,EX_cl_e,0.13383500547363378,0.1204515049267824,0.13383500547326954,uptake,0.13383500547363378,0.1204515049267824,0.13383500547326954,uptake
8,cobalt2_e,EX_cobalt2_e,0.0025712777228363856,0.0023141499505625837,0.0025712777228293878,uptake,0.0025712777228363856,0.0023141499505625837,0.0025712777228293878,uptake
9,cu2_e,EX_cu2_e,0.018230359054909964,0.016407323149488708,0.018230359054860413,uptake,0.018230359054909964,0.016407323149488708,0.018230359054860413,uptake
10,cytd_e,EX_cytd_e,13.817275099207688,0.0,69.57840472861194,uptake,13.817275099207688,0.0,69.57840472861194,uptake
11,fe2_e,EX_fe2_e,0.1726612990884633,-85.5588905397291,9.951313535912877,uptake,0.1726612990884633,-85.5588905397291,9.951313535912877,uptake
12,fe3_e,EX_fe3_e,0.20076536459906505,0.18068882813992657,0.20076536459851835,uptake,0.20076536459906505,0.18068882813992657,0.20076536459851835,uptake
13,fol_e,EX_fol_e,0.017201847965775396,-28.66803303481645,0.01720184796572878,uptake,0.017201847965775396,-28.66803303481645,0.01720184796572878,uptake
14,fum_e,EX_fum_e,499.9945617522818,328.5665341550404,1000.0,uptake,499.9945617522818,328.5665341550404,1000.0,uptake
15,gam_e,EX_gam_e,5.142555445672771,0.0,14.462647797577404,uptake,5.142555445672771,0.0,14.462647797577404,uptake
16,gln__L_e,EX_gln__L_e,6.766574455416228,0.0,179.50499441642134,uptake,6.766574455416228,0.0,179.50499441642134,uptake
17,gly_e,EX_gly_e,12.683958730088591,-1000.0,184.97676230338584,uptake,12.683958730088591,-1000.0,184.97676230338584,uptake
18,gua_e,EX_gua_e,184.65943379592065,0.0,1000.0,uptake,184.65943379592065,0.0,1000.0,uptake
19,h2o_e,EX_h2o_e,579.8038875087607,-1000.0,1000.0,uptake,579.8038875087607,-1000.0,1000.0,uptake
20,his__L_e,EX_his__L_e,2.4359770890607355,0.0,2.4359770890541177,uptake,2.4359770890607355,0.0,2.4359770890541177,uptake
21,ile__L_e,EX_ile__L_e,7.470307455379328,-630.4060848504733,678.1567425548343,uptake,7.470307455379328,-630.4060848504733,678.1567425548343,uptake
22,k_e,EX_k_e,5.018954125536032,4.51705871300163,5.01895412552237,uptake,5.018954125536032,4.51705871300163,5.01895412552237,uptake
23,leu__L_e,EX_leu__L_e,11.584403237472001,-626.7033986465676,11.58440323744047,uptake,11.584403237472001,-626.7033986465676,11.58440323744047,uptake
24,lys__L_e,EX_lys__L_e,8.823622346462564,0.0,645.070621672184,uptake,8.823622346462564,0.0,645.070621672184,uptake
25,malthp_e,EX_malthp_e,75.19281671485905,17.6735350469724,90.82156230614862,uptake,75.19281671485905,17.6735350469724,90.82156230614862,uptake
26,met__L_e,EX_met__L_e,3.9548565527174087,0.0,3.957421894644868,uptake,3.9548565527174087,0.0,3.957421894644868,uptake
27,mg2_e,EX_mg2_e,0.22305834245605638,0.20075250821130405,0.22305834245544934,uptake,0.22305834245605638,0.20075250821130405,0.22305834245544934,uptake
28,mmet_e,EX_mmet_e,0.0025712777228363848,0.0,3.677459224022791,uptake,0.0025712777228363848,0.0,3.677459224022791,uptake
29,mn2_e,EX_mn2_e,0.017767529064799437,0.015990776158387465,0.017767529064751084,uptake,0.017767529064799437,0.015990776158387465,0.017767529064751084,uptake
30,nac_e,EX_nac_e,0.058573706526211994,0.052716335873767686,0.05857370652584801,uptake,0.058573706526211994,0.052716335873767686,0.05857370652584801,uptake
31,nh4_e,EX_nh4_e,625.9609891596551,-1000.0,1000.0,uptake,625.9609891596551,-1000.0,1000.0,uptake
32,no2_e,EX_no2_e,195.09519315618363,-999.9976858500495,651.8972427301852,uptake,195.09519315618363,-999.9976858500495,651.8972427301852,uptake
33,o2_e,EX_o2_e,1000.0,657.1428571643718,1000.0,uptake,1000.0,657.1428571643718,1000.0,uptake
34,pro__L_e,EX_pro__L_e,5.683937970215978,-166.31302724459593,5.683937970200506,uptake,5.683937970215978,-166.31302724459593,5.683937970200506,uptake
35,ribflv_e,EX_ribflv_e,0.011467898643850272,0.0,0.011467898643819072,uptake,0.011467898643850272,0.0,0.011467898643819072,uptake
36,ser__L_e,EX_ser__L_e,6.2476906109478,0.0,1000.0,uptake,6.2476906109478,0.0,1000.0,uptake
37,so4_e,EX_so4_e,0.11154202761664245,0.1003878248554049,57.24324496412834,uptake,0.11154202761664245,0.1003878248554049,57.24324496412834,uptake
38,thm_e,EX_thm_e,0.005733949321925136,0.0,0.005733949321909528,uptake,0.005733949321925136,0.0,0.005733949321909528,uptake
39,thr__L_e,EX_thr__L_e,6.5229973167319475,-79.84358812382175,1000.0,uptake,6.5229973167319475,-79.84358812382175,1000.0,uptake
40,val__L_e,EX_val__L_e,10.895480797192397,-627.3234288428151,646.9352942778486,uptake,10.895480797192397,-627.3234288428151,646.9352942778486,uptake
41,zn2_e,EX_zn2_e,0.008768057034872068,0.007891251331418403,0.008768057034848205,uptake,0.008768057034872068,0.007891251331418403,0.008768057034848205,uptake
42,12ppd__S_e,EX_12ppd__S_e,0.0,-799.9999999498106,0.0,secretion,0.0,-799.9999999498106,0.0,secretion
43,15dap_e,EX_15dap_e,0.0,-637.1293615603374,0.0,secretion,0.0,-637.1293615603374,0.0,secretion
44,2ddglcn_e,EX_2ddglcn_e,0.0,0.0,0.0,secretion,0.0,0.0,0.0,secretion
45,2hxmp_e,EX_2hxmp_e,0.0,-399.99999997489624,0.0,secretion,0.0,-399.99999997489624,0.0,secretion
46,3hcinnm_e,EX_3hcinnm_e,0.0,0.0,171.4285714178258,secretion,0.0,0.0,171.4285714178258,secretion
47,3oxoadp_e,EX_3oxoadp_e,0.0,0.0,511.2650003652874,secretion,0.0,0.0,511.2650003652874,secretion
48,4abz_e,EX_4abz_e,0.0,0.0,28.683514697985174,secretion,0.0,0.0,28.683514697985174,secretion
49,Larab_e,EX_Larab_e,0.0,0.0,493.3333333232993,secretion,0.0,0.0,493.3333333232993,secretion
50,ac_e,EX_ac_e,0.0,0.0,0.0,secretion,0.0,0.0,0.0,secretion
51,acald_e,EX_acald_e,-952.723305009509,-1000.0,1000.0,secretion,-952.723305009509,-1000.0,1000.0,secretion
52,ala__D_e,EX_ala__D_e,0.0,-1000.0,1000.0,secretion,0.0,-1000.0,1000.0,secretion
53,ala__L_e,EX_ala__L_e,-477.5495185214306,-1000.0,1000.0,secretion,-477.5495185214306,-1000.0,1000.0,secretion
54,alaala_e,EX_alaala_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,0.0,secretion
55,arab__D_e,EX_arab__D_e,0.0,0.0,0.0,secretion,0.0,0.0,0.0,secretion
56,arab__L_e,EX_arab__L_e,0.0,-1000.0,479.99999996988316,secretion,0.0,-1000.0,479.99999996988316,secretion
57,arbt_e,EX_arbt_e,0.0,0.0,399.9999999748966,secretion,0.0,0.0,399.9999999748966,secretion
58,asp__L_e,EX_asp__L_e,-485.01208644019545,-986.5157722190647,323.82194869158883,secretion,-485.01208644019545,-986.5157722190647,323.82194869158883,secretion
59,btd_RR_e,EX_btd_RR_e,0.0,-318.5646807801687,0.0,secretion,0.0,-318.5646807801687,0.0,secretion
60,btoh_e,EX_btoh_e,0.0,0.0,171.4285714178109,secretion,0.0,0.0,171.4285714178109,secretion
61,but_e,EX_but_e,0.0,0.0,0.0,secretion,0.0,0.0,0.0,secretion
62,cellb_e,EX_cellb_e,0.0,0.0,699.9999999874483,secretion,0.0,0.0,699.9999999874483,secretion
63,cit_e,EX_cit_e,0.0,0.0,508.9508504147251,secretion,0.0,0.0,508.9508504147251,secretion
64,co2_e,EX_co2_e,-1000.0,-1000.0,-362.87063843965825,secretion,-1000.0,-1000.0,-362.87063843965825,secretion
65,dextrin_e,EX_dextrin_e,0.0,0.0,199.99999998744983,secretion,0.0,0.0,199.99999998744983,secretion
66,drib_e,EX_drib_e,0.0,0.0,141.17647057938188,secretion,0.0,0.0,141.17647057938188,secretion
67,enlipa_e,EX_enlipa_e,0.0,-4.917173948226155,0.0,secretion,0.0,-4.917173948226155,0.0,secretion
68,etha_e,EX_etha_e,0.0,-17.142857141781793,0.0,secretion,0.0,-17.142857141781793,0.0,secretion
69,etoh_e,EX_etoh_e,0.0,-1000.0,1000.0,secretion,0.0,-1000.0,1000.0,secretion
70,fald_e,EX_fald_e,0.0,-114.2857142785433,0.0,secretion,0.0,-114.2857142785433,0.0,secretion
71,for_e,EX_for_e,-495.9822371517901,-1000.0,0.0,secretion,-495.9822371517901,-1000.0,0.0,secretion
72,fru_e,EX_fru_e,0.0,0.0,399.99999997491494,secretion,0.0,0.0,399.99999997491494,secretion
73,fuc__L_e,EX_fuc__L_e,0.0,0.0,799.9999999498234,secretion,0.0,0.0,799.9999999498234,secretion
74,g3pe_e,EX_g3pe_e,0.0,-19.512195120727302,0.0,secretion,0.0,-19.512195120727302,0.0,secretion
75,gal_e,EX_gal_e,0.0,0.0,119.99999999247089,secretion,0.0,0.0,119.99999999247089,secretion
76,galt_e,EX_galt_e,0.0,0.0,399.9999999748897,secretion,0.0,0.0,399.9999999748897,secretion
