,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,2pglyc_e,EX_2pglyc_e,25.355189635452916,0.0,108.53395638091195,uptake,0.0,0.0,1000.0,secretion
1,4hphac_e,EX_4hphac_e,499.99713303000465,328.5688483049859,500.00000000000006,uptake,0.0,0.0,500.0000000000006,secretion
2,ade_e,EX_ade_e,5.253043249424843,-26.522642469397923,1000.0,uptake,0.0,-66.66666666666501,19.015275776113842,secretion
3,arg__L_e,EX_arg__L_e,7.605633801932197,0.0,528.3433108846032,uptake,9.010441550383737,0.0,208.10939739534192,uptake
4,ca2_e,EX_ca2_e,0.13383500547363378,0.1204515049267824,0.13383500547326935,uptake,0.15855516129492125,0.14269964516542913,0.15855516129492084,uptake
5,cl_e,EX_cl_e,0.13383500547363378,0.1204515049267824,0.13383500547326954,uptake,0.15855516129492125,0.14269964516542913,0.1585551612949209,uptake
6,cobalt2_e,EX_cobalt2_e,0.0025712777228363856,0.0023141499505625837,0.0025712777228293878,uptake,0.0030462086704115534,0.002741587803370398,0.0030462086704115456,uptake
7,cu2_e,EX_cu2_e,0.018230359054909964,0.016407323149488708,0.018230359054860413,uptake,0.0215976194732179,0.019437857525896114,0.021597619473217877,uptake
8,fe2_e,EX_fe2_e,0.1726612990884633,-85.5588905397291,9.951313535912877,uptake,0.20455291221813585,-999.7859368243135,11.295208732107165,uptake
9,fe3_e,EX_fe3_e,0.20076536459906505,0.18068882813992657,0.20076536459851835,uptake,0.23784797298573415,0.21406317568721533,1000.0,uptake
10,gln__L_e,EX_gln__L_e,6.766574455416228,0.0,179.50499441642134,uptake,0.0,0.0,117.17495095299195,secretion
11,gly_e,EX_gly_e,12.683958730088591,-1000.0,184.97676230338584,uptake,0.0,-1000.0,1000.0,secretion
12,gua_e,EX_gua_e,184.65943379592065,0.0,1000.0,uptake,0.0,0.0,18.21075197123221,secretion
13,h2o_e,EX_h2o_e,579.8038875087607,-1000.0,1000.0,uptake,0.0,-1000.0,1000.0,secretion
