,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,2pglyc_e,EX_2pglyc_e,25.355189635452916,0.0,108.53395638091195,uptake,0.0,0.0,108.62655276057919,secretion
1,4hphac_e,EX_4hphac_e,499.99713303000465,328.5688483049859,500.00000000000006,uptake,0.0,0.0,0.0,secretion
2,ade_e,EX_ade_e,5.253043249424843,-26.522642469397923,1000.0,uptake,2.98725309056544,-31.540981478994198,14.610939762158928,uptake
3,arg__L_e,EX_arg__L_e,7.605633801932197,0.0,528.3433108846032,uptake,112.45349596196391,0.0,831.1695913117056,uptake
4,ca2_e,EX_ca2_e,0.13383500547363378,0.1204515049267824,0.13383500547326935,uptake,0.07632326729393564,0.06869094056454214,0.07632326729393574,uptake
5,cgly_e,EX_cgly_e,2.369586698257059,0.0,173.5611994462523,uptake,1.3461488774995538,0.0,101.21153398975531,uptake
6,cl_e,EX_cl_e,0.13383500547363378,0.1204515049267824,0.13383500547326954,uptake,0.07632326729393564,0.06869094056454214,0.07632326729393535,uptake
7,cobalt2_e,EX_cobalt2_e,0.0025712777228363856,0.0023141499505625837,0.0025712777228293878,uptake,0.001466345192967064,0.0013197106736702047,0.0014663451929664006,uptake
8,cu2_e,EX_cu2_e,0.018230359054909964,0.016407323149488708,0.018230359054860413,uptake,0.010396387418136479,0.009356748676322841,0.010396387418136432,uptake
9,fe2_e,EX_fe2_e,0.1726612990884633,-85.5588905397291,9.951313535912877,uptake,0.21295731237460674,-999.8083384188631,6.078528320967692,uptake
10,fe3_e,EX_fe3_e,0.20076536459906505,0.18068882813992657,0.20076536459851835,uptake,0.0,0.0,1000.0,secretion
11,gln__L_e,EX_gln__L_e,6.766574455416228,0.0,179.50499441642134,uptake,6.801334245087201,0.0,56.5379654513229,uptake
12,gly_e,EX_gly_e,12.683958730088591,-1000.0,184.97676230338584,uptake,6.914316142205293,-193.77711547201352,107.74429978101756,uptake
13,gua_e,EX_gua_e,184.65943379592065,0.0,1000.0,uptake,3.560022186389306,0.0,3.5600221863892907,uptake
14,h2o_e,EX_h2o_e,579.8038875087607,-1000.0,1000.0,uptake,-80.82175529164152,-1000.0,1000.0,secretion
15,his__L_e,EX_his__L_e,2.4359770890607355,0.0,2.4359770890541177,uptake,1.3891861089131374,0.0,1.3891861089131385,uptake
16,ile__L_e,EX_ile__L_e,7.470307455379328,-630.4060848504733,678.1567425548343,uptake,4.260158025675285,-46.16585777689137,4.260158025675277,uptake
17,k_e,EX_k_e,5.018954125536032,4.51705871300163,5.01895412552237,uptake,2.862203172508141,2.5759828552573873,2.8622031725082024,uptake
18,leu__L_e,EX_leu__L_e,11.584403237472001,-626.7033986465676,11.58440323744047,uptake,6.606339661326446,-994.0542943048061,6.606339661326422,uptake
19,lys__L_e,EX_lys__L_e,8.823622346462564,0.0,645.070621672184,uptake,5.031924827637704,0.0,1000.0,uptake
20,met__L_e,EX_met__L_e,3.9548565527174087,0.0,3.957421894644868,uptake,2.2568372230436746,0.0,2.2568372230436804,uptake
21,mg2_e,EX_mg2_e,0.22305834245605638,0.20075250821130405,0.22305834245544934,uptake,0.12720544548989277,0.11448490094090362,0.12720544548989285,uptake
22,mn2_e,EX_mn2_e,0.017767529064799437,0.015990776158387465,0.017767529064751084,uptake,0.01013244528340242,0.009119200755062189,0.010132445283402427,uptake
23,nac_e,EX_nac_e,0.058573706526211994,0.052716335873767686,0.05857370652584801,uptake,0.03340334349579133,0.03006300914617821,0.03340334349614511,uptake
24,nh4_e,EX_nh4_e,625.9609891596551,-1000.0,1000.0,uptake,18.332994216569528,-1000.0,1000.0,uptake
25,no2_e,EX_no2_e,195.09519315618363,-999.9976858500495,651.8972427301852,uptake,0.0,-998.5962765448437,0.0,secretion
26,o2_e,EX_o2_e,1000.0,657.1428571643718,1000.0,uptake,21.638826685713326,0.0,1000.0,uptake
27,pro__L_e,EX_pro__L_e,5.683937970215978,-166.31302724459593,5.683937970200506,uptake,-104.87326847727647,-849.3466508367849,3.2414293663133344,secretion
28,ribflv_e,EX_ribflv_e,0.011467898643850272,0.0,0.011467898643819072,uptake,0.006539899560633101,0.005885909604569797,0.0065398995606330956,uptake
29,so4_e,EX_so4_e,0.11154202761664245,0.1003878248554049,57.24324496412834,uptake,0.06361005447091125,0.0,25.057249049024456,uptake
30,val__L_e,EX_val__L_e,10.895480797192397,-627.3234288428151,646.9352942778486,uptake,-305.22529714483437,-994.4154859190827,1000.0,secretion
31,zn2_e,EX_zn2_e,0.008768057034872068,0.007891251331418403,0.008768057034848205,uptake,0.0050002371080176845,0.00450021339721592,0.005000237108017688,uptake
32,15dap_e,EX_15dap_e,0.0,-637.1293615603374,0.0,secretion,0.0,-999.9999999999998,0.0,secretion
33,3hcinnm_e,EX_3hcinnm_e,0.0,0.0,171.4285714178258,secretion,10.790790284689946,0.0,403.70970230465116,uptake
34,4abz_e,EX_4abz_e,0.0,0.0,28.683514697985174,secretion,0.009809849340949637,0.00882886440685482,0.00980984934092577,uptake
35,Larab_e,EX_Larab_e,0.0,0.0,493.3333333232993,secretion,1.521616631107813,0.0,699.9999999999997,uptake
36,ac_e,EX_ac_e,0.0,0.0,0.0,secretion,0.0,0.0,0.0,secretion
37,acald_e,EX_acald_e,-952.723305009509,-1000.0,1000.0,secretion,-59.33278419683565,-1000.0,1000.0,secretion
38,ala__D_e,EX_ala__D_e,0.0,-1000.0,1000.0,secretion,0.0,-1000.0,999.9999999999999,secretion
39,ala__L_e,EX_ala__L_e,-477.5495185214306,-1000.0,1000.0,secretion,0.0,-1000.0,1000.0,secretion
40,alaala_e,EX_alaala_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,0.0,secretion
41,arab__D_e,EX_arab__D_e,0.0,0.0,0.0,secretion,0.0,0.0,0.0,secretion
42,arab__L_e,EX_arab__L_e,0.0,-1000.0,479.99999996988316,secretion,0.0,-1000.0,1000.0,secretion
43,btoh_e,EX_btoh_e,0.0,0.0,171.4285714178109,secretion,0.0,-99.99999999999788,0.0,secretion
44,but_e,EX_but_e,0.0,0.0,0.0,secretion,0.0,0.0,0.0,secretion
45,cellb_e,EX_cellb_e,0.0,0.0,699.9999999874483,secretion,0.0,0.0,806.3197743863694,secretion
46,cit_e,EX_cit_e,0.0,0.0,508.9508504147251,secretion,0.9261436238780192,0.0,106.9547300820675,uptake
47,co2_e,EX_co2_e,-1000.0,-1000.0,-362.87063843965825,secretion,-788.4812248037315,-1000.0,82.96421123546907,secretion
48,dextrin_e,EX_dextrin_e,0.0,0.0,199.99999998744983,secretion,254.62570688469245,0.0,306.31977438636807,uptake
49,etha_e,EX_etha_e,0.0,-17.142857141781793,0.0,secretion,0.0,0.0,1000.0,secretion
50,etoh_e,EX_etoh_e,0.0,-1000.0,1000.0,secretion,-302.07974475896185,-1000.0,1000.0,secretion
51,for_e,EX_for_e,-495.9822371517901,-1000.0,0.0,secretion,0.0,0.0,100.00000000000036,secretion
52,gal_e,EX_gal_e,0.0,0.0,119.99999999247089,secretion,0.0,0.0,33.33333333333277,secretion
53,galt_e,EX_galt_e,0.0,0.0,399.9999999748897,secretion,0.0,0.0,558.1773562400462,secretion
54,glc__D_e,EX_glc__D_e,0.0,-1000.0,399.99999997489977,secretion,0.0,-1000.0,0.0,secretion
55,glcur_e,EX_glcur_e,0.0,-109.09090908406398,0.0,secretion,0.0,0.0,0.0,secretion
56,glu__L_e,EX_glu__L_e,0.0,-1000.0,685.9274498153302,secretion,0.0,0.0,53.47736504103383,secretion
57,glucan4_e,EX_glucan4_e,0.0,0.0,63.15789473288055,secretion,0.0,0.0,100.00000000001968,secretion
58,glucan6_e,EX_glucan6_e,0.0,0.0,47.99999999698925,secretion,0.0,0.0,87.51993553896494,secretion
59,glyc3p_e,EX_glyc3p_e,0.0,0.0,98.03067027953489,secretion,9.585058622870209,-16.666666666666444,108.62655276058177,uptake
60,glyc_e,EX_glyc_e,0.0,-218.18181816812827,799.9999999498148,secretion,0.0,-99.99999999999808,1000.0,secretion
61,glyclt_e,EX_glyclt_e,-25.355189635452916,-108.5339563809108,0.0,secretion,-0.013079799121266188,-108.63832457979031,-0.008828864406854708,secretion
62,h2_e,EX_h2_e,0.0,0.0,0.0,secretion,0.0,-1000.0,0.0,secretion
63,h2s_e,EX_h2s_e,0.0,-171.42857141781968,175.34088489499402,secretion,0.0,-99.9999999999967,50.68397304939592,secretion
64,h_e,EX_h_e,-900.4712234549726,-1000.0,1000.0,secretion,-104.4924427452549,-1000.0,978.3790762893353,secretion
65,hxan_e,EX_hxan_e,0.0,0.0,1000.0,secretion,0.0,0.0,34.229509260502965,secretion
66,lcts_e,EX_lcts_e,0.0,0.0,92.30769230190256,secretion,0.0,0.0,33.333333333332824,secretion
67,lmn2_e,EX_lmn2_e,0.0,0.0,92.3076923019039,secretion,0.0,0.0,99.99999999999538,secretion
68,lyx__L_e,EX_lyx__L_e,0.0,0.0,479.9999999698858,secretion,0.0,0.0,744.9481193873621,secretion
69,madg_e,EX_madg_e,0.0,0.0,1000.0,secretion,0.0,0.0,1000.0,secretion
70,mbdg_e,EX_mbdg_e,0.0,0.0,1000.0,secretion,0.0,0.0,1000.0,secretion
71,melib_e,EX_melib_e,0.0,-399.99999997490016,0.0,secretion,0.0,0.0,50.00000000000053,secretion
72,meoh_e,EX_meoh_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,0.0,secretion
73,mso3_e,EX_mso3_e,0.0,0.0,114.28571427854463,secretion,0.0,0.0,99.99999999999368,secretion
74,murein4p3p_e,EX_murein4p3p_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,0.0,secretion
75,murein4p4p_e,EX_murein4p4p_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,0.0,secretion
76,murein4px4p_e,EX_murein4px4p_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,0.0,secretion
77,murein4px4px4p_e,EX_murein4px4px4p_e,0.0,-999.9999999999998,0.0,secretion,0.0,-1000.0,0.0,secretion
78,murein5p3p_e,EX_murein5p3p_e,0.0,0.0,1000.0,secretion,0.0,0.0,1000.0,secretion
79,murein5p4p_e,EX_murein5p4p_e,0.0,-1000.0,1000.0,secretion,0.0,-1000.0,1000.0,secretion
80,murein5p5p5p_e,EX_murein5p5p5p_e,0.0,-1000.0,1000.0,secretion,0.0,-999.9999999999994,999.9999999999993,secretion
81,murein5p5p_e,EX_murein5p5p_e,0.0,-499.99999999999994,1000.0,secretion,0.0,-499.9999999999997,1000.0,secretion
82,murein5px3p_e,EX_murein5px3p_e,0.0,-1000.0,0.0,secretion,0.0,-999.9999999999997,0.0,secretion
83,murein5px4p_e,EX_murein5px4p_e,0.0,-999.9999999999998,1000.0,secretion,0.0,-1000.0,1000.0,secretion
84,murein5px4px4p_e,EX_murein5px4px4p_e,0.0,-1000.0,1000.0,secretion,0.0,-1000.0,1000.0,secretion
85,no3_e,EX_no3_e,0.0,0.0,999.9976858500497,secretion,0.0,0.0,998.5962765448446,secretion
86,pheme_e,EX_pheme_e,0.0,-9.795918366732542,0.0,secretion,0.0,-5.882352941176381,0.0,secretion
87,pi_e,EX_pi_e,0.0,-1000.0,42.33186579273211,secretion,0.0,-1000.0,108.62655276058048,secretion
88,ppa_e,EX_ppa_e,0.0,0.0,171.42857141781255,secretion,0.0,0.0,100.00000000000236,secretion
89,ptrc_e,EX_ptrc_e,0.0,-637.1293615603382,671.4334658449662,secretion,0.0,0.0,100.0000000000024,secretion
90,pyr_e,EX_pyr_e,0.0,-199.9999999874501,0.0,secretion,0.0,0.0,0.0,secretion
91,raffin_e,EX_raffin_e,0.0,0.0,399.99999997489226,secretion,0.0,0.0,49.99999999999854,secretion
92,rib__D_e,EX_rib__D_e,0.0,0.0,126.3157894657554,secretion,0.0,0.0,99.99999999999667,secretion
