,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,2pglyc_e,EX_2pglyc_e,25.355189635452916,0.0,108.53395638091195,uptake,0.0,0.0,757.999944800831,secretion
1,4hphac_e,EX_4hphac_e,499.99713303000465,328.5688483049859,500.00000000000006,uptake,5.252182205862668,0.0,5.252182205862668,uptake
2,ade_e,EX_ade_e,5.253043249424843,-26.522642469397923,1000.0,uptake,16.953506770022948,-22.232576500240448,140.25815609302168,uptake
3,ca2_e,EX_ca2_e,0.13383500547363378,0.1204515049267824,0.13383500547326935,uptake,0.19792793447328128,0.17813514102595304,0.19792793447328164,uptake
4,cgly_e,EX_cgly_e,2.369586698257059,0.0,173.5611994462523,uptake,3.499426723888293,0.0,327.07912685770316,uptake
5,cl_e,EX_cl_e,0.13383500547363378,0.1204515049267824,0.13383500547326954,uptake,0.19792793447328128,0.17813514102595304,0.19792793447328125,uptake
6,cobalt2_e,EX_cobalt2_e,0.0025712777228363856,0.0023141499505625837,0.0025712777228293878,uptake,0.003802650037911266,0.0034223850341201373,0.003802650037911273,uptake
7,cu2_e,EX_cu2_e,0.018230359054909964,0.016407323149488708,0.018230359054860413,uptake,0.026960788768790864,0.024264709891911762,0.02696078876879089,uptake
8,fe2_e,EX_fe2_e,0.1726612990884633,-85.5588905397291,9.951313535912877,uptake,-210.33630477224014,-999.5029670215001,0.552258865006138,secretion
9,fe3_e,EX_fe3_e,0.20076536459906505,0.18068882813992657,0.20076536459851835,uptake,210.888563637246,0.0,1000.0,uptake
10,fol_e,EX_fol_e,0.017201847965775396,-28.66803303481645,0.01720184796572878,uptake,0.02543972875362721,0.0,0.025439728753625948,uptake
11,gln__L_e,EX_gln__L_e,6.766574455416228,0.0,179.50499441642134,uptake,41.69499292368643,0.0,124.04132562377987,uptake
12,gly_e,EX_gly_e,12.683958730088591,-1000.0,184.97676230338584,uptake,15.170254034742737,-315.53614083848555,453.9350862617089,uptake
13,h2o_e,EX_h2o_e,579.8038875087607,-1000.0,1000.0,uptake,-622.0712325308807,-1000.0,1000.0,secretion
14,k_e,EX_k_e,5.018954125536032,4.51705871300163,5.01895412552237,uptake,7.422506688500147,6.680256019650129,7.422506688500148,uptake
15,lys__L_e,EX_lys__L_e,8.823622346462564,0.0,645.070621672184,uptake,0.0,0.0,250.00000000000148,secretion
16,malthp_e,EX_malthp_e,75.19281671485905,17.6735350469724,90.82156230614862,uptake,0.0,0.0,62.49999999999904,secretion
17,met__L_e,EX_met__L_e,3.9548565527174087,0.0,3.957421894644868,uptake,5.844140737264297,0.0,37.26557109327669,uptake
18,mg2_e,EX_mg2_e,0.22305834245605638,0.20075250821130405,0.22305834245544934,uptake,0.32987989078880225,0.2968919017099218,0.3298798907888028,uptake
19,mn2_e,EX_mn2_e,0.017767529064799437,0.015990776158387465,0.017767529064751084,uptake,0.026276311761966868,0.023648680585770167,0.026276311761966917,uptake
20,nh4_e,EX_nh4_e,625.9609891596551,-1000.0,1000.0,uptake,-277.8974846200097,-1000.0,1000.0,secretion
21,no2_e,EX_no2_e,195.09519315618363,-999.9976858500495,651.8972427301852,uptake,289.76559341483124,0.0,355.10894908612335,uptake
22,o2_e,EX_o2_e,1000.0,657.1428571643718,1000.0,uptake,491.66867896568795,347.82682752261485,1000.0,uptake
23,pro__L_e,EX_pro__L_e,5.683937970215978,-166.31302724459593,5.683937970200506,uptake,8.40594804130476,-120.41657084305528,8.40594804130476,uptake
24,ribflv_e,EX_ribflv_e,0.011467898643850272,0.0,0.011467898643819072,uptake,0.016959819169084234,0.015263837252175802,0.01695981916908422,uptake
25,so4_e,EX_so4_e,0.11154202761664245,0.1003878248554049,57.24324496412834,uptake,0.1649589586445908,0.1484630627801316,0.16495895864459037,uptake
26,zn2_e,EX_zn2_e,0.008768057034872068,0.007891251331418403,0.008768057034848205,uptake,0.012967036629277407,0.011670332966349659,0.01296703662927743,uptake
27,15dap_e,EX_15dap_e,0.0,-637.1293615603374,0.0,secretion,0.0,-250.00000000000017,0.0,secretion
28,2hxmp_e,EX_2hxmp_e,0.0,-399.99999997489624,0.0,secretion,0.0,-249.99999999999994,0.0,secretion
29,3oxoadp_e,EX_3oxoadp_e,0.0,0.0,511.2650003652874,secretion,0.0,-250.0000000000004,0.0,secretion
30,4abz_e,EX_4abz_e,0.0,0.0,28.683514697985174,secretion,0.0,0.0,0.025437657946849365,secretion
31,Larab_e,EX_Larab_e,0.0,0.0,493.3333333232993,secretion,0.0,0.0,333.3333333333333,secretion
32,ac_e,EX_ac_e,0.0,0.0,0.0,secretion,-944.4529416772097,-1000.0,-666.1197042593868,secretion
33,acald_e,EX_acald_e,-952.723305009509,-1000.0,1000.0,secretion,-0.012282559622453382,-250.01105430366184,0.0,secretion
34,ala__D_e,EX_ala__D_e,0.0,-1000.0,1000.0,secretion,0.0,-1000.0,1000.0,secretion
35,ala__L_e,EX_ala__L_e,-477.5495185214306,-1000.0,1000.0,secretion,58.88745822209004,-1000.0,1000.0,uptake
36,alaala_e,EX_alaala_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,0.0,secretion
37,arab__D_e,EX_arab__D_e,0.0,0.0,0.0,secretion,33.24710165246513,0.0,329.92239148721507,uptake
38,arab__L_e,EX_arab__L_e,0.0,-1000.0,479.99999996988316,secretion,0.0,-1000.0,0.0,secretion
39,arbt_e,EX_arbt_e,0.0,0.0,399.9999999748966,secretion,0.0,0.0,250.00000000000114,secretion
40,btoh_e,EX_btoh_e,0.0,0.0,171.4285714178109,secretion,33.22348719572658,0.0,54.90113847615535,uptake
41,cellb_e,EX_cellb_e,0.0,0.0,699.9999999874483,secretion,0.0,0.0,625.0000000000007,secretion
42,co2_e,EX_co2_e,-1000.0,-1000.0,-362.87063843965825,secretion,-1000.0,-1000.0,-750.0000000000008,secretion
43,gal_e,EX_gal_e,0.0,0.0,119.99999999247089,secretion,0.0,0.0,124.99999999999946,secretion
44,glc__D_e,EX_glc__D_e,0.0,-1000.0,399.99999997489977,secretion,0.0,-1000.0,0.0,secretion
45,glcur_e,EX_glcur_e,0.0,-109.09090908406398,0.0,secretion,0.0,-1000.0,1000.0,secretion
46,glu__L_e,EX_glu__L_e,0.0,-1000.0,685.9274498153302,secretion,0.0,0.0,145.75614920263595,secretion
47,glucan4_e,EX_glucan4_e,0.0,0.0,63.15789473288055,secretion,0.0,0.0,49.999999999998884,secretion
48,glucan6_e,EX_glucan6_e,0.0,0.0,47.99999999698925,secretion,0.0,0.0,35.714285714284856,secretion
49,glyc3p_e,EX_glyc3p_e,0.0,0.0,98.03067027953489,secretion,0.0,-71.42857142857181,0.0,secretion
50,glyclt_e,EX_glyclt_e,-25.355189635452916,-108.5339563809108,0.0,secretion,-0.008479909584542117,-758.0075767193651,0.0,secretion
51,gthox_e,EX_gthox_e,0.0,-499.9999999999988,500.0,secretion,0.0,-500.00000000000006,500.0,secretion
52,gthrd_e,EX_gthrd_e,0.0,-1000.0,1000.0,secretion,0.0,-1000.0,1000.0,secretion
53,h2o2_e,EX_h2o2_e,0.0,-500.00000000000114,499.9999999999999,secretion,0.0,-499.99999999999983,499.9999999999997,secretion
54,h2s_e,EX_h2s_e,0.0,-171.42857141781968,175.34088489499402,secretion,0.0,-323.92964280620777,503.1494840514973,secretion
55,h_e,EX_h_e,-900.4712234549726,-1000.0,1000.0,secretion,-246.28378229612187,-1000.0,1000.0,secretion
56,hqn_e,EX_hqn_e,0.0,-399.9999999749122,0.0,secretion,0.0,-250.00000000000318,0.0,secretion
57,lcts_e,EX_lcts_e,0.0,0.0,92.30769230190256,secretion,0.0,0.0,124.99999999999834,secretion
58,lmn2_e,EX_lmn2_e,0.0,0.0,92.3076923019039,secretion,0.0,-1000.0,83.33333333333206,secretion
59,madg_e,EX_madg_e,0.0,0.0,1000.0,secretion,0.0,0.0,1000.0,secretion
60,mbdg_e,EX_mbdg_e,0.0,0.0,1000.0,secretion,0.0,0.0,1000.0,secretion
61,melib_e,EX_melib_e,0.0,-399.99999997490016,0.0,secretion,0.0,-250.00000000000085,124.99999999999994,secretion
62,meoh_e,EX_meoh_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,0.0,secretion
63,murein4p3p_e,EX_murein4p3p_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,0.0,secretion
64,murein4p4p_e,EX_murein4p4p_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,0.0,secretion
65,murein4px4p_e,EX_murein4px4p_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,0.0,secretion
66,murein4px4px4p_e,EX_murein4px4px4p_e,0.0,-999.9999999999998,0.0,secretion,-2.5351000252741773,-1000.0,0.0,secretion
67,murein5p3p_e,EX_murein5p3p_e,0.0,0.0,1000.0,secretion,0.0,0.0,1000.0,secretion
68,murein5p4p_e,EX_murein5p4p_e,0.0,-1000.0,1000.0,secretion,0.0,-1000.0,1000.0,secretion
