,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,2pglyc_e,EX_2pglyc_e,25.355189635452916,0.0,108.53395638091195,uptake,29.806311498267224,0.0,63.96853749134444,uptake
1,4hphac_e,EX_4hphac_e,499.99713303000465,328.5688483049859,500.00000000000006,uptake,4.64603369830068,0.0,4.646033698300673,uptake
2,ade_e,EX_ade_e,5.253043249424843,-26.522642469397923,1000.0,uptake,-0.025867548374902682,-1000.0,14.866267361174442,secretion
3,arg__L_e,EX_arg__L_e,7.605633801932197,0.0,528.3433108846032,uptake,9.949822976475012,0.0,55.653863945607995,uptake
4,ca2_e,EX_ca2_e,0.13383500547363378,0.1204515049267824,0.13383500547326935,uptake,0.17508529166628048,0.15757676249962857,0.17508529166628023,uptake
5,cgly_e,EX_cgly_e,2.369586698257059,0.0,173.5611994462523,uptake,26.346821234780197,0.0,112.73168286105157,uptake
6,cl_e,EX_cl_e,0.13383500547363378,0.1204515049267824,0.13383500547326954,uptake,0.17508529166628048,0.15757676249962857,0.1750852916662804,uptake
7,cobalt2_e,EX_cobalt2_e,0.0025712777228363856,0.0023141499505625837,0.0025712777228293878,uptake,0.003363790425865141,0.003027411383278168,0.003363790425865141,uptake
8,cu2_e,EX_cu2_e,0.018230359054909964,0.016407323149488708,0.018230359054860413,uptake,0.02384927411938384,0.021464346707442204,0.02384927411938384,uptake
9,cytd_e,EX_cytd_e,13.817275099207688,0.0,69.57840472861194,uptake,11.108884243515387,0.0,11.127198713689767,uptake
10,fe2_e,EX_fe2_e,0.1726612990884633,-85.5588905397291,9.951313535912877,uptake,0.22587852709684425,-999.5603290448163,0.22587852709651324,uptake
11,fe3_e,EX_fe3_e,0.20076536459906505,0.18068882813992657,0.20076536459851835,uptake,0.2626447564515503,0.23638028080631557,1000.0,uptake
12,gln__L_e,EX_gln__L_e,6.766574455416228,0.0,179.50499441642134,uptake,21.998314799647297,0.0,108.80468434226472,uptake
13,gua_e,EX_gua_e,184.65943379592065,0.0,1000.0,uptake,4.994892403367162,0.0,8.149052082724275,uptake
14,h2o_e,EX_h2o_e,579.8038875087607,-1000.0,1000.0,uptake,-296.35088053631495,-1000.0,1000.0,secretion
15,k_e,EX_k_e,5.018954125536032,4.51705871300163,5.01895412552237,uptake,6.565883445958954,5.909295101362162,6.565883445958944,uptake
16,lys__L_e,EX_lys__L_e,8.823622346462564,0.0,645.070621672184,uptake,11.543216863303071,0.0,264.1347802579281,uptake
17,met__L_e,EX_met__L_e,3.9548565527174087,0.0,3.957421894644868,uptake,14.934960387607155,0.0,47.115551376222655,uptake
