,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,4hphac_e,EX_4hphac_e,499.99713303000465,328.5688483049859,500.00000000000006,uptake,0.0,0.0,52.13043997894607,secretion
1,ade_e,EX_ade_e,5.253043249424843,-26.522642469397923,1000.0,uptake,-8.29956425338855,-74.66518712083875,0.0,secretion
2,arg__L_e,EX_arg__L_e,7.605633801932197,0.0,528.3433108846032,uptake,25.940659277633557,5.349084954616512,165.51137010332025,uptake
3,ca2_e,EX_ca2_e,0.13383500547363378,0.1204515049267824,0.13383500547326935,uptake,0.10458545640473184,0.09412691076424969,0.10458545640470279,uptake
4,cgly_e,EX_cgly_e,2.369586698257059,0.0,173.5611994462523,uptake,1.8426128931187566,0.0,43.6887705957426,uptake
5,cl_e,EX_cl_e,0.13383500547363378,0.1204515049267824,0.13383500547326954,uptake,0.10458545640473184,0.09412691076424969,0.10458545640470286,uptake
6,cobalt2_e,EX_cobalt2_e,0.0025712777228363856,0.0023141499505625837,0.0025712777228293878,uptake,0.0020093267320793833,0.0018083940588712727,0.002009326732078825,uptake
7,cu2_e,EX_cu2_e,0.018230359054909964,0.016407323149488708,0.018230359054860413,uptake,0.01424612653044282,0.012821513877397318,0.01424612653043886,uptake
8,fe2_e,EX_fe2_e,0.1726612990884633,-85.5588905397291,9.951313535912877,uptake,-38.31974452456587,-240.12199406200108,0.13492629005917284,secretion
9,fe3_e,EX_fe3_e,0.20076536459906505,0.18068882813992657,0.20076536459851835,uptake,38.61155904586576,0.141199408116669,240.3846271311735,uptake
10,fol_e,EX_fol_e,0.017201847965775396,-28.66803303481645,0.01720184796572878,uptake,0.013442395837633292,0.012098156253873005,0.01344239583760698,uptake
11,fum_e,EX_fum_e,499.9945617522818,328.5665341550404,1000.0,uptake,0.0,-60.178293119979244,0.0,secretion
12,gua_e,EX_gua_e,184.65943379592065,0.0,1000.0,uptake,4.864841230839368,0.0,64.55665022773378,uptake
13,h2o_e,EX_h2o_e,579.8038875087607,-1000.0,1000.0,uptake,-641.602486592636,-1000.0,1000.0,secretion
14,his__L_e,EX_his__L_e,2.4359770890607355,0.0,2.4359770890541177,uptake,1.9035959594373666,1.7132363634934666,1.9035959594368395,uptake
15,ile__L_e,EX_ile__L_e,7.470307455379328,-630.4060848504733,678.1567425548343,uptake,5.835667534710836,-53.08123255199841,5.835667534709198,uptake
16,k_e,EX_k_e,5.018954125536032,4.51705871300163,5.01895412552237,uptake,3.922065128147717,3.5298586153326057,3.92206512814663,uptake
17,leu__L_e,EX_leu__L_e,11.584403237472001,-626.7033986465676,11.58440323744047,uptake,9.05263981930457,8.147375837373337,9.052639819302057,uptake
18,lys__L_e,EX_lys__L_e,8.823622346462564,0.0,645.070621672184,uptake,6.895225707070929,-52.12763019687435,6.8952257070690175,uptake
19,met__L_e,EX_met__L_e,3.9548565527174087,0.0,3.957421894644868,uptake,0.0,0.0,3.0945440068072716,secretion
20,mg2_e,EX_mg2_e,0.22305834245605638,0.20075250821130405,0.22305834245544934,uptake,0.17430909400788644,0.15687818460708286,0.17430909400783803,uptake
21,mn2_e,EX_mn2_e,0.017767529064799437,0.015990776158387465,0.017767529064751084,uptake,0.01388444771866855,0.012496002946800505,0.013884447718664693,uptake
22,nh4_e,EX_nh4_e,625.9609891596551,-1000.0,1000.0,uptake,-29.85170324930304,-349.96934191554453,37.98456720525701,secretion
23,o2_e,EX_o2_e,1000.0,657.1428571643718,1000.0,uptake,461.4012315729936,291.72653634296427,575.4504699911594,uptake
24,pro__L_e,EX_pro__L_e,5.683937970215978,-166.31302724459593,5.683937970200506,uptake,4.441717207598085,3.9975454868378963,4.441717207596852,uptake
25,ribflv_e,EX_ribflv_e,0.011467898643850272,0.0,0.011467898643819072,uptake,0.008961597225074043,0.00806543750256587,0.008961597225071555,uptake
26,so4_e,EX_so4_e,0.11154202761664245,0.1003878248554049,57.24324496412834,uptake,0.08716459363760368,0.07844813427383583,0.0871645936375794,uptake
27,thr__L_e,EX_thr__L_e,6.5229973167319475,-79.84358812382175,1000.0,uptake,5.097400706810229,-32.51041695987177,130.6789176119362,uptake
28,val__L_e,EX_val__L_e,10.895480797192397,-627.3234288428151,646.9352942778486,uptake,8.502707186001755,7.652436467400851,8.50270718599939,uptake
29,zn2_e,EX_zn2_e,0.008768057034872068,0.007891251331418403,0.008768057034848205,uptake,0.006851804156390692,0.006166623740751035,0.006851804156388789,uptake
30,2ddglcn_e,EX_2ddglcn_e,0.0,0.0,0.0,secretion,0.0,0.0,99.99999999983581,secretion
31,acald_e,EX_acald_e,-952.723305009509,-1000.0,1000.0,secretion,-967.6972094905834,-1000.0,-703.4564525519769,secretion
32,ala__D_e,EX_ala__D_e,0.0,-1000.0,1000.0,secretion,0.0,-1000.0,0.0,secretion
33,ala__L_e,EX_ala__L_e,-477.5495185214306,-1000.0,1000.0,secretion,4.957631939326767,0.0,76.47150841327272,uptake
34,alaala_e,EX_alaala_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,0.0,secretion
35,arab__D_e,EX_arab__D_e,0.0,0.0,0.0,secretion,0.0,0.0,0.0,secretion
36,asp__L_e,EX_asp__L_e,-485.01208644019545,-986.5157722190647,323.82194869158883,secretion,8.29956425338855,0.0,73.28687599126756,uptake
37,co2_e,EX_co2_e,-1000.0,-1000.0,-362.87063843965825,secretion,-1000.0,-1000.0,-883.3333333335249,secretion
38,dextrin_e,EX_dextrin_e,0.0,0.0,199.99999998744983,secretion,0.0,0.0,174.99999999971277,secretion
39,drib_e,EX_drib_e,0.0,0.0,141.17647057938188,secretion,0.0,0.0,88.96306423440662,secretion
40,etha_e,EX_etha_e,0.0,-17.142857141781793,0.0,secretion,0.0,-53.84615384606505,0.0,secretion
41,fru_e,EX_fru_e,0.0,0.0,399.99999997491494,secretion,0.0,0.0,699.9999999988495,secretion
42,g3pe_e,EX_g3pe_e,0.0,-19.512195120727302,0.0,secretion,0.0,0.0,53.84615384606539,secretion
43,galt_e,EX_galt_e,0.0,0.0,399.9999999748897,secretion,0.0,0.0,233.33884653164185,secretion
44,glc__D_e,EX_glc__D_e,0.0,-1000.0,399.99999997489977,secretion,0.0,-1000.0,349.99999999942577,secretion
45,glcur_e,EX_glcur_e,0.0,-109.09090908406398,0.0,secretion,0.0,0.0,0.0,secretion
46,glu__L_e,EX_glu__L_e,0.0,-1000.0,685.9274498153302,secretion,21.04725546665047,9.51793961065128,63.6404753226105,uptake
47,gthox_e,EX_gthox_e,0.0,-499.9999999999988,500.0,secretion,0.0,-499.9999999999998,500.00000000000006,secretion
48,gthrd_e,EX_gthrd_e,0.0,-1000.0,1000.0,secretion,0.0,-1000.0,1000.0,secretion
49,h2o2_e,EX_h2o2_e,0.0,-500.00000000000114,499.9999999999999,secretion,0.0,-500.0,500.0,secretion
50,h2s_e,EX_h2s_e,0.0,-171.42857141781968,175.34088489499402,secretion,-10.471767010370264,-54.1225357119592,21.25127199403294,secretion
51,h_e,EX_h_e,-900.4712234549726,-1000.0,1000.0,secretion,0.0,-1000.0,257.9013468393819,secretion
52,hxan_e,EX_hxan_e,0.0,0.0,1000.0,secretion,0.0,0.0,60.178293119979465,secretion
53,lcts_e,EX_lcts_e,0.0,0.0,92.30769230190256,secretion,0.0,0.0,174.99999999971206,secretion
54,man_e,EX_man_e,0.0,0.0,399.9999999749098,secretion,0.0,0.0,349.999999999424,secretion
55,melib_e,EX_melib_e,0.0,-399.99999997490016,0.0,secretion,0.0,0.0,174.9999999997121,secretion
56,murein4p3p_e,EX_murein4p3p_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,0.0,secretion
57,murein4p4p_e,EX_murein4p4p_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,0.0,secretion
58,murein4px4p_e,EX_murein4px4p_e,0.0,-1000.0,0.0,secretion,0.0,-999.999999999998,0.0,secretion
59,murein4px4px4p_e,EX_murein4px4px4p_e,0.0,-999.9999999999998,0.0,secretion,0.0,-1000.0,0.0,secretion
60,murein5p3p_e,EX_murein5p3p_e,0.0,0.0,1000.0,secretion,0.0,0.0,1000.0,secretion
61,murein5p4p_e,EX_murein5p4p_e,0.0,-1000.0,1000.0,secretion,0.0,-1000.0,1000.0,secretion
62,murein5p5p5p_e,EX_murein5p5p5p_e,0.0,-1000.0,1000.0,secretion,0.0,-1000.0,500.0,secretion
63,murein5p5p_e,EX_murein5p5p_e,0.0,-499.99999999999994,1000.0,secretion,0.0,-500.95718241947753,1000.0,secretion
64,murein5px3p_e,EX_murein5px3p_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,0.0,secretion
65,murein5px4p_e,EX_murein5px4p_e,0.0,-999.9999999999998,1000.0,secretion,0.0,-1000.0,1000.0,secretion
66,murein5px4px4p_e,EX_murein5px4px4p_e,0.0,-1000.0,1000.0,secretion,0.0,-500.0,1000.0,secretion
67,orn_e,EX_orn_e,0.0,-671.4334658449596,637.1293615603387,secretion,-19.997231550281313,-160.1622851487017,0.0,secretion
68,pi_e,EX_pi_e,0.0,-1000.0,42.33186579273211,secretion,-4.24174901121952,-1000.0,32.976867567492484,secretion
69,ptrc_e,EX_ptrc_e,0.0,-637.1293615603382,671.4334658449662,secretion,0.0,0.0,0.0,secretion
70,raffin_e,EX_raffin_e,0.0,0.0,399.99999997489226,secretion,0.0,0.0,116.6666666664742,secretion
71,rib__D_e,EX_rib__D_e,0.0,0.0,126.3157894657554,secretion,0.0,0.0,92.13425524117527,secretion
72,spmd_e,EX_spmd_e,0.0,-85.71428570890609,0.0,secretion,0.0,0.0,0.0,secretion
73,succ_e,EX_succ_e,-499.9945617522818,-1000.0,-328.56653415504235,secretion,-10.469757683638186,-69.1464696240736,0.002009326732079555,secretion
74,sucr_e,EX_sucr_e,0.0,0.0,199.99999998744954,secretion,0.0,0.0,174.99999999971183,secretion
75,taur_e,EX_taur_e,0.0,0.0,114.28571427854585,secretion,10.471767010370264,0.0,54.122535711959166,uptake
76,tre_e,EX_tre_e,0.0,0.0,199.9999999874493,secretion,0.0,0.0,174.99999999971183,secretion
77,uaagmda_e,EX_uaagmda_e,0.0,0.0,1000.0,secretion,2.009326732079383,-1.9143648389547252,1000.0,uptake
78,udcpdp_e,EX_udcpdp_e,0.0,-1000.0,1000.0,secretion,0.0,-1000.0,1000.0,secretion
79,udcpp_e,EX_udcpp_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,0.0,secretion
80,ura_e,EX_ura_e,-5.311616955951055,-61.92331239964711,8.374043866337505,secretion,3.4212806267115705,0.0,3.421280626710619,uptake
81,5drib_c,sink_5drib_c,0.0,-57.142857139271264,0.0,secretion,-0.004480798612537021,-0.004480798612535774,-0.004032718751282935,secretion
