,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,2pglyc_e,EX_2pglyc_e,21.757329599608585,0.0,123.74324566648505,uptake,0.0,0.0,98.7930439013411,secretion
1,ade_e,EX_ade_e,6.87192338565184,-45.361451714686865,72.85139771375286,uptake,9.925844542865434,-44.71411797198197,1000.0,uptake
2,arg__L_e,EX_arg__L_e,9.977665346664727,8.979898811998245,217.84977722690994,uptake,9.821484299340822,0.0,604.5807798747007,uptake
3,bz_e,EX_bz_e,0.003373203246424762,0.0030358829217789207,0.003373203246478244,uptake,0.003320402275700772,-1000.0,0.0033204022755478854,uptake
4,ca2_e,EX_ca2_e,0.17557522897640876,0.15801770607876772,0.17557522897640881,uptake,0.1728269384502251,0.15554424460490873,0.17282693845022312,uptake
5,cellb_e,EX_cellb_e,8.734932294639908,0.0,810.5681538512611,uptake,0.0,0.0,810.9260792048258,secretion
6,cgly_e,EX_cgly_e,3.0891795330758023,0.0,202.7802615797663,uptake,3.067354418269617,0.0,823.7987998632898,uptake
7,cl_e,EX_cl_e,0.17557522897640876,0.15801770607876772,0.1755752289764085,uptake,0.1728269384502251,0.15554424460490862,0.17282693845022634,uptake
8,cobalt2_e,EX_cobalt2_e,0.003373203246424762,0.003035882921782283,0.00337320324642476,uptake,0.003320402275700772,0.002988362048125049,0.003320402275700819,uptake
9,csn_e,EX_csn_e,5.411461308076931,0.0,11.158387679010836,uptake,10.983724707904381,0.0,1000.0,uptake
10,cu2_e,EX_cu2_e,0.023916011017151552,-999.9784755900829,0.023916011017151496,uptake,0.023541652134718462,0.02118748692120659,0.02354165213471833,uptake
11,fe2_e,EX_fe2_e,0.4898903074782684,-1000.0,1000.0,uptake,0.0,-999.5660001797506,11.311779622831805,secretion
12,fru_e,EX_fru_e,390.5862984661256,0.0,1000.0,uptake,0.0,0.0,1000.0,secretion
13,glcur_e,EX_glcur_e,223.00432820768876,-1000.0,1000.0,uptake,0.0,-66.92830772632192,0.0,secretion
14,glu__L_e,EX_glu__L_e,1000.0,799.9999999999798,1000.0,uptake,17.49815474869274,-1000.0,215.74833927720454,uptake
15,glyc3p_e,EX_glyc3p_e,4.565529397939103,0.0,123.74324566648458,uptake,26.101449861127776,0.0,123.4913048766742,uptake
16,gua_e,EX_gua_e,8.166963576016402,0.0,107.35026721841584,uptake,8.061339052991798,0.0,1000.0,uptake
17,ile__L_e,EX_ile__L_e,9.800133659805404,8.820120293824855,9.8001336598054,uptake,9.646731527570703,8.682058374797231,9.646731527570699,uptake
18,k_e,EX_k_e,6.584256612793895,5.9258309515145,6.5842566127939,uptake,6.481192814008616,5.833073532596735,6.481192814008643,uptake
19,leu__L_e,EX_leu__L_e,15.197326318149951,-86.32240631366268,15.19732631814994,uptake,14.959441576737452,-941.7818997783752,14.959441576737454,uptake
20,lys__L_e,EX_lys__L_e,11.575517992463672,0.0,11.575517992463672,uptake,0.0,0.0,1000.0,secretion
21,met__L_e,EX_met__L_e,5.1916633845398765,0.0,5.191663384539876,uptake,5.110397938508291,0.0,44.599358145329916,uptake
22,mg2_e,EX_mg2_e,0.292625381627348,0.263362843464613,0.29262538162734786,uptake,0.28804489741704187,0.25924040767484796,0.288044897417046,uptake
23,mn2_e,EX_mn2_e,0.023308834432795123,0.02097795098951559,0.02330883443279511,uptake,0.022943979725092354,0.020649581752544107,0.022943979725092677,uptake
24,no2_e,EX_no2_e,333.3322089322511,-1000.0,1000.0000000000002,uptake,45.0114665136432,-1000.0,1000.0,uptake
25,o2_e,EX_o2_e,153.12921671488203,4.30488198309052,1000.0,uptake,416.5705610408484,0.08806702955824741,1000.0,uptake
26,pi_e,EX_pi_e,0.05852507632541838,-1000.0,93.36653847145429,uptake,0.0,-1000.0,32.830138511202115,secretion
27,pro__L_e,EX_pro__L_e,7.456634436384266,-202.15890742217115,7.456634436384413,uptake,7.33991525055035,-577.7593246455422,7.3399152505503835,uptake
28,ribflv_e,EX_ribflv_e,0.015044486479054429,0.013540037831148525,0.015044486479054429,uptake,0.014808994149657301,0.0,0.014808994149625393,uptake
29,so4_e,EX_so4_e,0.14632955682990623,0.13169660114691548,50.13169660114719,uptake,0.14403905071989953,0.12963514564766468,0.14403905071989936,uptake
30,thr__L_e,EX_thr__L_e,8.557378119757594,7.701640307781827,8.557378119757614,uptake,8.423428921157026,0.0,1000.0,uptake
31,uaagmda_e,EX_uaagmda_e,3.373203246424762,-0.44528171846570785,1000.0,uptake,3.320402275700772,-0.41477224304367155,1000.0,uptake
32,ura_e,EX_ura_e,5.746926370933875,0.0,11.133336986164139,uptake,0.0,-1000.0,10.5056931324324,secretion
33,val__L_e,EX_val__L_e,14.274114321635945,12.846702889472338,14.274114321635935,uptake,14.050680677900894,12.645612610086914,14.050680677900914,uptake
34,zn2_e,EX_zn2_e,0.01150262307030843,0.010352360763277576,0.011502623070308422,uptake,0.011322571760139623,0.01019031458410641,0.011322571760139783,uptake
35,2hxmp_e,EX_2hxmp_e,0.0,-621.1363077025204,0.0,secretion,0.0,-621.8521584096544,0.0,secretion
36,3mb_e,EX_3mb_e,0.0,0.0,100.00000000000006,secretion,0.0,0.0,200.00000000339674,secretion
37,4hbz_e,EX_4hbz_e,0.0,0.0,207.9854953609735,secretion,0.0,-1000.0,1000.0,secretion
38,4hphac_e,EX_4hphac_e,0.0,0.0,0.0,secretion,0.0,0.0,356.2434989134427,secretion
39,ac_e,EX_ac_e,0.0,0.0,0.0,secretion,0.0,0.0,0.0,secretion
40,acald_e,EX_acald_e,0.0,-1000.0,1000.0,secretion,-0.003320402275700772,-1000.0,1000.0,secretion
41,acnam_e,EX_acnam_e,0.0,0.0,200.00000000000168,secretion,0.0,0.0,200.00000000340017,secretion
42,ala__D_e,EX_ala__D_e,0.0,-1000.0,1000.0000000000002,secretion,-772.7720069357081,-1000.0,231.5572713302741,secretion
43,ala__L_e,EX_ala__L_e,-971.7537067793198,-1000.0,1000.0,secretion,-1000.0,-1000.0,231.55727133026613,secretion
44,alaala_e,EX_alaala_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,615.7786356651372,secretion
45,arbt_e,EX_arbt_e,0.0,0.0,621.1363077025233,secretion,0.0,0.0,621.852158409652,secretion
46,but_e,EX_but_e,0.0,0.0,0.0,secretion,0.0,0.0,200.000000003409,secretion
47,chol_e,EX_chol_e,0.0,0.0,0.0,secretion,0.0,0.0,200.00000000340845,secretion
48,co2_e,EX_co2_e,-990.1445795389899,-1000.0,-791.1301215850871,secretion,-1000.0,-1000.0,68.73049674032856,secretion
49,drib_e,EX_drib_e,0.0,0.0,200.00000000000534,secretion,0.0,0.0,200.00000000341853,secretion
50,etoh_e,EX_etoh_e,-233.84189052592782,-999.9999999999995,1000.0000000000008,secretion,-458.02941843896144,-1000.0,1000.0,secretion
51,fe3_e,EX_fe3_e,0.0,-1000.0,1000.0,secretion,0.4822220225000232,0.23333130871765206,1000.0,uptake
52,for_e,EX_for_e,-233.92284740384153,-1000.0,50.6082087845496,secretion,0.0,-1000.0000000000007,1000.0,secretion
53,fum_e,EX_fum_e,0.0,-1000.0,208.86987841491475,secretion,1000.0,799.9970116345525,1000.0,uptake
54,galur_e,EX_galur_e,0.0,0.0,0.0,secretion,0.0,0.0,1000.0,secretion
55,glc__D_e,EX_glc__D_e,0.0,-1000.0,621.1363077025233,secretion,0.0,-1000.0,621.8521584096528,secretion
56,glcn__D_e,EX_glcn__D_e,0.0,0.0,208.86987841491504,secretion,0.0,0.0,854.9843973922625,secretion
57,glyb_e,EX_glyb_e,0.0,0.0,0.0,secretion,0.0,-200.0000000033965,0.0,secretion
58,glyc_e,EX_glyc_e,0.0,-1000.0,1000.0,secretion,0.0,-1000.0,1000.0,secretion
59,h2_e,EX_h2_e,0.0,0.0,0.0,secretion,0.0,-1000.0000000000002,1000.0,secretion
60,h2o_e,EX_h2o_e,-416.4271453426445,-1000.0,1000.0,secretion,0.0,-1000.0,1000.0,secretion
61,h2s_e,EX_h2s_e,0.0,-200.00000000000313,202.78026157976973,secretion,0.0,-821.038180886857,200.00000000341146,secretion
62,h_e,EX_h_e,-307.8294431079769,-1000.0,1000.0,secretion,-572.9724585956701,-1000.0,1000.0,secretion
63,hqn_e,EX_hqn_e,0.0,-621.1363077025253,0.0,secretion,0.0,-621.8521584096525,0.0,secretion
64,hxan_e,EX_hxan_e,0.0,0.0,100.0000000000003,secretion,0.0,0.0,1000.0,secretion
65,lac__L_e,EX_lac__L_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,0.0,secretion
66,madg_e,EX_madg_e,0.0,0.0,1000.0,secretion,0.0,0.0,1000.0,secretion
67,mal__L_e,EX_mal__L_e,0.0,0.0,1000.0,secretion,0.0,0.0,1000.0,secretion
68,malt_e,EX_malt_e,0.0,0.0,310.5681538512619,secretion,0.0,0.0,310.9260792048266,secretion
69,man_e,EX_man_e,0.0,0.0,621.1363077025225,secretion,0.0,0.0,621.8521584096521,secretion
