,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,arg__L_e,EX_arg__L_e,12.003281828788165,-42.64532221616054,12.003281828788205,uptake,917.3610490576134,525.6249441518546,1000.0,uptake
1,ca2_e,EX_ca2_e,0.21121964731582463,0.19009768258424234,0.21121964731582474,uptake,0.15089230161108155,0.13580307144997344,0.1508923016110817,uptake
2,cl_e,EX_cl_e,0.21121964731582463,0.19009768258424234,0.21121964731582457,uptake,0.15089230161108155,0.13580307144997344,0.1508923016110815,uptake
3,coa_e,EX_coa_e,0.02337416270001636,-31.6116163147962,0.023374162699995052,uptake,0.0166981682474443,-20.038378417715183,0.01669816824746839,uptake
4,cobalt2_e,EX_cobalt2_e,0.004058014357652733,0.003652212921887463,0.004058014357652738,uptake,0.0028989875429602623,0.0026090887886642366,0.002898987542960265,uptake
5,cu2_e,EX_cu2_e,0.02877132179575786,0.0258941896161821,0.02877132179575781,uptake,0.020553821679588247,0.018498439511629428,0.020553821679588198,uptake
6,fe2_e,EX_fe2_e,0.27249566411638104,-649.8375642566207,0.2724956641163794,uptake,0.19466701350978163,0.17520031215880352,0.19466701350978183,uptake
7,fe3_e,EX_fe3_e,0.3168497610455255,0.2851647849409743,650.3679751392724,uptake,0.22635294735433734,0.20371765261890365,0.2263529473543373,uptake
8,fol_e,EX_fol_e,0.0271481160526967,-41.30890002888536,0.02714811605269681,uptake,0.019394226662404094,0.017454803996163726,0.0193942266624042,uptake
9,gam_e,EX_gam_e,8.116028715305466,0.0,265.6377591771076,uptake,5.797975085920524,0.0,519.5770767423621,uptake
10,glu__L_e,EX_glu__L_e,62.45777145172008,-1000.0,1000.0,uptake,0.0,0.0,30.979394002651226,secretion
11,gly_e,EX_gly_e,23.78101921957799,-115.32699841206227,1000.0,uptake,16.985921750965336,-168.7741212610483,207.5950218835585,uptake
12,gua_e,EX_gua_e,9.824980301743786,-2.1345077164966098,55.03682773348136,uptake,7.018825709887396,0.0,87.50495256714223,uptake
13,h2o_e,EX_h2o_e,698.7890565752048,-1000.0,1000.0,uptake,692.8625208365713,-1000.0,1000.0,uptake
14,h2s_e,EX_h2s_e,6.837125200419412,-255.5246172468169,107.87712228325685,uptake,2.6548927918430083,-178.40075689194575,194.69709582035168,uptake
15,his__L_e,EX_his__L_e,3.8444816421530468,-38.67084442129398,3.8444816421530486,uptake,2.746442818449694,2.471798536604725,2.746442818449695,uptake
16,ile__L_e,EX_ile__L_e,11.789708533144903,-258.3821877681718,11.789708533144927,uptake,8.422399518687026,7.580159566818326,43.97026145910372,uptake
17,k_e,EX_k_e,7.920959965133109,7.128863968619805,7.920959965133123,uptake,5.658620754730432,5.09275867925739,5.658620754730434,uptake
