,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,ade_e,EX_ade_e,6.7156887784056085,-23.389809213637992,91.77884955099834,uptake,6.263682749101186,-27.97181306628318,45.78171793633883,uptake
1,arab__L_e,EX_arab__L_e,602.9023190684177,-1000.0,1000.0000000000001,uptake,-53.799268851182546,-1000.0,999.9999999999986,secretion
2,arg__L_e,EX_arg__L_e,999.9999999996544,800.0000000000014,1000.0,uptake,9.068891113044904,-58.50466466492662,208.16200200174444,uptake
3,ca2_e,EX_ca2_e,0.17158348963333536,0.1544251406700284,0.171583489633365,uptake,0.1595836880084611,0.14362531920761645,0.15958368800846298,uptake
4,cl_e,EX_cl_e,0.17158348963333536,0.15442514067002847,0.17158348963336476,uptake,0.1595836880084611,0.14362531920761645,0.15958368800846304,uptake
5,cobalt2_e,EX_cobalt2_e,0.0032965127691322858,0.002966861492219568,0.0032965127691328548,uptake,0.0030659690299416173,0.0027593721269474837,0.0030659690299416503,uptake
6,cu2_e,EX_cu2_e,0.023372275533147895,0.02103504797983667,0.023372275533151896,uptake,0.021737720422286055,0.01956394838005765,0.021737720422286305,uptake
7,dextrin_e,EX_dextrin_e,7.476342617318238,0.0,558.7926092612263,uptake,0.0,0.0,108.48174194747499,secretion
8,fe2_e,EX_fe2_e,0.221360832447233,0.0,0.22136083244727103,uptake,-63.09345247851261,-1000.0000000000097,0.4451108490137733,secretion
9,fe3_e,EX_fe3_e,0.25739171701384894,0.23165254531250398,0.25739171701389285,uptake,63.53872316073103,0.0,1000.0,uptake
10,fol_e,EX_fol_e,0.022053670425494925,-14.265865982331555,0.022053670425498533,uptake,0.0205113328103098,-29.26723973087787,0.020511332810310548,uptake
11,fru_e,EX_fru_e,169.15538958580257,0.0,1000.0,uptake,18.84831543883849,-92.98435024068597,240.8278355526428,uptake
12,glu__L_e,EX_glu__L_e,17.353502519266158,15.618152267342213,115.61815226734177,uptake,20.995602618588578,-1000.0,1000.0,uptake
13,gua_e,EX_gua_e,7.981285960729269,0.0,435.85680561681795,uptake,7.423109597462565,0.0,35.96649856812576,uptake
14,h2o_e,EX_h2o_e,634.7963850371971,-1000.0,1000.0,uptake,622.9641754855644,-1000.0,1000.0,uptake
15,h_e,EX_h_e,995.6225277283972,-1000.0,1000.0,uptake,77.44431327719158,-1000.0,1000.0,uptake
16,his__L_e,EX_his__L_e,3.1230502672205454,2.8107452404989757,3.123050267221079,uptake,2.9046377395860903,-22.38582603437261,2.904637739586121,uptake
17,k_e,EX_k_e,6.4345621694523905,5.7911059525081505,6.434562169453489,uptake,5.984556928613751,5.386101235752609,5.984556928614011,uptake
18,lys__L_e,EX_lys__L_e,11.312346183682036,10.18111156531559,11.31234618368397,uptake,10.521209982837949,-190.53091101544692,1000.0,uptake
