,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,arg__L_e,EX_arg__L_e,999.9999999996544,800.0000000000014,1000.0,uptake,9.833153418271316,8.849838076444144,1000.0,uptake
1,ca2_e,EX_ca2_e,0.17158348963333536,0.1544251406700284,0.171583489633365,uptake,0.17303227789156636,0.15572905010240976,0.17303227789156633,uptake
2,cl_e,EX_cl_e,0.17158348963333536,0.15442514067002847,0.17158348963336476,uptake,0.17303227789156636,0.15572905010240976,0.17303227789156622,uptake
3,cobalt2_e,EX_cobalt2_e,0.0032965127691322858,0.002966861492219568,0.0032965127691328548,uptake,0.003324347317801469,0.002991912586021323,0.0033243473178014697,uptake
4,cu2_e,EX_cu2_e,0.023372275533147895,0.02103504797983667,0.023372275533151896,uptake,0.023569622483212403,0.021212660234891167,0.023569622483212385,uptake
5,fe2_e,EX_fe2_e,0.221360832447233,0.0,0.22136083244727103,uptake,0.0,-1000.0,7.097458654289114,secretion
6,fe3_e,EX_fe3_e,0.25739171701384894,0.23165254531250398,0.25739171701389285,uptake,0.4827949609643074,0.23360853471649534,1000.0,uptake
7,fru_e,EX_fru_e,169.15538958580257,0.0,1000.0,uptake,0.0,0.0,200.00000000000304,secretion
8,glu__L_e,EX_glu__L_e,17.353502519266158,15.618152267342213,115.61815226734177,uptake,-322.03748233182193,-1000.0,-35.93993938270228,secretion
9,glyc_e,EX_glyc_e,604.1466784671604,-999.9999999999973,1000.0000000000002,uptake,0.0,-200.00000000000026,0.0,secretion
10,gua_e,EX_gua_e,7.981285960729269,0.0,435.85680561681795,uptake,0.0,0.0,0.0,secretion
11,h2o_e,EX_h2o_e,634.7963850371971,-1000.0,1000.0,uptake,244.6712717492568,-1000.0,1000.0,uptake
12,h_e,EX_h_e,995.6225277283972,-1000.0,1000.0,uptake,738.3686904957976,-1000.0,1000.0,uptake
13,k_e,EX_k_e,6.4345621694523905,5.7911059525081505,6.434562169453489,uptake,6.488893260036083,5.840003934032608,6.488893260036223,uptake
14,leu__L_e,EX_leu__L_e,14.851811943899385,13.366630749511751,14.851811943901904,uptake,0.0,0.0,0.0,secretion
15,mal__L_e,EX_mal__L_e,15.900168934738813,0.0,600.4892651286798,uptake,360.2598304877079,0.0,1000.0,uptake
16,mg2_e,EX_mg2_e,0.2859724827222257,0.25737523445004745,0.28597248272227505,uptake,0.28838712981927733,0.2595484168373497,0.2883871298192774,uptake
17,mn2_e,EX_mn2_e,0.022778903234704113,0.02050101291123723,0.022778903234708048,uptake,0.02297123996600817,0.020674115969407356,0.022971239966008174,uptake
18,o2_e,EX_o2_e,7.76760188236108,4.0944913738745745,903.8653936259652,uptake,1000.0,0.0711327217329967,1000.0,uptake
19,pi_e,EX_pi_e,25.781597820726915,-1000.0000000000139,98.20343803866045,uptake,21.196138228726646,-1000.0,50.821303690841944,uptake
20,pro__L_e,EX_pro__L_e,7.287106301805382,-93.44160432837207,7.2871063018066256,uptake,7.348635963366064,-104.16914043124349,970.673832984339,uptake
