,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,ade_e,EX_ade_e,6.7156887784056085,-23.389809213637992,91.77884955099834,uptake,45.90118081418058,-13.477124299396564,1000.0,uptake
1,arg__L_e,EX_arg__L_e,999.9999999996544,800.0000000000014,1000.0,uptake,7.955971764594869,4.09788877593121,1000.0,uptake
2,ca2_e,EX_ca2_e,0.17158348963333536,0.1544251406700284,0.171583489633365,uptake,0.08012203424749736,0.07210983082274769,0.08012203424749746,uptake
3,cl_e,EX_cl_e,0.17158348963333536,0.15442514067002847,0.17158348963336476,uptake,0.08012203424749736,0.07210983082274769,0.08012203424749696,uptake
4,coa_e,EX_coa_e,0.018987913550200877,-24.982910877805907,0.018987913550191016,uptake,0.008866530591063959,-12.492020122468109,0.008866530591172131,uptake
5,cobalt2_e,EX_cobalt2_e,0.0032965127691322858,0.002966861492219568,0.0032965127691328548,uptake,0.0015393282276176254,0.001385395404855864,0.0015393282276176274,uptake
6,cu2_e,EX_cu2_e,0.023372275533147895,0.02103504797983667,0.023372275533151896,uptake,0.01091383713380896,0.009822453420428071,0.010913837133808973,uptake
7,fe2_e,EX_fe2_e,0.221360832447233,0.0,0.22136083244727103,uptake,0.10336589048453221,-1000.0,5.853254707798815,uptake
8,fe3_e,EX_fe3_e,0.25739171701384894,0.23165254531250398,0.25739171701389285,uptake,0.12019074801238423,0.0,1000.0,uptake
9,fol_e,EX_fol_e,0.022053670425494925,-14.265865982331555,0.022053670425498533,uptake,0.010298105842762546,-15.375347089357131,0.010298105842763701,uptake
10,fru_e,EX_fru_e,169.15538958580257,0.0,1000.0,uptake,510.12387954286646,0.0,563.9305664144478,uptake
11,glu__L_e,EX_glu__L_e,17.353502519266158,15.618152267342213,115.61815226734177,uptake,0.0,0.0,35.74266386450152,secretion
12,gua_e,EX_gua_e,7.981285960729269,0.0,435.85680561681795,uptake,3.7269137517318702,0.0,18.738837761174096,uptake
13,h2o_e,EX_h2o_e,634.7963850371971,-1000.0,1000.0,uptake,-1000.0,-1000.0,1000.0,secretion
14,h_e,EX_h_e,995.6225277283972,-1000.0,1000.0,uptake,-564.5359596626221,-1000.0,1000.0,secretion
15,his__L_e,EX_his__L_e,3.1230502672205454,2.8107452404989757,3.123050267221079,uptake,11.100988659722713,1.3124958986523487,55.255395958175974,uptake
16,k_e,EX_k_e,6.4345621694523905,5.7911059525081505,6.434562169453489,uptake,3.004660947333676,2.7041948526003106,3.00466094733368,uptake
17,leu__L_e,EX_leu__L_e,14.851811943899385,13.366630749511751,14.851811943901904,uptake,6.935150857167967,6.241635771451175,6.935150857167976,uptake
18,lys__L_e,EX_lys__L_e,11.312346183682036,10.18111156531559,11.31234618368397,uptake,0.0,0.0,975.5156022229677,secretion
19,mal__L_e,EX_mal__L_e,15.900168934738813,0.0,600.4892651286798,uptake,0.0,0.0,975.5156022229992,secretion
20,met__L_e,EX_met__L_e,5.066278614368635,0.0,5.073592540732088,uptake,2.3657319798964194,0.0,22.12915878190849,uptake
21,mg2_e,EX_mg2_e,0.2859724827222257,0.25737523445004745,0.28597248272227505,uptake,0.13353672374582898,0.12018305137124617,0.13353672374582914,uptake
22,mn2_e,EX_mn2_e,0.022778903234704113,0.02050101291123723,0.022778903234708048,uptake,0.010636758052837801,0.009573082247554028,0.010636758052837791,uptake
23,nmn_e,EX_nmn_e,0.07509456088084063,0.0675851047926686,0.07509456088115485,uptake,0.035065897025129786,0.0,0.035065897025134705,uptake
24,o2_e,EX_o2_e,7.76760188236108,4.0944913738745745,903.8653936259652,uptake,0.0,0.0,1000.0,secretion
25,pi_e,EX_pi_e,25.781597820726915,-1000.0000000000139,98.20343803866045,uptake,15.117542410765395,-986.3942118303082,51.1255127367661,uptake
26,ribflv_e,EX_ribflv_e,0.014702446950329984,0.013232202255299268,0.014702446950332515,uptake,0.006865403895174605,0.0061788635056571495,0.006865403895174607,uptake
27,so4_e,EX_so4_e,0.1430027239249586,0.12870245153248494,66.79536911819905,uptake,0.06677605851405262,0.060098452662647406,0.06677605851405259,uptake
28,thr__L_e,EX_thr__L_e,43.50651843334401,7.526541913764902,1000.0,uptake,3.905075600796329,3.5145680407166537,1000.0,uptake
29,trp__L_e,EX_trp__L_e,1.873836753357865,1.6864530780223692,1.8738367533581868,uptake,0.8750003444246868,0.7875003099822188,0.8750003444246879,uptake
30,uaagmda_e,EX_uaagmda_e,3.2965127691322857,2.96686149221955,1000.0,uptake,0.0,0.0,1000.0,secretion
31,ura_e,EX_ura_e,10.904699414651159,0.0,10.904699414653034,uptake,5.092020810547735,-16.33374501640506,5.09202081054774,uptake
32,val__L_e,EX_val__L_e,13.949589364115557,12.554630427706249,112.55463042770376,uptake,6.513852114551293,5.862466903096169,6.513852114551301,uptake
33,zn2_e,EX_zn2_e,0.011241108542741084,0.010116997688468719,0.011241108542743027,uptake,0.005249109256176099,0.004724198330558493,0.005249109256176105,uptake
34,26dap__M_e,EX_26dap__M_e,0.0,0.0,9.523809523809664,secretion,6.821702366792542,0.0,6.821702366792558,uptake
35,4hphac_e,EX_4hphac_e,0.0,0.0,0.0,secretion,0.0,0.0,0.0,secretion
36,acald_e,EX_acald_e,0.0,-1000.0,547.6139590748528,secretion,-195.03967687206486,-1000.0,19.63852278997369,secretion
37,ala__D_e,EX_ala__D_e,-946.9389348865144,-1000.0,476.42860685429713,secretion,0.0,-1000.0,1000.0,secretion
38,ala__L_e,EX_ala__L_e,0.0,-1000.0,476.4286068543064,secretion,-771.0313431451581,-1000.0,1000.0,secretion
39,alaala_e,EX_alaala_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,1000.0,secretion
40,anhgm_e,EX_anhgm_e,0.0,-21.428571428571228,0.0,secretion,0.0,-10.000000000000181,0.0,secretion
41,arab__D_e,EX_arab__D_e,0.0,0.0,0.0,secretion,0.0,0.0,723.0537276503222,secretion
42,cgly_e,EX_cgly_e,0.0,0.0,202.72366785569815,secretion,1.409716790852222,1.2687451117670014,103.11388398172026,uptake
43,chol_e,EX_chol_e,0.0,0.0,199.99999999999918,secretion,0.0,0.0,99.99999999999936,secretion
44,co2_e,EX_co2_e,-1000.0,-1000.0,-40.78092287150696,secretion,-222.239591260786,-1000.0,-24.484397777007416,secretion
45,etha_e,EX_etha_e,0.0,-28.571428571427994,0.0,secretion,0.0,-0.6718387378020396,0.0,secretion
46,for_e,EX_for_e,0.0,0.0,200.00000000000142,secretion,-3.856140356440355,-48.73503248522176,99.99999999999989,secretion
47,glc__D_e,EX_glc__D_e,0.0,-1000.0,0.0,secretion,0.0,-100.0000000000005,602.5447730419337,secretion
48,gly_e,EX_gly_e,-6.258594317492175,-1000.0,874.724293270101,secretion,11.34254004520046,-1000.0,113.67881236147197,uptake
49,glyb_e,EX_glyb_e,0.0,-200.00000000000045,0.0,secretion,0.0,-100.00000000000658,0.0,secretion
50,h2s_e,EX_h2s_e,-6.52407073228727,-594.4935616750378,195.83820537317033,secretion,2.053587001900127,-98.1517716982893,24.67149234777618,uptake
51,hxan_e,EX_hxan_e,0.0,0.0,99.99999999999972,secretion,0.0,0.0,1000.0,secretion
52,lac__L_e,EX_lac__L_e,-30.713082027618512,-1000.0,186.66837821609366,secretion,0.0,-975.515602222993,0.0,secretion
53,lcts_e,EX_lcts_e,0.0,0.0,410.8884311241377,secretion,0.0,0.0,309.3748206201575,secretion
54,malt_e,EX_malt_e,0.0,0.0,558.7926092612263,secretion,0.0,0.0,301.2723865209612,secretion
55,melib_e,EX_melib_e,0.0,0.0,100.0000000000002,secretion,0.0,0.0,100.00000000001485,secretion
56,murein4p3p_e,EX_murein4p3p_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,0.0,secretion
57,murein4p4p_e,EX_murein4p4p_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,0.0,secretion
58,murein4px4p_e,EX_murein4px4p_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,0.0,secretion
59,murein4px4px4p_e,EX_murein4px4px4p_e,0.0,-1000.0,0.0,secretion,0.0,-999.9999999999995,0.0,secretion
60,murein5p3p_e,EX_murein5p3p_e,0.0,0.0,1000.0,secretion,0.0,0.0,1000.0,secretion
61,murein5p4p_e,EX_murein5p4p_e,0.0,-1000.0,1000.0,secretion,0.0,-1000.0,1000.0,secretion
62,murein5p5p5p_e,EX_murein5p5p5p_e,0.0,-997.0331385077792,738.2143034271552,secretion,0.0,-999.9999999999998,999.9999999999995,secretion
63,murein5p5p_e,EX_murein5p5p_e,0.0,-498.5165692538899,1000.0,secretion,0.0,-500.0,1000.0,secretion
64,murein5px3p_e,EX_murein5px3p_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,0.0,secretion
65,murein5px4p_e,EX_murein5px4p_e,0.0,-1000.0,1000.0,secretion,0.0,-1000.0,1000.0,secretion
66,murein5px4px4p_e,EX_murein5px4px4p_e,0.0,-738.2143034271585,1000.0,secretion,0.0,-999.9999999999977,999.999999999998,secretion
67,nh4_e,EX_nh4_e,-968.1403908302422,-1000.0,-571.3263517478398,secretion,646.9408729734783,-1000.0,1000.0,uptake
68,orn_e,EX_orn_e,-990.2491789495826,-991.2242610549338,-791.2242610549375,secretion,0.0,-995.902111224068,1000.0,secretion
69,pnto__R_e,EX_pnto__R_e,0.0,-99.99999999999882,24.999999999999726,secretion,0.0,0.0,12.499999999999705,secretion
70,ptrc_e,EX_ptrc_e,0.0,0.0,0.0,secretion,2.0501542999525397,-975.5156022229934,101.84513886995616,uptake
71,s_e,EX_s_e,0.0,-200.00000000000009,0.0,secretion,0.0,-103.69027773991593,0.0,secretion
72,ser__D_e,EX_ser__D_e,0.0,-1000.0,1000.0,secretion,0.0,0.0,0.0,secretion
73,spmd_e,EX_spmd_e,0.0,0.0,0.0,secretion,-2.0501542999525397,-101.84513886995606,0.0,secretion
74,udcpdp_e,EX_udcpdp_e,0.0,-997.0331385077802,1000.0,secretion,0.0,-1000.0,1000.0,secretion
75,udcpp_e,EX_udcpp_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,0.0,secretion
76,urate_e,EX_urate_e,0.0,0.0,0.0,secretion,-42.7652459555949,-1000.0,0.0,secretion
77,urea_e,EX_urea_e,0.0,0.0,0.0,secretion,-3.4027620135601455,-1000.0,0.0,secretion
78,xan_e,EX_xan_e,0.0,-428.6736482521626,25.631960535203984,secretion,0.0,0.0,1000.0,secretion
79,5drib_c,sink_5drib_c,0.0,-41.70221304626867,0.0,secretion,0.0,-21.901942852347084,0.0,secretion
80,lipopb_c,sink_lipopb_c,0.0,-10.425553261567174,0.0,secretion,0.0,-49.99999999999906,0.0,secretion
