,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,4abz_e,EX_4abz_e,0.009809849340949637,0.00882886440685482,0.00980984934092577,uptake,0.0,0.0,0.025437657946849365,secretion
1,LalaDgluMdapDala_e,EX_LalaDgluMdapDala_e,1.466345192967064,-6.95432704661862,5.486377340336832,uptake,0.0,-10.416666666666675,0.0,secretion
2,Larab_e,EX_Larab_e,1.521616631107813,0.0,699.9999999999997,uptake,0.0,0.0,333.3333333333333,secretion
3,ade_e,EX_ade_e,2.98725309056544,-31.540981478994198,14.610939762158928,uptake,16.953506770022948,-22.232576500240448,140.25815609302168,uptake
4,bz_e,EX_bz_e,0.001466345192967064,0.001319710673670359,0.001466345192967066,uptake,0.0,0.0,250.00000000000512,secretion
5,ca2_e,EX_ca2_e,0.07632326729393564,0.06869094056454214,0.07632326729393574,uptake,0.19792793447328128,0.17813514102595304,0.19792793447328164,uptake
6,cgly_e,EX_cgly_e,1.3461488774995538,0.0,101.21153398975531,uptake,3.499426723888293,0.0,327.07912685770316,uptake
7,cl_e,EX_cl_e,0.07632326729393564,0.06869094056454214,0.07632326729393535,uptake,0.19792793447328128,0.17813514102595304,0.19792793447328125,uptake
8,coa_e,EX_coa_e,0.008446148311444635,-9.992398466519349,0.00844614831145676,uptake,0.021903264218423684,-24.98028706220399,0.02190326421783395,uptake
9,cobalt2_e,EX_cobalt2_e,0.001466345192967064,0.0013197106736702047,0.0014663451929664006,uptake,0.003802650037911266,0.0034223850341201373,0.003802650037911273,uptake
10,cu2_e,EX_cu2_e,0.010396387418136479,0.009356748676322841,0.010396387418136432,uptake,0.026960788768790864,0.024264709891911762,0.02696078876879089,uptake
11,fe2_e,EX_fe2_e,0.21295731237460674,-999.8083384188631,6.078528320967692,uptake,-210.33630477224014,-999.5029670215001,0.552258865006138,secretion
12,gln__L_e,EX_gln__L_e,6.801334245087201,0.0,56.5379654513229,uptake,41.69499292368643,0.0,124.04132562377987,uptake
13,gly_e,EX_gly_e,6.914316142205293,-193.77711547201352,107.74429978101756,uptake,15.170254034742737,-315.53614083848555,453.9350862617089,uptake
14,glyc3p_e,EX_glyc3p_e,9.585058622870209,-16.666666666666444,108.62655276058177,uptake,0.0,-71.42857142857181,0.0,secretion
15,id3acald_e,EX_id3acald_e,0.8335145980382681,0.0,0.8335145980382666,uptake,2.1615403610499007,0.0,2.161540361049901,uptake
16,k_e,EX_k_e,2.862203172508141,2.5759828552573873,2.8622031725082024,uptake,7.422506688500147,6.680256019650129,7.422506688500148,uptake
17,lys__L_e,EX_lys__L_e,5.031924827637704,0.0,1000.0,uptake,0.0,0.0,250.00000000000148,secretion
