,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,4hphac_e,EX_4hphac_e,384.5500786536583,123.05523281546635,495.17513625229844,uptake,4.4329664472028965,0.0,4.4329664472028165,uptake
1,arg__L_e,EX_arg__L_e,10.082038968071327,0.0,10.082038968071327,uptake,9.493523782760061,0.0,98.54417140448435,uptake
2,bz_e,EX_bz_e,0.0034084894006840396,0.003067640460615806,0.003408489400684722,uptake,0.0,0.0,0.0,secretion
3,ca2_e,EX_ca2_e,0.17741187330560415,0.1596706859750437,0.1774118733056042,uptake,0.16705587470001257,0.15035028723001134,0.16705587470001249,uptake
4,cgly_e,EX_cgly_e,3.1290955245099688,0.0,322.2353184186594,uptake,2.9649288470533475,0.0,202.6684359623507,uptake
5,cl_e,EX_cl_e,0.17741187330560415,0.1596706859750437,0.17741187330560415,uptake,0.16705587470001257,0.15035028723001134,0.1670558747000126,uptake
6,cobalt2_e,EX_cobalt2_e,0.0034084894006840396,0.003067640460615635,0.0034084894006840413,uptake,0.0032095268914507716,0.0028885742023056953,0.0032095268914507703,uptake
7,cu2_e,EX_cu2_e,0.024166189850849826,0.02174957086576521,0.02415382482406194,uptake,0.02275554566038596,0.02047999109434737,0.022755545660385977,uptake
8,fe3_e,EX_fe3_e,28.9404440955335,0.23952136716491168,1000.0,uptake,137.9526266056632,0.2255398737137284,1000.0,uptake
9,gly_e,EX_gly_e,14.508269218905607,-309.6627652403286,1000.0,uptake,12.803091627416938,-1000.0,1000.0,uptake
10,gua_e,EX_gua_e,5.02326125425812,0.0,26.07995635102609,uptake,0.0,0.0,1000.0,secretion
11,h2o_e,EX_h2o_e,723.3944104981952,-400.3615195389398,1000.0,uptake,-702.987157359032,-1000.0,1000.0,secretion
12,h2s_e,EX_h2s_e,5.393832221900462,-97.424131327299,249.87749391628006,uptake,0.013576298750836758,-199.98778133112035,143.40324963147117,uptake
13,ile__L_e,EX_ile__L_e,9.90265017091334,-203.608100808812,9.902650170913336,uptake,9.324606382463019,0.0,9.324606382462957,uptake
14,k_e,EX_k_e,6.653132715877206,5.987819444289484,6.653132715877217,uptake,6.264771825229513,5.638294642706563,6.264771825229509,uptake
15,mg2_e,EX_mg2_e,0.2956864555093403,0.2661178099584062,0.29568645550934053,uptake,0.27842645783335435,0.250583812050019,0.27842645783335424,uptake
16,mn2_e,EX_mn2_e,0.02355266175872673,0.021197395582854054,0.023552661758726744,uptake,0.02217783081992485,0.01996004773793237,0.02217783081992484,uptake
17,nh4_e,EX_nh4_e,908.7582189463855,44.71498520462774,1000.0,uptake,0.0,-1000.0,1000.0,secretion
18,no2_e,EX_no2_e,125.59195779050977,0.0,417.1564145944705,uptake,450.0349001122242,-500.0,1000.0,uptake
19,o2_e,EX_o2_e,774.5373455143938,251.0039350172974,1000.0,uptake,0.0,0.0,1000.0,secretion
20,ser__D_e,EX_ser__D_e,10.60338446435295,-602.6651418454577,496.77294987899865,uptake,0.0,0.0,0.0,secretion
