,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,arg__L_e,EX_arg__L_e,10.082038968071327,0.0,10.082038968071327,uptake,4.493906254792828,4.04451562931348,104.04451562931254,uptake
1,bz_e,EX_bz_e,0.0034084894006840396,0.003067640460615806,0.003408489400684722,uptake,0.0015192791741469784,0.0013673512567322816,0.001519279174146978,uptake
2,ca2_e,EX_ca2_e,0.17741187330560415,0.1596706859750437,0.1774118733056042,uptake,0.07907848101435018,0.07117063291291521,0.07907848101435015,uptake
3,cgly_e,EX_cgly_e,3.1290955245099688,0.0,322.2353184186594,uptake,0.0,-1000.0,999.9999999999999,secretion
4,cit_e,EX_cit_e,63.26565346397656,0.010460653970440603,203.95129983366024,uptake,0.0,0.0,35.530712381276615,secretion
5,cl_e,EX_cl_e,0.17741187330560415,0.1596706859750437,0.17741187330560415,uptake,0.07907848101435018,0.07117063291291521,0.07907848101435015,uptake
6,cobalt2_e,EX_cobalt2_e,0.0034084894006840396,0.003067640460615635,0.0034084894006840413,uptake,0.0015192791741469784,0.0013673512567322816,0.0015192791741469778,uptake
7,cu2_e,EX_cu2_e,0.024166189850849826,0.02174957086576521,0.02415382482406194,uptake,0.010771689344702072,0.009694520410231873,0.01077168934470206,uptake
8,fe3_e,EX_fe3_e,28.9404440955335,0.23952136716491168,1000.0,uptake,0.1186253179173961,0.10676278612565658,0.11862531791739542,uptake
9,fol_e,EX_fol_e,0.022802794090576152,-18.926455609159778,0.022802794090576516,uptake,0.010163977675043253,0.0,0.010163977675043257,uptake
10,gly_e,EX_gly_e,14.508269218905607,-309.6627652403286,1000.0,uptake,7.909093910357818,-92.8831828319333,19.132268966520726,uptake
11,gua_e,EX_gua_e,5.02326125425812,0.0,26.07995635102609,uptake,3.6851483720191776,0.0,3.6948992460862877,uptake
12,h2o_e,EX_h2o_e,723.3944104981952,-400.3615195389398,1000.0,uptake,-191.6681231067662,-1000.0,1000.0,secretion
13,h2s_e,EX_h2s_e,5.393832221900462,-97.424131327299,249.87749391628006,uptake,0.0,-99.99999999999551,34.2819978592677,secretion
14,ile__L_e,EX_ile__L_e,9.90265017091334,-203.608100808812,9.902650170913336,uptake,4.412427312683331,-99.36597289576159,4.413946591857481,uptake
15,k_e,EX_k_e,6.653132715877206,5.987819444289484,6.653132715877217,uptake,2.9655265983927155,2.668973938553446,2.9655265983927146,uptake
16,mg2_e,EX_mg2_e,0.2956864555093403,0.2661178099584062,0.29568645550934053,uptake,0.13179746835725034,0.1186177215215254,0.13179746835725029,uptake
17,mn2_e,EX_mn2_e,0.02355266175872673,0.021197395582854054,0.023552661758726744,uptake,0.010498219093355628,0.009448397184020074,0.010498219093355625,uptake
18,nh4_e,EX_nh4_e,908.7582189463855,44.71498520462774,1000.0,uptake,2.4967985875848795,-1000.0,112.26898302991555,uptake
19,no2_e,EX_no2_e,125.59195779050977,0.0,417.1564145944705,uptake,0.0,0.0,0.0,secretion
20,o2_e,EX_o2_e,774.5373455143938,251.0039350172974,1000.0,uptake,0.0,0.0,1000.0,secretion
21,orn_e,EX_orn_e,7.534636244682111,0.0,17.078876622112578,uptake,0.0,0.0,99.99999999999858,secretion
22,ser__D_e,EX_ser__D_e,10.60338446435295,-602.6651418454577,496.77294987899865,uptake,0.0,-30.35960555342075,104.21378004138356,secretion
23,thr__L_e,EX_thr__L_e,8.646894505913327,0.0,310.84544853231347,uptake,3.8542137585182483,0.0,103.46879238265957,uptake
24,trp__L_e,EX_trp__L_e,186.6685119300325,-998.2562611329712,805.2393002839431,uptake,0.8636038609603668,0.7772434748643308,0.8636038609603666,uptake
25,val__L_e,EX_val__L_e,57.06887777447019,-710.1698393073467,687.1171861077893,uptake,0.0,-985.0885286253687,105.78611092501347,secretion
26,zn2_e,EX_zn2_e,0.011622948856334858,0.010460653970440603,0.011622948856334858,uptake,0.005180741983841192,0.004662667785457077,0.00518074198384119,uptake
27,LalaDgluMdap_e,EX_LalaDgluMdap_e,0.0,-7.849462365591451,0.0,secretion,0.6861216678365132,-7.381225534084433,56.05956750284678,uptake
28,acald_e,EX_acald_e,-720.887382232342,-1000.0,-204.82745082208055,secretion,-29.807634492302196,-1000.0,1000.0,secretion
29,ade_e,EX_ade_e,-989.8270566196106,-1000.0,-485.3826773724869,secretion,3.103841774408073,-15.34904912475849,6.675075383121255,uptake
30,ala__D_e,EX_ala__D_e,-105.3588614874232,-1000.0,1000.0,secretion,0.0,-1000.0,1000.0,secretion
31,ala__L_e,EX_ala__L_e,-866.9142361244084,-1000.0,1000.0,secretion,25.202441038003265,-1000.0,1000.0,uptake
32,anhgm_e,EX_anhgm_e,0.0,-15.698924731182961,0.0,secretion,0.0,-7.3812255340842805,0.0,secretion
33,asp__L_e,EX_asp__L_e,0.0,-71.5686274509812,0.0,secretion,0.0,-49.99999999999852,0.0,secretion
34,but_e,EX_but_e,0.0,0.0,221.21212121212216,secretion,0.0,0.0,99.99999999999872,secretion
35,co2_e,EX_co2_e,-1000.0,-1000.0,-521.8289065840687,secretion,-1000.0000000000007,-1000.0,-900.0000000000014,secretion
36,fe2_e,EX_fe2_e,-28.445429179872157,-999.5544865759045,0.22849653270537867,secretion,0.10201959654396961,0.09181763688957273,4.439643723846061,uptake
37,fru_e,EX_fru_e,0.0,0.0,314.0293593515215,secretion,511.0108542722972,0.0,541.9211404420481,uptake
38,glc__D_e,EX_glc__D_e,0.0,-1000.0,314.02935935153266,secretion,0.0,0.0,543.7024891966214,secretion
39,glcur_e,EX_glcur_e,0.0,0.0,166.83018981679493,secretion,0.0,0.0,0.0,secretion
40,gln__L_e,EX_gln__L_e,0.0,0.0,165.09496505022432,secretion,7.0468574006541855,0.0,1000.0,uptake
41,glu__L_e,EX_glu__L_e,0.0,0.0,165.09496505022543,secretion,0.0,-1000.0,1000.0,secretion
42,h_e,EX_h_e,-1000.0,-1000.0,226.1643968313483,secretion,7.503112129442094,-1000.0,223.2537224124907,uptake
43,hxan_e,EX_hxan_e,0.0,0.0,42.55766207589891,secretion,0.0,0.0,20.411782298178974,secretion
44,leu__L_e,EX_leu__L_e,-126.92861132508375,-660.3154261382313,15.130205257862881,secretion,6.844823656076126,-93.83965870954295,6.844823656076122,uptake
45,malt_e,EX_malt_e,0.0,0.0,157.0146796757629,secretion,3.9572867219564367,0.0,271.85124459831025,uptake
46,man_e,EX_man_e,0.0,0.0,314.0293593515255,secretion,0.0,0.0,1.9230769230768487,secretion
47,meoh_e,EX_meoh_e,0.0,-1000.0,304.16666666668453,secretion,0.0,0.0,0.0,secretion
48,met__L_e,EX_met__L_e,0.0,0.0,5.215612533588745,secretion,2.3398266633120155,0.0,9.700181488269893,uptake
49,murein4p3p_e,EX_murein4p3p_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,0.0,secretion
50,murein4p4p_e,EX_murein4p4p_e,0.0,-1000.0,0.0,secretion,-1.5192791741469782,-1000.0,0.0,secretion
51,murein4px4p_e,EX_murein4px4p_e,0.0,-999.9999999999992,0.0,secretion,0.0,-1000.0,0.0,secretion
52,murein4px4px4p_e,EX_murein4px4px4p_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,0.0,secretion
53,murein5p3p_e,EX_murein5p3p_e,0.0,0.0,1000.0,secretion,0.0,0.0,1000.0,secretion
54,murein5p4p_e,EX_murein5p4p_e,0.0,-1000.0,1000.0,secretion,0.0,-1000.0,1000.0,secretion
55,murein5p5p_e,EX_murein5p5p_e,0.0,-499.9999999999995,1000.0,secretion,1.5192791741469782,0.0,1000.0,uptake
56,murein5px4p_e,EX_murein5px4p_e,0.0,-1000.0,1000.0,secretion,0.0,0.0,1000.0,secretion
57,murein5px4px4p_e,EX_murein5px4px4p_e,0.0,-1000.0,1000.0,secretion,0.0,0.0,1000.0,secretion
58,pi_e,EX_pi_e,0.0,-1000.0,239.08554670796536,secretion,0.0,-1000.0,27.889350995657573,secretion
59,pnto__R_e,EX_pnto__R_e,0.0,0.0,30.767862876048742,secretion,0.008751048043086485,0.007875943238900618,0.008751048043086487,uptake
60,ptrc_e,EX_ptrc_e,0.0,0.0,0.0,secretion,0.0,-99.99999999999804,0.0,secretion
61,pyr_e,EX_pyr_e,0.0,-169.59134912243545,0.0,secretion,0.0,0.0,0.0,secretion
62,raffin_e,EX_raffin_e,0.0,0.0,147.74136135822843,secretion,0.0,0.0,50.00000000000039,secretion
63,s_e,EX_s_e,0.0,-322.71678711822926,0.0,secretion,0.0,-31.578947368420526,0.0,secretion
64,succ_e,EX_succ_e,-384.54667016425765,-1000.0,-123.05216517501465,secretion,0.0015192791741469784,-25.46379757006743,0.0015192791741469778,uptake
65,sucr_e,EX_sucr_e,0.0,0.0,157.0146796757601,secretion,0.0,0.0,271.8512445983108,secretion
66,udcpdp_e,EX_udcpdp_e,0.0,-1000.0,1000.0,secretion,8.830536729480794,0.0,1000.0,uptake
67,udcpo5_e,EX_udcpo5_e,0.0,-3.663082437275975,0.0,secretion,0.0,-1.9230769230768996,0.0,secretion
68,udcpp_e,EX_udcpp_e,0.0,-1000.0,0.0,secretion,-8.830536729480794,-1000.0,0.0,secretion
69,4hba_c,sink_4hba_c,-0.0076009313635254025,-0.007600931363525398,-0.006840838227172861,secretion,-0.0033879925583477593,-0.003387992558347765,-0.003049193302512986,secretion
70,5drib_c,sink_5drib_c,0.0,-49.951124144672235,0.0,secretion,0.0,-18.75000000000014,0.0,secretion
71,mththf_c,sink_mththf_c,0.0,-73.63112391930783,0.0,secretion,0.0,-7.2300523763457045,0.0,secretion
