,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,4hphac_e,EX_4hphac_e,0.0029724783726559068,0.0,151.7550433780422,uptake,7.56360277817982,0.0,7.563602778179794,uptake
1,ade_e,EX_ade_e,18.773043859917536,2.732707863444163,154.48507601095457,uptake,11.18760892255375,-26.601099427314995,554.7816292498171,uptake
2,arg__L_e,EX_arg__L_e,7.681582647360944,3.956558952621068,620.6944858341425,uptake,672.3854429416691,338.48023198083547,1000.0,uptake
3,ca2_e,EX_ca2_e,0.07735874964837502,0.0696228746835366,0.07735874964837379,uptake,0.28503357583262184,0.2565302182493588,0.2850335758326213,uptake
4,cl_e,EX_cl_e,0.07735874964837502,0.0696228746835366,0.07735874964837364,uptake,0.28503357583262184,0.25653021824935907,0.28503357583262157,uptake
5,cobalt2_e,EX_cobalt2_e,0.0014862391863280514,0.0013376152676952285,0.0014862391863280275,uptake,0.0054761493915969645,0.004928534452437253,0.005476149391596961,uptake
6,csn_e,EX_csn_e,4.526029331732955,0.0,29.07342639855802,uptake,0.0,0.0,113.54820853367578,secretion
7,cu2_e,EX_cu2_e,0.010537435831065879,0.009483692247959166,0.010537435831065733,uptake,0.03882589918642246,0.03494330926778011,0.03882589918642241,uptake
8,fe2_e,EX_fe2_e,0.09980096136192866,0.08982086522573461,0.21582147190778334,uptake,0.0,-999.2842289414692,0.3677234316461952,secretion
9,fe3_e,EX_fe3_e,0.11604555566849428,0.0,0.11604555566849259,uptake,0.7953011761416273,0.38481997004635105,1000.0,uptake
10,for_e,EX_for_e,0.006628626771023104,-999.991051353858,49.21352789067185,uptake,0.0,0.0,750.0000000000076,secretion
11,fru_e,EX_fru_e,43.899864278107486,0.0,565.7373914044044,uptake,0.0,-166.66666666667004,666.6666666666725,secretion
12,gln__L_e,EX_gln__L_e,9.308613271809852,3.5200683384667606,9.30861327180972,uptake,0.0,0.0,271.81417401859824,secretion
13,gly_e,EX_gly_e,7.735607441783961,-93.03795330239373,9.092811978352438,uptake,18.669671836289943,-1000.0,287.0971424837352,uptake
14,gua_e,EX_gua_e,3.598378281194443,0.0,1000.0,uptake,13.295105015906975,0.0,52.375185742512414,uptake
15,k_e,EX_k_e,2.9010348549693172,2.610931369472351,2.9010348549692733,uptake,10.689060281939877,9.620154253745868,10.689060281939863,uptake
16,mal__L_e,EX_mal__L_e,10.935703345826209,9.842133011243456,639.6393188797655,uptake,0.0,-1000.0,1000.0,secretion
17,mg2_e,EX_mg2_e,0.12893124941395842,0.11603812447256105,0.12893124941395637,uptake,0.47505595972103654,0.4275503637489316,0.47505595972103626,uptake
18,mn2_e,EX_mn2_e,0.010269912777526842,0.009242921499774038,0.01026991277752668,uptake,0.037840192295935056,0.03405617306634145,0.037840192295935035,uptake
19,o2_e,EX_o2_e,0.009259270130772377,0.0029828820469603575,1000.0,uptake,995.532776372311,0.0,1000.0,uptake
20,orn_e,EX_orn_e,29.78766155251106,0.0,618.955575954024,uptake,-656.1874311332766,-1000.0,676.0979786467176,secretion
21,pi_e,EX_pi_e,14.266811234142844,-987.1598698892689,37.84013011073155,uptake,103.44769323964397,-1000.0,609.3349106505997,uptake
22,pnto__R_e,EX_pnto__R_e,0.008560737713250319,0.007704663941924483,0.008560737713250801,uptake,0.03154262049559969,-117.61867046508496,0.03154262049557744,uptake
23,ribflv_e,EX_ribflv_e,0.006628626771023104,0.0059657640939205355,0.0066286267710229845,uptake,0.024423626286522445,0.0,0.024423626286522435,uptake
24,so4_e,EX_so4_e,0.06447305590291089,0.058025750312619036,25.05802575031166,uptake,0.2375553606074764,0.2137998245467283,0.2375553606074764,uptake
25,thym_e,EX_thym_e,0.0014862391863280514,0.0013376152676952285,0.0014862391863280278,uptake,0.0054761493915969645,-99.93606580808468,8.069444663484838,uptake
26,zn2_e,EX_zn2_e,0.005068075625378651,0.004561268062840726,0.00506807562537857,uptake,0.018673669425345634,0.01680630248281102,0.018673669425345624,uptake
27,15dap_e,EX_15dap_e,0.0,-1000.0,0.0,secretion,0.0,-963.3783084432674,0.0,secretion
28,2ddglcn_e,EX_2ddglcn_e,0.0,-1000.0,151.75236814749832,secretion,0.0,0.0,687.6866361080437,secretion
