,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,26dap__M_e,EX_26dap__M_e,6.586432440523253,0.0,6.586432440523162,uptake,16.851861934507937,0.0,36.00000907439061,uptake
1,4hphac_e,EX_4hphac_e,0.0029724783726559068,0.0,151.7550433780422,uptake,5.252182205862668,0.0,5.252182205862668,uptake
2,ade_e,EX_ade_e,18.773043859917536,2.732707863444163,154.48507601095457,uptake,16.953506770022948,-22.232576500240448,140.25815609302168,uptake
3,bz_e,EX_bz_e,0.0014862391863280514,0.0013376152676952285,0.0014862391863280275,uptake,0.0,0.0,250.00000000000512,secretion
4,ca2_e,EX_ca2_e,0.07735874964837502,0.0696228746835366,0.07735874964837379,uptake,0.19792793447328128,0.17813514102595304,0.19792793447328164,uptake
5,cgly_e,EX_cgly_e,1.3696585845524798,0.0,101.2326927260956,uptake,3.499426723888293,0.0,327.07912685770316,uptake
6,cl_e,EX_cl_e,0.07735874964837502,0.0696228746835366,0.07735874964837364,uptake,0.19792793447328128,0.17813514102595304,0.19792793447328125,uptake
7,cobalt2_e,EX_cobalt2_e,0.0014862391863280514,0.0013376152676952285,0.0014862391863280275,uptake,0.003802650037911266,0.0034223850341201373,0.003802650037911273,uptake
8,cu2_e,EX_cu2_e,0.010537435831065879,0.009483692247959166,0.010537435831065733,uptake,0.026960788768790864,0.024264709891911762,0.02696078876879089,uptake
9,fe2_e,EX_fe2_e,0.09980096136192866,0.08982086522573461,0.21582147190778334,uptake,-210.33630477224014,-999.5029670215001,0.552258865006138,secretion
10,fe3_e,EX_fe3_e,0.11604555566849428,0.0,0.11604555566849259,uptake,210.888563637246,0.0,1000.0,uptake
11,fol_e,EX_fol_e,0.009942940156534656,0.008948646140881072,0.009942940158727669,uptake,0.02543972875362721,0.0,0.025439728753625948,uptake
12,gln__L_e,EX_gln__L_e,9.308613271809852,3.5200683384667606,9.30861327180972,uptake,41.69499292368643,0.0,124.04132562377987,uptake
13,gly_e,EX_gly_e,7.735607441783961,-93.03795330239373,9.092811978352438,uptake,15.170254034742737,-315.53614083848555,453.9350862617089,uptake
14,k_e,EX_k_e,2.9010348549693172,2.610931369472351,2.9010348549692733,uptake,7.422506688500147,6.680256019650129,7.422506688500148,uptake
15,mal__L_e,EX_mal__L_e,10.935703345826209,9.842133011243456,639.6393188797655,uptake,0.0,0.0,276.88262909991147,secretion
16,met__L_e,EX_met__L_e,2.2874558692856364,-97.94128971764225,982.7290594434883,uptake,5.844140737264297,0.0,37.26557109327669,uptake
17,mg2_e,EX_mg2_e,0.12893124941395842,0.11603812447256105,0.12893124941395637,uptake,0.32987989078880225,0.2968919017099218,0.3298798907888028,uptake
