,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,LalaLglu_e,EX_LalaLglu_e,91.01236703313523,0.0,999.9999999999947,uptake,11.291360996866217,0.0,1000.0,uptake
1,acald_e,EX_acald_e,113.2078784530978,-1000.0,999.9999999999995,uptake,163.08663764969936,-999.9999999999998,1000.0,uptake
2,adn_e,EX_adn_e,8.824230411139517,0.0,19.22160636979463,uptake,13.74292492585365,0.0,1000.0,uptake
3,asp__L_e,EX_asp__L_e,57.50247547125936,-1000.0,1000.0,uptake,0.0,0.0,599.0725447896514,secretion
4,ca2_e,EX_ca2_e,0.22482033162488993,0.20233829846240114,0.22482033162488999,uptake,0.35013692926986645,0.3151232363428802,0.35013692926986667,uptake
5,cgly_e,EX_cgly_e,3.9901397531557556,3.5911257778403485,1000.0,uptake,6.214274618447842,0.0,223.38514098600217,uptake
6,cl_e,EX_cl_e,0.22482033162488993,0.20233829846240114,0.22482033162489024,uptake,0.35013692926986645,0.3151232363428802,0.35013692926986667,uptake
7,cobalt2_e,EX_cobalt2_e,0.004319314728624209,0.003887383255761989,0.0043193147286242186,uptake,0.006726934279920589,0.006054240851928538,0.006726934279920593,uptake
8,cu2_e,EX_cu2_e,0.030623941425945628,0.02756154728335109,0.030623941425945683,uptake,0.04769396404463695,0.04292456764017331,0.047693964044637056,uptake
9,fe3_e,EX_fe3_e,0.6272940780361868,0.30352688460993704,1000.0,uptake,0.0,0.0,1000.0,secretion
10,fum_e,EX_fum_e,436.10021148036174,-1000.0,1000.0,uptake,0.0,0.0,599.072544789655,secretion
11,glyc3p_e,EX_glyc3p_e,941.7804750906417,559.0271172625704,1000.0,uptake,174.04736982671636,0.0,1000.0,uptake
12,k_e,EX_k_e,8.430999998243463,7.587899998419124,8.430999998243465,uptake,13.130504829005412,11.817454346104887,13.130504829005435,uptake
13,mg2_e,EX_mg2_e,0.37470055270815,0.33723049743733535,0.37470055270815084,uptake,0.583561548783111,0.5252053939048005,0.5835615487831113,uptake
14,mn2_e,EX_mn2_e,0.02984646477479331,0.026861818297314002,0.029846464774793375,uptake,0.04648311587425131,0.041834804286826226,0.04648311587425133,uptake
15,o2_e,EX_o2_e,550.713694530363,-0.004816035923522809,1000.0,uptake,68.57566410552153,0.11817878142964508,1000.0,uptake
16,pro__L_e,EX_pro__L_e,9.548061173360255,0.0,9.548061173360251,uptake,14.870224572478474,0.0,14.870224572478493,uptake
