,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,acald_e,EX_acald_e,113.2078784530978,-1000.0,999.9999999999995,uptake,-1000.0,-1000.0,-599.9684639547123,secretion
1,asn__L_e,EX_asn__L_e,10.411924119085077,-140.62926829282048,1000.0,uptake,16.56770812264872,14.910937310384847,139.8075913745641,uptake
2,ca2_e,EX_ca2_e,0.22482033162488993,0.20233829846240114,0.22482033162488999,uptake,0.17879563098087667,0.16091606788279977,0.17879563098087692,uptake
3,cgly_e,EX_cgly_e,3.9901397531557556,3.5911257778403485,1000.0,uptake,3.1535015006604095,2.8381513505942624,191.26109491288392,uptake
4,cl_e,EX_cl_e,0.22482033162488993,0.20233829846240114,0.22482033162489024,uptake,0.17879563098087667,0.16091606788279975,0.17879563098087656,uptake
5,cobalt2_e,EX_cobalt2_e,0.004319314728624209,0.003887383255761989,0.0043193147286242186,uptake,0.0034350745625528678,0.0030915671062956562,0.003435074562545992,uptake
6,cu2_e,EX_cu2_e,0.030623941425945628,0.02756154728335109,0.030623941425945683,uptake,0.02435467864849982,0.021919210783651305,0.024354678648499797,uptake
7,cyst__L_e,EX_cyst__L_e,6.647814105678222,0.0,6.647814105678234,uptake,0.0,0.0,5.27824270352365,secretion
8,fe3_e,EX_fe3_e,0.6272940780361868,0.30352688460993704,1000.0,uptake,0.26821062184412797,0.24138955965973136,0.2682106218441278,uptake
9,k_e,EX_k_e,8.430999998243463,7.587899998419124,8.430999998243465,uptake,6.7050250908838285,6.034522581795849,6.7050250908838,uptake
10,mg2_e,EX_mg2_e,0.37470055270815,0.33723049743733535,0.37470055270815084,uptake,0.2979927183014612,0.26819344647133303,0.29799271830146523,uptake
11,mn2_e,EX_mn2_e,0.02984646477479331,0.026861818297314002,0.029846464774793375,uptake,0.023736365227240337,0.021362728704517733,0.023736365227240656,uptake
12,o2_e,EX_o2_e,550.713694530363,-0.004816035923522809,1000.0,uptake,-0.003830108137246445,-0.0038301081372464434,19.227322133433933,secretion
13,ser__D_e,EX_ser__D_e,17.41251825522062,-697.9190207531814,1000.0,uptake,0.0,0.0,201.80964880555928,secretion
14,so4_e,EX_so4_e,0.18737187292771826,0.16863468563494657,150.16863468563585,uptake,0.14901353452354346,0.1341121810711981,66.80077884769727,uptake
15,sucr_e,EX_sucr_e,38.45693230001106,0.0,184.20516189779076,uptake,0.0,0.0,52.964327478873784,secretion
16,thym_e,EX_thym_e,0.004319314728624209,0.0,0.004319314728622459,uptake,-818.67985715146,-1000.0,15.782018579427657,secretion
17,thymd_e,EX_thymd_e,1.1301918918918128,0.0,1.1301918918918135,uptake,818.6832922260226,0.0,1000.0,uptake
18,val__L_e,EX_val__L_e,18.277698591940766,-983.5276799397008,37.762429684795585,uptake,14.53593022038996,13.082337198351839,14.53593022038995,uptake
19,zn2_e,EX_zn2_e,0.01472886322460854,0.0132559769021477,0.014728863224608573,uptake,0.01171360425830527,0.010542243832475448,0.011713604258305426,uptake
20,2pglyc_e,EX_2pglyc_e,0.0,0.0,473.53372150919176,secretion,0.10512015176603502,0.0,214.9162455309878,uptake
21,ala__D_e,EX_ala__D_e,0.0,-992.2252334884764,1000.0000000000002,secretion,0.0,-1000.0,136.3892323755573,secretion
22,ala__L_e,EX_ala__L_e,-42.09524227194368,-1000.0,1000.0,secretion,-980.3513391514584,-1000.0,136.38923237555935,secretion
23,anhgm_e,EX_anhgm_e,0.0,-24.99999999999999,0.0,secretion,0.0,-21.194186942846322,0.0,secretion
24,arab__D_e,EX_arab__D_e,0.0,0.0,369.2224781400202,secretion,0.0,-280.448705881756,0.0,secretion
25,but_e,EX_but_e,0.0,0.0,299.99999999999835,secretion,0.0,0.0,14.327749702065889,secretion
