,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,5dglcn_e,EX_5dglcn_e,649.0747811114306,-1000.0,1000.0,uptake,0.0,0.0,0.0,secretion
1,LalaLglu_e,EX_LalaLglu_e,43.775217840708514,0.0,584.5737376773332,uptake,0.0,0.0,1000.0,secretion
2,alltn_e,EX_alltn_e,16.326866599341056,0.0,693.7896619590631,uptake,0.0,0.0,86.55154347486247,secretion
3,anhgm_e,EX_anhgm_e,2.8900485011242303,2.6010436510117554,46.35104365101155,uptake,0.0,-17.08070989686735,0.0,secretion
4,arg__L_e,EX_arg__L_e,8.548532262445379,0.0,1000.0,uptake,13.624090940946036,0.0,44.26168184316799,uptake
5,ca2_e,EX_ca2_e,0.1504270244835161,0.1353843220351644,0.15042702448351594,uptake,0.13720384049365494,0.1234834564459391,0.137203840493655,uptake
6,cgly_e,EX_cgly_e,7.117842652451924,0.0,1000.0,uptake,2.419927794205382,0.0,162.177934995409,uptake
7,cl_e,EX_cl_e,0.1504270244835161,0.1353843220351644,0.1504270244835161,uptake,0.13720384049365494,0.1234834564459391,0.1372038404936554,uptake
8,cobalt2_e,EX_cobalt2_e,0.0028900485011242303,0.002601043651011807,0.0028900485011242303,uptake,0.002636000777976081,0.0023724007002101665,0.0026360007779760854,uptake
9,cu2_e,EX_cu2_e,0.020490443872970783,0.018441399485673717,0.020490443872970762,uptake,0.018689245515850404,0.016820320964490074,0.018689245515850425,uptake
10,fe3_e,EX_fe3_e,0.4197217438182721,0.20308948827187123,1000.0,uptake,0.20581894074437246,0.1852370466724551,1000.0,uptake
11,h2_e,EX_h2_e,38.77034744840171,-140.1066872964402,1000.0,uptake,505.57802971380715,-299.4322708876831,1000.0,uptake
12,k_e,EX_k_e,5.641172370800754,5.077055133719455,5.641172370799394,uptake,5.145288998554858,4.630760098761237,5.145288998554863,uptake
13,mg2_e,EX_mg2_e,0.2507117074725269,0.22564053672527418,0.2507117074725269,uptake,0.22867306748942495,0.2058057607432319,0.22867306748942534,uptake
14,mn2_e,EX_mn2_e,0.019970235142768446,0.017973211628491602,0.019970235142768446,uptake,0.018214765375814734,0.016393288838452265,0.018214765375814766,uptake
15,nh4_e,EX_nh4_e,905.8912061554636,-1000.0,1000.0,uptake,207.9232403954135,-994.7384276699618,1000.0,uptake
16,o2_e,EX_o2_e,155.29306726743204,0.0014500818354390831,1000.0,uptake,0.0,0.0,665.1878567015492,secretion
17,so4_e,EX_so4_e,0.12537030397876917,0.0,87.61283327358095,uptake,0.11434971374860244,0.1029147423751171,40.102914737566316,uptake
18,zn2_e,EX_zn2_e,0.009855065388833618,0.008869558849950254,0.009855065388833618,uptake,0.008988762652898429,0.008089886387716662,0.008988762652898444,uptake
19,23camp_e,EX_23camp_e,0.0,0.0,1000.0,secretion,5.370087144902648,0.0,872.4494737429552,uptake
20,23ccmp_e,EX_23ccmp_e,0.0,0.0,999.9999999999999,secretion,624.2851483033974,0.0,872.4494737429546,uptake
21,23cgmp_e,EX_23cgmp_e,0.0,0.0,1000.0,secretion,6.3997354087859035,0.0,6.411162214350418,uptake
22,2pglyc_e,EX_2pglyc_e,0.0,0.0,999.982599017975,secretion,0.0,0.0,98.60828074258697,secretion
23,5mtr_e,EX_5mtr_e,0.0,0.0,4.436767638457953,secretion,0.0,-31.999999996152876,0.0,secretion
24,ac_e,EX_ac_e,0.0,0.0,0.0,secretion,0.0,0.0,0.0,secretion
25,acald_e,EX_acald_e,0.0,-1000.0,1000.0,secretion,-0.002636000777976081,-1000.0,0.0,secretion
26,ade_e,EX_ade_e,-768.7049719089797,-1000.0,-591.8344747180756,secretion,0.0,-867.6163953124783,26.45069745143963,secretion
27,ala__D_e,EX_ala__D_e,0.0,-994.7979126979764,999.9999999999999,secretion,0.0,-1000.0,164.54714349399424,secretion
28,ala__L_e,EX_ala__L_e,-900.7750977963527,-1000.0,1000.0,secretion,-952.9651263983628,-1000.0,164.5471434939991,secretion
29,alaala_e,EX_alaala_e,0.0,-25.00000000000007,0.0,secretion,0.0,-1000.0,0.0,secretion
30,arab__D_e,EX_arab__D_e,0.0,-1000.0,0.0,secretion,0.0,0.0,0.0,secretion
31,but_e,EX_but_e,0.0,0.0,0.0,secretion,0.0,0.0,53.3333333269212,secretion
32,chol_e,EX_chol_e,0.0,-58.4085555157217,0.0,secretion,0.0,0.0,1000.0,secretion
33,co2_e,EX_co2_e,-873.3980192796655,-1000.0,40.68449293859908,secretion,-21.90150242390008,-1000.0,79.81210822732717,secretion
34,cys__L_e,EX_cys__L_e,0.0,-1000.0,0.0,secretion,0.0,0.0,162.17793499557536,secretion
35,enter_e,EX_enter_e,0.0,-175.17466008116554,0.0,secretion,0.0,-8.093644954817353,0.0,secretion
36,etoh_e,EX_etoh_e,0.0,-1000.0000000000003,999.9999999999998,secretion,0.0,0.0,0.0,secretion
37,fe2_e,EX_fe2_e,0.0,-1000.0,0.19406675685049596,secretion,0.17700745224109388,-999.8147629533286,9.46163228729571,uptake
38,feenter_e,EX_feenter_e,0.0,0.0,175.17466008120988,secretion,0.0,0.0,8.093644954816753,secretion
39,for_e,EX_for_e,0.0,0.0,0.0,secretion,0.0,0.0,86.55154347485896,secretion
40,galt_e,EX_galt_e,0.0,0.0,174.99999999999935,secretion,0.0,0.0,133.33333331730395,secretion
41,glcn_e,EX_glcn_e,-649.0747811114306,-1000.0,999.9999999999991,secretion,0.0,0.0,0.0,secretion
42,glcur_e,EX_glcur_e,0.0,0.0,0.0,secretion,0.0,-199.999999975948,0.0,secretion
43,gln__L_e,EX_gln__L_e,0.0,0.0,1000.0,secretion,11.224697592801089,0.0,170.10222781442084,uptake
44,glu__L_e,EX_glu__L_e,0.0,-1000.0,1000.0,secretion,2.6667365470471083,-1000.0,86.92089536824327,uptake
45,glyb_e,EX_glyb_e,0.0,0.0,0.0,secretion,0.0,-1000.0,0.0,secretion
46,glyc3p_e,EX_glyc3p_e,0.0,-50.000000000000746,0.0,secretion,0.0,0.0,75.85252364814532,secretion
47,glyc_e,EX_glyc_e,0.0,-38.888888888889134,349.9999999999993,secretion,0.0,-24.999999996994106,266.66666663460677,secretion
48,glyclt_e,EX_glyclt_e,-0.02577923263002921,-1000.0,-0.017400982025264966,secretion,-0.0235131269395466,-98.62944255683318,-0.015871360684405644,secretion
49,gua_e,EX_gua_e,0.0,0.0,7.02940716831445,secretion,0.0,0.0,6.41116221435044,secretion
50,h2o_e,EX_h2o_e,-481.65571027260546,-1000.0,1000.0,secretion,945.8575127506336,-1000.0,1000.0,uptake
51,h2s_e,EX_h2s_e,0.0,-1000.0,179.00324027283455,secretion,0.0,-159.99999998076922,162.17793499557172,secretion
