,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,4hphac_e,EX_4hphac_e,3.99170608926778,0.0,503.6885968322534,uptake,7.317151430780924,0.0,7.317151430780919,uptake
1,LalaLglu_e,EX_LalaLglu_e,43.775217840708514,0.0,584.5737376773332,uptake,0.0,0.0,1000.0000000000005,secretion
2,adn_e,EX_adn_e,753.2059308022983,-423.4979753228538,1000.0,uptake,15.811508184101937,0.0,865.585563566465,uptake
3,alltn_e,EX_alltn_e,16.326866599341056,0.0,693.7896619590631,uptake,0.0,0.0,370.43550826114046,secretion
4,anhgm_e,EX_anhgm_e,2.8900485011242303,2.6010436510117554,46.35104365101155,uptake,0.0,-53.41419081780805,0.0,secretion
5,arg__L_e,EX_arg__L_e,8.548532262445379,0.0,1000.0,uptake,15.670218116360148,0.0,250.76986297206142,uptake
6,ca2_e,EX_ca2_e,0.1504270244835161,0.1353843220351644,0.15042702448351594,uptake,0.2757460827055991,0.24817147443496035,0.275746082705599,uptake
7,cgly_e,EX_cgly_e,7.117842652451924,0.0,1000.0,uptake,357.166412496027,0.0,684.9664930633378,uptake
8,cl_e,EX_cl_e,0.1504270244835161,0.1353843220351644,0.1504270244835161,uptake,0.2757460827055991,0.24817147443496035,0.27574608270559886,uptake
9,cobalt2_e,EX_cobalt2_e,0.0028900485011242303,0.002601043651011807,0.0028900485011242303,uptake,0.00529771532575599,0.004767943793178876,0.005297715325756097,uptake
10,cu2_e,EX_cu2_e,0.020490443872970783,0.018441399485673717,0.020490443872970762,uptake,0.03756080165960995,0.03380472149363821,0.03756080165960991,uptake
11,cytd_e,EX_cytd_e,8.803925848489746,-1000.0,9.560135939293913,uptake,0.0,0.0,97.63154229399167,secretion
12,dcyt_e,EX_dcyt_e,0.7562100908041677,0.0,1.5370144943528963,uptake,17.52457741183455,0.0,109.19317230249152,uptake
13,fe3_e,EX_fe3_e,0.4197217438182721,0.20308948827187123,1000.0,uptake,703.2043912016109,0.0,1000.0,uptake
14,id3acald_e,EX_id3acald_e,1.642790269494046,0.0,1.6427902694940453,uptake,3.011380322619477,-44.46583744399992,3.011380322619475,uptake
15,k_e,EX_k_e,5.641172370800754,5.077055133719455,5.641172370799394,uptake,10.340769475802903,9.306692528219655,10.340769475802889,uptake
16,mg2_e,EX_mg2_e,0.2507117074725269,0.22564053672527418,0.2507117074725269,uptake,0.45957680450933197,0.41361912405826734,0.4595768045093413,uptake
17,mn2_e,EX_mn2_e,0.019970235142768446,0.017973211628491602,0.019970235142768446,uptake,0.03660721290097392,0.03294649161086606,0.03660721290097466,uptake
18,nh4_e,EX_nh4_e,905.8912061554636,-1000.0,1000.0,uptake,-1000.0,-1000.0,-53.33333333063149,secretion
19,nmn_e,EX_nmn_e,0.06583530485559988,0.0,0.0658353048556819,uptake,0.12068195512077584,0.0,0.12068195512073476,uptake
20,o2_e,EX_o2_e,155.29306726743204,0.0014500818354390831,1000.0,uptake,1000.0,183.14825063219703,1000.0,uptake
21,pac_e,EX_pac_e,5.354248355607808,0.0,5.354248355607805,uptake,9.81481229826184,0.0,9.81481229826183,uptake
22,zn2_e,EX_zn2_e,0.009855065388833618,0.008869558849950254,0.009855065388833618,uptake,0.01806520926082791,0.01625868833473995,0.018065209260828278,uptake
23,2pglyc_e,EX_2pglyc_e,0.0,0.0,999.982599017975,secretion,26.85924011108213,0.0,140.92530441490817,uptake
24,5mtr_e,EX_5mtr_e,0.0,0.0,4.436767638457953,secretion,0.0,-78.88888888911431,0.0,secretion
25,acald_e,EX_acald_e,0.0,-1000.0,1000.0,secretion,-10.788691306595588,-1000.0,821.6991901976221,secretion
26,ala__D_e,EX_ala__D_e,0.0,-994.7979126979764,999.9999999999999,secretion,0.0,-1000.0,938.6634856263659,secretion
27,ala__L_e,EX_ala__L_e,-900.7750977963527,-1000.0,1000.0,secretion,-972.7980330254537,-1000.0,938.8138925804928,secretion
28,arab__D_e,EX_arab__D_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,0.0,secretion
29,arab__L_e,EX_arab__L_e,0.0,-1000.0,0.0,secretion,0.0,0.0,307.90696254968225,secretion
30,asp__L_e,EX_asp__L_e,0.0,0.0,1000.0,secretion,0.0,0.0,627.9953621959485,secretion
31,cell6_e,EX_cell6_e,0.0,0.0,24.999999999999904,secretion,0.0,0.0,38.482384823957865,secretion
32,chols_e,EX_chols_e,0.0,0.0,58.40855551572038,secretion,0.22981489083129492,0.2068334017480997,0.2298148908312946,uptake
33,co2_e,EX_co2_e,-873.3980192796655,-1000.0,40.68449293859908,secretion,-1000.0,-1000.0,-350.33064588216166,secretion
34,drib_e,EX_drib_e,0.0,0.0,116.66666666666232,secretion,0.0,0.0,197.2222222227856,secretion
35,fe2_e,EX_fe2_e,0.0,-1000.0,0.19406675685049596,secretion,-702.4350040048513,-999.3075515229169,15.46666446950928,secretion
36,for_e,EX_for_e,0.0,0.0,0.0,secretion,0.0,0.0,568.0000000016223,secretion
37,fru_e,EX_fru_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,262.9629629637126,secretion
38,galt_e,EX_galt_e,0.0,0.0,174.99999999999935,secretion,0.0,0.0,262.9629629637126,secretion
39,glc__D_e,EX_glc__D_e,0.0,-1000.0,174.99999999999946,secretion,0.0,0.0,262.962962963715,secretion
40,glcur_e,EX_glcur_e,0.0,0.0,0.0,secretion,0.0,-259.24219471061826,0.0,secretion
41,glu__L_e,EX_glu__L_e,0.0,-1000.0,1000.0,secretion,805.9717511082494,-1000.0,1000.0,uptake
42,glyb_e,EX_glyb_e,0.0,0.0,0.0,secretion,-0.22981489083129492,-0.22981489083129494,-0.2068334017480997,secretion
43,glyc3p_e,EX_glyc3p_e,0.0,-50.000000000000746,0.0,secretion,0.0,0.0,117.77124831428361,secretion
44,glyclt_e,EX_glyclt_e,-0.02577923263002921,-1000.0,-0.017400982025264966,secretion,-26.871054016258565,-140.93593692955608,-0.010632514658788885,secretion
45,h2o_e,EX_h2o_e,-481.65571027260546,-1000.0,1000.0,secretion,991.7662873586346,-140.92469079883358,1000.0,uptake
46,h2s_e,EX_h2s_e,0.0,-1000.0,179.00324027283455,secretion,-352.308248610849,-680.5935846321147,53.26295868743658,secretion
47,h_e,EX_h_e,-348.8666724346314,-1000.0,1000.0,secretion,-1000.0,-1000.0,645.8450043664001,secretion
48,lac__L_e,EX_lac__L_e,0.0,-350.0000000000001,0.0,secretion,143.34060143189936,-811.8202887242451,913.6334754919302,uptake
