,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,LalaLglu_e,EX_LalaLglu_e,31.59213586142232,0.0,118.68609548284806,uptake,0.0,0.0,1000.0,secretion
1,arg__L_e,EX_arg__L_e,8.96626202925314,8.06963582632875,1000.0,uptake,12.08658726821855,-44.12207145860196,12.086587268218567,uptake
2,bz_e,EX_bz_e,0.0030312726609418596,0.002728145394847968,0.003031272660941861,uptake,0.00408617787777173,0.0036775600900114114,0.004086177877771734,uptake
3,ca2_e,EX_ca2_e,0.1577777420020237,0.14199996780183666,0.15777774200202377,uptake,0.21268555853801843,0.19141700268421674,0.2126855585380186,uptake
4,cl_e,EX_cl_e,0.1577777420020237,0.14199996780183666,0.1577777420020237,uptake,0.21268555853801843,0.19141700268421674,0.21268555853801918,uptake
5,cobalt2_e,EX_cobalt2_e,0.0030312726609418596,0.002728145394847968,0.003031272660941861,uptake,0.00408617787777173,0.0036775600899945603,0.004086177877771734,uptake
6,cu2_e,EX_cu2_e,0.021491723166077774,0.019342550849472083,0.021491723166077427,uptake,0.02897100115340155,0.02607390103806142,0.028971001153401576,uptake
7,fe3_e,EX_fe3_e,3.0734073509289495,0.2130135924297747,1000.0,uptake,0.3190487686964168,0.0,653.8980398471149,uptake
8,glu__L_e,EX_glu__L_e,7.9853725088989504,0.0,118.6860954828477,uptake,748.2893216314699,-558.4618618296524,842.638903227659,uptake
9,gly_e,EX_gly_e,15.794688701650426,-1000.0000000000002,34.33772908847939,uptake,-1000.0,-1000.0,100.00000000001435,secretion
10,gua_e,EX_gua_e,7.339105177586181,0.0,28.913031016020135,uptake,0.0,0.0,0.0,secretion
11,h2o_e,EX_h2o_e,213.188901537128,-1000.0,1000.0,uptake,1000.0,-1000.0,1000.0,uptake
12,h2s_e,EX_h2s_e,0.1314966080316579,-1000.0000000000001,200.11834694703546,uptake,3.774770261706749,-246.0656853688233,469.8252771977639,uptake
13,his__L_e,EX_his__L_e,2.8717670935230997,2.5845903841710682,2.8717670935231014,uptake,3.8711631978433827,3.4840468780590474,3.8711631978433867,uptake
14,ile__L_e,EX_ile__L_e,8.806726149107782,7.926053534197859,8.806726149107785,uptake,11.871531726511439,-539.3174602261957,11.871531726511451,uptake
15,k_e,EX_k_e,5.916832045072252,5.325148840565601,5.916832045072253,uptake,7.975933184958984,7.178339866463092,7.9759331849589925,uptake
16,leu__L_e,EX_leu__L_e,13.656823032067976,12.291140728862503,13.656823032067981,uptake,18.40949805450376,-258.4314517509472,18.409498054503793,uptake
17,mal__L_e,EX_mal__L_e,14.686152289543983,0.0,515.8282085146168,uptake,0.0,0.0,306.73278340214154,secretion
18,met__L_e,EX_met__L_e,4.665401439728996,0.0,4.665401439728989,uptake,6.288995509899681,0.0,143.1633138239854,uptake
19,mg2_e,EX_mg2_e,0.26296290333670624,0.23666661300306116,0.26296290333670636,uptake,0.3544759308966975,0.319028337807028,0.35447593089669777,uptake
20,mn2_e,EX_mn2_e,0.020946094087108267,0.018851484678399474,0.020946094087108277,uptake,0.028235489135402678,0.025411940221862432,0.028235489135402702,uptake
21,nh4_e,EX_nh4_e,435.0084077348919,-619.3857211732345,1000.0,uptake,-136.40204846188846,-1000.0,352.91193777015656,secretion
22,o2_e,EX_o2_e,500.33880534531346,0.30492481078071443,1000.0,uptake,70.61949175792822,0.008200959000664771,937.5329425803226,uptake
23,pro__L_e,EX_pro__L_e,6.700779780645035,-193.96929819723144,6.700779780645036,uptake,9.032700507708308,0.0,33.12943045693744,uptake
24,ser__L_e,EX_ser__L_e,6.541243900499646,0.0,1000.0,uptake,525.6757847274232,-1000.0,1000.0,uptake
25,thr__L_e,EX_thr__L_e,7.6899446753635825,-81.97963213523758,512.377240997023,uptake,10.366102072782779,0.0,1000.0,uptake
26,trp__L_e,EX_trp__L_e,1.723066318659181,1.5507596867934301,1.7230663186591806,uptake,2.3227060910617845,-1000.0,2.3227060910616486,uptake
27,val__L_e,EX_val__L_e,12.827194017494786,11.544474615746552,12.827194017494783,uptake,17.31468841571037,-534.4167804260194,290.5832195741393,uptake
28,zn2_e,EX_zn2_e,0.010336639773811733,0.009302975796431563,0.010336639773811737,uptake,0.01393386656320159,0.01254047990688144,0.0139338665632016,uptake
29,15dap_e,EX_15dap_e,0.0,-1000.0,0.0,secretion,0.0,-550.0000000000077,0.0,secretion
30,2pglyc_e,EX_2pglyc_e,0.0,0.0,233.9644825962329,secretion,0.0,0.0,999.9753971229978,secretion
31,acald_e,EX_acald_e,-1000.0,-1000.0,-494.54370921079095,secretion,958.4090947859067,-1000.0000000000001,1000.0000000000031,uptake
32,ade_e,EX_ade_e,-479.1479450846518,-1000.0,28.68450318278561,secretion,8.347938818954063,-17.80967313709289,67.88005845047266,uptake
33,ala__D_e,EX_ala__D_e,0.0,-1000.0,578.05925107978,secretion,-601.6266724948895,-1000.0,1000.0,secretion
34,ala__L_e,EX_ala__L_e,-944.8596346611395,-1000.0,572.602960290086,secretion,0.0,-1000.0,1000.0,secretion
35,alaala_e,EX_alaala_e,0.0,-1000.0,0.0,secretion,0.0,-15.277777777778141,0.0,secretion
36,but_e,EX_but_e,0.0,0.0,21.68531119331465,secretion,0.0,0.0,0.0,secretion
37,co2_e,EX_co2_e,-83.97079961708658,-1000.0,30.78957227203091,secretion,-1000.0,-1000.0,-449.99999999999574,secretion
