,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,26dap__M_e,EX_26dap__M_e,13.433418236956548,0.0,18.225045738409655,uptake,0.0,0.0,58.33333333323773,secretion
1,arg__L_e,EX_arg__L_e,8.96626202925314,8.06963582632875,1000.0,uptake,25.940659277633557,5.349084954616512,165.51137010332025,uptake
2,bz_e,EX_bz_e,0.0030312726609418596,0.002728145394847968,0.003031272660941861,uptake,0.0020093267320793833,0.0018083940588712727,0.002009326732078825,uptake
3,ca2_e,EX_ca2_e,0.1577777420020237,0.14199996780183666,0.15777774200202377,uptake,0.10458545640473184,0.09412691076424969,0.10458545640470279,uptake
4,cgly_e,EX_cgly_e,2.7827992409244557,0.0,1000.0,uptake,1.8426128931187566,0.0,43.6887705957426,uptake
5,cl_e,EX_cl_e,0.1577777420020237,0.14199996780183666,0.1577777420020237,uptake,0.10458545640473184,0.09412691076424969,0.10458545640470286,uptake
6,coa_e,EX_coa_e,0.017460130527025414,-21.669597075840993,0.017460130527024196,uptake,0.011573721976744824,-20.59167985735928,0.011573721976787944,uptake
7,cobalt2_e,EX_cobalt2_e,0.0030312726609418596,0.002728145394847968,0.003031272660941861,uptake,0.0020093267320793833,0.0018083940588712727,0.002009326732078825,uptake
8,cu2_e,EX_cu2_e,0.021491723166077774,0.019342550849472083,0.021491723166077427,uptake,0.01424612653044282,0.012821513877397318,0.01424612653043886,uptake
9,fe3_e,EX_fe3_e,3.0734073509289495,0.2130135924297747,1000.0,uptake,38.61155904586576,0.141199408116669,240.3846271311735,uptake
10,fol_e,EX_fol_e,0.020279214101701193,-22.425720399551096,0.020279214101700818,uptake,0.013442395837633292,0.012098156253873005,0.01344239583760698,uptake
11,glu__L_e,EX_glu__L_e,7.9853725088989504,0.0,118.6860954828477,uptake,21.04725546665047,9.51793961065128,63.6404753226105,uptake
12,gua_e,EX_gua_e,7.339105177586181,0.0,28.913031016020135,uptake,4.864841230839368,0.0,64.55665022773378,uptake
13,h2o_e,EX_h2o_e,213.188901537128,-1000.0,1000.0,uptake,-641.602486592636,-1000.0,1000.0,secretion
14,h2s_e,EX_h2s_e,0.1314966080316579,-1000.0000000000001,200.11834694703546,uptake,-10.471767010370264,-54.1225357119592,21.25127199403294,secretion
15,his__L_e,EX_his__L_e,2.8717670935230997,2.5845903841710682,2.8717670935231014,uptake,1.9035959594373666,1.7132363634934666,1.9035959594368395,uptake
16,ile__L_e,EX_ile__L_e,8.806726149107782,7.926053534197859,8.806726149107785,uptake,5.835667534710836,-53.08123255199841,5.835667534709198,uptake
17,k_e,EX_k_e,5.916832045072252,5.325148840565601,5.916832045072253,uptake,3.922065128147717,3.5298586153326057,3.92206512814663,uptake
18,leu__L_e,EX_leu__L_e,13.656823032067976,12.291140728862503,13.656823032067981,uptake,9.05263981930457,8.147375837373337,9.052639819302057,uptake
19,met__L_e,EX_met__L_e,4.665401439728996,0.0,4.665401439728989,uptake,0.0,0.0,3.0945440068072716,secretion
20,mg2_e,EX_mg2_e,0.26296290333670624,0.23666661300306116,0.26296290333670636,uptake,0.17430909400788644,0.15687818460708286,0.17430909400783803,uptake
21,mn2_e,EX_mn2_e,0.020946094087108267,0.018851484678399474,0.020946094087108277,uptake,0.01388444771866855,0.012496002946800505,0.013884447718664693,uptake
22,nh4_e,EX_nh4_e,435.0084077348919,-619.3857211732345,1000.0,uptake,-29.85170324930304,-349.96934191554453,37.98456720525701,secretion
23,o2_e,EX_o2_e,500.33880534531346,0.30492481078071443,1000.0,uptake,461.4012315729936,291.72653634296427,575.4504699911594,uptake
24,pro__L_e,EX_pro__L_e,6.700779780645035,-193.96929819723144,6.700779780645036,uptake,4.441717207598085,3.9975454868378963,4.441717207596852,uptake
25,ribflv_e,EX_ribflv_e,0.013519476067800684,0.0,0.013519476067800662,uptake,0.008961597225074043,0.00806543750256587,0.008961597225071555,uptake
26,thr__L_e,EX_thr__L_e,7.6899446753635825,-81.97963213523758,512.377240997023,uptake,5.097400706810229,-32.51041695987177,130.6789176119362,uptake
27,trp__L_e,EX_trp__L_e,1.723066318659181,1.5507596867934301,1.7230663186591806,uptake,1.1421615943158836,1.0279454348841974,1.1421615943155659,uptake
28,val__L_e,EX_val__L_e,12.827194017494786,11.544474615746552,12.827194017494783,uptake,8.502707186001755,7.652436467400851,8.50270718599939,uptake
29,zn2_e,EX_zn2_e,0.010336639773811733,0.009302975796431563,0.010336639773811737,uptake,0.006851804156390692,0.006166623740751035,0.006851804156388789,uptake
30,acald_e,EX_acald_e,-1000.0,-1000.0,-494.54370921079095,secretion,-967.6972094905834,-1000.0,-703.4564525519769,secretion
31,ade_e,EX_ade_e,-479.1479450846518,-1000.0,28.68450318278561,secretion,-8.29956425338855,-74.66518712083875,0.0,secretion
32,ala__D_e,EX_ala__D_e,0.0,-1000.0,578.05925107978,secretion,0.0,-1000.0,0.0,secretion
33,ala__L_e,EX_ala__L_e,-944.8596346611395,-1000.0,572.602960290086,secretion,4.957631939326767,0.0,76.47150841327272,uptake
34,alaala_e,EX_alaala_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,0.0,secretion
35,co2_e,EX_co2_e,-83.97079961708658,-1000.0,30.78957227203091,secretion,-1000.0,-1000.0,-883.3333333335249,secretion
36,dextrin_e,EX_dextrin_e,0.0,0.0,58.10648761427424,secretion,0.0,0.0,174.99999999971277,secretion
37,etha_e,EX_etha_e,0.0,-28.57142857140101,0.0,secretion,0.0,-53.84615384606505,0.0,secretion
38,fe2_e,EX_fe2_e,0.0,-999.6037914443062,12.936345267101125,secretion,-38.31974452456587,-240.12199406200108,0.13492629005917284,secretion
39,fru_e,EX_fru_e,0.0,0.0,106.35654057585997,secretion,0.0,0.0,699.9999999988495,secretion
40,g3pg_e,EX_g3pg_e,0.0,-16.949152542356636,0.0,secretion,0.0,0.0,53.84615384606526,secretion
41,galt_e,EX_galt_e,0.0,0.0,106.35654057586292,secretion,0.0,0.0,233.33884653164185,secretion
42,glc__D_e,EX_glc__D_e,0.0,0.0,116.21297522854819,secretion,0.0,-1000.0,349.99999999942577,secretion
43,glcur_e,EX_glcur_e,0.0,-13.42281879193349,0.0,secretion,0.0,0.0,0.0,secretion
44,glyald_e,EX_glyald_e,0.0,0.0,152.40099830239834,secretion,0.0,-699.999999998853,699.9999999988514,secretion
45,h_e,EX_h_e,-345.4234789606504,-1000.0,1000.0,secretion,0.0,-1000.0,257.9013468393819,secretion
46,hxan_e,EX_hxan_e,0.0,0.0,1000.0,secretion,0.0,0.0,60.178293119979465,secretion
47,lys__L_e,EX_lys__L_e,0.0,0.0,1000.0,secretion,6.895225707070929,-52.12763019687435,6.8952257070690175,uptake
48,man_e,EX_man_e,0.0,0.0,199.99999999980616,secretion,0.0,0.0,349.999999999424,secretion
49,metox__R_e,EX_metox__R_e,0.0,0.0,4.665401439728993,secretion,3.094544006808131,0.0,3.094544006807272,uptake
50,metox_e,EX_metox_e,0.0,0.0,4.665401439728993,secretion,0.0,0.0,3.0945440068072716,secretion
51,murein4p3p_e,EX_murein4p3p_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,0.0,secretion
52,murein4p4p_e,EX_murein4p4p_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,0.0,secretion
53,murein4px4p_e,EX_murein4px4p_e,0.0,-1000.0,0.0,secretion,0.0,-999.999999999998,0.0,secretion
54,murein4px4px4p_e,EX_murein4px4px4p_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,0.0,secretion
55,murein5p3p_e,EX_murein5p3p_e,0.0,0.0,1000.0,secretion,0.0,0.0,1000.0,secretion
56,murein5p4p_e,EX_murein5p4p_e,0.0,-1000.0,1000.0,secretion,0.0,-1000.0,1000.0,secretion
57,murein5p5p5p_e,EX_murein5p5p5p_e,0.0,-1000.0000000000006,789.0296255398896,secretion,0.0,-1000.0,500.0,secretion
58,murein5p5p_e,EX_murein5p5p_e,0.0,-499.9999999999997,1000.0,secretion,0.0,-500.95718241947753,1000.0,secretion
59,murein5px3p_e,EX_murein5px3p_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,0.0,secretion
60,murein5px4p_e,EX_murein5px4p_e,0.0,-1000.0,1000.0,secretion,0.0,-1000.0,1000.0,secretion
61,murein5px4px4p_e,EX_murein5px4px4p_e,0.0,-789.0296255398921,1000.0,secretion,0.0,-500.0,1000.0,secretion
62,orn_e,EX_orn_e,0.0,0.0,1000.0,secretion,-19.997231550281313,-160.1622851487017,0.0,secretion
63,pi_e,EX_pi_e,0.0,-999.9999999999998,233.96448259623116,secretion,-4.24174901121952,-1000.0,32.976867567492484,secretion
64,ptrc_e,EX_ptrc_e,0.0,-1000.0,0.0,secretion,0.0,0.0,0.0,secretion
65,raffin_e,EX_raffin_e,0.0,0.0,13.422818791933253,secretion,0.0,0.0,116.6666666664742,secretion
66,rib__D_e,EX_rib__D_e,0.0,-14.814814814800606,0.0,secretion,0.0,0.0,92.13425524117527,secretion
67,sucr_e,EX_sucr_e,0.0,0.0,58.106487614274336,secretion,0.0,0.0,174.99999999971183,secretion
68,taur_e,EX_taur_e,0.0,0.0,199.99999999980614,secretion,10.471767010370264,0.0,54.122535711959166,uptake
69,uaagmda_e,EX_uaagmda_e,0.0,0.0,1000.0,secretion,2.009326732079383,-1.9143648389547252,1000.0,uptake
70,udcpdp_e,EX_udcpdp_e,0.0,-1000.0,1000.0,secretion,0.0,-1000.0,1000.0,secretion
71,udcpp_e,EX_udcpp_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,0.0,secretion
72,5drib_c,sink_5drib_c,0.0,-66.6666666666033,0.0,secretion,-0.004480798612537021,-0.004480798612535774,-0.004032718751282935,secretion
