,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,26dap__M_e,EX_26dap__M_e,3.22420350243936,0.0,17.187497437909677,uptake,2.343034745926787,0.0,152.10873127855413,uptake
1,arg__L_e,EX_arg__L_e,9.536936023935427,8.583242421541888,108.58324242154244,uptake,6.930509335671757,6.237458402085667,6.930509335687841,uptake
2,asn__L_e,EX_asn__L_e,15.63622627357,14.072603646212839,1000.0,uptake,5.648002406793811,5.083202166098999,1000.0,uptake
3,ca2_e,EX_ca2_e,0.16781979230196858,0.15103781307175268,0.16781979230302113,uptake,0.12195495852548918,0.10975946267260743,0.1219549585257722,uptake
4,cl_e,EX_cl_e,0.16781979230196858,0.15103781307177166,0.16781979230196895,uptake,0.12195495852548918,0.10975946267260743,0.12195495852577222,uptake
5,cobalt2_e,EX_cobalt2_e,0.0032242035024393602,0.002901783152195423,0.0032242035024393607,uptake,0.002343034745926787,0.0021087312713277137,0.0023430347459322243,uptake
6,cu2_e,EX_cu2_e,0.022859602832295052,0.02057364254906554,0.022859602832295028,uptake,0.01661211634862091,0.014950904713713482,0.01661211634865948,uptake
7,fe2_e,EX_fe2_e,0.46825107465926835,0.19485473866992267,0.46825107465926896,uptake,0.15733478318898375,0.0,0.15733478318934893,uptake
8,h2o_e,EX_h2o_e,236.81827745650386,-1000.0,1000.0,uptake,219.72059832478706,-951.2315799932866,1000.0,uptake
9,his__L_e,EX_his__L_e,10.831195793885655,2.7490913227269003,169.01189440391485,uptake,2.21974425759612,1.9977698318304498,2.219744257601272,uptake
10,indole_e,EX_indole_e,1.8327339968916052,1.649460597202444,1.8327339968916099,uptake,0.0,-30.000000001445223,0.0,secretion
11,k_e,EX_k_e,6.293419542516468,5.66407758826482,6.29341954251647,uptake,4.573439811616879,4.116095830442709,4.573439811627492,uptake
12,leu__L_e,EX_leu__L_e,14.52603628157508,13.073432653417566,14.52603628157511,uptake,10.556097871171417,9.500488084025465,10.556097871195913,uptake
13,lys__L_e,EX_lys__L_e,11.064208981005926,9.95778808290533,11.064208981005928,uptake,8.040381464469817,-142.76365668922568,8.040381464488478,uptake
14,man1p_e,EX_man1p_e,31.793645043314875,-178.007279090796,1000.0,uptake,537.83742990344,-474.60881701237975,684.0536869202194,uptake
15,met__L_e,EX_met__L_e,4.962339368569385,4.466105431712445,4.962339368569386,uptake,3.6009163831077617,0.0,153.2408247488746,uptake
16,mg2_e,EX_mg2_e,0.2796996538366144,0.25172968845295285,0.27969965383661444,uptake,0.2032582642091487,0.1829324377876791,0.2032582642096204,uptake
17,mn2_e,EX_mn2_e,0.022279246201855996,0.02005132158167039,0.022279246201856,uptake,0.01619037009435411,0.014571333084874512,0.01619037009439168,uptake
18,nh4_e,EX_nh4_e,209.44789570352617,-1000.0,883.0908896388426,uptake,-53.79068376776496,-1000.0,57.81282685270059,secretion
19,o2_e,EX_o2_e,4.575515553364236,4.009531616088181,174.73467346606117,uptake,7.972440151471923,0.0,950.195739113386,uptake
20,so4_e,EX_so4_e,0.1398659479358195,0.1258793531422375,50.125879353142736,uptake,0.10164084727830405,0.09147676255019624,0.10164084727853985,uptake
21,thr__L_e,EX_thr__L_e,20.327281159444148,7.361446625310016,364.5286148857457,uptake,19.706117160964695,5.349577100293142,48.7523081963089,uptake
22,thym_e,EX_thym_e,0.0032242035024393602,0.002901783152196913,0.0032242035024383497,uptake,0.007568002229343517,0.002108731271327713,7.729297809031587,uptake
23,zn2_e,EX_zn2_e,0.010994533943318209,0.009895080548986385,0.01099453394331821,uptake,0.007989748483610337,0.0071907736352274975,0.007989748483628878,uptake
24,LalaDgluMdap_e,EX_LalaDgluMdap_e,0.0,-14.285714285714464,0.0,secretion,0.0,-12.290985895092359,0.0,secretion
25,acald_e,EX_acald_e,-1000.0,-1000.0,543.7099135674262,secretion,-13.762142605065403,-479.44339235803875,0.0,secretion
26,ade_e,EX_ade_e,-27.99429199908631,-1000.0,65.79521865728513,secretion,4.773253814750479,-25.283296657720026,40.5005251343739,uptake
27,alaala_e,EX_alaala_e,0.0,-7.142857142857169,0.0,secretion,0.0,-1000.0,0.0,secretion
28,anhgm_e,EX_anhgm_e,0.0,-14.285714285714512,0.0,secretion,0.0,-12.290985895092518,0.0,secretion
29,asp__L_e,EX_asp__L_e,0.0,-985.9273963537801,0.0,secretion,5.648002406793779,-1000.0,521.475931471525,uptake
30,bz_e,EX_bz_e,0.0,0.0,0.0,secretion,0.002343034745926787,0.0021087312713277137,0.0023430347459322243,uptake
31,co2_e,EX_co2_e,-761.4877152759425,-1000.0,-75.09790018929607,secretion,-1000.0,-1000.0,114.999489238864,secretion
32,enlipa_e,EX_enlipa_e,0.0,-3.571428571428584,0.0,secretion,0.0,-3.1990237261199526,0.0,secretion
33,fe3_e,EX_fe3_e,0.0,0.0,0.2516824494684945,secretion,0.18294415296196356,0.16464973766526791,0.18294415296238817,uptake
34,g3pe_e,EX_g3pe_e,0.0,-28.571428571428655,0.0,secretion,0.0,-20.000000000963553,0.0,secretion
35,gal_e,EX_gal_e,0.0,0.0,66.66666666666703,secretion,0.0,0.0,75.0000000036143,secretion
