,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,arg__L_e,EX_arg__L_e,9.536936023935427,8.583242421541888,108.58324242154244,uptake,9.398600037084945,0.0,266.7920733672732,uptake
1,asn__L_e,EX_asn__L_e,15.63622627357,14.072603646212839,1000.0,uptake,54.37507255187275,44.536242002616284,993.9305035586032,uptake
2,ca2_e,EX_ca2_e,0.16781979230196858,0.15103781307175268,0.16781979230302113,uptake,0.16538551817840624,0.14884696636052924,0.1653855181784061,uptake
3,cgly_e,EX_cgly_e,16.80954617014375,2.680638258166613,130.42717253463786,uptake,10.698520677660698,0.0,128.52138085441035,uptake
4,cl_e,EX_cl_e,0.16781979230196858,0.15103781307177166,0.16781979230196895,uptake,0.16538551817840624,0.14884696636052924,0.1653855181784063,uptake
5,cobalt2_e,EX_cobalt2_e,0.0032242035024393602,0.002901783152195423,0.0032242035024393607,uptake,0.003177435507750362,0.0028596919569746273,0.003177435507750357,uptake
6,cu2_e,EX_cu2_e,0.022859602832295052,0.02057364254906554,0.022859602832295028,uptake,0.022528017749950054,0.020275215974950096,0.022528017749950065,uptake
7,fe2_e,EX_fe2_e,0.46825107465926835,0.19485473866992267,0.46825107465926896,uptake,0.21336479434543684,0.19202831491084624,0.21336479434543665,uptake
8,h2o_e,EX_h2o_e,236.81827745650386,-1000.0,1000.0,uptake,0.0,-1000.0,1000.0,secretion
9,k_e,EX_k_e,6.293419542516468,5.66407758826482,6.29341954251647,uptake,6.202131690643172,5.581918521577491,6.2021316906431725,uptake
10,leu__L_e,EX_leu__L_e,14.52603628157508,13.073432653417566,14.52603628157511,uptake,14.31533196742279,-459.3272894825773,14.315331967422745,uptake
11,lys__L_e,EX_lys__L_e,11.064208981005926,9.95778808290533,11.064208981005928,uptake,0.0,0.0,1000.0,secretion
12,man1p_e,EX_man1p_e,31.793645043314875,-178.007279090796,1000.0,uptake,31.332469121444905,-359.30077779156136,51.06007225333424,uptake
13,met__L_e,EX_met__L_e,4.962339368569385,4.466105431712445,4.962339368569386,uptake,0.0,0.0,52.701281941229716,secretion
14,mg2_e,EX_mg2_e,0.2796996538366144,0.25172968845295285,0.27969965383661444,uptake,0.2756425302973438,0.24807827726754883,0.27564253029734337,uptake
15,mn2_e,EX_mn2_e,0.022279246201855996,0.02005132158167039,0.022279246201856,uptake,0.02195607935855502,0.01976047142269469,0.021956079358554984,uptake
16,nh4_e,EX_nh4_e,209.44789570352617,-1000.0,883.0908896388426,uptake,0.0,-1000.0,1000.0,secretion
17,o2_e,EX_o2_e,4.575515553364236,4.009531616088181,174.73467346606117,uptake,487.29281734205705,9.492289900463247,1000.0,uptake
18,so4_e,EX_so4_e,0.1398659479358195,0.1258793531422375,50.125879353142736,uptake,0.13783715232621074,0.12405343709355937,57.53146084462636,uptake
19,thr__L_e,EX_thr__L_e,20.327281159444148,7.361446625310016,364.5286148857457,uptake,8.060740816546668,0.0,239.4427147643878,uptake
20,zn2_e,EX_zn2_e,0.010994533943318209,0.009895080548986385,0.01099453394331821,uptake,0.010835055081428725,0.009751549573283471,0.010835055081428709,uptake
21,acald_e,EX_acald_e,-1000.0,-1000.0,543.7099135674262,secretion,68.50284050127637,-294.0163264992193,1000.0,uptake
22,anhgm_e,EX_anhgm_e,0.0,-14.285714285714512,0.0,secretion,0.0,-16.939890710419814,0.0,secretion
23,bz_e,EX_bz_e,0.0,0.0,0.0,secretion,0.003177435507750362,0.002859691956974629,0.0031774355077503597,uptake
24,co2_e,EX_co2_e,-761.4877152759425,-1000.0,-75.09790018929607,secretion,-1000.0000000000132,-1000.0,-527.7889117467389,secretion
25,fe3_e,EX_fe3_e,0.0,0.0,0.2516824494684945,secretion,0.2480941644451483,0.22328474800057896,0.248094164445148,uptake
26,g3pe_e,EX_g3pe_e,0.0,-28.571428571428655,0.0,secretion,0.0,-18.087306478364262,0.0,secretion
27,gal_e,EX_gal_e,0.0,0.0,66.66666666666703,secretion,0.0,0.0,64.58333333347504,secretion
28,glc__D_e,EX_glc__D_e,0.0,0.0,200.00000000000213,secretion,0.0,-1000.0,516.6666666678008,secretion
29,gln__L_e,EX_gln__L_e,0.0,0.0,1000.0,secretion,21.90403296493806,0.0,1000.0,uptake
30,glu__L_e,EX_glu__L_e,0.0,-1000.0,0.0,secretion,5.020761168861567,-1000.0,143.46308395144627,uptake
31,glyclt_e,EX_glyclt_e,-0.028759895241758558,-0.0287598952417591,-0.01941292928818683,secretion,-0.007085681182283302,-387.50637711391386,0.0,secretion
32,gua_e,EX_gua_e,0.0,0.0,49.80723732468578,secretion,7.692984430879651,0.0,56.130035194246645,uptake
33,h2s_e,EX_h2s_e,-13.831059216625292,-127.77591321878668,66.66666666666525,secretion,-2.872878314332496,-125.8796260214787,225.8298947231146,secretion
34,h_e,EX_h_e,-228.55650317045644,-1000.0,1000.0,secretion,-1000.0,-1000.0,-527.7889117467413,secretion
35,hxan_e,EX_hxan_e,0.0,0.0,1000.0,secretion,6.491405419270501,0.0,281.29873302508406,uptake
