,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,adn_e,EX_adn_e,0.9893790867603469,0.0,1000.0,uptake,0.0,-350.00000000000114,0.0,secretion
1,ca2_e,EX_ca2_e,0.16781979230196858,0.15103781307175268,0.16781979230302113,uptake,0.15243580460639874,0.13719222414563986,0.15243580460626668,uptake
2,cgly_e,EX_cgly_e,16.80954617014375,2.680638258166613,130.42717253463786,uptake,2.688581012542024,0.0,202.41972291128812,uptake
3,chol_e,EX_chol_e,48.503122684077624,0.0,970.9694373522644,uptake,0.0,0.0,199.99999999999915,secretion
4,cl_e,EX_cl_e,0.16781979230196858,0.15103781307177166,0.16781979230196895,uptake,0.15243580460639874,0.13719222414563986,0.1524358046062663,uptake
5,cobalt2_e,EX_cobalt2_e,0.0032242035024393602,0.002901783152195423,0.0032242035024393607,uptake,0.002928641779181534,0.0026357776012610945,0.0029286417791789935,uptake
6,cu2_e,EX_cu2_e,0.022859602832295052,0.02057364254906554,0.022859602832295028,uptake,0.020764070214397065,0.01868766319294115,0.020764070214379045,uptake
7,cytd_e,EX_cytd_e,16.270265892324737,0.0,1000.0,uptake,0.0,-350.0000000000031,0.0,secretion
8,fe2_e,EX_fe2_e,0.46825107465926835,0.19485473866992267,0.46825107465926896,uptake,0.19665829547204003,-1000.0,13.638530927462837,uptake
9,h2o_e,EX_h2o_e,236.81827745650386,-1000.0,1000.0,uptake,0.0,-1000.0,1000.0,secretion
10,k_e,EX_k_e,6.293419542516468,5.66407758826482,6.29341954251647,uptake,5.716503748037819,5.144853373229575,5.716503748032886,uptake
11,leu__L_e,EX_leu__L_e,14.52603628157508,13.073432653417566,14.52603628157511,uptake,13.194439094164363,-988.1250048152624,13.1944390941529,uptake
12,lys__L_e,EX_lys__L_e,11.064208981005926,9.95778808290533,11.064208981005928,uptake,0.0,0.0,1000.0,secretion
13,met__L_e,EX_met__L_e,4.962339368569385,4.466105431712445,4.962339368569386,uptake,4.507443275920499,0.0,20.457640634300425,uptake
14,mg2_e,EX_mg2_e,0.2796996538366144,0.25172968845295285,0.27969965383661444,uptake,0.254059674343998,0.22865370690939987,0.25405967434377763,uptake
15,mn2_e,EX_mn2_e,0.022279246201855996,0.02005132158167039,0.022279246201856,uptake,0.020236914694144414,0.018213223224714175,0.020236914694126862,uptake
16,nh4_e,EX_nh4_e,209.44789570352617,-1000.0,883.0908896388426,uptake,0.0,-1000.0,1000.0,secretion
17,o2_e,EX_o2_e,4.575515553364236,4.009531616088181,174.73467346606117,uptake,3.182995381720996,0.01175556810060129,1000.0,uptake
18,so4_e,EX_so4_e,0.1398659479358195,0.1258793531422375,50.125879353142736,uptake,0.12704448038089505,0.1143400323427063,66.78100669900769,uptake
19,thr__L_e,EX_thr__L_e,20.327281159444148,7.361446625310016,364.5286148857457,uptake,7.429583470352265,0.0,206.6866251233129,uptake
20,zn2_e,EX_zn2_e,0.010994533943318209,0.009895080548986385,0.01099453394331821,uptake,0.009986668467009022,0.008988001620300324,0.00998666846700036,uptake
21,23camp_e,EX_23camp_e,0.0,0.0,206.62155962977744,secretion,0.0,0.0,350.0000000000031,secretion
22,23ccmp_e,EX_23ccmp_e,0.0,0.0,206.6215596297773,secretion,0.0,0.0,350.0000000000031,secretion
23,23cgmp_e,EX_23cgmp_e,0.0,0.0,41.268853783311386,secretion,0.0,0.0,350.0000000000031,secretion
24,23cump_e,EX_23cump_e,0.0,0.0,206.62155962977795,secretion,0.0,0.0,350.0000000000031,secretion
25,6pgc_e,EX_6pgc_e,0.0,-1000.0,0.0,secretion,-92.72390310536464,-1000.0,0.0,secretion
26,acald_e,EX_acald_e,-1000.0,-1000.0,543.7099135674262,secretion,0.0,-1000.0,1000.0,secretion
27,alaala_e,EX_alaala_e,0.0,-7.142857142857169,0.0,secretion,0.0,-1000.0,0.0,secretion
28,anhgm_e,EX_anhgm_e,0.0,-14.285714285714512,0.0,secretion,0.0,-9.03225806451615,0.0,secretion
29,but_e,EX_but_e,0.0,0.0,200.00000000000765,secretion,0.0,0.0,0.0,secretion
30,bz_e,EX_bz_e,0.0,0.0,0.0,secretion,0.002928641779181534,-999.9973642223989,0.002928641779178997,uptake
31,cit_e,EX_cit_e,0.0,0.0,0.5033648989369875,secretion,0.0,0.0,1000.0,secretion
32,co2_e,EX_co2_e,-761.4877152759425,-1000.0,-75.09790018929607,secretion,-677.8775879842906,-1000.0,458.90127397319054,secretion
33,dha_e,EX_dha_e,0.0,-244.4360457525664,0.0,secretion,0.0,0.0,217.53560245739666,secretion
34,etoh_e,EX_etoh_e,-470.9439007648966,-1000.0,1000.0,secretion,-538.0960542051,-1000.0,999.9999999999981,secretion
35,fe3_e,EX_fe3_e,0.0,0.0,0.2516824494684945,secretion,0.22866835011849423,0.20580151510648648,1000.0,uptake
36,gal_e,EX_gal_e,0.0,0.0,66.66666666666703,secretion,0.0,0.0,54.383900614347745,secretion
37,glc__D_e,EX_glc__D_e,0.0,0.0,200.00000000000213,secretion,0.0,-1000.0,217.53560245739482,secretion
38,glcur_e,EX_glcur_e,0.0,-66.66666666666667,0.0,secretion,0.0,0.0,0.0,secretion
39,gln__L_e,EX_gln__L_e,0.0,0.0,1000.0,secretion,16.35189565555334,0.0,214.71670608998673,uptake
40,glu__L_e,EX_glu__L_e,0.0,-1000.0,0.0,secretion,23.63791710589015,-1000.0,1000.0,uptake
41,glyb_e,EX_glyb_e,-48.503122684077624,-970.9694373522753,0.0,secretion,0.0,-199.9999999999942,0.0,secretion
42,gsn_e,EX_gsn_e,0.0,0.0,49.807237324685964,secretion,0.0,-349.99999999999727,0.0,secretion
43,gthox_e,EX_gthox_e,0.0,-499.99999999999875,500.0,secretion,0.0,-500.0,500.0,secretion
44,gthrd_e,EX_gthrd_e,0.0,-1000.0,1000.0,secretion,0.0,-1000.0,1000.0,secretion
45,gua_e,EX_gua_e,0.0,0.0,49.80723732468578,secretion,0.0,0.0,56.38156022374189,secretion
46,h2o2_e,EX_h2o2_e,0.0,-500.00000000000017,499.99999999999994,secretion,0.0,-499.99999999999966,499.99999999999994,secretion
47,h2s_e,EX_h2s_e,-13.831059216625292,-127.77591321878668,66.66666666666525,secretion,0.0,-199.99999999999451,202.41972291128846,secretion
48,h_e,EX_h_e,-228.55650317045644,-1000.0,1000.0,secretion,0.0,-1000.0,1000.0,secretion
49,hxan_e,EX_hxan_e,0.0,0.0,1000.0,secretion,0.0,0.0,1000.0,secretion
50,lac__L_e,EX_lac__L_e,0.0,-244.43604575256865,170.61670946803318,secretion,0.0,-1000.0,0.0,secretion
51,no3_e,EX_no3_e,0.0,0.0,170.61670946803153,secretion,143.58950024042508,0.0,795.3675274368702,uptake
52,pi_e,EX_pi_e,0.0,-1000.0,206.6215596297784,secretion,-1000.0,-1000.0,-650.0000000000043,secretion
53,pydxn_e,EX_pydxn_e,0.0,0.0,0.007189947962670997,secretion,0.006530871167574816,0.005877784050812236,0.0065308711675691414,uptake
54,s_e,EX_s_e,0.0,-66.6666666666664,0.0,secretion,0.0,-199.99999999999503,0.0,secretion
55,spmd_e,EX_spmd_e,0.0,-99.99999999999945,0.0,secretion,0.0,-66.66666666666617,0.0,secretion
56,thymd_e,EX_thymd_e,0.0,0.0,0.8432893699807233,secretion,0.7692370497198232,0.0,27.615390267823912,uptake
57,udcpdp_e,EX_udcpdp_e,0.0,0.0,1000.0,secretion,0.0,-1000.0,349.99999999999847,secretion
58,udcpp_e,EX_udcpp_e,0.0,-1000.0,0.0,secretion,0.0,-350.0000000000002,0.0,secretion
59,ura_e,EX_ura_e,-949.4617761861771,-1000.0,-5.0471875079402935,secretion,-96.73573232894907,-1000.0,9.661300763398343,secretion
60,uri_e,EX_uri_e,0.0,0.0,994.9528124920603,secretion,0.0,-350.000000000004,0.0,secretion
