,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,26dap__M_e,EX_26dap__M_e,13.299063357846205,0.0,29.112014165096078,uptake,3.2216117831675164,0.0,18.284065989464068,uptake
1,3mb_e,EX_3mb_e,13.520233760808857,12.168210384714628,13.520233760810715,uptake,14.51435978282245,0.0,14.514359782822451,uptake
2,LalaLglu_e,EX_LalaLglu_e,18.347030226658994,16.512327203975257,77.68033340412721,uptake,20.195188920670876,0.0,1000.0,uptake
3,adn_e,EX_adn_e,6.130861576679422,0.0,1000.0,uptake,6.5257612602215325,0.0,1000.0,uptake
4,arg__L_e,EX_arg__L_e,8.876585594725267,7.9889270352439805,64.11066420716782,uptake,9.529269925666854,8.576342933100294,88.57634293309003,uptake
5,asn__L_e,EX_asn__L_e,7.233952711826209,0.0,126.38744998707764,uptake,0.0,0.0,1000.0,secretion
6,but_e,EX_but_e,12.716187816904094,11.44456903520111,12.716187816905947,uptake,0.0,0.0,0.0,secretion
7,ca2_e,EX_ca2_e,0.15619972149532446,0.14057974934563755,0.15619972149534603,uptake,0.16768489331386913,0.15091640398248443,0.16768489331386918,uptake
8,cgly_e,EX_cgly_e,2.7655603331648666,0.0,2.7655603331653094,uptake,2.9689085548958594,0.0,2.9689085548957195,uptake
9,cl_e,EX_cl_e,0.15619972149532446,0.14057974934563788,0.15619972149534594,uptake,0.16768489331386913,0.15091640398248443,0.167684893313869,uptake
10,cobalt2_e,EX_cobalt2_e,0.0030009552640792424,0.0027008597376683547,0.003000955264079657,uptake,0.0032216117831675166,0.002899450604850807,0.0032216117831675175,uptake
11,cu2_e,EX_cu2_e,0.021276772822321818,0.019149095540068637,0.021276772822324756,uptake,0.02284122754265768,0.020557104788392212,0.02284122754265768,uptake
12,dgsn_e,EX_dgsn_e,7.296162513628145,0.0,188.8035668483113,uptake,0.0,0.0,200.75867024523646,secretion
13,fe2_e,EX_fe2_e,0.20151414598292117,0.0,0.20151414598294878,uptake,0.21633123123969877,0.0,0.21633123123969905,uptake
14,fe3_e,EX_fe3_e,0.2343145870193073,0.21088312831714534,0.234314587019339,uptake,0.2515434480297198,0.22638910322675107,0.25154344802971995,uptake
15,glyc3p_e,EX_glyc3p_e,803.0724840315013,397.6429276925496,1000.0,uptake,0.0,-39.99999999999437,0.0,secretion
16,gsn_e,EX_gsn_e,0.003000955264509668,0.0,1000.0,uptake,0.0,0.0,1000.0,secretion
17,h_e,EX_h_e,329.15293346166715,-330.11244689677187,1000.0,uptake,-278.42020042011194,-1000.0,1000.0,secretion
18,his__L_e,EX_his__L_e,2.843044998083393,2.558740498272248,2.8430449980837826,uptake,3.059274765413706,2.746881514023558,393.0368889269068,uptake
19,ile__L_e,EX_ile__L_e,8.718645319176789,7.8467807872505055,8.718645319177986,uptake,9.359716497518761,8.423744847767008,9.35971649751877,uptake
20,k_e,EX_k_e,5.857654608614204,5.27188914774699,5.857654608615012,uptake,6.288360687918179,5.659524619126444,6.28836068791818,uptake
21,met__L_e,EX_met__L_e,4.618740237391712,4.156866213647983,4.6187402373923465,uptake,4.958350479355284,4.462515431419837,4.958350479355307,uptake
22,mg2_e,EX_mg2_e,0.2603328691588742,0.23429958224272968,0.2603328691589102,uptake,0.279474822189782,0.25152733997080745,0.27947482218978204,uptake
23,mn2_e,EX_mn2_e,0.02073660087478758,0.018662940787288345,0.020736600874784017,uptake,0.022261337421687555,0.02003520367951909,0.022261337421687562,uptake
24,nmn_e,EX_nmn_e,0.06836176091572499,0.0,0.06836176091600059,uptake,0.07338831642056602,0.06604948477851735,0.07338831642075494,uptake
25,no3_e,EX_no3_e,120.65609599815242,0.0,1000.0,uptake,257.78994977348674,0.0,744.5999521298224,uptake
26,o2_e,EX_o2_e,273.1711858521836,0.0,1000.0,uptake,10.523121262039922,0.0,1000.0,uptake
27,progly_e,EX_progly_e,6.633761659010377,5.970385493102792,6.6337616590112845,uptake,7.121533927280962,6.409380534552959,7.121533927280955,uptake
