,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,26dap__M_e,EX_26dap__M_e,18.50258034439516,0.0,40.12171006505789,uptake,0.0,0.0,200.00000000000392,secretion
1,4hphac_e,EX_4hphac_e,0.005391807444434294,0.0,68.12072902592296,uptake,4.593575997759712,0.0,404.1855219579939,uptake
2,ca2_e,EX_ca2_e,0.2806435774828049,0.25257921973452435,0.2806435774828049,uptake,0.1731084287342021,0.15579758586078196,0.17310842873420315,uptake
3,cgly_e,EX_cgly_e,4.980897799093956,0.0,13.269799142929557,uptake,3.0723503435229342,0.0,218.8248382159549,uptake
4,cit_e,EX_cit_e,0.8419846505228596,0.0,0.84198465052286,uptake,0.022981349520717353,0.020683214568645625,0.022981349520717374,uptake
5,cl_e,EX_cl_e,0.2806435774828049,0.25257921973452435,0.28064357748280505,uptake,0.1731084287342021,0.15579758586078296,0.17310842873420243,uptake
6,cobalt2_e,EX_cobalt2_e,0.005391807444434294,0.004852626699990864,0.005391807444434295,uptake,0.003325810350320888,0.0029932293152796774,0.0033258103503208906,uptake
7,cu2_e,EX_cu2_e,0.03822791478103913,0.03440512330293521,0.03822791478103918,uptake,0.023579995383775084,0.021221995845397582,0.02357999538377511,uptake
8,fe2_e,EX_fe2_e,0.36205986989376293,0.0,0.36205986989376343,uptake,0.0,-999.7662886550629,0.22332816502404787,secretion
9,fe3_e,EX_fe3_e,0.4209923252614298,0.37889309273528676,0.4209923252614308,uptake,0.48300743717701256,0.2337113449377739,1000.0,uptake
10,gln__L_e,EX_gln__L_e,374.37194497991743,0.0,1000.0,uptake,11.91784184175297,0.0,113.23968183967926,uptake
11,glyc3p_e,EX_glyc3p_e,798.3238099049642,161.34857177160507,1000.0,uptake,1000.0,649.9999999999922,1000.0,uptake
12,gua_e,EX_gua_e,8.00629487424051,0.0,1000.0,uptake,8.074468884716074,0.0,33.07347360914819,uptake
13,h2s_e,EX_h2s_e,8.298476919654362,-370.7039601077841,13.259274647298234,uptake,0.14427365299692016,-215.92987661909152,203.8158285957205,uptake
14,ile__L_e,EX_ile__L_e,15.664764250240523,-194.99262126570096,78.7050293982522,uptake,9.66244355268378,-191.30380080258834,9.662443552683769,uptake
15,indole_e,EX_indole_e,3.0648651056397855,2.7583785950758064,3.0648651056397664,uptake,0.0,-30.43478260869625,0.0,secretion
16,k_e,EX_k_e,10.524430705014646,9.47198763451318,10.524430705014659,uptake,6.491748997101859,5.842574097391675,6.491748997101872,uptake
17,leu__L_e,EX_leu__L_e,24.29176399748428,-355.7516339270143,24.291763997484328,uptake,14.983806629404205,-986.5145740335362,14.983806629404233,uptake
18,mg2_e,EX_mg2_e,0.46773929580467494,0.4209653662242073,0.467739295804675,uptake,0.2885140478903369,0.2596626431013033,0.2885140478903372,uptake
19,mn2_e,EX_mn2_e,0.037257389441041004,0.0335316504969369,0.03725738944104101,uptake,0.022981349520717353,0.020683214568645625,0.022981349520717374,uptake
20,o2_e,EX_o2_e,1000.0,-0.005969884555042881,1000.0,uptake,379.7582368682019,0.2596925753944565,1000.0,uptake
21,pac_e,EX_pac_e,9.989132061931201,0.0,9.98913206193121,uptake,6.1615625455219964,0.0,205.5454062909673,uptake
22,thym_e,EX_thym_e,8.303868727098797,7.4734818543889165,13.934156011692298,uptake,0.0,-133.33333333333678,0.8700422517136358,secretion
23,uaagmda_e,EX_uaagmda_e,5.391807444434295,-1.775615374937123,5.391807444434292,uptake,3.3258103503208876,-0.906492133179313,1000.0,uptake
24,val__L_e,EX_val__L_e,361.55944686778264,-977.1672724593171,1000.0,uptake,-301.7238292696239,-987.3337909648376,1000.0,secretion
25,zn2_e,EX_zn2_e,0.01838606338552093,0.016547457046968833,0.018386063385520932,uptake,0.011341013294594218,0.010206911965134801,0.011341013294594228,uptake
26,12ppd__S_e,EX_12ppd__S_e,0.0,-838.6514282283932,0.0,secretion,0.0,-350.0000000000044,0.0,secretion
27,ac_e,EX_ac_e,-1000.0,-1000.0,-440.209745224507,secretion,0.0,-1000.0,0.0,secretion
28,acald_e,EX_acald_e,0.0,-1000.0,0.0,secretion,-306.24441798365535,-1000.0,1000.0,secretion
29,alaala_e,EX_alaala_e,0.0,-11.734693877551274,0.0,secretion,0.0,-1000.0,0.0,secretion
30,amylose300_e,EX_amylose300_e,0.0,0.0,10.0,secretion,0.0,0.0,10.0,secretion
31,anhgm_e,EX_anhgm_e,0.0,-23.469387755102296,0.0,secretion,0.0,-17.94871794871872,0.0,secretion
32,arab__D_e,EX_arab__D_e,0.0,0.0,250.56911675428415,secretion,0.0,0.0,201.54773901434712,secretion
33,cell6_e,EX_cell6_e,0.0,0.0,46.938775510204074,secretion,0.0,0.0,28.792534144906114,secretion
34,co2_e,EX_co2_e,-1000.0,-1000.0,-426.94742101483126,secretion,-614.0258782253572,-1000.0,118.45055151913039,secretion
35,drib_e,EX_drib_e,0.0,0.0,164.28571428571652,secretion,0.0,0.0,100.9696716028395,secretion
36,enter_e,EX_enter_e,0.0,-0.36197439832622275,0.0,secretion,0.0,-0.2233281650240482,0.0,secretion
37,etha_e,EX_etha_e,0.0,-45.09803921568673,0.0,secretion,0.0,-25.000000000000536,0.0,secretion
38,feenter_e,EX_feenter_e,0.0,0.0,0.3619743983262224,secretion,0.0,0.0,0.22332816502404784,secretion
39,gal_e,EX_gal_e,0.0,-1000.0,99.99999999999828,secretion,0.0,0.0,100.77386950717407,secretion
40,galt_e,EX_galt_e,0.0,0.0,164.2857142857181,secretion,0.0,0.0,100.7738695071762,secretion
41,glc__D_e,EX_glc__D_e,0.0,-1000.0,328.57142857143265,secretion,-46.635848044215926,-1000.0,201.5477390143497,secretion
42,glcur_e,EX_glcur_e,0.0,-1000.0,1000.0,secretion,0.0,-127.27272727272988,0.0,secretion
43,glucan4_e,EX_glucan4_e,0.0,0.0,65.71428571428586,secretion,0.0,0.0,40.309547802870476,secretion
44,glucan6_e,EX_glucan6_e,0.0,0.0,46.938775510204124,secretion,0.0,0.0,28.792534144907414,secretion
45,glyc_e,EX_glyc_e,0.0,-46.93877551020537,0.0,secretion,0.0,-350.0000000000057,218.8248382159588,secretion
46,glyclt_e,EX_glyclt_e,-0.03607119180326455,-0.04809482183405917,-0.03246407262293971,secretion,-0.022249671243644287,-350.0266996054997,-0.020024704119282463,secretion
47,glycogen1500_e,EX_glycogen1500_e,0.0,0.0,1.7714285714285767,secretion,0.06218113072562124,0.0,1.6020636520184828,uptake
48,gthox_e,EX_gthox_e,0.0,-499.99999999999915,500.0,secretion,0.0,-500.0000000000008,500.00000000000006,secretion
49,gthrd_e,EX_gthrd_e,0.0,-1000.0,1000.0,secretion,0.0,-1000.0,1000.0,secretion
50,h2o2_e,EX_h2o2_e,0.0,-500.0,499.99999999999994,secretion,0.0,-500.0000000000015,499.9999999999995,secretion
51,h2o_e,EX_h2o_e,0.0,-1000.0,1000.0,secretion,-1000.0,-1000.0,1000.0,secretion
52,h_e,EX_h_e,-1000.0,-1000.0,1000.0,secretion,0.0,-1000.0,1000.0,secretion
53,hxan_e,EX_hxan_e,0.0,0.0,1000.0,secretion,6.79453077139763,0.0,29.95874471480608,uptake
54,lac__L_e,EX_lac__L_e,0.0,-287.50000000000307,0.0,secretion,-21.619895795710853,-1000.0,0.0,secretion
55,lcts_e,EX_lcts_e,0.0,0.0,1000.0,secretion,0.0,0.0,100.77386950717498,secretion
56,lmn2_e,EX_lmn2_e,0.0,-1000.0,109.52380952381202,secretion,0.0,0.0,67.18257967145048,secretion
57,malt_e,EX_malt_e,0.0,-1000.0,0.0,secretion,-23.317924022107963,-1000.0,0.0,secretion
58,man1p_e,EX_man1p_e,0.0,-1000.0,873.0699517133519,secretion,0.0,-1000.0,1000.0,secretion
59,melib_e,EX_melib_e,0.0,0.0,76.66666666666637,secretion,0.0,0.0,100.77386950717558,secretion
60,meoh_e,EX_meoh_e,0.0,0.0,0.0,secretion,0.0,-1000.0,1000.0,secretion
61,nh4_e,EX_nh4_e,-1000.0,-1000.0,117.76752109616956,secretion,222.5578717132385,-1000.0,1000.0,uptake
62,no2_e,EX_no2_e,0.0,0.0,677.2355374246077,secretion,184.53644285198376,0.0,848.6303007536105,uptake
63,pi_e,EX_pi_e,-884.8772007766783,-1000.0,441.7961590631941,secretion,-1000.0,-1000.0,-649.9999999999903,secretion
64,ppa_e,EX_ppa_e,0.0,0.0,209.09090909091137,secretion,0.0,0.0,199.99999999999827,secretion
65,rib__D_e,EX_rib__D_e,0.0,0.0,143.1823524310207,secretion,0.0,0.0,100.77386950716213,secretion
66,spmd_e,EX_spmd_e,0.0,-46.93877551020461,0.0,secretion,0.0,0.0,0.0,secretion
67,udcpdp_e,EX_udcpdp_e,0.0,0.0,1000.0,secretion,0.0,-1000.0,350.0000000000148,secretion
68,udcpp_e,EX_udcpp_e,0.0,-999.9999999999985,0.0,secretion,0.0,-349.99999999999477,0.0,secretion
69,ura_e,EX_ura_e,-8.303868727098797,-15.20389431401205,251.46782144324254,secretion,0.0,-1000.0,140.57065251734062,secretion
70,4hba_c,sink_4hba_c,-0.012023730601088469,-0.012023730601088472,-0.010821357540979619,secretion,-0.007416557081215575,-0.0074165570812155515,-0.006674901373094065,secretion
