,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,4abut_e,EX_4abut_e,66.70236060739927,0.0,999.7965561714409,uptake,1000.0,90.03088225369925,1000.0,uptake
1,LalaLglu_e,EX_LalaLglu_e,36.02335349939649,0.0,1000.0,uptake,0.0,0.0,1000.0,secretion
2,ala__D_e,EX_ala__D_e,11.717185901916991,-1000.0,1000.0,uptake,0.0,-985.5798682550788,1000.0000000000009,secretion
3,but_e,EX_but_e,5.5335083905159825,0.0,153.49770688921924,uptake,0.0,0.0,0.0,secretion
4,bz_e,EX_bz_e,0.004378243238406881,-199.86772238870944,0.0043752480063820555,uptake,0.00534078953515596,0.004806710581647167,0.005340789535125623,uptake
5,ca2_e,EX_ca2_e,0.22788756055907797,0.20509880450317033,0.22788756055907797,uptake,0.27798809530486773,0.2501892857743816,0.27798809530486746,uptake
6,cl_e,EX_cl_e,0.22788756055907797,0.2050988045031701,0.22788756055907844,uptake,0.27798809530486773,0.2501892857743816,0.277988095304869,uptake
7,cobalt2_e,EX_cobalt2_e,0.004378243238406881,0.003940418914566191,0.004378243238406876,uptake,0.005340789535155963,0.00480671058164038,0.00534078953515596,uptake
8,cu2_e,EX_cu2_e,0.031041744560304764,0.027937570104274282,0.031041744560304705,uptake,0.03786619780421595,-999.9659204219752,0.037866197832132735,uptake
9,fe2_e,EX_fe2_e,0.29399903345902206,0.0,16.39293602227017,uptake,0.0,-1000.0,1000.0,secretion
10,fe3_e,EX_fe3_e,0.3418532320548093,0.3076679088493282,0.3418532320548096,uptake,0.7756428641907007,-1000.0,1000.0,uptake
11,gly_e,EX_gly_e,4.0760568900920475,-1000.0,818.9496457807344,uptake,-1000.0,-1000.0,100.00000000000955,secretion
12,k_e,EX_k_e,8.546024324343552,7.691421891909194,8.546024324343552,uptake,10.424847317356992,9.382362585621308,10.424847317357035,uptake
13,mg2_e,EX_mg2_e,0.37981260093179675,0.341831340838617,0.37981260093179636,uptake,0.46331349217477963,0.4169821429573028,0.4633134921747794,uptake
14,mn2_e,EX_mn2_e,0.030253660777391566,0.027228294699652402,0.030253660777391538,uptake,0.036904855687927736,0.03321437011913505,0.036904855687927715,uptake
15,nh4_e,EX_nh4_e,81.74037103493949,-1000.0,1000.0,uptake,-170.37101158431565,-1000.0,1000.0,secretion
16,nmn_e,EX_nmn_e,0.09973638097090513,0.0,0.09973638097128719,uptake,0.0,0.0,469.14155843460685,secretion
17,no2_e,EX_no2_e,17.99263868868324,-999.9999999999977,437.86125734547795,uptake,0.0,-999.9999999999969,0.0,secretion
18,no_e,EX_no_e,62.66871013042419,0.0,1000.0,uptake,0.0,0.0,1000.0,secretion
19,o2_e,EX_o2_e,1000.0,-0.004476782585326024,1000.0,uptake,124.58680400145558,0.00535948229852902,1000.0,uptake
20,pnto__R_e,EX_pnto__R_e,0.025218681053219547,-143.6803234205776,0.02521868105320949,uptake,0.0,-157.14285714286527,36.974789915967065,secretion
21,pro__L_e,EX_pro__L_e,9.67832559066034,0.0,9.678325590660338,uptake,11.806082306939027,-356.0411925904155,125.20880740957442,uptake
22,ser__D_e,EX_ser__D_e,23.910024149263787,-515.5354684048988,306.8630684349774,uptake,0.0,0.0,0.0,secretion
23,so4_e,EX_so4_e,0.18992819168209052,0.0,84.17093537251544,uptake,0.23168345003506574,0.20851510503155973,91.87518177169726,uptake
24,zn2_e,EX_zn2_e,0.01492980944296745,0.0134368284986707,0.014929809442967436,uptake,0.01821209231488119,0.016390883083394314,0.01821209231488181,uptake
25,2pglyc_e,EX_2pglyc_e,0.0,0.0,999.973638597462,secretion,0.0,0.0,469.14155843463425,secretion
26,3oxoadp_e,EX_3oxoadp_e,0.0,-126.81957631139657,0.0,secretion,0.0,-549.999999999999,0.0,secretion
27,4abz_e,EX_4abz_e,0.0,-999.9736385974617,0.02929044726494196,secretion,0.0,-183.33333333333178,0.0357257334423629,secretion
28,ac_e,EX_ac_e,-980.7398890820862,-1000.0,226.47948798046434,secretion,-1000.0,-1000.0,-280.05695779676137,secretion
29,acald_e,EX_acald_e,0.0,-285.344046700644,0.0,secretion,0.0,-1000.0,1000.0,secretion
30,ade_e,EX_ade_e,-680.7180441501852,-1000.0,-355.0026535906818,secretion,23.834875537497766,-20.704677308285028,92.38823763443185,uptake
31,ala__L_e,EX_ala__L_e,0.0,-1000.0,1000.0,secretion,-837.7831846986666,-1000.0,1000.0,secretion
32,arab__L_e,EX_arab__L_e,0.0,-1000.0,262.50000000000256,secretion,0.0,0.0,0.0,secretion
33,arg__L_e,EX_arg__L_e,0.0,0.0,71.33601167516134,secretion,15.797628181828516,0.0,234.21786536364726,uptake
34,asn__L_e,EX_asn__L_e,0.0,0.0,285.3440467006438,secretion,0.0,0.0,549.9999999999965,secretion
35,asp__L_e,EX_asp__L_e,0.0,0.0,285.34404670066385,secretion,0.0,0.0,550.0000000000043,secretion
36,cell6_e,EX_cell6_e,0.0,0.0,33.870967741935345,secretion,0.0,0.0,65.48290154383227,secretion
37,chol_e,EX_chol_e,0.0,-63.76586013069241,0.0,secretion,0.0,0.0,1000.0,secretion
38,co2_e,EX_co2_e,-1000.0,-1000.0,-714.6559532993476,secretion,-1000.0,-1000.0,-449.9999999999844,secretion
39,dca_e,EX_dca_e,0.0,0.0,32.21760265719618,secretion,0.0,0.0,31.97674418604605,secretion
40,enter_e,EX_enter_e,0.0,-15.081501140488527,0.0,secretion,0.0,-20.02205021280926,0.0,secretion
41,etha_e,EX_etha_e,0.0,-46.36896856495183,0.0,secretion,0.0,-366.6666666666598,0.0,secretion
42,etoh_e,EX_etoh_e,0.0,0.0,0.0,secretion,0.0,-1000.0,1000.0,secretion
43,feenter_e,EX_feenter_e,0.0,0.0,15.08150114048858,secretion,0.0,0.0,17.977766702731536,secretion
44,for_e,EX_for_e,0.0,0.0,0.0,secretion,0.0,0.0,549.9999999999834,secretion
45,fum_e,EX_fum_e,0.0,-1000.0,988.3445560842248,secretion,1000.0,280.0569577967751,1000.0,uptake
46,g3pe_e,EX_g3pe_e,0.0,-40.3208422303916,0.0,secretion,0.0,-47.267784308824346,366.66666666666816,secretion
47,gal_e,EX_gal_e,0.0,-1000.0,0.0,secretion,0.0,0.0,458.3803108068145,secretion
48,galur_e,EX_galur_e,0.0,0.0,419.99999999998926,secretion,0.0,0.0,0.0,secretion
49,glc__D_e,EX_glc__D_e,0.0,-1000.0,0.0,secretion,0.0,0.0,458.38031080681424,secretion
50,glcur_e,EX_glcur_e,-62.90281792366659,-256.61253613129804,414.4624879562343,secretion,-27.792013375797264,-238.64775944145453,0.0,secretion
51,gln__L_e,EX_gln__L_e,0.0,0.0,1000.0,secretion,33.450433016588796,0.0,409.7595961047605,uptake
52,glu__L_e,EX_glu__L_e,0.0,-1000.0,317.76506485009986,secretion,0.0,-1000.0,580.1077930702116,secretion
53,glucan4_e,EX_glucan4_e,0.0,0.0,47.72727272727341,secretion,0.0,0.0,91.67606216136389,secretion
54,glucan6_e,EX_glucan6_e,0.0,0.0,33.870967741936084,secretion,0.0,0.0,65.48290154383135,secretion
55,glyc_e,EX_glyc_e,0.0,-58.33333333333404,0.0,secretion,0.0,-421.8259818176708,421.935478684692,secretion
56,glyclt_e,EX_glyclt_e,-0.039053929686591,-1000.0,-0.026361402538441325,secretion,-0.011909960663397789,-469.15227739923546,506.1804592165841,secretion
57,gua_e,EX_gua_e,0.0,0.0,643.9662963961455,secretion,0.0,-2.827251276721749,0.0,secretion
58,h2_e,EX_h2_e,0.0,0.0,0.0,secretion,0.0,0.0,0.0,secretion
59,h2o_e,EX_h2o_e,-672.8706300383842,-1000.0,1000.0,secretion,-309.7218260007363,-1000.0,1000.0,secretion
60,h2s_e,EX_h2s_e,0.0,-83.99999999999999,291.4087060478635,secretion,4.914914977622631,-366.6559477020765,737.7567568131955,uptake
61,h_e,EX_h_e,-996.1727065512131,-1000.0,1000.0,secretion,0.0,-1000.0,1000.0,secretion
62,hxan_e,EX_hxan_e,0.0,0.0,643.966296396134,secretion,0.0,-2.8338064536514227,0.0,secretion
63,ile__L_e,EX_ile__L_e,0.0,0.0,0.0,secretion,15.51654242859328,-536.0351118142552,15.516542428593283,uptake
64,kdo2lipid4_e,EX_kdo2lipid4_e,0.0,-15.619893503644105,0.0,secretion,0.0,-8.730158730158852,0.0,secretion
65,lac__L_e,EX_lac__L_e,0.0,-175.5963364311653,0.0,secretion,0.0,-1000.0,1000.0,secretion
66,leu__L_e,EX_leu__L_e,0.0,0.0,0.0,secretion,24.06191250063352,-253.34427874942477,24.061912500633575,uptake
67,lmn2_e,EX_lmn2_e,0.0,-1000.0,80.76923076922873,secretion,0.0,0.0,152.79343693560654,secretion
68,mal__L_e,EX_mal__L_e,0.0,0.0,285.3440467006423,secretion,0.0,0.0,550.0000000000048,secretion
69,malt_e,EX_malt_e,0.0,-1000.0,0.0,secretion,0.0,0.0,152.7934369356073,secretion
70,malttr_e,EX_malttr_e,0.0,-1000.0,0.0,secretion,0.0,0.0,114.59507770170555,secretion
71,meoh_e,EX_meoh_e,0.0,0.0,0.0,secretion,0.0,0.0,0.0,secretion
72,n2o_e,EX_n2o_e,-31.334355065212094,-500.0,0.0,secretion,0.0,-500.0,0.0,secretion
