,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,26dap__M_e,EX_26dap__M_e,16.382016646687838,14.743814982019046,35.57714831535246,uptake,16.851861934507937,0.0,36.00000907439061,uptake
1,ca2_e,EX_ca2_e,0.1924095230537213,0.17316857074834904,0.1924095230537216,uptake,0.19792793447328128,0.17813514102595304,0.19792793447328164,uptake
2,cgly_e,EX_cgly_e,3.4066651309392415,0.0,3.4066651309392424,uptake,3.499426723888293,0.0,327.07912685770316,uptake
3,cl_e,EX_cl_e,0.1924095230537213,0.17316857074834904,0.19240952305372122,uptake,0.19792793447328128,0.17813514102595304,0.19792793447328125,uptake
4,cobalt2_e,EX_cobalt2_e,0.0036966286849898448,0.003326965816490858,0.003696628684989867,uptake,0.003802650037911266,0.0034223850341201373,0.003802650037911273,uptake
5,cu2_e,EX_cu2_e,0.026209097376577988,0.02358818763892017,0.02620909737657791,uptake,0.026960788768790864,0.024264709891911762,0.02696078876879089,uptake
6,fe2_e,EX_fe2_e,0.5368613839210753,0.0,0.5368613839210747,uptake,-210.33630477224014,-999.5029670215001,0.552258865006138,secretion
7,glu__L_e,EX_glu__L_e,102.75480606459041,-1000.0,747.982801781169,uptake,0.0,0.0,145.75614920263595,secretion
8,h2s_e,EX_h2s_e,5.68944424278101,-57.37950018149737,9.07755485995089,uptake,0.0,-323.92964280620777,503.1494840514973,secretion
9,h_e,EX_h_e,157.50856335125434,-1000.0,1000.0,uptake,-246.28378229612187,-1000.0,1000.0,secretion
10,k_e,EX_k_e,7.215560429092237,6.494004386183009,7.215560429092233,uptake,7.422506688500147,6.680256019650129,7.422506688500148,uptake
11,mg2_e,EX_mg2_e,0.3206825384228689,0.28861428458058186,0.32068253842287087,uptake,0.32987989078880225,0.2968919017099218,0.3298798907888028,uptake
12,mn2_e,EX_mn2_e,0.02554370421327985,0.02298933379195185,0.025543704213279998,uptake,0.026276311761966868,0.023648680585770167,0.026276311761966917,uptake
13,no2_e,EX_no2_e,224.54718553552323,69.22875601835263,1000.0,uptake,289.76559341483124,0.0,355.10894908612335,uptake
14,o2_e,EX_o2_e,491.48763980199107,0.07578828129964524,1000.0,uptake,491.66867896568795,347.82682752261485,1000.0,uptake
15,pi_e,EX_pi_e,36.452196698681405,-1000.0,282.80697702880406,uptake,0.0,-1000.0,92.2942096999665,secretion
16,so4_e,EX_so4_e,0.16035975235485952,0.14432377711937347,62.644323777119524,uptake,0.1649589586445908,0.1484630627801316,0.16495895864459037,uptake
17,zn2_e,EX_zn2_e,0.01260550381581536,0.011344953434233817,0.012605503815815435,uptake,0.012967036629277407,0.011670332966349659,0.01296703662927743,uptake
18,4hphac_e,EX_4hphac_e,0.0,0.0,499.96210585935046,secretion,5.252182205862668,0.0,5.252182205862668,uptake
19,LalaDgluMdapDala_e,EX_LalaDgluMdapDala_e,0.0,-20.833333333333425,0.0,secretion,0.0,-10.416666666666675,0.0,secretion
20,LalaDgluMdap_e,EX_LalaDgluMdap_e,0.0,-10.416666666666673,0.0,secretion,0.0,-10.416666666666675,0.0,secretion
21,ac_e,EX_ac_e,0.0,0.0,0.0,secretion,-944.4529416772097,-1000.0,-666.1197042593868,secretion
22,acald_e,EX_acald_e,-704.811887019142,-1000.0,336.2545830617613,secretion,-0.012282559622453382,-250.01105430366184,0.0,secretion
23,ade_e,EX_ade_e,-991.0207040927254,-1000.0,78.40895920589496,secretion,16.953506770022948,-22.232576500240448,140.25815609302168,uptake
24,ala__D_e,EX_ala__D_e,0.0,-1000.0,1000.0,secretion,0.0,-1000.0,1000.0,secretion
25,ala__L_e,EX_ala__L_e,-1000.0,-1000.0,1000.0,secretion,58.88745822209004,-1000.0,1000.0,uptake
26,alaala_e,EX_alaala_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,0.0,secretion
27,amylose300_e,EX_amylose300_e,0.0,0.0,10.000000000000002,secretion,0.0,0.0,9.999999999999998,secretion
28,anhgm_e,EX_anhgm_e,0.0,-20.83333333333359,0.0,secretion,0.0,-20.83333333333312,0.0,secretion
29,arab__D_e,EX_arab__D_e,0.0,0.0,0.0,secretion,33.24710165246513,0.0,329.92239148721507,uptake
30,arab__L_e,EX_arab__L_e,0.0,0.0,0.0,secretion,0.0,-1000.0,0.0,secretion
