,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,LalaLglu_e,EX_LalaLglu_e,407.2134685495779,0.0,664.2885169920123,uptake,0.0,0.0,1000.0,secretion
1,arg__L_e,EX_arg__L_e,15.908675023477253,14.31780752112952,224.74320623992114,uptake,9.821484299340822,0.0,604.5807798747007,uptake
2,ca2_e,EX_ca2_e,0.27994216712148773,0.25194795040933876,0.27994216712148756,uptake,0.1728269384502251,0.15554424460490873,0.17282693845022312,uptake
3,cl_e,EX_cl_e,0.27994216712148773,0.25194795040933876,0.2799421671214877,uptake,0.1728269384502251,0.15554424460490862,0.17282693845022634,uptake
4,cobalt2_e,EX_cobalt2_e,0.005378331741046838,0.004840498566942151,0.005378331741046834,uptake,0.003320402275700772,0.002988362048125049,0.003320402275700819,uptake
5,cu2_e,EX_cu2_e,0.03813237204402206,0.034319134839619826,0.03813237204402209,uptake,0.023541652134718462,0.02118748692120659,0.02354165213471833,uptake
6,fe2_e,EX_fe2_e,0.3611549764112952,0.0,0.36115497641129474,uptake,0.0,-999.5660001797506,11.311779622831805,secretion
7,fe3_e,EX_fe3_e,0.4199401423409372,0.3779461281068428,0.7810669101320805,uptake,0.4822220225000232,0.23333130871765206,1000.0,uptake
8,fum_e,EX_fum_e,70.70154832840146,-955.1174612727382,1000.0,uptake,1000.0,799.9970116345525,1000.0,uptake
9,h2o_e,EX_h2o_e,1000.0,-1000.0,1000.0,uptake,0.0,-1000.0,1000.0,secretion
10,ile__L_e,EX_ile__L_e,15.625613423945978,14.063052081551385,15.625613423945989,uptake,9.646731527570703,8.682058374797231,9.646731527570699,uptake
11,k_e,EX_k_e,10.498127075301568,9.448314367771395,10.49812707530156,uptake,6.481192814008616,5.833073532596735,6.481192814008643,uptake
12,leu__L_e,EX_leu__L_e,24.231051776255736,-353.31823504740953,24.231051776255736,uptake,14.959441576737452,-941.7818997783752,14.959441576737454,uptake
13,met__L_e,EX_met__L_e,8.277736599327762,-273.117235352325,8.277736599327763,uptake,5.110397938508291,0.0,44.599358145329916,uptake
14,mg2_e,EX_mg2_e,0.466570278535813,0.41991325068223145,0.46657027853581273,uptake,0.28804489741704187,0.25924040767484796,0.288044897417046,uptake
15,mn2_e,EX_mn2_e,0.03716427233063368,0.03344784509757029,0.03716427233063366,uptake,0.022943979725092354,0.020649581752544107,0.022943979725092677,uptake
16,no3_e,EX_no3_e,473.0567913296088,0.0,1000.0,uptake,0.0,0.0,1000.0,secretion
17,o2_e,EX_o2_e,1000.0,78.19872062044955,1000.0,uptake,416.5705610408484,0.08806702955824741,1000.0,uptake
18,pi_e,EX_pi_e,52.91283441818707,-1000.0,104.76440811922573,uptake,0.0,-1000.0,32.830138511202115,secretion
19,so4_e,EX_so4_e,0.2333120309266119,0.0,117.85703965136388,uptake,0.14403905071989953,0.12963514564766468,0.14403905071989936,uptake
20,thr__L_e,EX_thr__L_e,44.41152056837667,12.279715599518548,648.419251708516,uptake,8.423428921157026,0.0,1000.0,uptake
21,zn2_e,EX_zn2_e,0.0183401112369697,0.01650610011327272,0.01834011123696969,uptake,0.011322571760139623,0.01019031458410641,0.011322571760139783,uptake
22,2ddglcn_e,EX_2ddglcn_e,0.0,0.0,333.33333333333456,secretion,0.0,-1000.0,854.9843973922718,secretion
