,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,LalaLglu_e,EX_LalaLglu_e,407.2134685495779,0.0,664.2885169920123,uptake,0.0,0.0,1000.0,secretion
1,arg__L_e,EX_arg__L_e,15.908675023477253,14.31780752112952,224.74320623992114,uptake,12.08658726821855,-44.12207145860196,12.086587268218567,uptake
2,asn__L_e,EX_asn__L_e,12.964737578380442,11.66826382054239,511.6682638205469,uptake,9.849936083262635,8.86494247493638,328.2345946339183,uptake
3,ca2_e,EX_ca2_e,0.27994216712148773,0.25194795040933876,0.27994216712148756,uptake,0.21268555853801843,0.19141700268421674,0.2126855585380186,uptake
4,cl_e,EX_cl_e,0.27994216712148773,0.25194795040933876,0.2799421671214877,uptake,0.21268555853801843,0.19141700268421674,0.21268555853801918,uptake
5,cobalt2_e,EX_cobalt2_e,0.005378331741046838,0.004840498566942151,0.005378331741046834,uptake,0.00408617787777173,0.0036775600899945603,0.004086177877771734,uptake
6,cu2_e,EX_cu2_e,0.03813237204402206,0.034319134839619826,0.03813237204402209,uptake,0.02897100115340155,0.02607390103806142,0.028971001153401576,uptake
7,fe2_e,EX_fe2_e,0.3611549764112952,0.0,0.36115497641129474,uptake,0.2743868444923717,-653.3639477952389,13.61565662845161,uptake
8,fe3_e,EX_fe3_e,0.4199401423409372,0.3779461281068428,0.7810669101320805,uptake,0.3190487686964168,0.0,653.8980398471149,uptake
9,fum_e,EX_fum_e,70.70154832840146,-955.1174612727382,1000.0,uptake,722.66534963953,450.39881467556927,838.364585461864,uptake
10,h2o_e,EX_h2o_e,1000.0,-1000.0,1000.0,uptake,1000.0,-1000.0,1000.0,uptake
11,his__L_e,EX_his__L_e,21.23817151231524,4.585791532349655,464.1852492577497,uptake,3.8711631978433827,3.4840468780590474,3.8711631978433867,uptake
12,ile__L_e,EX_ile__L_e,15.625613423945978,14.063052081551385,15.625613423945989,uptake,11.871531726511439,-539.3174602261957,11.871531726511451,uptake
13,k_e,EX_k_e,10.498127075301568,9.448314367771395,10.49812707530156,uptake,7.975933184958984,7.178339866463092,7.9759331849589925,uptake
14,leu__L_e,EX_leu__L_e,24.231051776255736,-353.31823504740953,24.231051776255736,uptake,18.40949805450376,-258.4314517509472,18.409498054503793,uptake
15,met__L_e,EX_met__L_e,8.277736599327762,-273.117235352325,8.277736599327763,uptake,6.288995509899681,0.0,143.1633138239854,uptake
16,mg2_e,EX_mg2_e,0.466570278535813,0.41991325068223145,0.46657027853581273,uptake,0.3544759308966975,0.319028337807028,0.35447593089669777,uptake
17,mn2_e,EX_mn2_e,0.03716427233063368,0.03344784509757029,0.03716427233063366,uptake,0.028235489135402678,0.025411940221862432,0.028235489135402702,uptake
18,no3_e,EX_no3_e,473.0567913296088,0.0,1000.0,uptake,831.2794568848348,75.89393071975532,1000.0,uptake
19,o2_e,EX_o2_e,1000.0,78.19872062044955,1000.0,uptake,70.61949175792822,0.008200959000664771,937.5329425803226,uptake
20,pi_e,EX_pi_e,52.91283441818707,-1000.0,104.76440811922573,uptake,40.29351402026208,-963.7112345047641,68.61710379470597,uptake
