,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,4hphac_e,EX_4hphac_e,81.7586775125355,0.0,327.63974025194443,uptake,0.0,0.0,0.0,secretion
1,adn_e,EX_adn_e,172.42553627642314,0.0,1000.0,uptake,3.730042918119161,0.0,9.820781244868527,uptake
2,arg__L_e,EX_arg__L_e,11.373264040378965,10.235937636341083,709.6760900319086,uptake,5.400553384709824,0.0,5.400553384710623,uptake
3,asn__L_e,EX_asn__L_e,9.26861498368296,8.341753485314676,441.675086818643,uptake,8.804162545440455,7.923746290900226,1000.0,uptake
4,asp__L_e,EX_asp__L_e,13.20122539749361,-421.4522304755879,445.2144361910749,uptake,0.0,-992.0762537090995,0.0,secretion
5,ca2_e,EX_ca2_e,0.20013333467494898,0.18012000120745433,0.20013333467494906,uptake,0.0950325917111167,0.08552933254004666,0.09503259171113024,uptake
6,cl_e,EX_cl_e,0.20013333467494898,0.18012000120745433,0.20013333467494931,uptake,0.0950325917111167,0.08552933254004666,0.09503259171113058,uptake
7,cobalt2_e,EX_cobalt2_e,0.003845020839096044,0.0034605187551864447,0.0038450208390960455,uptake,0.0018257942691857207,0.0016432148422679484,0.0018257942691859838,uptake
8,cu2_e,EX_cu2_e,0.02726119774919094,0.02453507797427188,0.02726119774919099,uptake,0.012944881368526754,0.011650393231679747,0.012944881368528657,uptake
9,fe2_e,EX_fe2_e,0.2581931493452994,0.0,0.25819314934529974,uptake,0.2651601017138423,0.23864409154257415,0.2651601017138811,uptake
10,gln__L_e,EX_gln__L_e,562.717749815248,0.0,736.9628018193484,uptake,9.590678200720392,0.0,1000.0,uptake
11,h2o_e,EX_h2o_e,1000.0,-394.8028513516566,1000.0,uptake,-700.8661564794412,-1000.0,1000.0,secretion
12,h2s_e,EX_h2s_e,3.529844480915342,-102.25992544658494,34.129240985204675,uptake,0.07920295539727659,0.07128265985758361,68.30233260252405,uptake
13,his__L_e,EX_his__L_e,3.6426958425428113,3.278426258288527,413.12948726317524,uptake,1.7297209747411686,0.0,1.7297209747414244,uptake
14,ile__L_e,EX_ile__L_e,11.170900593617356,10.053810534255634,11.170900593617368,uptake,5.304461832322587,-119.17506604590089,5.304461832323359,uptake
15,k_e,EX_k_e,7.505211526456752,6.754690373811086,7.505211526456757,uptake,3.5638226078516886,3.2074403470680806,3.563822607852206,uptake
16,lys__L_e,EX_lys__L_e,13.19461196165037,11.87515076548535,13.19461196165038,uptake,6.265413872080408,0.0,6.265413872081335,uptake
17,mg2_e,EX_mg2_e,0.33355555779158175,0.30020000201242397,0.33355555779158186,uptake,0.15838765285186124,0.14254888756674447,0.15838765285188405,uptake
18,mn2_e,EX_mn2_e,0.026569093998153687,0.023912184598338354,0.026569093998153697,uptake,0.012616238400073341,0.011354614560071532,0.012616238400075157,uptake
19,o2_e,EX_o2_e,762.8711170487686,-0.004164802538020029,1000.0,uptake,176.12848850667376,0.17464087343449852,588.344665524326,uptake
20,thr__L_e,EX_thr__L_e,9.75431801607759,8.778886214469845,442.1122195478006,uptake,4.63362850193837,0.0,136.18363917244565,uptake
21,ura_e,EX_ura_e,1.0042040925467128,-270.7451592060974,222.75081755176024,uptake,6.037810358483732,0.0,6.0378103584846095,uptake
22,val__L_e,EX_val__L_e,16.270667083135596,-240.8596307727483,92.83079408763548,uptake,-280.1504941851243,-559.0928589877001,127.96344047569025,secretion
23,zn2_e,EX_zn2_e,0.0131115210613175,0.011800368955185768,0.013111521061317504,uptake,0.006225958457923303,0.0056033626121336985,0.0062259584579242855,uptake
24,abt__L_e,EX_abt__L_e,0.0,0.0,0.0,secretion,0.0,-121.42857142819977,0.0,secretion
25,acald_e,EX_acald_e,-1000.0,-1000.0,-790.7711057691042,secretion,-389.1106160776652,-1000.0,548.0255367270034,secretion
26,anhgm_e,EX_anhgm_e,0.0,-52.70965514833786,0.0,secretion,0.0,0.0,34.459392448492494,secretion
27,but_e,EX_but_e,0.0,0.0,255.50323114756753,secretion,0.0,0.0,121.42857142819594,secretion
28,cgly_e,EX_cgly_e,0.0,0.0,105.43678547940873,secretion,15.125427463588611,0.0,71.75550510710573,uptake
29,cit_e,EX_cit_e,0.0,0.0,108.33333333333277,secretion,0.018842196857996645,0.0,26.817976761851572,uptake
30,co2_e,EX_co2_e,-757.9519511880623,-1000.0,-300.5598476044396,secretion,-711.0925217914711,-1000.0,-456.9294478642123,secretion
31,etha_e,EX_etha_e,0.0,-48.14814814814842,0.0,secretion,0.0,-107.60762075285251,0.0,secretion
32,fum_e,EX_fum_e,0.0,-935.7350999740468,933.2911576994618,secretion,0.0,-0.0018257915239343334,35.11091879418538,secretion
33,g3pe_e,EX_g3pe_e,0.0,-43.33333333333345,0.0,secretion,0.0,0.0,107.60762075285214,secretion
34,glc__D_e,EX_glc__D_e,0.0,-930.6958527702336,216.66666666666723,secretion,0.0,-1000.0,283.3333333324684,secretion
35,glcur_e,EX_glcur_e,0.0,-287.7243494809941,0.0,secretion,-1.14098448367089,-2.4778371552599556,0.0,secretion
36,glyclt_e,EX_glyclt_e,-0.02572318941355411,-0.034297450155536424,-0.019690351716977972,secretion,-17.962437889391765,-125.56570110503947,0.0,secretion
37,gua_e,EX_gua_e,0.0,0.0,333.41695055786636,secretion,4.420485278953635,0.0,16.49509684392991,uptake
38,h_e,EX_h_e,-977.324720155387,-1000.0,227.40041951019776,secretion,-273.1923922277633,-642.5904428927577,122.67497200111922,secretion
39,hxan_e,EX_hxan_e,0.0,0.0,97.61120536411545,secretion,0.0,0.0,16.86349453495504,secretion
