,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,3mb_e,EX_3mb_e,17.323010836587805,15.590709752929047,17.32301083658784,uptake,0.0,0.0,1000.0,secretion
1,arg__L_e,EX_arg__L_e,11.373264040378965,10.235937636341083,709.6760900319086,uptake,4.497186506530855,4.047467855877699,1000.0,uptake
2,asn__L_e,EX_asn__L_e,9.26861498368296,8.341753485314676,441.675086818643,uptake,3.3628553181308423,0.0,1000.0,uptake
3,asp__L_e,EX_asp__L_e,13.20122539749361,-421.4522304755879,445.2144361910749,uptake,8.883779979279385,-1000.0,1000.0,uptake
4,ca2_e,EX_ca2_e,0.20013333467494898,0.18012000120745433,0.20013333467494906,uptake,0.07913620302947037,0.07122258272652257,0.07913620302947041,uptake
5,cl_e,EX_cl_e,0.20013333467494898,0.18012000120745433,0.20013333467494931,uptake,0.07913620302947037,0.07122258272652257,0.07913620302947029,uptake
6,cobalt2_e,EX_cobalt2_e,0.003845020839096044,0.0034605187551864447,0.0038450208390960455,uptake,0.0015203881465796429,0.001368349331921664,0.001520388146579645,uptake
7,cu2_e,EX_cu2_e,0.02726119774919094,0.02453507797427188,0.02726119774919099,uptake,0.010779551959249662,0.009701596763324593,0.010779551959249643,uptake
8,fe2_e,EX_fe2_e,0.2581931493452994,0.0,0.25819314934529974,uptake,0.10209406404282304,0.09188465763853974,5.6474402131947485,uptake
9,fe3_e,EX_fe3_e,0.30021922711661925,0.2701973044049577,0.30021922711661947,uptake,0.11871190648493855,0.10684071583644354,0.11871190648493907,uptake
10,gln__L_e,EX_gln__L_e,562.717749815248,0.0,736.9628018193484,uptake,4.007834377672731,3.607050939905207,1000.0,uptake
11,gthrd_e,EX_gthrd_e,972.5187413562064,-394.80285135166287,1000.0,uptake,0.0,-1000.0,1000.0,secretion
12,h2o2_e,EX_h2o2_e,486.2593706781032,-197.40142567583214,499.9999999999996,uptake,-0.7014994888910593,-1000.0,999.9999999999949,secretion
13,h2o_e,EX_h2o_e,1000.0,-394.8028513516566,1000.0,uptake,-206.04988898278043,-1000.0,1000.0,secretion
14,h2s_e,EX_h2s_e,3.529844480915342,-102.25992544658494,34.129240985204675,uptake,0.0,-100.0000000000135,36.000953161741535,secretion
15,his__L_e,EX_his__L_e,3.6426958425428113,3.278426258288527,413.12948726317524,uptake,1.82125775690618,1.2963467900759462,21.627324820630992,uptake
16,ile__L_e,EX_ile__L_e,11.170900593617356,10.053810534255634,11.170900593617368,uptake,4.417168478376374,3.975451630538694,4.417168478376376,uptake
17,k_e,EX_k_e,7.505211526456752,6.754690373811086,7.505211526456757,uptake,2.9676912349532065,2.670922111457857,2.9676912349532025,uptake
18,lys__L_e,EX_lys__L_e,13.19461196165037,11.87515076548535,13.19461196165038,uptake,5.217379167684165,4.695641250915742,1000.0,uptake
19,mg2_e,EX_mg2_e,0.33355555779158175,0.30020000201242397,0.33355555779158186,uptake,0.13189367171578398,0.11870430454420432,0.13189367171578417,uptake
20,mn2_e,EX_mn2_e,0.026569093998153687,0.023912184598338354,0.026569093998153697,uptake,0.010505882092865342,0.009455293883578705,0.010505882092865355,uptake
21,o2_e,EX_o2_e,762.8711170487686,-0.004164802538020029,1000.0,uptake,0.0033904655668726014,0.003051419010760933,1000.0,uptake
22,progly_e,EX_progly_e,8.49961081586377,7.6496497342774035,8.499610815863768,uptake,0.0,0.0,100.00000000000863,secretion
23,so4_e,EX_so4_e,0.16679700399998645,0.15011730359998804,72.37233952582228,uptake,0.06595443779862493,0.05935899401906994,33.39269232735509,uptake
24,thr__L_e,EX_thr__L_e,9.75431801607759,8.778886214469845,442.1122195478006,uptake,3.8570270774135023,3.4713243696721148,103.47132436967989,uptake
25,udcpp_e,EX_udcpp_e,3.845020839096044,-792.415809108053,110.77286533774539,uptake,0.0,-1000.0,0.0,secretion
26,ura_e,EX_ura_e,1.0042040925467128,-270.7451592060974,222.75081755176024,uptake,2.1909401347471316,0.0,2.992269622562564,uptake
27,val__L_e,EX_val__L_e,16.270667083135596,-240.8596307727483,92.83079408763548,uptake,6.433704888829346,5.790334399946349,6.433704888829338,uptake
28,zn2_e,EX_zn2_e,0.0131115210613175,0.011800368955185768,0.013111521061317504,uptake,0.005184523579836578,0.00466607122185287,0.005184523579836585,uptake
29,26dap__M_e,EX_26dap__M_e,0.0,0.0,56.17017390352409,secretion,1.520388146579643,1.3683493319216649,4.939777903350562,uptake
30,2obut_e,EX_2obut_e,0.0,-433.3333333333342,0.0,secretion,-0.001520388146689253,-101.26406742934368,0.0,secretion
31,LalaDgluMdap_e,EX_LalaDgluMdap_e,0.0,-52.70965514833875,3.8348128070641483,secretion,0.0,-3.5714285714289393,0.0,secretion
32,ac_e,EX_ac_e,0.0,0.0,0.0,secretion,0.0,0.0,0.0,secretion
33,acald_e,EX_acald_e,-1000.0,-1000.0,-790.7711057691042,secretion,-28.8585786335164,-1000.0,1000.0000000000007,secretion
34,ade_e,EX_ade_e,-990.647832713473,-1000.0,-538.0261903870479,secretion,3.106107371818557,-16.203977584736183,6.753413071068291,uptake
35,agm_e,EX_agm_e,0.0,-699.4401523955671,0.0,secretion,0.0,-995.9525321441207,0.0,secretion
36,ala__D_e,EX_ala__D_e,0.0,-105.41931029667651,0.0,secretion,0.0,-1000.0,1000.0,secretion
37,anhgm_e,EX_anhgm_e,0.0,-52.70965514833786,0.0,secretion,0.0,-7.142857142858,0.0,secretion
38,but_e,EX_but_e,0.0,0.0,255.50323114756753,secretion,0.0,0.0,100.00000000000978,secretion
39,cgly_e,EX_cgly_e,0.0,0.0,105.43678547940873,secretion,0.0,-1000.0,1000.0,secretion
40,cit_e,EX_cit_e,0.0,0.0,108.33333333333277,secretion,0.0,0.0,100.00000000001103,secretion
41,co2_e,EX_co2_e,-757.9519511880623,-1000.0,-300.5598476044396,secretion,-385.7291624951036,-1000.0,320.7410179733329,secretion
42,dcyt_e,EX_dcyt_e,0.0,0.0,183.3998435588497,secretion,0.0,0.0,0.8079347416359611,secretion
43,etha_e,EX_etha_e,0.0,-48.14814814814842,0.0,secretion,0.0,-999.9999999999998,1000.0,secretion
44,etoh_e,EX_etoh_e,0.0,0.0,0.0,secretion,-331.1020420971779,-1000.0,1000.0,secretion
45,for_e,EX_for_e,-857.7656812239104,-1000.0,-284.78289849963153,secretion,0.0,-1000.0,20.330978030553947,secretion
46,fum_e,EX_fum_e,0.0,-935.7350999740468,933.2911576994618,secretion,0.0,-18.99947421937322,0.03310747589606244,secretion
47,g3pe_e,EX_g3pe_e,0.0,-43.33333333333345,0.0,secretion,0.0,-12.500000000001478,999.9999999999998,secretion
48,galt_e,EX_galt_e,0.0,0.0,156.28262731383018,secretion,0.0,0.0,563.3298708013733,secretion
49,glcur_e,EX_glcur_e,0.0,-287.7243494809941,0.0,secretion,0.0,0.0,0.0,secretion
50,glyc_e,EX_glyc_e,0.0,0.0,0.0,secretion,0.0,-100.00000000000296,1000.0,secretion
51,glyclt_e,EX_glyclt_e,-0.02572318941355411,-0.034297450155536424,-0.019690351716977972,secretion,0.0,-0.010170258797513612,100.00000000001012,secretion
52,gthox_e,EX_gthox_e,-486.2593706781032,-499.9999999999993,197.4014256758291,secretion,0.7014994888910593,-1000.0000000000001,1000.0,uptake
53,gua_e,EX_gua_e,0.0,0.0,333.41695055786636,secretion,3.6878382844621242,0.0,3.697595974292325,uptake
