,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,26dap__M_e,EX_26dap__M_e,3.0327449999187865,0.0,19.635944412549808,uptake,3.013837704297129,2.7124539338674127,19.3791206005342,uptake
1,3mb_e,EX_3mb_e,13.663456375584113,12.297110738025644,13.663456375584259,uptake,0.0,0.0,100.0000000000013,secretion
2,LalaLglu_e,EX_LalaLglu_e,26.53745338608162,0.0,75.76401608191287,uptake,18.879282147258067,16.991353932535638,1000.0,uptake
3,arg__L_e,EX_arg__L_e,8.970617090159772,8.073555381143757,52.068139427931776,uptake,37.89056536289949,8.023221740063539,1000.0,uptake
4,asp__L_e,EX_asp__L_e,19.375388963331122,-982.5621499330014,111.99415693704191,uptake,0.0,0.0,638.0300619461196,secretion
5,ca2_e,EX_ca2_e,0.15785437724577273,0.14206893952119481,0.15785437724577092,uptake,0.1568702525086655,0.14118322725779875,0.1568702525086653,uptake
6,cgly_e,EX_cgly_e,2.801619503474976,0.0,99.32767942596152,uptake,2.777432274772063,0.0,2.7774322747720626,uptake
7,cl_e,EX_cl_e,0.15785437724577273,0.14206893952119481,0.15785437724577445,uptake,0.1568702525086655,0.14118322725779875,0.15687025250866543,uptake
8,cobalt2_e,EX_cobalt2_e,0.003032744999918786,0.002729470499926895,0.0030327449999187515,uptake,0.0030138377042971294,0.002712453933867413,0.0030138377042971316,uptake
9,cu2_e,EX_cu2_e,0.021502162049424185,0.019351945844481678,0.021502162049424435,uptake,0.02136810932346664,0.01923129839111995,0.021368109323466687,uptake
10,fe2_e,EX_fe2_e,0.20364882674454654,0.0,0.20364882674454907,uptake,0.4376996497950722,0.0,0.43769964979507214,uptake
11,fol_e,EX_fol_e,0.020289064049456407,-16.774985083124047,0.02028906404945687,uptake,0.020162574241747735,-28.553282254611364,0.0201625742417898,uptake
12,g3pe_e,EX_g3pe_e,18.821603477332587,-21.90539469499663,1000.0000000000002,uptake,0.0,-25.000000000000473,0.0,secretion
13,glyc3p_e,EX_glyc3p_e,990.4372456973412,0.0,1000.0,uptake,955.7196114669036,310.278506632573,1000.0,uptake
14,h2s_e,EX_h2s_e,4.6676675019249965,-92.60532112110273,7.449365367520736,uptake,0.0,-169.230769230794,2.769739510861882,secretion
15,h_e,EX_h_e,1000.0,-1000.0,1000.0,uptake,230.77127592857835,-1000.0,1000.0,uptake
16,his__L_e,EX_his__L_e,4.56087627938067,2.5858457622209707,67.5524899417307,uptake,2.855249564297015,2.56972460786731,2.8552495642970146,uptake
17,k_e,EX_k_e,5.919705947691485,5.3277353529223115,5.9197059476915594,uptake,5.882800230148703,5.294520207133826,5.882800230148696,uptake
18,lys__L_e,EX_lys__L_e,10.4071980691713,9.366478262254127,10.407198069171432,uptake,10.342315604443067,9.308084043998749,10.34231560444306,uptake
19,mg2_e,EX_mg2_e,0.26309062874295464,0.2367815658686581,0.26309062874295164,uptake,0.2614504208477759,0.235305378762998,0.2614504208477761,uptake
20,mn2_e,EX_mn2_e,0.02095626794943883,0.01886064115449486,0.02095626794943859,uptake,0.02082561853669318,0.01874305668302384,0.020825618536693194,uptake
21,no2_e,EX_no2_e,336.4091488263159,0.0,353.0463593729599,uptake,323.6588741180287,0.0,333.3333333333333,uptake
22,no3_e,EX_no3_e,156.05235104579876,0.0,403.2614465887142,uptake,0.0,0.0,9.76340042535784,secretion
23,o2_e,EX_o2_e,118.92727855751872,-0.0033815106748858923,1000.0,uptake,39.473739332053206,0.07942065118363786,1000.0,uptake
24,progly_e,EX_progly_e,6.70403445957048,6.033631013613404,6.704034459570566,uptake,6.662238937234027,5.996015043510616,6.662238937234025,uptake
25,so4_e,EX_so4_e,0.131560478096477,0.11840443028682875,50.11840443029444,uptake,0.13074027961240953,0.11766625165116841,50.11766625165181,uptake
26,val__L_e,EX_val__L_e,12.850893007755861,-189.9531391822313,12.850893007756078,uptake,-363.0537011328353,-988.521925684368,12.770775611434187,secretion
27,zn2_e,EX_zn2_e,0.010341660449723053,0.009307494404750705,0.010341660449722935,uptake,0.010277186571653203,0.00924946791448787,0.01027718657165321,uptake
28,3amp_e,EX_3amp_e,0.0,0.0,342.575494507301,secretion,6.157180014750883,0.0,205.5414620132777,uptake
29,3cmp_e,EX_3cmp_e,0.0,0.0,122.37868294785173,secretion,9.181023660223314,0.0,9.957845287182808,uptake
30,3gmp_e,EX_3gmp_e,0.0,0.0,342.57549450730295,secretion,0.0,0.0,205.54146201327748,secretion
31,3ump_e,EX_3ump_e,0.0,0.0,122.37868294785085,secretion,0.0,0.0,9.957845287182927,secretion
32,ac_e,EX_ac_e,0.0,0.0,0.0,secretion,0.0,-237.78635489198672,0.0,secretion
33,acald_e,EX_acald_e,-1000.0,-1000.0,-812.5826063080557,secretion,-8.239139100876343,-1000.0,0.0,secretion
34,ade_e,EX_ade_e,0.0,-1000.0,34.925866379020476,secretion,0.0,-200.0000000000018,38.87479534660775,secretion
35,anhgm_e,EX_anhgm_e,0.0,-21.07720916134423,0.0,secretion,0.0,-16.6666666666668,118.8931774459919,secretion
36,asn__L_e,EX_asn__L_e,0.0,0.0,1000.0000000000013,secretion,0.0,0.0,526.0893829067844,secretion
37,but_e,EX_but_e,0.0,0.0,201.5189428892454,secretion,0.0,0.0,0.0,secretion
38,co2_e,EX_co2_e,-1000.0,-1000.0,-780.0270797660588,secretion,-495.38170560932036,-1000.0,56.79908123358382,secretion
39,dca_e,EX_dca_e,0.0,0.0,19.633324543688218,secretion,0.0,0.0,33.33333333333332,secretion
40,dcyt_e,EX_dcyt_e,0.0,0.0,217.31466959459436,secretion,0.7886007737063885,0.0,9.969624433929992,uptake
41,enlipa_e,EX_enlipa_e,0.0,-3.4978911543353295,0.0,secretion,0.0,-5.555555555555514,0.0,secretion
