,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,arg__L_e,EX_arg__L_e,15.261489761550397,13.735340785395346,140.40200745206195,uptake,6.414171339076801,0.0,455.7727542051476,uptake
1,asn__L_e,EX_asn__L_e,12.437315459750533,-134.96026224006687,1000.0,uptake,0.0,0.0,224.9999999999864,secretion
2,but_e,EX_but_e,21.86290754509873,0.0,21.862907545098725,uptake,0.0,0.0,0.0,secretion
3,ca2_e,EX_ca2_e,0.2685537614569353,0.2416983853112416,0.2685537614569352,uptake,0.11286904926398589,0.10158214433759027,0.11286904926398875,uptake
4,cgly_e,EX_cgly_e,4.766326211264218,4.2896935901377775,283.6862518042934,uptake,1.9983785022040066,0.0,130.36996922340364,uptake
5,cl_e,EX_cl_e,0.2685537614569353,0.2416983853112416,0.2685537614569352,uptake,0.11286904926398589,0.10158214433759027,0.11286904926398834,uptake
6,cobalt2_e,EX_cobalt2_e,0.005159534321939203,0.004643580889745279,0.0051595343219392005,uptake,0.0021684735689526603,0.0019516262120574512,0.002168473568952712,uptake
7,cu2_e,EX_cu2_e,0.036581098342548926,0.03292298850829401,0.03658109834254889,uptake,0.015374477603874353,0.013837029843487322,0.015374477603873098,uptake
8,fe2_e,EX_fe2_e,0.3464627297182174,0.0,0.34646272971821773,uptake,-272.17370626702643,-1000.0,5.455848467879928,secretion
9,fe3_e,EX_fe3_e,0.402856439857013,0.36257079587131147,0.4028564398570125,uptake,272.4886336834454,0.0,1000.0,uptake
10,gthrd_e,EX_gthrd_e,137.51743126046952,-1000.0,1000.0,uptake,0.0,-1000.0,1000.0,secretion
11,h2o2_e,EX_h2o2_e,68.75871563023476,-500.0000000000022,500.0,uptake,0.0,-500.0,499.9999999999998,secretion
12,h2o_e,EX_h2o_e,1000.0,-1000.0,1000.0,uptake,-1000.0,-1000.0,1000.0,secretion
13,ile__L_e,EX_ile__L_e,14.989943470186757,13.49094912316807,14.989943470186756,uptake,0.0,0.0,0.0,secretion
14,k_e,EX_k_e,10.0710498290228,9.063944846120513,10.0710498290228,uptake,4.232708613445771,3.809437752101303,4.23270861344588,uptake
15,lys__L_e,EX_lys__L_e,17.705509574509776,15.934958617058786,17.705509574509755,uptake,7.441355583953634,0.0,388.9630138208793,uptake
16,mg2_e,EX_mg2_e,0.4475896024282257,0.4028306421854028,0.44758960242822554,uptake,0.1881150821066432,0.16930357389598383,0.18811508210664768,uptake
17,mn2_e,EX_mn2_e,0.03565238216459992,0.0320871439481399,0.035652382164599906,uptake,0.014984152361462893,0.013485737125316997,0.01498415236146325,uptake
18,nmn_e,EX_nmn_e,0.11753419185377822,0.0,0.11753419185370946,uptake,0.04939782790046454,0.0,0.04939782790125946,uptake
19,o2_e,EX_o2_e,784.0480263249656,-0.002549613385004662,1000.0,uptake,192.3617192809531,2.704270860737406,1000.0,uptake
20,pi_e,EX_pi_e,50.7602725893946,-1000.0,95.7858505463071,uptake,21.333768242394353,-1000.0,244.20039141814277,uptake
21,progly_e,EX_progly_e,11.405408595362717,10.264867735826437,11.405408595362678,uptake,0.0,0.0,128.5714285714234,secretion
22,so4_e,EX_so4_e,0.22382059888572273,0.20143853899715025,95.20143853899714,uptake,0.09406838342116643,0.0,75.08466154507545,uptake
23,thr__L_e,EX_thr__L_e,13.089067835297916,11.780161051768115,1000.0,uptake,11.801180118011418,4.951021988582088,910.6210621061857,uptake
