,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,26dap__M_e,EX_26dap__M_e,5.159534321939202,0.0,35.043580889745414,uptake,14.562973293993686,0.0,29.95450205155091,uptake
1,arg__L_e,EX_arg__L_e,15.261489761550397,13.735340785395346,140.40200745206195,uptake,910.1429959298147,32.052850618949265,1000.0,uptake
2,but_e,EX_but_e,21.86290754509873,0.0,21.862907545098725,uptake,0.00328615859563312,0.0,224.4056117651315,uptake
3,ca2_e,EX_ca2_e,0.2685537614569353,0.2416983853112416,0.2685537614569352,uptake,0.17104455490270382,0.15394009941243417,0.17104455490270487,uptake
4,cgly_e,EX_cgly_e,4.766326211264218,4.2896935901377775,283.6862518042934,uptake,0.0,0.0,222.80061957357103,secretion
5,cl_e,EX_cl_e,0.2685537614569353,0.2416983853112416,0.2685537614569352,uptake,0.17104455490270382,0.15394009941243417,0.17104455490270484,uptake
6,cobalt2_e,EX_cobalt2_e,0.005159534321939203,0.004643580889745279,0.0051595343219392005,uptake,0.00328615859563312,0.0029575427360698224,0.0032861585956331404,uptake
7,cu2_e,EX_cu2_e,0.036581098342548926,0.03292298850829401,0.03658109834254889,uptake,0.02329886444303881,0.020968977998735032,0.023298864443038962,uptake
8,fe2_e,EX_fe2_e,0.3464627297182174,0.0,0.34646272971821773,uptake,0.22066554969676405,0.0,0.2206655496967652,uptake
9,fe3_e,EX_fe3_e,0.402856439857013,0.36257079587131147,0.4028564398570125,uptake,0.2565832631470341,0.2309249368323318,0.2565832631470356,uptake
10,gthrd_e,EX_gthrd_e,137.51743126046952,-1000.0,1000.0,uptake,0.0,-1000.0,1000.0,secretion
11,h2o2_e,EX_h2o2_e,68.75871563023476,-500.0000000000022,500.0,uptake,0.0,-499.999999999997,499.99999999999994,secretion
12,h2o_e,EX_h2o_e,1000.0,-1000.0,1000.0,uptake,956.2652417832493,-1000.0,1000.0,uptake
13,his__L_e,EX_his__L_e,382.9187111638297,4.399235663331118,505.11588031670027,uptake,6.599658030781843,2.801916837297829,781.3253923833216,uptake
14,ile__L_e,EX_ile__L_e,14.989943470186757,13.49094912316807,14.989943470186756,uptake,9.547243706306956,-212.83605209289777,9.547243706307023,uptake
15,k_e,EX_k_e,10.0710498290228,9.063944846120513,10.0710498290228,uptake,6.414351547574165,5.772916392816776,6.414351547574194,uptake
16,mg2_e,EX_mg2_e,0.4475896024282257,0.4028306421854028,0.44758960242822554,uptake,0.2850742581711731,0.25656683235405703,0.2850742581711749,uptake
17,mn2_e,EX_mn2_e,0.03565238216459992,0.0320871439481399,0.035652382164599906,uptake,0.022707355895824878,0.02043662030624249,0.02270735589582502,uptake
18,nmn_e,EX_nmn_e,0.11753419185377822,0.0,0.11753419185370946,uptake,0.07485869280868974,0.06737282352807483,0.07485869280817345,uptake
19,o2_e,EX_o2_e,784.0480263249656,-0.002549613385004662,1000.0,uptake,62.812960129617444,0.25659640778151394,973.9326961224846,uptake
20,pi_e,EX_pi_e,50.7602725893946,-1000.0,95.7858505463071,uptake,32.2729363671007,-1000.0,79.90351952588523,uptake
21,thr__L_e,EX_thr__L_e,13.089067835297916,11.780161051768115,1000.0,uptake,8.336557156503801,0.0,1000.0,uptake
22,tyr__L_e,EX_tyr__L_e,7.1262972101192155,6.413667489107287,7.126297210119209,uptake,4.531481257034252,-29.617319042582473,4.5314812570342875,uptake
23,zn2_e,EX_zn2_e,0.017594012037812665,0.015834610834031388,0.01759401203781266,uptake,0.01120580081110893,0.010085220729998087,0.011205800811109001,uptake
24,LalaDgluMdapDala_e,EX_LalaDgluMdapDala_e,0.0,-29.687499999999332,780.1128944127308,secretion,0.0,-8.423913043478352,0.0,secretion
25,LalaDgluMdap_e,EX_LalaDgluMdap_e,0.0,-780.1128944127155,0.0,secretion,0.0,-8.423913043478352,0.0,secretion
26,acald_e,EX_acald_e,-871.5306911043067,-1000.0,0.0,secretion,-25.015619416569077,-1000.0,249.33986379717095,secretion
27,ade_e,EX_ade_e,-185.35750880390395,-1000.0,39.90880965719793,secretion,6.694595152611818,-24.775134770536088,28.784845651213764,uptake
28,alaala_e,EX_alaala_e,0.0,-30.40000000000029,390.0564472063636,secretion,0.0,-1000.0,0.0,secretion
29,anhgm_e,EX_anhgm_e,0.0,-30.399999999999977,0.0,secretion,0.0,-16.847826086956502,0.0,secretion
30,arab__D_e,EX_arab__D_e,0.0,-1000.0,0.0,secretion,0.0,0.0,0.0,secretion
31,bz_e,EX_bz_e,0.0,-1000.0,0.0,secretion,0.00328615859563312,0.0029575427360698224,0.0032861585956331404,uptake
32,co2_e,EX_co2_e,-1000.0,-1000.0,-577.7777777777779,secretion,-1000.0,-1000.0,-778.5714285714243,secretion
33,dcyt_e,EX_dcyt_e,0.0,0.0,1000.0,secretion,10.870448326424365,0.0,10.870448326424652,uptake
34,for_e,EX_for_e,0.0,-422.2222222222193,0.0,secretion,-128.46258986675593,-1000.0,201.41312158005962,secretion
35,g3pe_e,EX_g3pe_e,0.0,-49.99999999999834,0.0,secretion,0.0,-20.545234996855594,0.0,secretion
36,glc__D_e,EX_glc__D_e,0.0,0.0,316.6666666666668,secretion,0.0,-1000.0,516.6666666666674,secretion
37,gln__L_e,EX_gln__L_e,0.0,0.0,667.3307567107743,secretion,17.117435816723138,0.0,210.9776033594141,uptake
38,glyc_e,EX_glyc_e,0.0,0.0,0.0,secretion,0.0,-996.495992877995,356.25474323006114,secretion
39,gthox_e,EX_gthox_e,-68.75871563023476,-500.0,499.9999999999953,secretion,0.0,-500.0000000000032,500.00000000000006,secretion
40,gua_e,EX_gua_e,0.0,0.0,1000.0,secretion,7.978201561650021,0.0,37.98065181337167,uptake
41,h2s_e,EX_h2s_e,0.0,-279.39655821415516,0.0,secretion,0.1425535598785648,-111.9402463292427,224.26538727015767,uptake
