,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,4hphac_e,EX_4hphac_e,500.0000000000126,0.0,499.99999999999994,uptake,2.8676977526591987,0.0,2.8676977526592,uptake
1,alaala_e,EX_alaala_e,87.24356828216052,-19.54545454545476,1000.0,uptake,0.0,-1000.0,0.0,secretion
2,bz_e,EX_bz_e,0.0031050933817262606,-53.74720541595718,0.003105093381726254,uptake,0.0020796090913871293,0.0018716481822484185,0.002079609091387132,uptake
3,ca2_e,EX_ca2_e,0.16162011051885178,0.14545809946696625,0.16162011051885142,uptake,0.10824365320670001,0.09741928788603012,0.10824365320670014,uptake
4,cgly_e,EX_cgly_e,2.84364451898491,0.0,1000.0,uptake,0.0,0.0,142.85714285714303,secretion
5,cl_e,EX_cl_e,0.16162011051885178,0.14545809946696625,0.16162011051885214,uptake,0.10824365320670001,0.09741928788603012,0.10824365320670015,uptake
6,coa_e,EX_coa_e,0.017885337878760014,-30.698188910196052,0.017885337878746802,uptake,0.011978548366387148,-20.82255263980366,0.011978548366500462,uptake
7,cobalt2_e,EX_cobalt2_e,0.0031050933817262606,0.002794584043553628,0.0031050933817262484,uptake,0.0020796090913871293,0.0018716481822484185,0.002079609091387132,uptake
8,cu2_e,EX_cu2_e,0.022015112076439178,0.01981360086879521,0.022010041438277273,uptake,0.01474442845793474,0.01326998561214128,0.014744428457934755,uptake
9,fe2_e,EX_fe2_e,0.20850702058291842,-1000.0,0.45095144053468916,uptake,-88.32497016458363,-1000.0,6.836196877435891,secretion
10,fe3_e,EX_fe3_e,0.2424456912451865,0.0,1000.0,uptake,88.62699179292578,0.0,1000.0,uptake
11,galt_e,EX_galt_e,160.45348505268066,0.0,491.92339961768835,uptake,0.0,0.0,178.54225254713674,secretion
12,glc__D_e,EX_glc__D_e,343.9376448549552,-1000.0,738.8144643832838,uptake,-196.50767853966366,-1000.0,0.0,secretion
13,h2o_e,EX_h2o_e,462.90828633371405,-1000.0,1000.0,uptake,-1000.0,-1000.0,1000.0,secretion
14,h2s_e,EX_h2s_e,4.779018172881062,-71.6666666666667,219.3011163555984,uptake,5.105211562355344,-138.26245245102166,1000.0,uptake
15,k_e,EX_k_e,6.060924924592948,5.45483243213364,6.060924924592935,uptake,4.059251373751285,3.6533262363761603,4.059251373751289,uptake
16,mal__L_e,EX_mal__L_e,19.858156431632054,-1000.0,1000.0,uptake,0.0,0.0,666.6666666666614,secretion
17,mg2_e,EX_mg2_e,0.26936685086475304,0.24243016577827714,0.269366850864752,uptake,0.18040608867783342,0.16236547981005026,0.18040608867783361,uptake
18,mn2_e,EX_mn2_e,0.02145619526772848,0.019310575740955585,0.021456195267728392,uptake,0.014370098821483879,0.012933088939340294,0.014370098821483879,uptake
19,nh4_e,EX_nh4_e,94.53179647001105,-1000.0,1000.0,uptake,1000.0,19.72867539829872,1000.0,uptake
20,nmn_e,EX_nmn_e,0.07073402723573118,0.0,0.07073402723580102,uptake,0.04737349510175933,0.0,0.047373495101766694,uptake
