,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,4hphac_e,EX_4hphac_e,500.0000000000126,0.0,499.99999999999994,uptake,0.0,0.0,385.3133195051048,secretion
1,anhgm_e,EX_anhgm_e,3.1050933817262605,2.7945840435536278,8.701177450147194,uptake,0.0,0.0,10.185185185185277,secretion
2,asp__L_e,EX_asp__L_e,13.255037792310729,-1000.0,1000.0,uptake,53.888720381895254,-916.780778618341,433.8131678487973,uptake
3,bz_e,EX_bz_e,0.0031050933817262606,-53.74720541595718,0.003105093381726254,uptake,0.0,0.0,366.6666666666723,secretion
4,ca2_e,EX_ca2_e,0.16162011051885178,0.14545809946696625,0.16162011051885142,uptake,0.31425426815874,0.282828841342866,0.31425426815874047,uptake
5,cgly_e,EX_cgly_e,2.84364451898491,0.0,1000.0,uptake,5.577424599084778,0.0,738.3530154725131,uptake
6,cl_e,EX_cl_e,0.16162011051885178,0.14545809946696625,0.16162011051885214,uptake,0.31425426815874,0.282828841342866,0.3142542681587411,uptake
7,cobalt2_e,EX_cobalt2_e,0.0031050933817262606,0.002794584043553628,0.0031050933817262484,uptake,0.006037545978073779,0.005433791380266401,0.006037545978073782,uptake
8,cu2_e,EX_cu2_e,0.022015112076439178,0.01981360086879521,0.022010041438277273,uptake,0.04280620098454307,0.03852558088608877,0.0428062009845431,uptake
9,fe2_e,EX_fe2_e,0.20850702058291842,-1000.0,0.45095144053468916,uptake,0.8768328023956551,-365.8775171445134,0.8768328023956532,uptake
10,fe3_e,EX_fe3_e,0.2424456912451865,0.0,1000.0,uptake,0.0,0.0,0.4713509898808452,secretion
11,galt_e,EX_galt_e,160.45348505268066,0.0,491.92339961768835,uptake,0.0,0.0,352.12465771127995,secretion
12,glc__D_e,EX_glc__D_e,343.9376448549552,-1000.0,738.8144643832838,uptake,0.0,-1000.0,366.666666666667,secretion
13,gln__L_e,EX_gln__L_e,140.36175663700945,0.0,1000.0,uptake,0.0,0.0,1000.0,secretion
14,h2o_e,EX_h2o_e,462.90828633371405,-1000.0,1000.0,uptake,189.14551283106377,-1000.0,1000.0,uptake
15,h2s_e,EX_h2s_e,4.779018172881062,-71.6666666666667,219.3011163555984,uptake,-151.71264069141623,-1000.0,204.03701582117475,secretion
16,k_e,EX_k_e,6.060924924592948,5.45483243213364,6.060924924592935,uptake,11.784867120981566,10.60638040888341,11.78486712098156,uptake
17,mal__L_e,EX_mal__L_e,19.858156431632054,-1000.0,1000.0,uptake,0.0,0.0,1000.0,secretion
18,mg2_e,EX_mg2_e,0.26936685086475304,0.24243016577827714,0.269366850864752,uptake,0.5237571135979001,0.4713814022381102,0.5237571135979004,uptake
