,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,arg__L_e,EX_arg__L_e,10.210343977360596,9.189309579616955,69.3342371163478,uptake,10.684089136455372,-40.384319777192104,259.61568022282364,uptake
1,ca2_e,EX_ca2_e,0.1796696340744912,0.16170267066690866,0.1796696340745084,uptake,0.18800604463694182,0.16920544017324612,0.18800604463694182,uptake
2,cl_e,EX_cl_e,0.1796696340744912,0.16170267066690866,0.17966963407450842,uptake,0.18800604463694154,0.1692054401732462,0.18800604463694084,uptake
3,cobalt2_e,EX_cobalt2_e,0.0034518661685781233,0.0031066795517177477,0.0034518661685784538,uptake,0.0036120277547923465,0.003250824979313089,0.0036120277547923483,uptake
4,cu2_e,EX_cu2_e,0.024473731135218883,0.022026358021678818,0.024473731135221184,uptake,0.025609276781477723,0.023048349103329792,0.025609276781477737,uptake
5,fe2_e,EX_fe2_e,0.23179281322002102,0.2086135318978468,0.2317928132200426,uptake,0.2425476637343061,-312.7650432221021,0.24254766373430578,uptake
6,fe3_e,EX_fe3_e,0.26952171044257994,0.2425695393981218,0.2695217104426058,uptake,0.2820271270941865,0.2538244143847661,313.237160533849,uptake
7,fol_e,EX_fol_e,0.02309298466778764,-22.34142149171684,0.02309298466778991,uptake,0.024164465679564217,-20.292571127679643,0.024164465679580457,uptake
8,h2o_e,EX_h2o_e,330.8367574018316,-1000.0,1000.0,uptake,-797.0907998833558,-1000.0,1000.0,secretion
9,his__L_e,EX_his__L_e,3.270228970787543,2.9432060737063597,192.30582249128196,uptake,3.421962854335174,0.0,3.421962854335152,uptake
10,ile__L_e,EX_ile__L_e,10.028672260908344,9.025805034810059,10.028672260909302,uptake,10.493988115720665,-490.5554106958744,65.0001448597075,uptake
11,k_e,EX_k_e,6.737801130432705,6.064021017384431,6.73780113043335,uptake,7.050425335411834,6.345382801870607,7.050425335411837,uptake
12,leu__L_e,EX_leu__L_e,15.551727167956711,-677.6701122212542,15.5517271679582,uptake,16.273304763943514,-298.33736183190877,16.273304763943443,uptake
13,lys__L_e,EX_lys__L_e,11.845458462754367,10.660912616470133,11.845458462755504,uptake,0.0,0.0,1000.0,secretion
14,mg2_e,EX_mg2_e,0.2994493901241521,0.2695044511115145,0.29944939012418076,uptake,0.313343407728236,0.2820090669554104,0.31334340772823616,uptake
15,mn2_e,EX_mn2_e,0.02385239522487485,0.021467155702369654,0.023852395224877133,uptake,0.024959111785615135,0.022463200607112162,0.02495911178561515,uptake
16,o2_e,EX_o2_e,500.09018000365427,-0.0016467628412976507,1000.0,uptake,848.2012285994608,0.28929091490907194,1000.0,uptake
17,pi_e,EX_pi_e,30.58674448914428,-1000.0,171.90463813417568,uptake,-515.0449384051835,-826.5237806841237,617.725609414061,secretion
18,udcpp_e,EX_udcpp_e,3.4518661685781233,-1000.0,147.48324764568918,uptake,0.0,-312.98333611946055,0.0,secretion
19,val__L_e,EX_val__L_e,14.626868665409562,-678.502484873549,14.626868665410978,uptake,15.284728887734357,-986.2437440010392,331.7461551607184,uptake
20,zn2_e,EX_zn2_e,0.011770863634851391,0.01059377727135751,0.011770863634852517,uptake,0.01231701464384189,0.011085313179457627,0.012317014643841898,uptake
21,4hphac_e,EX_4hphac_e,0.0,0.0,483.303483530844,secretion,4.98084179274846,0.0,4.988709093213238,uptake
