,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,26dap__M_e,EX_26dap__M_e,3.013837704297129,2.7124539338674127,19.3791206005342,uptake,4.457780458672782,0.0,19.613948360789202,uptake
1,3amp_e,EX_3amp_e,6.157180014750883,0.0,205.5414620132777,uptake,9.107111743658074,0.0,66.69753301998993,uptake
2,arg__L_e,EX_arg__L_e,37.89056536289949,8.023221740063539,1000.0,uptake,13.185757974317388,11.867182176885649,13.185757974317385,uptake
3,ca2_e,EX_ca2_e,0.1568702525086655,0.14118322725779875,0.1568702525086653,uptake,0.23202747287391817,0.2088247255865262,0.23202747287391812,uptake
4,cl_e,EX_cl_e,0.1568702525086655,0.14118322725779875,0.15687025250866543,uptake,0.23202747287391817,0.20882472558652643,0.2320274728739182,uptake
5,cobalt2_e,EX_cobalt2_e,0.0030138377042971294,0.002712453933867413,0.0030138377042971316,uptake,0.004457780458672783,0.004012002412805493,0.004457780458672782,uptake
6,cu2_e,EX_cu2_e,0.02136810932346664,0.01923129839111995,0.021368109323466687,uptake,0.031605663451990014,0.02844509710679101,0.03160566345199001,uptake
7,fe2_e,EX_fe2_e,0.4376996497950722,0.0,0.43769964979507214,uptake,0.2993399577998774,0.2694059620198897,0.29933995779987754,uptake
8,fol_e,EX_fol_e,0.020162574241747735,-28.553282254611364,0.0201625742417898,uptake,0.029822551268520847,-42.914014065719684,0.029822551268523963,uptake
9,glyc3p_e,EX_glyc3p_e,955.7196114669036,310.278506632573,1000.0,uptake,1000.0,445.13564888694066,1000.0,uptake
10,glyclt_e,EX_glyclt_e,0.0030138377042971294,-28.570653584590033,0.0030138377042971316,uptake,0.0,-85.86350194169977,0.0,secretion
11,h_e,EX_h_e,230.77127592857835,-1000.0,1000.0,uptake,-989.7554855723093,-1000.0,-544.623500282776,secretion
12,his__L_e,EX_his__L_e,2.855249564297015,2.56972460786731,2.8552495642970146,uptake,4.223212050937422,3.8008908458436794,4.223212050937426,uptake
13,ile__L_e,EX_ile__L_e,8.756072543917414,-92.11953471047536,8.756072543917409,uptake,12.951144988777457,11.656030489899711,12.95114498877745,uptake
14,k_e,EX_k_e,5.882800230148703,5.294520207133826,5.882800230148696,uptake,8.701275410697178,7.8311478696274435,8.701275410697178,uptake
15,leu__L_e,EX_leu__L_e,13.578273147546906,-87.77955416720866,13.578273147546913,uptake,20.08368287826308,18.07531459043678,20.083682878263062,uptake
16,lys__L_e,EX_lys__L_e,10.342315604443067,9.308084043998749,10.34231560444306,uptake,15.297363999786098,0.0,15.297363999786093,uptake
17,met__L_e,EX_met__L_e,4.63856747230666,4.17471072507599,4.638567472306711,uptake,0.0,0.0,6.855391875345955,secretion
18,mg2_e,EX_mg2_e,0.2614504208477759,0.235305378762998,0.2614504208477761,uptake,0.38671245478986377,0.3480412093108764,0.3867124547898637,uptake
19,mn2_e,EX_mn2_e,0.02082561853669318,0.01874305668302384,0.020825618536693194,uptake,0.03080326296942895,0.02772293667248598,0.030803262969428945,uptake
20,nmn_e,EX_nmn_e,0.06865522290420312,0.061789700613289256,0.06865522290380977,uptake,0.10154823884855937,0.09139341496450015,0.10154823884869302,uptake
21,o2_e,EX_o2_e,39.473739332053206,0.07942065118363786,1000.0,uptake,1000.0,580.1783471053451,1000.0,uptake
22,so4_e,EX_so4_e,0.13074027961240953,0.11766625165116841,50.11766625165181,uptake,0.19337851629722536,0.17404066466750295,106.4240406646692,uptake
23,zn2_e,EX_zn2_e,0.010277186571653203,0.00924946791448787,0.01027718657165321,uptake,0.015201031364074176,0.013680928227666719,0.015201031364074172,uptake
24,acald_e,EX_acald_e,-8.239139100876343,-1000.0,0.0,secretion,-170.89089214468055,-754.9480893338425,382.5138074296436,secretion
25,arab__D_e,EX_arab__D_e,0.0,-745.3631747577211,0.0,secretion,0.0,0.0,0.0,secretion
26,but_e,EX_but_e,0.0,0.0,0.0,secretion,0.0,0.0,53.283582089551615,secretion
