,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,ade_e,EX_ade_e,11.728150634018284,-121.41446508956528,17.470531826140327,uptake,45.90118081418058,-13.477124299396564,1000.0,uptake
1,ala__L_e,EX_ala__L_e,31.91287695835513,-1000.0,1000.0,uptake,-771.0313431451581,-1000.0,1000.0,secretion
2,arg__L_e,EX_arg__L_e,11.600960196421209,0.0,260.44086417668404,uptake,7.955971764594869,4.09788877593121,1000.0,uptake
3,ca2_e,EX_ca2_e,0.20414006403950205,0.1837260576355597,0.20414006403950216,uptake,0.08012203424749736,0.07210983082274769,0.08012203424749746,uptake
4,cgly_e,EX_cgly_e,3.6143576833091964,0.0,3.622976994694242,uptake,1.409716790852222,1.2687451117670014,103.11388398172026,uptake
5,cl_e,EX_cl_e,0.20414006403950205,0.1837260576355597,0.20414006403950222,uptake,0.08012203424749736,0.07210983082274769,0.08012203424749696,uptake
6,cobalt2_e,EX_cobalt2_e,0.003921999309116276,0.003529799378204799,0.003921999309116279,uptake,0.0015393282276176254,0.001385395404855864,0.0015393282276176274,uptake
7,cu2_e,EX_cu2_e,0.027806975101634383,0.025026277591472013,0.0278069751016344,uptake,0.01091383713380896,0.009822453420428071,0.010913837133808973,uptake
8,fe2_e,EX_fe2_e,0.263362253607158,-124.88148698582755,0.263362253607158,uptake,0.10336589048453221,-1000.0,5.853254707798815,uptake
9,fe3_e,EX_fe3_e,0.3062297060557989,0.2756067354502308,0.3062297060557986,uptake,0.12019074801238423,0.0,1000.0,uptake
10,glu__L_e,EX_glu__L_e,24.594426247544025,-1000.0,56.84858185877238,uptake,0.0,0.0,35.74266386450152,secretion
11,gly_e,EX_gly_e,22.436267687716708,-970.8527169324677,270.1926409188601,uptake,11.34254004520046,-1000.0,113.67881236147197,uptake
12,gua_e,EX_gua_e,5.8237767741067845,0.0,9.539400479577374,uptake,3.7269137517318702,0.0,18.738837761174096,uptake
13,h2s_e,EX_h2s_e,6.036309916667759,-1000.0,9.631160963389775,uptake,2.053587001900127,-98.1517716982893,24.67149234777618,uptake
14,k_e,EX_k_e,7.6554681114433425,6.889921300299303,7.6554681114433345,uptake,3.004660947333676,2.7041948526003106,3.00466094733368,uptake
15,mg2_e,EX_mg2_e,0.34023344006583683,0.30621009605926625,0.34023344006583717,uptake,0.13353672374582898,0.12018305137124617,0.13353672374582914,uptake
16,mn2_e,EX_mn2_e,0.02710101522599349,0.024390913703395183,0.027101015225993515,uptake,0.010636758052837801,0.009573082247554028,0.010636758052837791,uptake
17,no2_e,EX_no2_e,219.9597492009103,-1000.0,662.164361258366,uptake,76.89657690522877,0.0,494.7299890267963,uptake
