,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,asp__L_e,EX_asp__L_e,53.888720381895254,-916.780778618341,433.8131678487973,uptake,0.0,-100.00000000000625,0.0,secretion
1,ca2_e,EX_ca2_e,0.31425426815874,0.282828841342866,0.31425426815874047,uptake,0.161584633335577,0.14542617000196473,0.16158463333551937,uptake
2,cgly_e,EX_cgly_e,5.577424599084778,0.0,738.3530154725131,uptake,0.0,0.0,202.58104210541686,secretion
3,cl_e,EX_cl_e,0.31425426815874,0.282828841342866,0.3142542681587411,uptake,0.161584633335577,0.14542617000196473,0.16158463333551762,uptake
4,cobalt2_e,EX_cobalt2_e,0.006037545978073779,0.005433791380266401,0.006037545978073782,uptake,0.0031044117835845745,0.0027939706052250686,0.003104411783583416,uptake
5,cu2_e,EX_cu2_e,0.04280620098454307,0.03852558088608877,0.0428062009845431,uptake,0.02201027954561462,0.019809251591045726,0.022010279545606512,uptake
6,fe2_e,EX_fe2_e,0.8768328023956551,-365.8775171445134,0.8768328023956532,uptake,0.2084612512677042,-1000.0,0.4508537233298284,uptake
7,glu__L_e,EX_glu__L_e,83.7405815895038,-1000.0,442.0331900972212,uptake,8.16957004968122,0.0,1000.0,uptake
8,h2_e,EX_h2_e,1000.0,-1000.0,1000.0,uptake,0.0,0.0,0.0,secretion
9,h2o_e,EX_h2o_e,189.14551283106377,-1000.0,1000.0,uptake,186.24493967321987,-1000.0,1000.0,uptake
10,ile__L_e,EX_ile__L_e,17.540821954637984,-350.8799269074957,17.540821954637998,uptake,9.019216510730436,-191.8827051403607,9.01921651072713,uptake
11,k_e,EX_k_e,11.784867120981566,10.60638040888341,11.78486712098156,uptake,6.059594492732246,5.453635043456975,6.059594492730012,uptake
12,leu__L_e,EX_leu__L_e,27.201016270475588,-158.8524186899066,27.20101627047568,uptake,13.986337452701424,-445.43823167656024,13.986337452696302,uptake
13,mg2_e,EX_mg2_e,0.5237571135979001,0.4713814022381102,0.5237571135979004,uptake,0.2693077222259618,0.2423769500032746,0.2693077222258613,uptake
14,mn2_e,EX_mn2_e,0.041719442708489846,0.03754749843764087,0.041719442708489866,uptake,0.021451485424569428,0.01930633688210524,0.021451485424561424,uptake
15,no3_e,EX_no3_e,550.2468021812971,0.0,1000.0,uptake,0.0,0.0,1000.0,secretion
16,o2_e,EX_o2_e,35.357367556682156,0.0030293386944985163,1000.0,uptake,22.879887375166522,0.018691663348955667,1000.0,uptake
17,pyr_e,EX_pyr_e,77.63939987682149,-1000.0,1000.0,uptake,0.0,0.0,0.0,secretion
18,ser__D_e,EX_ser__D_e,17.73052164926899,-351.2661879677432,1000.0,uptake,0.0,0.0,0.0,secretion
19,so4_e,EX_so4_e,0.2619087445288406,0.0,122.45794009230063,uptake,0.1346693831718989,0.12120244485466351,50.12120244485886,uptake
20,uaagmda_e,EX_uaagmda_e,6.037545978073779,-4.173195519296938,6.037545978073782,uptake,0.0,0.0,1000.0,secretion
21,val__L_e,EX_val__L_e,25.583376576570256,-343.6416277477567,206.3583722522509,uptake,13.13669099165215,11.8230218924825,13.136690991647319,uptake
22,zn2_e,EX_zn2_e,0.02058803178523157,0.018529228606708414,0.020588031785231577,uptake,0.01058604418202339,0.009527439763817475,0.01058604418201944,uptake
23,12ppd__S_e,EX_12ppd__S_e,0.0,-733.3333333333255,0.0,secretion,0.0,-200.00000000001393,0.0,secretion
24,2pglyc_e,EX_2pglyc_e,0.0,0.0,550.0000000000008,secretion,0.0,0.0,220.39956170053642,secretion
25,4abut_e,EX_4abut_e,0.0,-366.666666666672,0.0,secretion,0.0,-1000.0,0.0,secretion
26,4hphac_e,EX_4hphac_e,0.0,0.0,385.3133195051048,secretion,0.0,0.0,274.81556123039263,secretion
27,ac_e,EX_ac_e,-964.576691363825,-1000.0,-601.4503360016499,secretion,0.0,0.0,0.0,secretion
28,acald_e,EX_acald_e,-11.911293333762428,-948.9765968498834,392.15876460436283,secretion,-586.2411336681959,-1000.0,1000.0,secretion
29,anhgm_e,EX_anhgm_e,0.0,0.0,10.185185185185277,secretion,0.0,-16.666666666667965,7.6720193857133525,secretion
30,but_e,EX_but_e,0.0,0.0,92.20630757010348,secretion,0.0,0.0,0.0,secretion
31,bz_e,EX_bz_e,0.0,0.0,366.6666666666723,secretion,0.0031044117835845745,0.0027939706052250686,0.0031044117835834686,uptake
32,chol_e,EX_chol_e,0.0,-91.84345506922396,0.0,secretion,0.0,0.0,0.0,secretion
33,co2_e,EX_co2_e,-1000.0,-1000.0,-633.3333333333321,secretion,-665.2469544876209,-1000.0,23.292405751446836,secretion
34,enlipa_e,EX_enlipa_e,0.0,-7.14285714285718,0.0,secretion,0.0,-3.8461538461540985,0.0,secretion
35,enter_e,EX_enter_e,0.0,-366.66666666666947,0.0,secretion,0.0,-0.4508537233298222,0.0,secretion
36,etoh_e,EX_etoh_e,0.0,0.0,0.0,secretion,0.0,-1000.0,1000.0,secretion
37,fe3_e,EX_fe3_e,0.0,0.0,0.4713509898808452,secretion,0.24239247206228362,0.0,1000.0,uptake
38,feenter_e,EX_feenter_e,0.0,0.0,366.6666666666784,secretion,0.0,0.0,0.4508537233298225,secretion
39,for_e,EX_for_e,-0.14810100284214872,-733.4666242358916,0.0,secretion,0.0,0.0,1000.0,secretion
40,g3pe_e,EX_g3pe_e,0.0,-75.86206896551775,0.0,secretion,0.0,-25.000000000001812,0.0,secretion
41,galt_e,EX_galt_e,0.0,0.0,352.12465771127995,secretion,516.2028098555189,0.0,614.5825288702993,uptake
42,glc__D_e,EX_glc__D_e,0.0,-1000.0,366.666666666667,secretion,0.0,0.0,617.3764994755231,secretion
43,glcn_e,EX_glcn_e,0.0,-1000.0,1000.0,secretion,25.99230854115443,0.0,764.2448770569945,uptake
44,glcur_e,EX_glcur_e,0.0,-1000.0,1000.0,secretion,0.0,0.0,0.0,secretion
45,gln__L_e,EX_gln__L_e,0.0,0.0,1000.0,secretion,8.190338564513343,0.0,34.18455502466271,uptake
46,glyc_e,EX_glyc_e,0.0,-1000.0,1000.0,secretion,0.0,-200.0000000000158,1000.0,secretion
47,gua_e,EX_gua_e,-985.3149976684507,-1000.0,999.9999999999852,secretion,7.550798692977082,0.0,28.417340445299992,uptake
48,h2s_e,EX_h2s_e,-151.71264069141623,-1000.0,204.03701582117475,secretion,2.881670238846569,-199.98753889112697,202.5935032143153,uptake
49,h_e,EX_h_e,-1000.0,-1000.0,1000.0,secretion,-350.1610793869547,-1000.0,1000.0,secretion
50,hxan_e,EX_hxan_e,-28.01904337503899,-1000.0,26.802668632244945,secretion,0.0,0.0,102.85088378646195,secretion
51,kdo2lipid4_e,EX_kdo2lipid4_e,0.0,-10.185185185185402,0.0,secretion,0.0,-4.878048780488171,0.0,secretion
52,man1p_e,EX_man1p_e,-1000.0,-1000.0,-449.999999999996,secretion,0.0,0.0,3.9215686274512978,secretion
53,melib_e,EX_melib_e,0.0,0.0,183.33333333333385,secretion,0.0,-617.3764994755253,0.0,secretion
54,meoh_e,EX_meoh_e,0.0,-366.66666666666316,0.0,secretion,0.0,0.0,0.0,secretion
55,nh4_e,EX_nh4_e,-346.32180396944,-1000.0,1000.0,secretion,460.11773046960167,-1000.0,1000.0,uptake
56,no2_e,EX_no2_e,0.0,0.0,1000.0,secretion,0.0,-999.9999999999991,856.714196194142,secretion
57,pi_e,EX_pi_e,-1000.0,-1000.0,44.44674671624801,secretion,-977.3338203327451,-1000.0,-779.6004382994662,secretion
58,ppa_e,EX_ppa_e,0.0,0.0,366.66666666665964,secretion,0.0,0.0,200.0000000000139,secretion
59,s_e,EX_s_e,-8.02903051894143,-191.67344237124624,0.0,secretion,0.0,-200.00000000001774,0.0,secretion
60,spmd_e,EX_spmd_e,0.0,0.0,0.0,secretion,0.0,-51.07192777747878,0.0,secretion
61,tol_e,EX_tol_e,0.0,-366.6666666666706,0.0,secretion,0.0,0.0,0.0,secretion
62,udcpdp_e,EX_udcpdp_e,0.0,0.0,1000.0,secretion,0.0,-1000.0000000000002,0.0,secretion
63,udcpo5_e,EX_udcpo5_e,0.0,-12.290502793296204,0.0,secretion,0.0,-3.921568627451233,0.0,secretion
64,urea_e,EX_urea_e,0.0,-73.33333333333381,0.0,secretion,0.0,-1000.0,0.0,secretion
65,5drib_c,sink_5drib_c,-8.041105610897576,-191.68430995401093,-0.010867582760601735,secretion,-0.006922838277393596,-0.00692283827739106,-0.006230554449651898,secretion
