,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,acac_e,EX_acac_e,26.648114271906127,-207.60639673067868,1000.0000000000009,uptake,0.0,0.0,206.31820827975196,secretion
1,adn_e,EX_adn_e,11.956941421051441,0.0,1000.0,uptake,0.0,-1000.0,0.0,secretion
2,ala__D_e,EX_ala__D_e,7.982922738153123,-1000.0,1000.0,uptake,0.0,-1000.0,1000.0,secretion
3,ca2_e,EX_ca2_e,0.20775556426043487,0.18698000783384128,0.207755564260435,uptake,0.14618109883411443,0.13156298895102445,0.14618109883447,uptake
4,cl_e,EX_cl_e,0.20775556426043487,0.18698000783384128,0.20775556426043493,uptake,0.14618109883411443,0.13156298895102445,0.14618109883447178,uptake
5,cobalt2_e,EX_cobalt2_e,0.003991461369076561,0.003592315232158336,0.003991461369076567,uptake,0.0028084745213086365,0.0025276270691839487,0.0028084745213154782,uptake
6,cu2_e,EX_cu2_e,0.028299461106752802,0.025469514996002588,0.0282994611067528,uptake,0.019912084356078222,-999.98207912408,0.01991208435612686,uptake
7,cytd_e,EX_cytd_e,11.080775735920838,0.0,13.223641742538426,uptake,0.0,-1000.0,0.0,secretion
8,fe2_e,EX_fe2_e,0.2680266309334911,0.0,13.429402726077354,uptake,0.18858906410587495,-1000.0,1000.0,uptake
9,fe3_e,EX_fe3_e,0.31165330369749794,0.2804879733269231,0.31165330369749794,uptake,0.2192856906237784,-1000.0,1000.0,uptake
10,glu__L_e,EX_glu__L_e,230.7585301352905,-1000.0,1000.0,uptake,1000.0,-484.94494062935166,1000.0,uptake
11,gua_e,EX_gua_e,9.708351658777554,-41.76395963742307,74.73751649462275,uptake,0.0,0.0,0.0,secretion
12,ile__L_e,EX_ile__L_e,11.59635280096445,-264.56328248642205,59.27573825792888,uptake,8.159432942012774,0.0,110.50259378770467,uptake
13,k_e,EX_k_e,7.791053190141623,7.011947871106827,7.791053190141611,uptake,5.481945672377973,4.93375110515223,5.4819456723913795,uptake
14,leu__L_e,EX_leu__L_e,17.98277082071433,-533.8155062759696,17.982770820714336,uptake,0.0,0.0,12.573501782662964,secretion
