,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,ade_e,EX_ade_e,8.654785093711448,-43.14622668038685,18.59606797564773,uptake,8.696038874924708,-45.117944458598956,76.31169348425945,uptake
1,asn__L_e,EX_asn__L_e,10.211991467148275,9.19079232043344,1000.0,uptake,17.25992553016548,9.234601026417597,279.0884747560376,uptake
2,ca2_e,EX_ca2_e,0.22050326932238198,0.19845294239014377,0.2205032693223828,uptake,0.22155431721450264,0.19939888549299667,0.2215543172145026,uptake
3,cl_e,EX_cl_e,0.22050326932238198,0.19845294239014363,0.22050326932238268,uptake,0.22155431721450264,0.19939888549295226,0.22155431721450297,uptake
4,cobalt2_e,EX_cobalt2_e,0.004236374050381981,0.0038127366453437825,0.0042363740503819965,uptake,0.0042565670934582665,0.0038309103841105163,0.004256567093458265,uptake
5,cu2_e,EX_cu2_e,0.03003589201720823,0.027032302815487404,0.030035892017208347,uptake,0.030179060692619095,0.027161154623343547,0.030179060692618935,uptake
6,fe2_e,EX_fe2_e,0.28447251748315006,-999.7023015227312,15.15636294078632,uptake,0.0,-1000.0,18.16823565278158,secretion
7,fe3_e,EX_fe3_e,0.3307760858538252,0.29769847726845455,1000.0,uptake,0.6181812389829442,0.0,1000.0,uptake
8,gua_e,EX_gua_e,10.275706532866051,0.0,10.30293462908319,uptake,10.353163010076695,0.0,75.62550847807638,uptake
9,h2o_e,EX_h2o_e,321.6621148813182,-1000.0,1000.0,uptake,-984.2339177423171,-1000.0,1000.0,secretion
10,h2s_e,EX_h2s_e,1.140304803141312,-1000.0,92.26327520212008,uptake,3.9321741152658083,-596.4610432989696,553.3109123754627,uptake
11,k_e,EX_k_e,8.269105600162112,7.4421950401458945,8.26910560016213,uptake,8.308521006734004,7.4776689060568495,8.308521006734015,uptake
12,man6p_e,EX_man6p_e,716.6189180975821,-555.0429737121806,1000.0,uptake,0.0,0.0,5.294117647082815,secretion
13,met__L_e,EX_met__L_e,5.379856134061074,4.841870520654956,26.12516163237361,uptake,6.551239847870671,0.0,55.4441025700652,uptake
14,mg2_e,EX_mg2_e,0.36750544887063674,0.33075490398357305,0.36750544887063813,uptake,0.3692571953575045,0.3323314758215872,0.36925719535750434,uptake
15,mn2_e,EX_mn2_e,0.02927334468813951,0.02634601021932556,0.02927334468813962,uptake,0.029412878615796646,0.02647159075420369,0.02941287861579663,uptake
16,no_e,EX_no_e,676.4091964001992,0.0,1000.0,uptake,0.0,0.0,1000.0,secretion
17,o2_e,EX_o2_e,676.4186435143316,0.0,1000.0,uptake,287.405096486588,0.0021357325391416094,993.2912966788393,uptake
18,pro__L_e,EX_pro__L_e,9.364716657071899,-980.2939850306396,604.0352578544162,uptake,9.40935438844418,0.0,1000.0,uptake
19,ptrc_e,EX_ptrc_e,193.14182010117236,0.0,1000.0,uptake,0.0,0.0,331.53830884505845,secretion
20,ser__L_e,EX_ser__L_e,455.6765724344889,-1000.0,1000.0,uptake,0.0,0.0,1000.0,secretion
21,so4_e,EX_so4_e,0.1837739063055704,0.16539651567501323,66.83206318232402,uptake,0.18464988051421966,0.16618489246271426,100.16618489291578,uptake
22,thr__L_e,EX_thr__L_e,23.05502540202682,-112.58381047151606,112.37514327825863,uptake,23.16491917333486,0.0,1000.0,uptake
23,ura_e,EX_ura_e,12.869172362769394,0.0,14.012599860212857,uptake,14.076254549711836,-32.75165840863398,14.08042158538111,uptake
24,zn2_e,EX_zn2_e,0.014446035511802542,0.013001431960622287,0.014446035511802596,uptake,0.014514893788692676,0.01306340440981685,0.01451489378869267,uptake
25,2pglyc_e,EX_2pglyc_e,0.0,0.0,592.640102880354,secretion,0.0,0.0,369.31464797905494,secretion
26,4hbz_e,EX_4hbz_e,0.0,-133.33333333333655,0.0,secretion,0.0,0.0,246.59987853760722,secretion
27,4hphac_e,EX_4hphac_e,0.0,0.0,500.0000000000015,secretion,0.0,0.0,82.9824067660574,secretion
