,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,4hphac_e,EX_4hphac_e,5.252182205862668,0.0,5.252182205862668,uptake,0.0,0.0,99.99999999999774,secretion
1,ade_e,EX_ade_e,16.953506770022948,-22.232576500240448,140.25815609302168,uptake,3.055079657602741,-22.93782123111668,1000.0,uptake
2,ala__L_e,EX_ala__L_e,58.88745822209004,-1000.0,1000.0,uptake,0.0,-1000.0,1000.0,secretion
3,arab__D_e,EX_arab__D_e,33.24710165246513,0.0,329.92239148721507,uptake,0.0,0.0,0.0,secretion
4,ca2_e,EX_ca2_e,0.19792793447328128,0.17813514102595304,0.19792793447328164,uptake,0.07805621225998981,0.07025059103399081,0.07805621225999018,uptake
5,cgly_e,EX_cgly_e,3.499426723888293,0.0,327.07912685770316,uptake,1.376713631912363,0.0,101.23904226872139,uptake
6,cl_e,EX_cl_e,0.19792793447328128,0.17813514102595304,0.19792793447328125,uptake,0.07805621225998981,0.07025059103399081,0.07805621225998959,uptake
7,coa_e,EX_coa_e,0.021903264218423684,-24.98028706220399,0.02190326421783395,uptake,0.008637920895630435,-12.492225871193671,0.008637920895628733,uptake
8,cobalt2_e,EX_cobalt2_e,0.003802650037911266,0.0034223850341201373,0.003802650037911273,uptake,0.0014996390443802084,0.0013496751399421874,0.0014996390443802051,uptake
9,cu2_e,EX_cu2_e,0.026960788768790864,0.024264709891911762,0.02696078876879089,uptake,0.010632440824655674,0.009569196742190105,0.010632440824655632,uptake
10,fe3_e,EX_fe3_e,210.888563637246,0.0,1000.0,uptake,0.1170918165852067,0.10538263492668602,0.11709181658520647,uptake
11,gln__L_e,EX_gln__L_e,41.69499292368643,0.0,124.04132562377987,uptake,6.9524165880893065,0.0,106.25717492927949,uptake
12,gly_e,EX_gly_e,15.170254034742737,-315.53614083848555,453.9350862617089,uptake,7.813989211866556,-1000.0,17.362541650310135,uptake
13,id3acald_e,EX_id3acald_e,2.1615403610499007,0.0,2.161540361049901,uptake,0.8524398219970418,-13.518518445917927,0.8524398219970426,uptake
14,k_e,EX_k_e,7.422506688500147,6.680256019650129,7.422506688500148,uptake,2.927190439897064,2.6344713959073576,2.927190439897064,uptake
15,met__L_e,EX_met__L_e,5.844140737264297,0.0,37.26557109327669,uptake,2.308079456815131,0.0,22.07727151113364,uptake
16,mg2_e,EX_mg2_e,0.32987989078880225,0.2968919017099218,0.3298798907888028,uptake,0.13009368709998304,0.11708431838998473,0.13009368709998276,uptake
17,mn2_e,EX_mn2_e,0.026276311761966868,0.023648680585770167,0.026276311761966917,uptake,0.010362505796667249,0.009326255217000522,0.010362505796667226,uptake
18,murein5p5p5p_e,EX_murein5p5p5p_e,2.5351000252741773,-1000.0,1000.0,uptake,0.0,-1000.0000000000001,1000.0,secretion
19,no2_e,EX_no2_e,289.76559341483124,0.0,355.10894908612335,uptake,1.735952164993638,0.0,549.9999999999995,uptake
20,o2_e,EX_o2_e,491.66867896568795,347.82682752261485,1000.0,uptake,0.0016720975344839313,0.0,200.0015048877827,uptake
21,pro__L_e,EX_pro__L_e,8.40594804130476,-120.41657084305528,8.40594804130476,uptake,3.315027089554673,-97.01647561940028,3.315027089554673,uptake
22,ribflv_e,EX_ribflv_e,0.016959819169084234,0.015263837252175802,0.01695981916908422,uptake,0.006688390137935725,0.006019551124142152,0.006688390137935706,uptake
23,ser__D_e,EX_ser__D_e,3.185784148761206,-321.0700689909492,1000.0,uptake,0.0,0.0,0.0,secretion
24,so4_e,EX_so4_e,0.1649589586445908,0.1484630627801316,0.16495895864459037,uptake,0.06505434174521346,0.05854890757069211,33.39188224090318,uptake
25,ura_e,EX_ura_e,12.578976192908588,-54.009191069787455,12.578976192908563,uptake,4.9607309768575165,-12.946343379880123,4.960730976857494,uptake
26,zn2_e,EX_zn2_e,0.012967036629277407,0.011670332966349659,0.01296703662927743,uptake,0.0051137691413365065,0.004602392227202856,0.005113769141336495,uptake
27,15dap_e,EX_15dap_e,0.0,-250.00000000000017,0.0,secretion,0.0,-1000.0,0.0,secretion
28,2pglyc_e,EX_2pglyc_e,0.0,0.0,757.999944800831,secretion,14.72776010178496,0.0,50.75498409160657,uptake
29,3oxoadp_e,EX_3oxoadp_e,0.0,-250.0000000000004,0.0,secretion,0.0014996390443802084,0.0,1000.0,uptake
30,4abz_e,EX_4abz_e,0.0,0.0,0.025437657946849365,secretion,0.010032585206903564,0.009029326686214034,0.010032585206903524,uptake
31,5mtr_e,EX_5mtr_e,0.0,-32.33815159958053,0.0,secretion,0.0,-19.999999999999595,0.0,secretion
32,LalaDgluMdap_e,EX_LalaDgluMdap_e,0.0,-10.416666666666675,0.0,secretion,0.0,-6.250000000000229,0.0,secretion
33,acald_e,EX_acald_e,-0.012282559622453382,-250.01105430366184,0.0,secretion,0.0,-1000.0,99.99999999999825,secretion
34,ala__D_e,EX_ala__D_e,0.0,-1000.0,1000.0,secretion,0.0,-1000.0,1000.0,secretion
35,alaala_e,EX_alaala_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,0.0,secretion
36,anhgm_e,EX_anhgm_e,0.0,-20.83333333333312,0.0,secretion,0.0,-6.2499999999998,0.0,secretion
37,arab__L_e,EX_arab__L_e,0.0,-1000.0,0.0,secretion,0.0,0.0,0.0,secretion
38,arbt_e,EX_arbt_e,0.0,0.0,250.00000000000114,secretion,48.0365053533439,0.0,571.7863571327698,uptake
39,bz_e,EX_bz_e,0.0,0.0,250.00000000000512,secretion,0.0014996390443802084,0.0013496751399421636,0.0014996390443802157,uptake
40,cellb_e,EX_cellb_e,0.0,0.0,625.0000000000007,secretion,0.0,0.0,785.8931785663857,secretion
41,co2_e,EX_co2_e,-1000.0,-1000.0,-750.0000000000008,secretion,-484.5025051695184,-1000.0,988.4462078649988,secretion
42,fe2_e,EX_fe2_e,-210.33630477224014,-999.5029670215001,0.552258865006138,secretion,0.10070076183013102,0.0,0.1007007618301306,uptake
43,gal_e,EX_gal_e,0.0,0.0,124.99999999999946,secretion,0.0,0.0,33.333333333335254,secretion
44,galur_e,EX_galur_e,0.0,0.0,500.0000000000103,secretion,0.0,0.0,999.9999999999992,secretion
45,glc__D_e,EX_glc__D_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,571.7863571327682,secretion
46,glu__L_e,EX_glu__L_e,0.0,0.0,145.75614920263595,secretion,5.423564575125567,-95.11879188238231,1000.0,uptake
47,glyclt_e,EX_glyclt_e,-0.008479909584542117,-758.0075767193651,0.0,secretion,-14.737792686991865,-50.76589452801919,-0.009029326686213146,secretion
48,h2o_e,EX_h2o_e,-622.0712325308807,-1000.0,1000.0,secretion,-1000.0,-1000.0,1000.0,secretion
49,h2s_e,EX_h2s_e,0.0,-323.92964280620777,503.1494840514973,secretion,0.0,-99.99999999999974,101.23904226872308,secretion
50,h_e,EX_h_e,-246.28378229612187,-1000.0,1000.0,secretion,-474.6136903577986,-1000.0,1000.0,secretion
51,hqn_e,EX_hqn_e,0.0,-250.00000000000318,0.0,secretion,-48.0365053533439,-571.7863571327842,0.0,secretion
52,lcts_e,EX_lcts_e,0.0,0.0,124.99999999999834,secretion,0.0,0.0,50.000000000000654,secretion
53,lys__L_e,EX_lys__L_e,0.0,0.0,250.00000000000148,secretion,5.146176341085565,0.0,1000.0,uptake
54,madg_e,EX_madg_e,0.0,0.0,1000.0,secretion,0.0,0.0,1000.0,secretion
55,mbdg_e,EX_mbdg_e,0.0,0.0,1000.0,secretion,0.0,0.0,1000.0,secretion
56,melib_e,EX_melib_e,0.0,-250.00000000000085,124.99999999999994,secretion,0.0,0.0,50.00000000000004,secretion
57,meoh_e,EX_meoh_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,0.0,secretion
58,murein4p3p_e,EX_murein4p3p_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,0.0,secretion
59,murein4p4p_e,EX_murein4p4p_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,0.0,secretion
60,murein4px4p_e,EX_murein4px4p_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,0.0,secretion
61,murein4px4px4p_e,EX_murein4px4px4p_e,-2.5351000252741773,-1000.0,0.0,secretion,0.0,-1000.0,0.0,secretion
62,murein5p3p_e,EX_murein5p3p_e,0.0,0.0,1000.0,secretion,0.0,0.0,1000.0,secretion
63,murein5p4p_e,EX_murein5p4p_e,0.0,-1000.0,1000.0,secretion,0.0,-1000.0000000000001,999.9999999999998,secretion
