,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,26dap__M_e,EX_26dap__M_e,16.851861934507937,0.0,36.00000907439061,uptake,2.9840923853914854,2.685683146852341,2.9840923853914862,uptake
1,ade_e,EX_ade_e,16.953506770022948,-22.232576500240448,140.25815609302168,uptake,6.096411220584725,-25.63970871259808,13.25832853398145,uptake
2,ala__L_e,EX_ala__L_e,58.88745822209004,-1000.0,1000.0,uptake,26.678800516810924,-1000.0,1000.0,uptake
3,asn__L_e,EX_asn__L_e,39.03606593767772,8.249830243997573,285.13245934391205,uptake,14.376432044176692,0.0,1000.0,uptake
4,ca2_e,EX_ca2_e,0.19792793447328128,0.17813514102595304,0.19792793447328164,uptake,0.15532200865962673,0.13978980779366412,0.1553220086596268,uptake
5,cgly_e,EX_cgly_e,3.499426723888293,0.0,327.07912685770316,uptake,2.7566747047008007,2.481007234230694,138.86685222316697,uptake
6,cl_e,EX_cl_e,0.19792793447328128,0.17813514102595304,0.19792793447328125,uptake,0.15532200865962673,0.13978980779366412,0.15532200865962656,uptake
7,cobalt2_e,EX_cobalt2_e,0.003802650037911266,0.0034223850341201373,0.003802650037911273,uptake,0.0029840923853914855,0.0026856831468523384,0.002984092385391509,uptake
8,cu2_e,EX_cu2_e,0.026960788768790864,0.024264709891911762,0.02696078876879089,uptake,0.021157215012425623,0.01904149351118307,0.021157215012425627,uptake
9,fe3_e,EX_fe3_e,210.888563637246,0.0,1000.0,uptake,0.4333797371304055,0.20969814010618393,1000.0,uptake
10,gln__L_e,EX_gln__L_e,41.69499292368643,0.0,124.04132562377987,uptake,7.866246573435681,0.0,1000.0,uptake
11,gly_e,EX_gly_e,15.170254034742737,-315.53614083848555,453.9350862617089,uptake,10.168384325993044,0.0,409.1575349668145,uptake
12,id3acald_e,EX_id3acald_e,2.1615403610499007,0.0,2.161540361049901,uptake,1.696247634628082,-27.044805700263396,999.9999999999909,uptake
13,k_e,EX_k_e,7.422506688500147,6.680256019650129,7.422506688500148,uptake,5.82473944981721,5.242265504835492,5.824739449817206,uptake
14,man1p_e,EX_man1p_e,37.431956045690185,-724.3111843596188,108.68876044112191,uptake,0.0,0.0,3.225806451612902,secretion
15,mg2_e,EX_mg2_e,0.32987989078880225,0.2968919017099218,0.3298798907888028,uptake,0.2588700144327113,0.2329830129894403,0.25887001443271335,uptake
16,mn2_e,EX_mn2_e,0.026276311761966868,0.023648680585770167,0.026276311761966917,uptake,0.020620078383047864,0.018558070544749228,0.020620078383046803,uptake
17,no2_e,EX_no2_e,289.76559341483124,0.0,355.10894908612335,uptake,13.687927328554643,-1000.0,535.6526229028995,uptake
18,o2_e,EX_o2_e,491.66867896568795,347.82682752261485,1000.0,uptake,432.38738466787777,0.017967220252449012,1000.0,uptake
19,pro__L_e,EX_pro__L_e,8.40594804130476,-120.41657084305528,8.40594804130476,uptake,6.596485422527156,-130.4490081086712,6.5964854225271505,uptake
20,so4_e,EX_so4_e,0.1649589586445908,0.1484630627801316,0.16495895864459037,uptake,0.12944992767828267,0.0,0.12944992767828267,uptake
21,ura_e,EX_ura_e,12.578976192908588,-54.009191069787455,12.578976192908563,uptake,-6.099395312970117,-72.15612244833974,5.001079842017905,secretion
22,zn2_e,EX_zn2_e,0.012967036629277407,0.011670332966349659,0.01296703662927743,uptake,0.010175755034184957,0.009158179530766482,0.010175755034185037,uptake
23,15dap_e,EX_15dap_e,0.0,-250.00000000000017,0.0,secretion,0.0,-990.7837828564309,0.0,secretion
24,4abz_e,EX_4abz_e,0.0,0.0,0.025437657946849365,secretion,0.01996357805826933,-35.276150426806474,0.019963578058268403,uptake
25,abt__L_e,EX_abt__L_e,0.0,0.0,329.92239148722183,secretion,0.0,0.0,0.0,secretion
