,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,4hphac_e,EX_4hphac_e,5.252182205862668,0.0,5.252182205862668,uptake,0.0,0.0,0.0,secretion
1,ala__L_e,EX_ala__L_e,58.88745822209004,-1000.0,1000.0,uptake,0.0,-999.9999999999959,1000.0,secretion
2,arab__D_e,EX_arab__D_e,33.24710165246513,0.0,329.92239148721507,uptake,0.0,0.0,0.0,secretion
3,ca2_e,EX_ca2_e,0.19792793447328128,0.17813514102595304,0.19792793447328164,uptake,0.16354729398905182,0.14719256459014327,0.16354729398904827,uptake
4,cgly_e,EX_cgly_e,3.499426723888293,0.0,327.07912685770316,uptake,0.0,0.0,202.58979732279923,secretion
5,cl_e,EX_cl_e,0.19792793447328128,0.17813514102595304,0.19792793447328125,uptake,0.16354729398905182,0.14719256459014332,0.16354729398904957,uptake
6,coa_e,EX_coa_e,0.021903264218423684,-24.98028706220399,0.02190326421783395,uptake,0.018098605444232557,-19.983711255099752,0.018098605444156004,uptake
7,cobalt2_e,EX_cobalt2_e,0.003802650037911266,0.0034223850341201373,0.003802650037911273,uptake,0.003142119000750277,0.0028279071006751845,0.003142119000750209,uptake
8,cu2_e,EX_cu2_e,0.026960788768790864,0.024264709891911762,0.02696078876879089,uptake,0.022277623715319453,0.020049861343787074,0.022277623715318957,uptake
9,fe3_e,EX_fe3_e,210.888563637246,0.0,1000.0,uptake,0.2453366515785817,0.0,1000.0,uptake
10,fol_e,EX_fol_e,0.02543972875362721,0.0,0.025439728753625948,uptake,0.021020776115019176,-17.372385649322183,0.02102077611501918,uptake
11,gln__L_e,EX_gln__L_e,41.69499292368643,0.0,124.04132562377987,uptake,0.0,0.0,210.12732918800876,secretion
12,gly_e,EX_gly_e,15.170254034742737,-315.53614083848555,453.9350862617089,uptake,10.59770754454052,-1000.0,209.53793679009007,uptake
13,k_e,EX_k_e,7.422506688500147,6.680256019650129,7.422506688500148,uptake,6.133196341134496,5.51987670702092,6.133196341134365,uptake
14,mg2_e,EX_mg2_e,0.32987989078880225,0.2968919017099218,0.3298798907888028,uptake,0.2725788233150864,0.2453209409835722,0.27257882331508654,uptake
15,mn2_e,EX_mn2_e,0.026276311761966868,0.023648680585770167,0.026276311761966917,uptake,0.02171204229518443,0.01954083806566554,0.02171204229518396,uptake
16,no2_e,EX_no2_e,289.76559341483124,0.0,355.10894908612335,uptake,500.0,0.0,516.666666666665,uptake
17,o2_e,EX_o2_e,491.66867896568795,347.82682752261485,1000.0,uptake,0.0,0.0,150.00601375392876,secretion
18,pro__L_e,EX_pro__L_e,8.40594804130476,-120.41657084305528,8.40594804130476,uptake,0.0,0.0,6.945811157108384,secretion
19,ribflv_e,EX_ribflv_e,0.016959819169084234,0.015263837252175802,0.01695981916908422,uptake,0.014013850743346226,0.0,0.014013850743345966,uptake
20,ser__D_e,EX_ser__D_e,3.185784148761206,-321.0700689909492,1000.0,uptake,254.46584267660475,-1000.0,1000.0,uptake
21,so4_e,EX_so4_e,0.1649589586445908,0.1484630627801316,0.16495895864459037,uptake,0.13630512225254707,0.12267461002724256,50.12267461002617,uptake
22,ura_e,EX_ura_e,12.578976192908588,-54.009191069787455,12.578976192908563,uptake,10.393972548531893,0.0,10.39397254853167,uptake
23,zn2_e,EX_zn2_e,0.012967036629277407,0.011670332966349659,0.01296703662927743,uptake,0.010714625792558436,0.009643163213300276,0.010714625792557442,uptake
24,2hxmp_e,EX_2hxmp_e,0.0,-249.99999999999994,0.0,secretion,0.0,-728.2541901374498,0.0,secretion
25,2pglyc_e,EX_2pglyc_e,0.0,0.0,757.999944800831,secretion,0.0,0.0,150.00601375392844,secretion
26,3oxoadp_e,EX_3oxoadp_e,0.0,-250.0000000000004,0.0,secretion,0.0,-100.00000000000216,0.0,secretion
27,ac_e,EX_ac_e,-944.4529416772097,-1000.0,-666.1197042593868,secretion,-1000.0,-1000.0,-799.999999999998,secretion
28,acald_e,EX_acald_e,-0.012282559622453382,-250.01105430366184,0.0,secretion,20.440458156770788,-1000.0,1000.0,uptake
29,ala__D_e,EX_ala__D_e,0.0,-1000.0,1000.0,secretion,0.0,-1000.0,1000.0,secretion
30,amylose300_e,EX_amylose300_e,0.0,0.0,9.999999999999998,secretion,0.0,0.0,10.0,secretion
31,arab__L_e,EX_arab__L_e,0.0,-1000.0,0.0,secretion,0.0,0.0,0.0,secretion
32,arbt_e,EX_arbt_e,0.0,0.0,250.00000000000114,secretion,0.0,0.0,728.2541901374688,secretion
