,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,26dap__M_e,EX_26dap__M_e,16.851861934507937,0.0,36.00000907439061,uptake,3.363790425865142,0.0,14.9070072891682,uptake
1,4hphac_e,EX_4hphac_e,5.252182205862668,0.0,5.252182205862668,uptake,4.64603369830068,0.0,4.646033698300673,uptake
2,ade_e,EX_ade_e,16.953506770022948,-22.232576500240448,140.25815609302168,uptake,-0.025867548374902682,-1000.0,14.866267361174442,secretion
3,ala__L_e,EX_ala__L_e,58.88745822209004,-1000.0,1000.0,uptake,0.0,0.0,253.7458850809588,secretion
4,ca2_e,EX_ca2_e,0.19792793447328128,0.17813514102595304,0.19792793447328164,uptake,0.17508529166628048,0.15757676249962857,0.17508529166628023,uptake
5,cgly_e,EX_cgly_e,3.499426723888293,0.0,327.07912685770316,uptake,26.346821234780197,0.0,112.73168286105157,uptake
6,cl_e,EX_cl_e,0.19792793447328128,0.17813514102595304,0.19792793447328125,uptake,0.17508529166628048,0.15757676249962857,0.1750852916662804,uptake
7,cobalt2_e,EX_cobalt2_e,0.003802650037911266,0.0034223850341201373,0.003802650037911273,uptake,0.003363790425865141,0.003027411383278168,0.003363790425865141,uptake
8,cu2_e,EX_cu2_e,0.026960788768790864,0.024264709891911762,0.02696078876879089,uptake,0.02384927411938384,0.021464346707442204,0.02384927411938384,uptake
9,fe3_e,EX_fe3_e,210.888563637246,0.0,1000.0,uptake,0.2626447564515503,0.23638028080631557,1000.0,uptake
10,gln__L_e,EX_gln__L_e,41.69499292368643,0.0,124.04132562377987,uptake,21.998314799647297,0.0,108.80468434226472,uptake
11,id3acald_e,EX_id3acald_e,2.1615403610499007,0.0,2.161540361049901,uptake,1.912079391774522,0.0,1.9120793917745196,uptake
12,k_e,EX_k_e,7.422506688500147,6.680256019650129,7.422506688500148,uptake,6.565883445958954,5.909295101362162,6.565883445958944,uptake
13,met__L_e,EX_met__L_e,5.844140737264297,0.0,37.26557109327669,uptake,14.934960387607155,0.0,47.115551376222655,uptake
14,mg2_e,EX_mg2_e,0.32987989078880225,0.2968919017099218,0.3298798907888028,uptake,0.29180881944380094,0.262627937499381,0.29180881944380094,uptake
15,mn2_e,EX_mn2_e,0.026276311761966868,0.023648680585770167,0.026276311761966917,uptake,0.023243791842728144,0.02091941265845216,0.023243791842728144,uptake
16,murein5p5p5p_e,EX_murein5p5p5p_e,2.5351000252741773,-1000.0,1000.0,uptake,0.0,-1000.0,500.0000000000005,secretion
17,no2_e,EX_no2_e,289.76559341483124,0.0,355.10894908612335,uptake,454.7757214468817,0.0,545.1788498471013,uptake
18,o2_e,EX_o2_e,491.66867896568795,347.82682752261485,1000.0,uptake,243.9944399442306,0.0,1000.0,uptake
19,pac_e,EX_pac_e,7.044979592736311,0.0,7.0449795927362935,uptake,6.231926332479057,0.0,6.231926332479048,uptake
20,pro__L_e,EX_pro__L_e,8.40594804130476,-120.41657084305528,8.40594804130476,uptake,7.435826925896196,-101.64108910017511,7.435826925896185,uptake
21,so4_e,EX_so4_e,0.1649589586445908,0.1484630627801316,0.16495895864459037,uptake,0.14592122867402987,0.13132910580660698,0.14592122867402962,uptake
22,ura_e,EX_ura_e,12.578976192908588,-54.009191069787455,12.578976192908563,uptake,0.0,0.0,11.104182774726006,secretion
23,zn2_e,EX_zn2_e,0.012967036629277407,0.011670332966349659,0.01296703662927743,uptake,0.011470525352200122,0.010323472816978546,0.011470525352200122,uptake
24,15dap_e,EX_15dap_e,0.0,-250.00000000000017,0.0,secretion,0.0,-253.74588508094902,0.0,secretion
25,2pglyc_e,EX_2pglyc_e,0.0,0.0,757.999944800831,secretion,29.806311498267224,0.0,63.96853749134444,uptake
26,3oxoadp_e,EX_3oxoadp_e,0.0,-250.0000000000004,0.0,secretion,0.0,-121.87500000016772,0.0,secretion
27,5mtr_e,EX_5mtr_e,0.0,-32.33815159958053,0.0,secretion,0.0,-35.76878737878412,0.0,secretion
28,Larab_e,EX_Larab_e,0.0,0.0,333.3333333333333,secretion,0.0,0.0,405.5555555556536,secretion
29,abt__L_e,EX_abt__L_e,0.0,0.0,329.92239148722183,secretion,0.0,-216.66666666696509,642.3146719235353,secretion
30,ac_e,EX_ac_e,-944.4529416772097,-1000.0,-666.1197042593868,secretion,-1000.000000000002,-1000.0,-783.3333333330381,secretion
31,acald_e,EX_acald_e,-0.012282559622453382,-250.01105430366184,0.0,secretion,74.7593339914398,-204.11523099068964,257.67317143192423,uptake
32,ala__D_e,EX_ala__D_e,0.0,-1000.0,1000.0,secretion,0.0,-1000.0,0.0,secretion
33,alaala_e,EX_alaala_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,0.0,secretion
34,arab__L_e,EX_arab__L_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,216.66666666696233,secretion
35,bz_e,EX_bz_e,0.0,0.0,250.00000000000512,secretion,0.003363790425865141,0.003027411383278168,0.003363790425865136,uptake
36,chol_e,EX_chol_e,0.0,0.0,250.0000000000033,secretion,0.0,0.0,216.66666666696207,secretion
37,co2_e,EX_co2_e,-1000.0,-1000.0,-750.0000000000008,secretion,-939.1867056488694,-1000.0,-746.2541149190411,secretion
38,dca_e,EX_dca_e,0.0,0.0,27.77777777777896,secretion,0.0,0.0,6.815920705121389,secretion
39,fe2_e,EX_fe2_e,-210.33630477224014,-999.5029670215001,0.552258865006138,secretion,0.22587852709684425,-999.5603290448163,0.22587852709651324,uptake
40,gal_e,EX_gal_e,0.0,0.0,124.99999999999946,secretion,0.0,-1000.0,0.0,secretion
41,galur_e,EX_galur_e,0.0,0.0,500.0000000000103,secretion,0.0,0.0,222.02764944583475,secretion
42,glc__D_e,EX_glc__D_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,0.0,secretion
43,glu__L_e,EX_glu__L_e,0.0,0.0,145.75614920263595,secretion,23.880691921961414,0.0,140.12354619478987,uptake
44,glucan4_e,EX_glucan4_e,0.0,0.0,49.999999999998884,secretion,0.0,-1000.0,92.85714285726868,secretion
45,glucan6_e,EX_glucan6_e,0.0,0.0,35.714285714284856,secretion,0.0,-1000.0,72.22222222232013,secretion
46,glyb_e,EX_glyb_e,0.0,-250.00000000001035,0.0,secretion,0.0,-216.66666666696466,0.0,secretion
47,glyc3p_e,EX_glyc3p_e,0.0,-71.42857142857181,0.0,secretion,0.0,-37.142857142908156,53.91449566021019,secretion
48,glyclt_e,EX_glyclt_e,-0.008479909584542117,-758.0075767193651,0.0,secretion,-29.83631650886594,-63.99554200088234,-0.020253382153772037,secretion
49,gthox_e,EX_gthox_e,0.0,-500.00000000000006,500.0,secretion,0.0,-500.0000000000005,500.0,secretion
50,gthrd_e,EX_gthrd_e,0.0,-1000.0,1000.0,secretion,0.0,-1000.0,1000.0,secretion
51,h2o2_e,EX_h2o2_e,0.0,-499.99999999999983,499.9999999999997,secretion,0.0,-500.000000000008,500.0,secretion
52,h2o_e,EX_h2o_e,-622.0712325308807,-1000.0,1000.0,secretion,-296.35088053631495,-1000.0,1000.0,secretion
53,h2s_e,EX_h2s_e,0.0,-323.92964280620777,503.1494840514973,secretion,-32.997169458332664,-118.72552400210326,106.27205974494913,secretion
54,h_e,EX_h_e,-246.28378229612187,-1000.0,1000.0,secretion,-96.5725730418527,-1000.0,252.65674511017096,secretion
55,lcts_e,EX_lcts_e,0.0,0.0,124.99999999999834,secretion,0.0,0.0,1000.0,secretion
56,lmn2_e,EX_lmn2_e,0.0,-1000.0,83.33333333333206,secretion,0.0,-1000.0,130.00000000017653,secretion
57,lmn30_e,EX_lmn30_e,0.0,0.0,72.22222222222214,secretion,0.0,0.0,75.3333333333451,secretion
58,lys__L_e,EX_lys__L_e,0.0,0.0,250.00000000000148,secretion,11.543216863303071,0.0,264.1347802579281,uptake
59,malt_e,EX_malt_e,0.0,-1000.0,124.99999999999784,secretion,0.0,0.0,267.6311133014737,secretion
60,murein4p3p_e,EX_murein4p3p_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,0.0,secretion
61,murein4p4p_e,EX_murein4p4p_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,0.0,secretion
62,murein4px4p_e,EX_murein4px4p_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,0.0,secretion
63,murein4px4px4p_e,EX_murein4px4px4p_e,-2.5351000252741773,-1000.0,0.0,secretion,0.0,-1000.0,0.0,secretion
64,murein5p3p_e,EX_murein5p3p_e,0.0,0.0,1000.0,secretion,0.0,0.0,1000.0,secretion
65,murein5p4p_e,EX_murein5p4p_e,0.0,-1000.0,1000.0,secretion,0.0,-1000.0,1000.0000000000002,secretion
66,murein5p5p_e,EX_murein5p5p_e,0.0,-499.9999999999988,1000.0,secretion,0.0,-500.0,1000.0,secretion
67,murein5px3p_e,EX_murein5px3p_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,0.0,secretion
68,murein5px4p_e,EX_murein5px4p_e,0.0,-1000.0,1000.0,secretion,0.0,-1000.0,1000.0,secretion
69,murein5px4px4p_e,EX_murein5px4px4p_e,0.0,-1000.0,1000.0,secretion,0.0,-500.0,1000.0,secretion
70,nh4_e,EX_nh4_e,-277.8974846200097,-1000.0,1000.0,secretion,-401.3007713751056,-689.1922299725655,169.10075442866108,secretion
71,pdima_e,EX_pdima_e,0.0,-3.4965034965034945,0.0,secretion,0.0,-2.2719735683738116,0.0,secretion
72,pi_e,EX_pi_e,0.0,-1000.0,92.2942096999665,secretion,0.0,-1000.0,63.9685374913424,secretion
73,raffin_e,EX_raffin_e,0.0,0.0,249.99999999999747,secretion,0.0,0.0,75.26288693987578,secretion
74,s_e,EX_s_e,0.0,-500.00000000000125,0.0,secretion,0.0,-156.6147625410257,0.0,secretion
75,spmd_e,EX_spmd_e,0.0,-51.192769632092315,0.0,secretion,0.0,-46.69902326678242,0.0,secretion
76,uaagmda_e,EX_uaagmda_e,0.0,0.0,1000.0,secretion,0.0,0.0,1000.0,secretion
77,udcpdp_e,EX_udcpdp_e,0.0,-999.9999999999952,1000.0,secretion,0.0,-1000.0,1000.0,secretion
78,udcpo5_e,EX_udcpo5_e,0.0,-8.196721311475573,0.0,secretion,0.0,-28.260869565256012,0.0,secretion
79,udcpp_e,EX_udcpp_e,0.0,-1000.0,0.0,secretion,3.363790425865141,-1000.0,31.288280948534616,uptake
80,xtsn_e,EX_xtsn_e,0.0,-124.99999999999542,0.0,secretion,0.0,0.0,8.088210926939954,secretion
81,xyl3_e,EX_xyl3_e,0.0,0.0,78.55295035410029,secretion,0.0,0.0,118.18181818197864,secretion
82,xylan12_e,EX_xylan12_e,0.0,0.0,1000.0,secretion,0.0,0.0,1000.0,secretion
83,xylan4_e,EX_xylan4_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,85.48295784428127,secretion
84,xylan8_e,EX_xylan8_e,0.0,-1000.0000000000028,500.00000000000006,secretion,0.0,-1000.0,542.7414789221398,secretion
85,xylb_e,EX_xylb_e,0.0,0.0,103.10074733975829,secretion,0.0,0.0,139.28571428590342,secretion
86,5drib_c,sink_5drib_c,0.0,-51.011799326607225,0.0,secretion,-0.00750125264967926,-72.22897334970479,-0.0067511273847103105,secretion
