,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,4hphac_e,EX_4hphac_e,4.7558426741069635,0.0,4.755842674106913,uptake,17.617914691378324,0.0,500.00299399665937,uptake
1,acald_e,EX_acald_e,157.27909751403308,-185.19484736458864,1000.0,uptake,0.0,-1000.0,1000.0,secretion
2,ca2_e,EX_ca2_e,0.17922343137965596,0.16130108824168868,0.17922343137965477,uptake,0.27953094796996064,0.2515778531679474,0.27953094796438627,uptake
3,cl_e,EX_cl_e,0.17922343137965596,0.16130108824168868,0.17922343137965535,uptake,0.27953094796996064,0.2515778531679474,0.2795309479643865,uptake
4,cobalt2_e,EX_cobalt2_e,0.0034432935903872443,0.003098964231348487,0.0034432935903872305,uptake,0.005370431277040554,0.0048333881492401065,0.005370431276933452,uptake
5,cu2_e,EX_cu2_e,0.02441295155584555,0.021971656400260765,0.024412951555845292,uptake,0.038076357754217506,0.034268721978112336,0.038076357753458204,uptake
6,fe2_e,EX_fe2_e,0.23121716459450348,-499.7919045519129,0.2312171645942562,uptake,-486.58321307527126,-1000.0,20.912797308339663,secretion
7,fe3_e,EX_fe3_e,0.26885236353743613,0.24196712718368998,500.24196712722056,uptake,487.3631608096359,0.377390946700757,1000.0,uptake
8,h2o_e,EX_h2o_e,361.1976985316467,-1000.0,1000.0,uptake,574.6494237542215,-1000.0,1000.0,uptake
9,id3acald_e,EX_id3acald_e,1.9572713755838211,0.0,1.9572713755838005,uptake,792.4564073356754,-44.27153223529558,1000.0,uptake
10,k_e,EX_k_e,6.721068057884582,6.048961252096062,6.721068057884555,uptake,10.482705922593782,9.434435330146254,10.482705922384737,uptake
11,mg2_e,EX_mg2_e,0.2987057189660934,0.26883514706948114,0.29870571896609216,uptake,0.4658849132832679,0.4192964219465791,0.4658849132739768,uptake
12,mn2_e,EX_mn2_e,0.02379315870957588,0.021413842838618063,0.023793158709575782,uptake,0.03710968012435026,0.03339871211124916,0.037109680123610184,uptake
13,o2_e,EX_o2_e,523.0179014444973,0.0,1000.0,uptake,35.37014386899543,-0.005958002759939518,1000.0,uptake
14,ppa_e,EX_ppa_e,10.003766435216164,0.0,134.0033897916837,uptake,0.0,0.0,350.00000000000995,secretion
15,pro__L_e,EX_pro__L_e,7.611572646230531,-243.14958461837594,7.6115726462304565,uptake,11.871606859462009,-339.3155538266918,76.30944617330451,uptake
16,so4_e,EX_so4_e,0.14937007595099872,0.13443306835589744,0.14937007595099866,uptake,0.2329693087980193,0.0,175.2096723779138,uptake
17,zn2_e,EX_zn2_e,0.011741631143220493,0.010567468028898332,0.011741631143220447,uptake,0.018313170654708274,0.01648185358890875,0.018313170654343056,uptake
18,ac_e,EX_ac_e,-1000.0,-1000.0,-738.197548240438,secretion,-1000.0,-1000.0,-649.9999999999958,secretion
19,ala__D_e,EX_ala__D_e,0.0,-1000.0,999.9999999999986,secretion,0.0,-990.3332237015118,999.9999999999999,secretion
20,ala__L_e,EX_ala__L_e,-26.632042368129703,-1000.0000000000018,1000.0,secretion,0.0,-1000.0,1000.0,secretion
21,alaala_e,EX_alaala_e,0.0,-1000.0,0.0,secretion,0.0,-17.50000000000015,0.0,secretion
22,anhgm_e,EX_anhgm_e,0.0,-18.518518518520175,0.0,secretion,0.0,-34.99999999999984,0.0,secretion
23,but_e,EX_but_e,0.0,0.0,29.900447235076168,secretion,0.0,-349.9999999999983,0.0,secretion
24,co2_e,EX_co2_e,-1000.0,-1000.0,-499.9999999999746,secretion,-1000.0,-1000.0,501.1802223188836,secretion
25,for_e,EX_for_e,0.0,0.0,261.8024517595621,secretion,-1000.0,-1000.0,0.0,secretion
26,gal_e,EX_gal_e,0.0,-250.00000000001478,0.0,secretion,0.0,0.0,116.66666666666775,secretion
27,galt_e,EX_galt_e,0.0,0.0,250.00000000001802,secretion,0.0,0.0,350.0000000000061,secretion
28,glc__D_e,EX_glc__D_e,0.0,-250.00000000002376,0.0,secretion,0.0,0.0,350.0000000000024,secretion
29,glcur_e,EX_glcur_e,0.0,-166.66666666670744,0.0,secretion,0.0,0.0,0.0,secretion
30,glu__L_e,EX_glu__L_e,0.0,0.0,145.19073588838936,secretion,-771.1552985864325,-1000.0,1000.0,secretion
31,gly_e,EX_gly_e,-354.8150058040151,-1000.0,238.44688183518022,secretion,-1000.0,-1000.0,910.8265982498783,secretion
32,glyc_e,EX_glyc_e,0.0,-381.96728822043366,500.0000000000328,secretion,0.0,-700.0000000000113,0.0,secretion
33,glyclt_e,EX_glyclt_e,-0.00767854470656355,-11.634817666980995,0.0034398209087685553,secretion,-0.03592818524340177,-822.6071432239527,-0.03233536671841897,secretion
34,h2s_e,EX_h2s_e,-342.5877669657405,-1000.0,61.763696894796894,secretion,13.226727783597656,-338.09594499499065,361.9040550050068,uptake
35,h_e,EX_h_e,-1000.0,-1000.0,-499.9999999999695,secretion,-1000.0,-1000.0,1000.0,secretion
36,lcts_e,EX_lcts_e,0.0,0.0,249.99999999999832,secretion,0.0,0.0,87.50000000000003,secretion
37,lmn2_e,EX_lmn2_e,0.0,-1000.0,83.33333333333506,secretion,0.0,-1000.0,0.0,secretion
38,lmn30_e,EX_lmn30_e,0.0,0.0,72.22222222222233,secretion,0.0,0.0,66.66666666666667,secretion
39,melib_e,EX_melib_e,0.0,0.0,125.00000000002034,secretion,0.0,-1000.0,0.0,secretion
40,nh4_e,EX_nh4_e,0.0,-988.7535880125561,1000.0,secretion,-325.651879846601,-1000.0,828.628353474615,secretion
41,pi_e,EX_pi_e,-1000.0,-1000.0,-124.05500184726405,secretion,-530.4724357148009,-1000.0,-177.42519214277286,secretion
42,s_e,EX_s_e,0.0,-94.3053460113782,0.0,secretion,0.0,-84.00000000000045,0.0,secretion
43,ser__D_e,EX_ser__D_e,0.0,-736.3899017445593,1000.0,secretion,540.4040369304688,-770.2996551330364,1000.0,uptake
44,spmd_e,EX_spmd_e,0.0,-130.90122587979147,0.0,secretion,0.0,-301.70946288156773,0.0,secretion
45,udcpo5_e,EX_udcpo5_e,0.0,-6.160057688460575,0.0,secretion,0.0,-8.23529411764711,0.0,secretion
46,4crsol_c,sink_4crsol_c,0.0,-0.007678462163382517,0.0,secretion,0.0,-0.011975891004692362,0.0,secretion
47,4hba_c,sink_4hba_c,-0.00767854470656355,-0.007678544706563505,0.0,secretion,-0.011976061747800427,-0.011976061747561583,0.0,secretion
48,5drib_c,sink_5drib_c,0.0,-47.15267300568891,0.0,secretion,0.0,-84.00000000000028,0.0,secretion
49,lipopb_c,sink_lipopb_c,0.0,-13.593563389027203,0.0,secretion,0.0,-17.073170731707318,0.0,secretion
