,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,4hphac_e,EX_4hphac_e,5.1127329782335185,0.0,44.67041113871375,uptake,0.0,0.0,98.55006351842862,secretion
1,ade_e,EX_ade_e,7.553308834622012,-16.774509361996923,39.54354416962789,uptake,5.692124688686295,-26.510097180036887,43.299065509942636,uptake
2,ca2_e,EX_ca2_e,0.19298438788438693,0.17368594909603857,0.1929843878845275,uptake,0.1450217526669613,0.13051957740026832,0.14502175266696207,uptake
3,cl_e,EX_cl_e,0.19298438788438693,0.17368594909603857,0.19298438788452696,uptake,0.1450217526669613,0.13051957740026832,0.1450217526669619,uptake
4,cobalt2_e,EX_cobalt2_e,0.00370767315820148,0.003336905842383068,0.003707673158204169,uptake,0.0027862008197302858,0.0025075807377573176,0.002786200819730295,uptake
5,cu2_e,EX_cu2_e,0.026287402691648483,0.023658662422495938,0.02628740269166751,uptake,0.01975416381188772,0.017778747430699373,0.019754163811887743,uptake
6,fe2_e,EX_fe2_e,0.24897025257322944,-999.5153811645108,15.00103557756294,uptake,-204.9355464062241,-999.8042080959959,0.18709338504564493,secretion
7,fe3_e,EX_fe3_e,0.28949512019237167,0.0,1000.0,uptake,205.3401863512735,0.19579190400406787,1000.0,uptake
8,fru_e,EX_fru_e,988.8199565122225,739.9379608605282,1000.0,uptake,0.06346965464548561,0.0,109.76569829629649,uptake
9,gua_e,EX_gua_e,9.001563046944737,0.0,35.99204680685532,uptake,103.80541273776267,0.0,1000.0,uptake
10,h2o_e,EX_h2o_e,495.63768311816756,-1000.0,1000.0,uptake,-1000.0,-1000.0,611.229463074287,secretion
11,h2s_e,EX_h2s_e,3.395487078280916,-250.00000000047936,258.19173678386807,uptake,-3.2221855240016946,-152.58851728181034,201.70273926553156,secretion
12,k_e,EX_k_e,7.237118467688225,6.51340662092279,7.237118467693496,uptake,5.438468966056464,4.894622069450648,5.438468966056162,uptake
13,lys__L_e,EX_lys__L_e,12.723288286415775,0.0,12.723288286425039,uptake,0.0,-99.9999999999785,295.6501905552789,secretion
14,mal__L_e,EX_mal__L_e,21.47209925416655,-1000.0,1000.0,uptake,0.0,0.0,71.26773276026232,secretion
15,mg2_e,EX_mg2_e,0.32164064647397833,0.289476581826731,0.32164064647421153,uptake,0.24170292111160224,0.21753262900044726,0.241702921111603,uptake
16,mn2_e,EX_mn2_e,0.02562002152317225,0.023058019370867017,0.025620021523190824,uptake,0.019252647664336292,0.01732738289790308,0.01925264766433635,uptake
17,o2_e,EX_o2_e,533.0331154263106,276.87911025048,1000.0,uptake,804.0455676148,0.005591905045198815,1000.0,uptake
18,pi_e,EX_pi_e,36.49703688373654,-1000.0,114.24268203274016,uptake,-972.5254687506936,-975.272921875623,-836.694638869125,secretion
19,pro__L_e,EX_pro__L_e,8.195996899862305,-242.62360279058746,8.19599689986826,uptake,0.0,0.0,6.1590362220548105,secretion
20,ptrc_e,EX_ptrc_e,0.0037076731582041944,0.0,41.022974112069505,uptake,0.0,0.0,199.99999999997587,secretion
21,so4_e,EX_so4_e,0.16083886160278027,0.14475497544257754,0.16083886160289745,uptake,0.12086539155989984,0.10877885240391248,40.10877885239759,uptake
22,thm_e,EX_thm_e,0.008268111142789296,0.007441300028514236,0.008268111142795322,uptake,0.0062132278279985334,0.0,0.00621322782799857,uptake
23,zn2_e,EX_zn2_e,0.012643165469467038,0.011378848922526252,0.012643165469476204,uptake,0.009500944795280268,0.008550850315752445,0.009500944795280297,uptake
24,acald_e,EX_acald_e,0.0,-1000.0,500.00000000094127,secretion,-848.9396276145966,-1000.0,-241.98305286241464,secretion
25,ala__L_e,EX_ala__L_e,-415.94892187669626,-1000.0,1000.0,secretion,0.0,0.0,73.14861474074715,secretion
26,anhgm_e,EX_anhgm_e,0.0,-11.904761904784278,0.0,secretion,2.786200819730286,-15.261561949942656,7.29481478030975,uptake
27,asn__L_e,EX_asn__L_e,0.0,0.0,1000.0,secretion,53.025218694590365,0.0,295.6501905552572,uptake
28,cell6_e,EX_cell6_e,0.0,0.0,9.298685731700115,secretion,0.0,0.0,32.13315445832172,secretion
29,co2_e,EX_co2_e,-1000.0,-1000.0,-499.9999999991165,secretion,-1000.0,-1000.0,-704.349809444716,secretion
30,cyst__L_e,EX_cyst__L_e,0.0,0.0,5.706442681060455,secretion,12.382935199192868,0.0,12.382935199192858,uptake
31,fum_e,EX_fum_e,-3.512575396616919,-1000.0,1000.0,secretion,24.511227122374642,-0.0027525719665496334,147.87971038611187,uptake
32,g3pg_e,EX_g3pg_e,0.0,-27.777777777829904,0.0,secretion,0.0,-4.548464470081334,0.0,secretion
