,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,4hphac_e,EX_4hphac_e,5.1127329782335185,0.0,44.67041113871375,uptake,0.0,0.0,200.00000000000043,secretion
1,ade_e,EX_ade_e,7.553308834622012,-16.774509361996923,39.54354416962789,uptake,7.243429518190516,-96.73689876857016,15.66454228253169,uptake
2,arg__L_e,EX_arg__L_e,999.9999999963591,499.9999999990619,1000.0,uptake,10.487420295178536,-40.56132173434128,1000.0,uptake
3,ca2_e,EX_ca2_e,0.19298438788438693,0.17368594909603857,0.1929843878845275,uptake,0.18454529749419957,0.16609076774477857,0.18454529749419893,uptake
4,cl_e,EX_cl_e,0.19298438788438693,0.17368594909603857,0.19298438788452696,uptake,0.18454529749419957,0.16609076774477857,0.18454529749419882,uptake
5,cobalt2_e,EX_cobalt2_e,0.00370767315820148,0.003336905842383068,0.003707673158204169,uptake,0.0035455388567569583,0.0031909849710812423,0.003545538856756935,uptake
6,cu2_e,EX_cu2_e,0.026287402691648483,0.023658662422495938,0.02628740269166751,uptake,0.025137870494406824,0.022624083444965998,0.025137870494406682,uptake
7,fe2_e,EX_fe2_e,0.24897025257322944,-999.5153811645108,15.00103557756294,uptake,0.5149186081668132,-999.536573252652,23.27114507422167,uptake
8,fe3_e,EX_fe3_e,0.28949512019237167,0.0,1000.0,uptake,0.0,0.0,1000.0,secretion
9,fru_e,EX_fru_e,988.8199565122225,739.9379608605282,1000.0,uptake,463.5901346444975,-7.142857142857171,583.6632418829544,uptake
10,gly_e,EX_gly_e,18.215353305464912,-1000.0,369.5565029398765,uptake,17.54197895846773,-1000.0,20.80687497293211,uptake
11,gua_e,EX_gua_e,9.001563046944737,0.0,35.99204680685532,uptake,8.623743250512835,0.0,8.623743250512739,uptake
12,h2o_e,EX_h2o_e,495.63768311816756,-1000.0,1000.0,uptake,0.0,-1000.0,1000.0,secretion
13,h2s_e,EX_h2s_e,3.395487078280916,-250.00000000047936,258.19173678386807,uptake,0.01499762936408193,-1000.0,200.01349786641657,uptake
14,ile__L_e,EX_ile__L_e,10.771865749791187,0.0,10.77186574979901,uptake,10.300818585147432,-990.7292632733689,10.300818585147368,uptake
15,k_e,EX_k_e,7.237118467688225,6.51340662092279,7.237118467693496,uptake,6.920643660669619,6.228579294602618,6.920643660669579,uptake
16,leu__L_e,EX_leu__L_e,16.70421695637672,15.033795260746865,16.70421695638886,uptake,15.9737516667357,-585.5514593748242,15.973751666735604,uptake
17,lys__L_e,EX_lys__L_e,12.723288286415775,0.0,12.723288286425039,uptake,12.166906596235739,-89.0497840633883,1000.0,uptake
18,mal__L_e,EX_mal__L_e,21.47209925416655,-1000.0,1000.0,uptake,-624.7999008667399,-1000.0,1000.0,secretion
