,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,3amp_e,EX_3amp_e,28.209052586902587,0.0,111.42795874775739,uptake,0.0,0.0,1000.0,secretion
1,arg__L_e,EX_arg__L_e,14.845695139412182,7.646584136136113,14.845695139412193,uptake,10.032031637501571,9.028828473751432,1000.0,uptake
2,but_e,EX_but_e,10.272413214566384,-1000.0000000000007,162.69459711947505,uptake,0.0,0.0,8.40840840840834,secretion
3,bz_e,EX_bz_e,0.0028723578040333367,0.0025851220236745576,0.002868377901658402,uptake,0.003391583152181796,-999.9969475751633,0.0033915831496859387,uptake
4,ca2_e,EX_ca2_e,0.1495062236999351,0.13455560132994965,0.1495062236999351,uptake,0.17653190307106228,0.1588787127639648,0.17653190307106173,uptake
5,cl_e,EX_cl_e,0.1495062236999351,0.13455560132994965,0.1495062236999353,uptake,0.17653190307106237,0.15887871276395646,0.1765319030710634,uptake
6,coa_e,EX_coa_e,0.016544780951299742,-28.66504683699381,0.01654478095079522,uptake,0.01953551895656691,-22.204640255160633,0.01953551895651385,uptake
7,cobalt2_e,EX_cobalt2_e,0.0028723578040333367,0.002585122023630158,0.002872357804033337,uptake,0.003391583152181796,0.0030524248369636223,0.0033915831521817916,uptake
8,cu2_e,EX_cu2_e,0.02036501683059635,0.018328515147537812,0.02036501683059637,uptake,0.02404632454896892,0.021641692094072074,0.024046324548968902,uptake
9,fe2_e,EX_fe2_e,0.1928788265408386,0.17359094388676513,0.19287882654083885,uptake,0.22774480866900762,-999.5566963409358,11.59647633654141,uptake
10,fe3_e,EX_fe3_e,0.224273697338923,0.20184632760504279,0.22427369733892324,uptake,0.26481481252235467,0.2383333312701552,1000.0,uptake
11,glcn_e,EX_glcn_e,215.08808994602222,-1000.0,1000.0,uptake,0.0,0.0,0.0,secretion
12,gua_e,EX_gua_e,6.973567723788232,0.0,86.69832691409525,uptake,6.592389752048374,0.0,57.390317345517126,uptake
13,h2o_e,EX_h2o_e,1000.0,-1000.0,1000.0,uptake,-0.05150684280452442,-1000.0,1000.0,secretion
14,h2s_e,EX_h2s_e,7.1759253310823565,-210.61103239876206,1000.0,uptake,0.0,-199.99999999999352,202.8022175730754,secretion
15,his__L_e,EX_his__L_e,646.4166960378132,433.99859323745284,750.0577636740333,uptake,3.2131180467139906,2.8918062420425974,3.213118046713993,uptake
16,hxan_e,EX_hxan_e,5.851596041956809,0.0,174.24791791915226,uptake,0.0,0.0,103.10921520105465,secretion
17,id3acald_e,EX_id3acald_e,1.6327343465466695,-48.07805040029843,1.632734346546671,uptake,0.0,0.0,99.99999999999848,secretion
18,ile__L_e,EX_ile__L_e,8.345032404480019,-495.5042816097647,51.31403344435177,uptake,9.853532616202257,8.868179354582049,9.85353261620226,uptake
19,k_e,EX_k_e,5.606641368426799,5.045977231584421,5.606641368426805,uptake,6.6201329022382245,5.9581196120144115,6.620132902238225,uptake
20,leu__L_e,EX_leu__L_e,12.940862338089438,-491.3680346695154,12.940862338089524,uptake,15.280133491356173,13.752120142220583,15.280133491356189,uptake
21,mal__L_e,EX_mal__L_e,36.84950699152375,0.0,457.7722454244833,uptake,0.0,-1000.0000000000005,1000.0,secretion
22,mg2_e,EX_mg2_e,0.2491770394998919,0.22425933554991614,0.24917703949989192,uptake,0.2942198384517707,0.26479785460659416,0.29421983845177035,uptake
23,mn2_e,EX_mn2_e,0.019847992425870375,0.017863193183284404,0.019847992425870375,uptake,0.023435839581576228,0.021092255623418647,0.02343583958160808,uptake
24,o2_e,EX_o2_e,578.3567151595416,0.22428518677015258,1000.0,uptake,16.75820238699274,0.003403453693382624,1000.0,uptake
25,ribflv_e,EX_ribflv_e,0.012810715805989071,0.011529644225390604,0.012810715805988679,uptake,0.0151264608587308,0.013613814772857747,0.015126460858730817,uptake
26,thr__L_e,EX_thr__L_e,77.30025739492423,0.0,1000.0,uptake,8.60400555127544,7.743604996147912,8.60400555127544,uptake
27,ura_e,EX_ura_e,9.50161599785209,0.0,9.501615997851953,uptake,0.0,0.0,10.694500548808751,secretion
28,zn2_e,EX_zn2_e,0.00979474011175367,0.008815266100578832,0.009794740111753672,uptake,0.011565298548939914,0.010408768694045945,0.0115652985489399,uptake
29,2hxmp_e,EX_2hxmp_e,0.0,-517.1232834434682,0.0,secretion,0.0,-199.9999999999978,0.0,secretion
30,2pglyc_e,EX_2pglyc_e,0.0,0.0,83.23849471706853,secretion,16.75442077177806,0.0,218.67989375051434,uptake
31,ac_e,EX_ac_e,-25.525207625542237,-1000.0,171.0513268301504,secretion,0.0,0.0,0.0,secretion
32,acald_e,EX_acald_e,0.0,-1000.0,999.9999999999999,secretion,-3.2612276537262894,-1000.0,1000.0000000000005,secretion
33,ade_e,EX_ade_e,-28.209052586902587,-135.65225608559763,42.32098409476555,secretion,-13.087712394286136,-1000.0,100.18632001204875,secretion
34,agm_e,EX_agm_e,0.0,0.0,6.316526113982774,secretion,0.0,-990.9711715262496,0.0,secretion
35,ala__D_e,EX_ala__D_e,-849.9250742699382,-1000.0,168.27185928542585,secretion,0.0,-1000.0,1000.0,secretion
36,ala__L_e,EX_ala__L_e,0.0,0.0,1000.0,secretion,-35.21358124653149,-1000.0,1000.0,secretion
37,alaala_e,EX_alaala_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,0.0,secretion
38,alltn_e,EX_alltn_e,0.0,-503.0148107737974,0.0,secretion,0.0,0.0,218.67989375051775,secretion
39,anhgm_e,EX_anhgm_e,0.0,-14.98357963874404,0.0,secretion,0.0,-15.378783088748037,0.0,secretion
40,arab__L_e,EX_arab__L_e,-242.38076478916992,-1000.0,1000.0,secretion,0.0,0.0,0.0,secretion
41,arbt_e,EX_arbt_e,0.0,0.0,517.1232834434693,secretion,0.0,0.0,199.99999999999318,secretion
42,cell6_e,EX_cell6_e,0.0,0.0,59.640522875784924,secretion,0.0,0.0,28.571428571426857,secretion
43,cellb_e,EX_cellb_e,0.0,0.0,738.2812499998541,secretion,0.0,0.0,99.99999999999856,secretion
44,chol_e,EX_chol_e,0.0,0.0,168.98148148139205,secretion,0.0,-40.10593135154076,0.0,secretion
45,co2_e,EX_co2_e,-754.212554266543,-1000.0,-496.9851892262018,secretion,-6.406327500324764,-1000.0,19.223007933333474,secretion
46,for_e,EX_for_e,-0.019216073709003467,-1000.0,190.0868722002236,secretion,0.0,-1000.0,0.0,secretion
47,fru_e,EX_fru_e,0.0,0.0,1000.0,secretion,0.0,0.0,99.99999999999739,secretion
48,g3pe_e,EX_g3pe_e,0.0,-21.943887775538016,0.0,secretion,0.0,-18.181818181818016,0.0,secretion
49,gal_e,EX_gal_e,0.0,0.0,564.1874294274769,secretion,0.0,0.0,99.99999999999886,secretion
50,glc__D_e,EX_glc__D_e,0.0,-1000.0,564.1874294274708,secretion,0.0,0.0,199.9999999999968,secretion
51,glu__L_e,EX_glu__L_e,0.0,0.0,450.88212835766006,secretion,17.853972029715397,-983.9344775980919,1000.0,uptake
52,glyb_e,EX_glyb_e,0.0,-168.98148148138995,0.0,secretion,0.0,0.0,0.0,secretion
53,glyc_e,EX_glyc_e,0.0,-1000.0,1000.0,secretion,0.0,-1000.0,1000.0,secretion
54,h_e,EX_h_e,0.0,-1000.0,1000.0,secretion,-321.9660806299237,-1000.0,1000.0,secretion
55,hqn_e,EX_hqn_e,0.0,-517.123283443468,0.0,secretion,0.0,-199.99999999999537,0.0,secretion
56,lac__D_e,EX_lac__D_e,0.0,-208.5714285713166,0.0,secretion,-913.9879646167202,-1000.0,1000.0,secretion
57,lac__L_e,EX_lac__L_e,-36.84950699152375,-457.7722454244814,0.0,secretion,-16.101269688330856,-1000.0,0.0,secretion
58,lcts_e,EX_lcts_e,0.0,0.0,272.7351554578332,secretion,0.0,0.0,99.99999999999848,secretion
59,lys__L_e,EX_lys__L_e,0.0,0.0,9.840866629111481,secretion,11.638590660858567,10.47473159477272,1000.0,uptake
60,malt_e,EX_malt_e,0.0,0.0,272.73515545783323,secretion,0.0,0.0,66.66666666666615,secretion
61,malttr_e,EX_malttr_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,0.0,secretion
