,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,abt__L_e,EX_abt__L_e,242.38076478916992,-1000.0,1000.0,uptake,0.0,0.0,671.9596752050027,secretion
1,bz_e,EX_bz_e,0.0028723578040333367,0.0025851220236745576,0.002868377901658402,uptake,0.001547102558480623,0.0013923923026325634,0.0015471025584806255,uptake
2,ca2_e,EX_ca2_e,0.1495062236999351,0.13455560132994965,0.1495062236999351,uptake,0.08052668816891638,0.07247401935202191,0.08052668816891652,uptake
3,cl_e,EX_cl_e,0.1495062236999351,0.13455560132994965,0.1495062236999353,uptake,0.08052668816891638,0.07247401935202488,0.08052668816891667,uptake
4,cobalt2_e,EX_cobalt2_e,0.0028723578040333367,0.002585122023630158,0.002872357804033337,uptake,0.001547102558480623,0.0013923923026325634,0.0015471025584806255,uptake
5,cu2_e,EX_cu2_e,0.02036501683059635,0.018328515147537812,0.02036501683059637,uptake,0.010968957139627611,0.00987206142566487,0.010968957139627637,uptake
6,fe2_e,EX_fe2_e,0.1928788265408386,0.17359094388676513,0.19287882654083885,uptake,0.10388793680197385,-744.5919797911632,0.10388793680197399,uptake
7,fe3_e,EX_fe3_e,0.224273697338923,0.20184632760504279,0.22427369733892324,uptake,0.12079776776616707,0.10871799098955058,744.7941969252778,uptake
8,gua_e,EX_gua_e,6.973567723788232,0.0,86.69832691409525,uptake,3.7629866109412573,0.0,3.7629866109412577,uptake
9,h2o_e,EX_h2o_e,1000.0,-1000.0,1000.0,uptake,-1000.0,-1000.0,1000.0,secretion
10,h2s_e,EX_h2s_e,7.1759253310823565,-210.61103239876206,1000.0,uptake,-12.270333398744752,-111.04330005886943,51.071508534528334,secretion
11,hxan_e,EX_hxan_e,5.851596041956809,0.0,174.24791791915226,uptake,0.0,0.0,34.28303770988188,secretion
12,k_e,EX_k_e,5.606641368426799,5.045977231584421,5.606641368426805,uptake,3.0198358969750863,2.717852307277583,3.0198358969750925,uptake
13,mal__L_e,EX_mal__L_e,36.84950699152375,0.0,457.7722454244833,uptake,46.252951639622985,16.41572044327097,127.34194218994392,uptake
14,mg2_e,EX_mg2_e,0.2491770394998919,0.22425933554991614,0.24917703949989192,uptake,0.134211146948194,0.12079003225337484,0.13421114694819422,uptake
15,mn2_e,EX_mn2_e,0.019847992425870375,0.017863193183284404,0.019847992425870375,uptake,0.010690478679101114,0.00962143081119102,0.010690478679101131,uptake
16,o2_e,EX_o2_e,578.3567151595416,0.22428518677015258,1000.0,uptake,42.07665496861107,0.0,632.8946230079247,uptake
