,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,2pglyc_e,EX_2pglyc_e,12.945255411695669,0.0,74.64485659701752,uptake,25.49892524580936,0.0,80.03858495892828,uptake
1,ade_e,EX_ade_e,3.5516684547780586,-15.047666569568145,19.341864832013087,uptake,5.289415856235115,-53.82725005196604,28.147968428070847,uptake
2,arg__L_e,EX_arg__L_e,5.156832705392994,4.641149434850718,1000.0,uptake,7.679949023159152,0.0,132.9865303862005,uptake
3,ca2_e,EX_ca2_e,0.0907438816180645,0.08166949345625477,0.09074388161806442,uptake,0.13514271740122577,0.12162844565939929,0.1351427173991261,uptake
4,cgly_e,EX_cgly_e,1.596604164953382,0.0,118.1036104151519,uptake,2.3835748099106127,0.0,191.84201663990413,uptake
5,cit_e,EX_cit_e,12.054925144181315,0.2450241709534865,152.9230616026513,uptake,0.008853730381136982,0.007968357342911651,0.008853730380999418,uptake
6,cl_e,EX_cl_e,0.0907438816180645,0.08166949345625615,0.09074388161806447,uptake,0.1351427174012258,0.12162844565939929,0.13514271739912612,uptake
7,coa_e,EX_coa_e,0.010041974219350722,-14.180151412394691,0.010041974219080308,uptake,0.014955274778020682,-19.016390998706406,0.014955274778512877,uptake
8,cobalt2_e,EX_cobalt2_e,0.0017433983019801067,0.0015690584717820597,0.0017433983019801075,uptake,0.0025964018713011696,0.0023367616841383164,0.0025964018712608286,uptake
9,cu2_e,EX_cu2_e,0.01236069396103895,0.011124624564934798,0.012360693961038931,uptake,0.018408489267525283,0.016567640340540653,0.018408489267239255,uptake
10,fe2_e,EX_fe2_e,0.11706919597796418,0.0,0.1170691959779639,uptake,-106.00267619523005,-800.522892463687,8.298303065406731,secretion
11,fe3_e,EX_fe3_e,0.13612453941860678,0.12251208547674325,0.1361245394186073,uptake,106.37975163899914,0.0,800.8622603630715,uptake
12,glu__L_e,EX_glu__L_e,10.930915579602045,9.837824021641836,21.515765195317627,uptake,508.4713063495133,-80.39937236840099,739.4440155680793,uptake
13,gly_e,EX_gly_e,8.628339706244839,-260.30005090217173,152.98230532789998,uptake,21.65053839216287,-580.515741551684,906.8596063605647,uptake
14,gua_e,EX_gua_e,4.232657265513352,0.0,22.053559717829188,uptake,6.303596391182421,0.0,6.314878104108676,uptake
15,h2s_e,EX_h2s_e,0.07562861833989705,0.06806575650590574,118.17167617165586,uptake,3.9960961561009087,-248.71792697474194,148.57056084409805,uptake
16,ile__L_e,EX_ile__L_e,5.065077652759788,4.558569887483704,5.065077652759792,uptake,7.543300392672581,-248.21102964318555,7.543300392555404,uptake
17,k_e,EX_k_e,3.4029914475840344,3.06269230282556,3.402991447584033,uptake,5.067994704648899,4.56119523412011,5.067994704570153,uptake
18,leu__L_e,EX_leu__L_e,7.854549803893998,7.069094823504434,7.854549803893995,uptake,11.697595314791876,-289.47216421270747,11.697595314610115,uptake
19,lys__L_e,EX_lys__L_e,5.982663047057951,5.384396742352031,5.982663047057943,uptake,0.0,0.0,364.28571428070245,secretion
20,mg2_e,EX_mg2_e,0.15123980269677423,0.13611582242709364,0.15123980269677428,uptake,0.22523786233537638,0.20271407609899889,0.22523786233187681,uptake
21,mn2_e,EX_mn2_e,0.012046882266682548,0.010842194040014042,0.012046882266682553,uptake,0.017941136930691094,0.016147023237395777,0.01794113693041234,uptake
22,nh4_e,EX_nh4_e,960.6323229429947,-1000.0,1000.0,uptake,1000.0,-192.8877653668626,1000.0,uptake
23,o2_e,EX_o2_e,0.15300063498177421,0.1377005714835936,599.0930283990169,uptake,408.86970206176807,0.0,1000.0,uptake
24,pro__L_e,EX_pro__L_e,3.8538691164421293,0.0,3.8538691164421275,uptake,5.739476156604806,-216.87115535249174,5.739476156515628,uptake
25,ribflv_e,EX_ribflv_e,0.007775556426831271,0.006998000784147976,0.007775556426831272,uptake,0.011579952346003295,0.0,0.011579952345823276,uptake
26,val__L_e,EX_val__L_e,7.3773991226250555,6.639659210362396,7.377399122625062,uptake,10.986986086635104,-453.74807615216,309.8882874737103,uptake
27,zn2_e,EX_zn2_e,0.005944988209752159,0.005350489388776819,0.005944988209752162,uptake,0.008853730381136982,0.007968357342911651,0.008853730380999418,uptake
28,2hxmp_e,EX_2hxmp_e,0.0,-350.0000000000755,0.0,secretion,0.0,-472.77966099545523,0.0,secretion
29,4hphac_e,EX_4hphac_e,0.0,0.0,0.0,secretion,0.0,0.0,58.62068965436623,secretion
