,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,2pglyc_e,EX_2pglyc_e,0.8959465878647761,0.0,48.94387111184475,uptake,699.5090151722502,0.0,1000.0,uptake
1,acald_e,EX_acald_e,50.753606057960695,-1000.0,145.63894086677337,uptake,-13.742315275952603,-317.4441940935591,0.0,secretion
2,ade_e,EX_ade_e,3.6791137952080875,-14.891513076080228,18.093279198243767,uptake,4.766376915052972,-22.693747308589685,23.487354542923196,uptake
3,arg__L_e,EX_arg__L_e,5.341876525793147,0.0,562.6176856811252,uptake,6.920524444985686,6.22847200048747,6.920524444985711,uptake
4,bz_e,EX_bz_e,0.0018059570663821708,-392.0320748479509,0.0017712318595297825,uptake,0.0023396590999708207,0.002105693189973858,0.0023396590999708324,uptake
5,ca2_e,EX_ca2_e,0.09400006530519193,0.08460005877467276,0.09400006530519221,uptake,0.12177925615348115,0.10960133053813922,0.12177925615348174,uptake
6,cl_e,EX_cl_e,0.09400006530519193,0.08460005877467276,0.09400006530519264,uptake,0.12177925615348115,0.10960133053813922,0.121779256153481,uptake
7,coa_e,EX_coa_e,0.010402312702365538,-13.484862771541147,0.010402312702361315,uptake,0.0134764364158174,-16.969003282689304,0.01347643641583408,uptake
8,cobalt2_e,EX_cobalt2_e,0.0018059570663821708,0.001625361359743954,0.001805957066382176,uptake,0.0023396590999708207,0.002105693189973858,0.0023396590999708324,uptake
9,cu2_e,EX_cu2_e,0.012804235600649585,0.011523812040584629,0.01280423560064955,uptake,0.016588183018793112,0.014929364716914644,0.016588183018793192,uptake
10,fe2_e,EX_fe2_e,0.12127001700756278,0.0,0.1212700170075631,uptake,0.15710810856304064,0.0,0.15710810856304125,uptake
11,fe3_e,EX_fe3_e,0.14100912774311994,0.12690821496880797,0.26227766538245295,uptake,0.18268058252572175,0.16441252427315886,0.18268058252572264,uptake
12,gln__L_e,EX_gln__L_e,13.134942458645506,0.0,715.140104046435,uptake,10.836365087424848,0.0,47.119262471848586,uptake
13,gua_e,EX_gua_e,4.392593253420037,0.0,22.156049419843796,uptake,5.675053716298237,0.0,17.81905294238571,uptake
14,h2s_e,EX_h2s_e,0.08236970179769083,0.07050817578566745,47.7646315491533,uptake,0.101494411756734,-103.13838830108588,34.70672958594914,uptake
15,his__L_e,EX_his__L_e,1.7109276055491414,1.5398348449942274,1.710927605549147,uptake,2.216546238130357,1.9948916143174338,2.2165462381303644,uptake
16,ile__L_e,EX_ile__L_e,5.24682900538946,-989.8360146696516,5.2468290053894515,uptake,6.797388186554231,6.117649367899154,6.797388186554249,uptake
17,k_e,EX_k_e,3.525101776583355,3.1725915989250204,3.525101776583308,uptake,4.56685078700605,4.1101657083056775,4.566850787006072,uptake
18,leu__L_e,EX_leu__L_e,8.136396430742261,7.322756787668037,8.136396430742286,uptake,10.540889539689543,9.486800585721126,10.540889539689587,uptake
19,lys__L_e,EX_lys__L_e,6.1973403285677175,0.0,563.3876031036241,uptake,8.028797564050864,7.225917807646185,8.028797564050903,uptake
20,met__L_e,EX_met__L_e,2.7755031770400977,0.0,23.37406179802467,uptake,3.600945924174084,0.0,3.6009459241741126,uptake
21,mg2_e,EX_mg2_e,0.15666677550865327,0.14100009795778798,0.15666677550865374,uptake,0.20296542692246866,0.18266888423023211,0.20296542692246966,uptake
22,mn2_e,EX_mn2_e,0.01247916332870081,0.01123124699583073,0.012479163328700846,uptake,0.016167044380798384,0.014550339942719369,0.016167044380798464,uptake
23,nh4_e,EX_nh4_e,502.10214869882503,-1000.0,816.848437945988,uptake,-651.5510884819861,-1000.0,-351.8761753099958,secretion
24,nmn_e,EX_nmn_e,0.041139701972142895,0.0,0.04113970197196629,uptake,0.0,0.0,1000.0,secretion
25,o2_e,EX_o2_e,0.6106990553987536,0.14645318531962292,1000.0,uptake,991.5367277410777,692.3830549671161,1000.0,uptake
26,orn_e,EX_orn_e,84.85114098560729,0.0,743.7466624105522,uptake,0.0,0.0,299.9999999998583,secretion
