,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,2pglyc_e,EX_2pglyc_e,0.8959465878647761,0.0,48.94387111184475,uptake,0.0,0.0,369.31464797905494,secretion
1,acald_e,EX_acald_e,50.753606057960695,-1000.0,145.63894086677337,uptake,0.0,-1000.0,1000.0,secretion
2,ade_e,EX_ade_e,3.6791137952080875,-14.891513076080228,18.093279198243767,uptake,8.696038874924708,-45.117944458598956,76.31169348425945,uptake
3,bz_e,EX_bz_e,0.0018059570663821708,-392.0320748479509,0.0017712318595297825,uptake,0.0042565670934582665,-57.37779946664631,0.004256567093415215,uptake
4,ca2_e,EX_ca2_e,0.09400006530519193,0.08460005877467276,0.09400006530519221,uptake,0.22155431721450264,0.19939888549299667,0.2215543172145026,uptake
5,cl_e,EX_cl_e,0.09400006530519193,0.08460005877467276,0.09400006530519264,uptake,0.22155431721450264,0.19939888549295226,0.22155431721450297,uptake
6,cobalt2_e,EX_cobalt2_e,0.0018059570663821708,0.001625361359743954,0.001805957066382176,uptake,0.0042565670934582665,0.0038309103841105163,0.004256567093458265,uptake
7,cu2_e,EX_cu2_e,0.012804235600649585,0.011523812040584629,0.01280423560064955,uptake,0.030179060692619095,0.027161154623343547,0.030179060692618935,uptake
8,fe2_e,EX_fe2_e,0.12127001700756278,0.0,0.1212700170075631,uptake,0.0,-1000.0,18.16823565278158,secretion
9,fe3_e,EX_fe3_e,0.14100912774311994,0.12690821496880797,0.26227766538245295,uptake,0.6181812389829442,0.0,1000.0,uptake
10,gln__L_e,EX_gln__L_e,13.134942458645506,0.0,715.140104046435,uptake,61.52938676377235,0.0,1000.0,uptake
11,gua_e,EX_gua_e,4.392593253420037,0.0,22.156049419843796,uptake,10.353163010076695,0.0,75.62550847807638,uptake
12,h2s_e,EX_h2s_e,0.08236970179769083,0.07050817578566745,47.7646315491533,uptake,3.9321741152658083,-596.4610432989696,553.3109123754627,uptake
13,ile__L_e,EX_ile__L_e,5.24682900538946,-989.8360146696516,5.2468290053894515,uptake,0.0,0.0,0.0,secretion
14,k_e,EX_k_e,3.525101776583355,3.1725915989250204,3.525101776583308,uptake,8.308521006734004,7.4776689060568495,8.308521006734015,uptake
15,leu__L_e,EX_leu__L_e,8.136396430742261,7.322756787668037,8.136396430742286,uptake,0.0,0.0,0.0,secretion
16,met__L_e,EX_met__L_e,2.7755031770400977,0.0,23.37406179802467,uptake,6.551239847870671,0.0,55.4441025700652,uptake
17,mg2_e,EX_mg2_e,0.15666677550865327,0.14100009795778798,0.15666677550865374,uptake,0.3692571953575045,0.3323314758215872,0.36925719535750434,uptake
18,mn2_e,EX_mn2_e,0.01247916332870081,0.01123124699583073,0.012479163328700846,uptake,0.029412878615796646,0.02647159075420369,0.02941287861579663,uptake
19,nh4_e,EX_nh4_e,502.10214869882503,-1000.0,816.848437945988,uptake,543.1593209468148,-958.5562406184137,902.3234404228443,uptake
20,nmn_e,EX_nmn_e,0.041139701972142895,0.0,0.04113970197196629,uptake,0.0,0.0,369.31464797904914,secretion
21,o2_e,EX_o2_e,0.6106990553987536,0.14645318531962292,1000.0,uptake,287.405096486588,0.0021357325391416094,993.2912966788393,uptake
22,pro__L_e,EX_pro__L_e,3.992158393091112,0.0,3.9921583930910587,uptake,9.40935438844418,0.0,1000.0,uptake
23,thr__L_e,EX_thr__L_e,13.505127538112506,0.0,1000.0,uptake,23.16491917333486,0.0,1000.0,uptake
24,zn2_e,EX_zn2_e,0.006158313596363197,0.005542482236726879,0.006158313596363215,uptake,0.014514893788692676,0.01306340440981685,0.01451489378869267,uptake
25,4hbz_e,EX_4hbz_e,0.0,-784.067400418597,0.0,secretion,0.0,0.0,246.59987853760722,secretion
26,4hphac_e,EX_4hphac_e,0.0,0.0,0.0,secretion,0.0,0.0,82.9824067660574,secretion
27,5mtr_e,EX_5mtr_e,0.0,-23.211665583175304,0.0,secretion,0.0,-39.89115682225931,0.0,secretion
28,ala__D_e,EX_ala__D_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,1000.0,secretion
29,ala__L_e,EX_ala__L_e,0.0,0.0,1000.0,secretion,-887.1616413434124,-1000.0,1000.0,secretion
30,arab__D_e,EX_arab__D_e,0.0,0.0,0.0,secretion,0.0,-1000.0,0.0,secretion
31,but_e,EX_but_e,0.0,0.0,122.857142857144,secretion,0.0,0.0,0.0,secretion
32,chol_e,EX_chol_e,0.0,0.0,119.44444444444733,secretion,0.0,0.0,0.0,secretion
33,co2_e,EX_co2_e,-1000.0,-1000.0,-442.190003192088,secretion,-1000.0,-1000.0,-753.4001214623909,secretion
34,crn_e,EX_crn_e,0.0,0.0,0.0,secretion,0.0,0.0,0.0,secretion
35,for_e,EX_for_e,-0.036245558322290115,-522.744221281574,-0.03262100249006114,secretion,22.250594373087473,0.0,323.175200912504,uptake
36,fru_e,EX_fru_e,0.0,-1000.0,716.6666666666831,secretion,108.99570014728573,0.0,429.63918504988914,uptake
37,g3pe_e,EX_g3pe_e,0.0,-15.248226950354068,0.0,secretion,0.0,-32.68191161341823,0.0,secretion
38,glcur_e,EX_glcur_e,0.0,-71.66666666666436,0.0,secretion,0.0,-100.0000000004518,0.0,secretion
