,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,26dap__M_e,EX_26dap__M_e,2.3935252411675574,0.0,21.978461043206064,uptake,2.3396590999708207,0.0,15.742056826330895,uptake
1,acald_e,EX_acald_e,60.9354187407498,-1000.0,955.1934783043073,uptake,-13.742315275952603,-317.4441940935591,0.0,secretion
2,arg__L_e,EX_arg__L_e,388.7580997705866,184.35203873887943,419.9336824545037,uptake,6.920524444985686,6.22847200048747,6.920524444985711,uptake
3,bz_e,EX_bz_e,0.0023935252411675574,-878.3967524676519,0.0023909976822638884,uptake,0.0023396590999708207,0.002105693189973858,0.0023396590999708324,uptake
4,ca2_e,EX_ca2_e,0.12458298880277129,0.11212468992249437,0.12458298880277123,uptake,0.12177925615348115,0.10960133053813922,0.12177925615348174,uptake
5,cl_e,EX_cl_e,0.12458298880277129,0.11212468992249437,0.1245829888027714,uptake,0.12177925615348115,0.10960133053813922,0.121779256153481,uptake
6,cobalt2_e,EX_cobalt2_e,0.0023935252411675574,0.002154172717050806,0.0023935252411320107,uptake,0.0023396590999708207,0.002105693189973858,0.0023396590999708324,uptake
7,cu2_e,EX_cu2_e,0.016970093959877974,0.015273084563890206,0.01697009395987798,uptake,0.016588183018793112,0.014929364716914644,0.016588183018793192,uptake
8,fe2_e,EX_fe2_e,0.1607252199444015,0.0,6.084821870763782,uptake,0.15710810856304064,0.0,0.15710810856304125,uptake
9,fe3_e,EX_fe3_e,0.18688645083036293,0.16819780574732696,0.18688645083036298,uptake,0.18268058252572175,0.16441252427315886,0.18268058252572264,uptake
10,gln__L_e,EX_gln__L_e,16.86090133837591,0.0,308.59586383611463,uptake,10.836365087424848,0.0,47.119262471848586,uptake
11,his__L_e,EX_his__L_e,2.267577942977321,0.0,204.76809287595043,uptake,2.216546238130357,1.9948916143174338,2.2165462381303644,uptake
12,ile__L_e,EX_ile__L_e,6.953884947911698,-993.7415035468836,6.953884947911704,uptake,6.797388186554231,6.117649367899154,6.797388186554249,uptake
13,k_e,EX_k_e,4.6719937239921965,4.204794351592985,4.671993723992195,uptake,4.56685078700605,4.1101657083056775,4.566850787006072,uptake
14,leu__L_e,EX_leu__L_e,10.783573204284611,-872.7092188360034,10.783573204284618,uptake,10.540889539689543,9.486800585721126,10.540889539689587,uptake
