,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,acald_e,EX_acald_e,60.9354187407498,-1000.0,955.1934783043073,uptake,-253.89488427019643,-1000.0,1000.0,secretion
1,bz_e,EX_bz_e,0.0023935252411675574,-878.3967524676519,0.0023909976822638884,uptake,0.0020796090913871293,0.0018716481822484185,0.002079609091387132,uptake
2,ca2_e,EX_ca2_e,0.12458298880277129,0.11212468992249437,0.12458298880277123,uptake,0.10824365320670001,0.09741928788603012,0.10824365320670014,uptake
3,cl_e,EX_cl_e,0.12458298880277129,0.11212468992249437,0.1245829888027714,uptake,0.10824365320670001,0.09741928788603012,0.10824365320670015,uptake
4,cobalt2_e,EX_cobalt2_e,0.0023935252411675574,0.002154172717050806,0.0023935252411320107,uptake,0.0020796090913871293,0.0018716481822484185,0.002079609091387132,uptake
5,cu2_e,EX_cu2_e,0.016970093959877974,0.015273084563890206,0.01697009395987798,uptake,0.01474442845793474,0.01326998561214128,0.014744428457934755,uptake
6,fe2_e,EX_fe2_e,0.1607252199444015,0.0,6.084821870763782,uptake,-88.32497016458363,-1000.0,6.836196877435891,secretion
7,fe3_e,EX_fe3_e,0.18688645083036293,0.16819780574732696,0.18688645083036298,uptake,88.62699179292578,0.0,1000.0,uptake
8,ile__L_e,EX_ile__L_e,6.953884947911698,-993.7415035468836,6.953884947911704,uptake,6.041867497116118,-504.7823139266913,6.04186749711612,uptake
9,k_e,EX_k_e,4.6719937239921965,4.204794351592985,4.671993723992195,uptake,4.059251373751285,3.6533262363761603,4.059251373751289,uptake
10,leu__L_e,EX_leu__L_e,10.783573204284611,-872.7092188360034,10.783573204284618,uptake,9.369283635517352,-658.2343113946904,9.36928363551735,uptake
11,lys__L_e,EX_lys__L_e,8.213645152842997,0.0,8.213645152842997,uptake,0.0,0.0,666.6666666666674,secretion
12,mg2_e,EX_mg2_e,0.20763831467128555,0.18687448320415737,0.20763831467128543,uptake,0.18040608867783342,0.16236547981005026,0.18040608867783361,uptake
13,mn2_e,EX_mn2_e,0.016539259416467833,0.01488533347482108,0.016539259416467826,uptake,0.014370098821483879,0.012933088939340294,0.014370098821483879,uptake
14,nmn_e,EX_nmn_e,0.05452450499379409,0.0,0.05452450499380553,uptake,0.04737349510175933,0.0,0.047373495101766694,uptake
15,o2_e,EX_o2_e,642.6786402612981,185.17489228702254,1000.0,uptake,36.992401578366554,0.07306914503497827,1000.0,uptake
16,pac_e,EX_pac_e,4.434364538049078,0.0,4.434364538049055,uptake,3.8527877831583672,0.0,3.8527877831583703,uptake
17,pnto__R_e,EX_pnto__R_e,0.013786705389139295,0.012408034850182048,0.013786705389124269,uptake,0.0,0.0,20.833333333331364,secretion
18,ptrc_e,EX_ptrc_e,376.3872363673693,173.21826167598164,446.24978063376324,uptake,0.0,0.0,47.619047619046235,secretion
19,ribflv_e,EX_ribflv_e,0.01067512257560763,0.009607610318046638,0.010675122575607297,uptake,0.009275056547586591,0.008347550892827935,0.009275056547586596,uptake
20,thm_e,EX_thm_e,0.005337561287803649,0.004803805159023294,0.005337561287803663,uptake,0.0046375282737932955,0.00417377544641397,0.004637528273793296,uptake
