,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,3amp_e,EX_3amp_e,17.736811900385735,0.0,137.16945072219352,uptake,7.541988215881153,0.0,170.600248261777,uptake
1,3gmp_e,EX_3gmp_e,5.811048451011431,0.0,5.811048451011429,uptake,8.812391718888938,0.0,75.67231223617439,uptake
2,acald_e,EX_acald_e,60.9354187407498,-1000.0,955.1934783043073,uptake,-1000.0,-1000.0,540.1101274003987,secretion
3,arg__L_e,EX_arg__L_e,388.7580997705866,184.35203873887943,419.9336824545037,uptake,10.720460680865191,-45.167269745368955,316.191540499038,uptake
4,bz_e,EX_bz_e,0.0023935252411675574,-878.3967524676519,0.0023909976822638884,uptake,0.0036230991986485597,0.0032607892788210193,0.0036216975038033754,uptake
5,ca2_e,EX_ca2_e,0.12458298880277129,0.11212468992249437,0.12458298880277123,uptake,0.18858231328965744,0.16972408196263394,0.1885823132916761,uptake
6,cl_e,EX_cl_e,0.12458298880277129,0.11212468992249437,0.1245829888027714,uptake,0.18858231328965744,0.16972408196263394,0.18858231329167618,uptake
7,cobalt2_e,EX_cobalt2_e,0.0023935252411675574,0.002154172717050806,0.0023935252411320107,uptake,0.0036230991986485597,0.0032607892788210193,0.0036230991986873494,uptake
8,cu2_e,EX_cu2_e,0.016970093959877974,0.015273084563890206,0.01697009395987798,uptake,0.025687773318418275,0.023118995986841015,0.025687773318693215,uptake
9,fe2_e,EX_fe2_e,0.1607252199444015,0.0,6.084821870763782,uptake,-523.6712197436733,-999.745397573108,0.24329111119185512,secretion
10,fe3_e,EX_fe3_e,0.18688645083036293,0.16819780574732696,0.18688645083036298,uptake,524.197402440293,0.2546024268903011,1000.0,uptake
11,his__L_e,EX_his__L_e,2.267577942977321,0.0,204.76809287595043,uptake,3.4324517188156736,0.0,3.4324517188524166,uptake
12,ile__L_e,EX_ile__L_e,6.953884947911698,-993.7415035468836,6.953884947911704,uptake,0.0,0.0,10.468081481496133,secretion
13,k_e,EX_k_e,4.6719937239921965,4.204794351592985,4.671993723992195,uptake,7.072036018818093,6.36483241700912,7.0720360188937965,uptake
14,leu__L_e,EX_leu__L_e,10.783573204284611,-872.7092188360034,10.783573204284618,uptake,0.0,0.0,16.18395834636823,secretion
15,lys__L_e,EX_lys__L_e,8.213645152842997,0.0,8.213645152842997,uptake,12.433063441074378,-203.30299652466857,12.433063441207468,uptake
16,met__L_e,EX_met__L_e,3.683850763428569,0.0,3.683850763428565,uptake,5.576275745648002,0.0,54.77773758807761,uptake
17,mg2_e,EX_mg2_e,0.20763831467128555,0.18687448320415737,0.20763831467128543,uptake,0.31430385548276246,0.28287346993772333,0.3143038554861275,uptake
18,mn2_e,EX_mn2_e,0.016539259416467833,0.01488533347482108,0.016539259416467826,uptake,0.02503561546266157,0.02253205391665326,0.025035615462929605,uptake
19,nmn_e,EX_nmn_e,0.05452450499379409,0.0,0.05452450499380553,uptake,0.08253419974519005,0.0,0.08253419974692518,uptake
20,o2_e,EX_o2_e,642.6786402612981,185.17489228702254,1000.0,uptake,57.10782855362002,-0.0040397556065477494,994.5784038931423,uptake
21,pac_e,EX_pac_e,4.434364538049078,0.0,4.434364538049055,uptake,0.0,0.0,0.18857005917088715,secretion
22,ptrc_e,EX_ptrc_e,376.3872363673693,173.21826167598164,446.24978063376324,uptake,0.007246198397297119,-302.62354848003406,217.33590242748465,uptake
23,thr__L_e,EX_thr__L_e,20.096349083124156,0.0,1000.0,uptake,9.19133166407558,0.0,149.2928088484132,uptake
24,zn2_e,EX_zn2_e,0.008161921072381364,0.0073457289651432415,0.00816192107238136,uptake,0.012354768267391578,0.011119291440779666,0.01235476826752386,uptake
25,2hxmp_e,EX_2hxmp_e,0.0,-464.5833333333243,0.0,secretion,0.0,-448.4848484818519,0.0,secretion
26,2pglyc_e,EX_2pglyc_e,0.0,0.0,87.63603796140117,secretion,0.0,0.0,120.14987246389495,secretion
27,3cmp_e,EX_3cmp_e,0.0,0.0,78.3825432698236,secretion,11.981407894970872,0.0,86.84753184752084,uptake
28,3ump_e,EX_3ump_e,0.0,0.0,87.6360379614,secretion,0.0,0.0,66.09354813635991,secretion
29,4hphac_e,EX_4hphac_e,0.0,0.0,0.0,secretion,0.0,0.0,81.67984301371209,secretion
30,abt__L_e,EX_abt__L_e,0.0,0.0,0.0,secretion,0.0,-189.74358974232894,553.6252873881922,secretion
31,ade_e,EX_ade_e,-12.846911638435987,-132.7685404864414,10.40976558003331,secretion,-0.16097429739977542,-165.5211412211836,37.08693706638893,secretion
32,ala__L_e,EX_ala__L_e,0.0,0.0,1000.0,secretion,0.0,0.0,138.34613395915443,secretion
33,anhgm_e,EX_anhgm_e,0.0,-12.46506428172137,0.0,secretion,0.0,-32.484813160137556,0.0,secretion
34,arab__D_e,EX_arab__D_e,0.0,-1000.0,0.0,secretion,0.0,0.0,0.0,secretion
35,arbt_e,EX_arbt_e,0.0,0.0,464.58333333332627,secretion,0.0,0.0,448.48484848186916,secretion
36,cellb_e,EX_cellb_e,0.0,0.0,732.2916666666628,secretion,254.20085671235947,23.10356796275221,478.02319528210415,uptake
37,cgly_e,EX_cgly_e,0.0,0.0,89.01636356697381,secretion,3.3261137573353374,0.0,144.55345111739274,uptake
38,chol_e,EX_chol_e,0.0,0.0,0.0,secretion,0.0,0.0,230.6772030784136,secretion
39,co2_e,EX_co2_e,-1000.0,-1000.0,-117.58556528011283,secretion,-1000.0,-1000.0,-709.4731186857755,secretion
40,enter_e,EX_enter_e,0.0,-6.084821870763345,0.0,secretion,0.0,-0.24324552700199414,0.0,secretion
41,etha_e,EX_etha_e,0.0,0.0,655.8823529411677,secretion,0.0,-108.81497883522587,0.0,secretion
42,feenter_e,EX_feenter_e,0.0,0.0,6.08482187076378,secretion,0.0,0.0,0.24324552700199373,secretion
43,for_e,EX_for_e,-0.01601268386341091,-1000.0,142.72213291930757,secretion,0.0,-302.63007005858907,198.47470847690894,secretion
44,fru_e,EX_fru_e,0.0,0.0,929.1666666666551,secretion,0.0,-1000.0,616.6666666625644,secretion
45,glc__D_e,EX_glc__D_e,0.0,-1000.0,464.583333333326,secretion,0.0,-1000.0,379.4871794846546,secretion
46,glu__L_e,EX_glu__L_e,0.0,0.0,441.6472107276836,secretion,19.093334235966058,-482.35003594645184,201.9497569730357,uptake
47,glyb_e,EX_glyb_e,0.0,0.0,0.0,secretion,0.0,-230.67720307841347,0.0,secretion
48,glyc_e,EX_glyc_e,0.0,-1000.0000000000001,929.1666666666611,secretion,0.0,-616.6666666625664,912.9570424937767,secretion
49,glyclt_e,EX_glyclt_e,-0.01601268386341091,-87.65044937687388,294.12373349115546,secretion,-0.032318044851944554,-120.17895870426226,-0.029086240367083394,secretion
50,gthox_e,EX_gthox_e,0.0,-499.99999999999983,499.99999999999994,secretion,0.0,-499.99999999999983,534.532213322489,secretion
51,gthrd_e,EX_gthrd_e,0.0,-1000.0,1000.0,secretion,0.0,-1000.0,1000.0,secretion
52,h2o2_e,EX_h2o2_e,0.0,-499.99999999999903,500.0000000000004,secretion,0.0,-534.5322133224828,500.0,secretion
53,h2o_e,EX_h2o_e,-142.40832217519744,-1000.0,1000.0,secretion,-200.0374339024355,-1000.0,1000.0,secretion
54,h2s_e,EX_h2s_e,-8.780144706926365,-697.8970124004476,143.8626647410621,secretion,0.0,-152.50937927279892,122.49570512535601,secretion
55,h_e,EX_h_e,0.0,-1000.0,865.2450175666539,secretion,0.0,-1000.0,1000.0,secretion
56,hqn_e,EX_hqn_e,0.0,-464.5833333333193,0.0,secretion,0.0,-448.4848484818677,0.0,secretion
57,lcts_e,EX_lcts_e,0.0,0.0,232.2916666666633,secretion,0.0,0.0,205.55555555418763,secretion
58,malt_e,EX_malt_e,0.0,0.0,232.2916666666638,secretion,0.0,-1000.0,102.77777777709446,secretion
59,malttr_e,EX_malttr_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,0.0,secretion
60,meoh_e,EX_meoh_e,0.0,-1000.0,0.0,secretion,0.0,0.0,0.0,secretion
61,nh4_e,EX_nh4_e,-1000.0,-1000.0,-344.1176470588364,secretion,-999.9999994719313,-1000.0,376.19397478694174,secretion
62,no2_e,EX_no2_e,0.0,0.0,0.0,secretion,333.3333333333333,0.0,621.4654915259915,uptake
63,orn_e,EX_orn_e,-376.3872363673693,-446.24978063376255,-173.2182616759843,secretion,762.5734351780881,-152.5995261906537,1000.0,uptake
64,pi_e,EX_pi_e,-4.9915413113170395,-1000.0,24.97894477673637,secretion,0.0,-1000.0,69.05467228644609,secretion
65,pro__L_e,EX_pro__L_e,0.0,0.0,5.286742403315748,secretion,-754.5680163437141,-1000.0,7.885481240001024,secretion
66,pullulan1200_e,EX_pullulan1200_e,0.0,0.0,2.5,secretion,0.0,0.0,2.5,secretion
67,raffin_e,EX_raffin_e,0.0,0.0,154.86111111110864,secretion,0.0,0.0,1000.0,secretion
68,s_e,EX_s_e,0.0,-142.0382165605081,0.0,secretion,0.0,-123.03509829621669,0.0,secretion
69,salcn_e,EX_salcn_e,0.0,0.0,464.58333333333445,secretion,0.0,0.0,448.4848484818663,secretion
70,spmd_e,EX_spmd_e,0.0,0.0,0.0,secretion,0.0,-126.05143257825326,0.0,secretion
71,succ_e,EX_succ_e,-378.23860420616,-1000.0,-173.77223591247594,secretion,-0.003623099198675206,-245.50051969260724,-0.0032607892788210193,secretion
72,sucr_e,EX_sucr_e,0.0,0.0,232.29166666666586,secretion,0.0,0.0,102.77777777709443,secretion
73,tre_e,EX_tre_e,0.0,0.0,232.2916666666614,secretion,500.0,0.0,1000.0,uptake
74,uaagmda_e,EX_uaagmda_e,0.0,0.0,1000.0,secretion,3.6230991986485597,-3.591062572985237,35.721893336276196,uptake
75,udcpdp_e,EX_udcpdp_e,0.0,-1000.0,1000.0,secretion,0.0,0.0,999.9999999999999,secretion
76,udcpo5_e,EX_udcpo5_e,0.0,-3.887726638772631,0.0,secretion,0.0,-32.46110405745505,0.0,secretion
77,udcpp_e,EX_udcpp_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0000000000006,0.0,secretion
78,ura_e,EX_ura_e,0.0,0.0,214.42307692307136,secretion,0.0,0.0,85.92741072723848,secretion
79,urea_e,EX_urea_e,0.0,0.0,0.0,secretion,0.0,-302.63007005859066,0.0,secretion
80,val__L_e,EX_val__L_e,-469.1782523435778,-990.8843596470737,891.5300750728162,secretion,0.0,0.0,51.34355578465852,secretion
81,xylu__L_e,EX_xylu__L_e,0.0,0.0,557.4999999999878,secretion,0.0,0.0,308.33333333127865,secretion
82,hmfurn_c,sink_hmfurn_c,0.0,-32.794523138393146,0.0,secretion,0.0,-242.0101167096489,0.0,secretion
