,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,23camp_e,EX_23camp_e,15.732052678577332,0.0,1000.0,uptake,0.0,0.0,1000.0,secretion
1,3amp_e,EX_3amp_e,12.97365747024818,0.0,110.5812674302239,uptake,22.549104502201658,0.0,1000.0,uptake
2,3cmp_e,EX_3cmp_e,6.589396189219739,0.0,6.589396189220118,uptake,16.69247145345458,0.0,16.692471453454587,uptake
3,but_e,EX_but_e,0.06688099186899815,0.0,33.116121985687194,uptake,0.0,-328.5714285713123,0.0,secretion
4,bz_e,EX_bz_e,0.0019919878441994983,0.0017927890597775331,0.001991987844199624,uptake,0.00504616800539747,0.004541551204812795,0.005046168005391692,uptake
5,ca2_e,EX_ca2_e,0.10368296729058381,0.09331467056152169,0.10368296729059036,uptake,0.26265304468093814,0.23638774021285316,0.26265304468093825,uptake
6,cl_e,EX_cl_e,0.10368296729058381,0.09331467056152169,0.10368296729058968,uptake,0.26265304468093814,0.23638774021285316,0.26265304468093836,uptake
7,cobalt2_e,EX_cobalt2_e,0.0019919878441994983,0.0017927890597794764,0.0019919878441996236,uptake,0.00504616800539747,0.004541551204857892,0.005046168005397468,uptake
8,cu2_e,EX_cu2_e,0.014123193815374434,0.012710874433836481,0.014123193815375247,uptake,0.0,-999.9678004019548,0.03577733115826809,secretion
9,fe3_e,EX_fe3_e,0.28929639461309314,0.13998096978752983,1000.0,uptake,0.0,-1000.0,1000.0,secretion
10,gln__L_e,EX_gln__L_e,12.491536652312185,0.0,710.5225690575753,uptake,0.0,0.0,1000.0,secretion
11,gua_e,EX_gua_e,4.836187927904436,0.0,32.21962035296552,uptake,0.0,0.0,0.0,secretion
12,his__L_e,EX_his__L_e,1.887169443837721,1.6984524994538808,1.8871694438378308,uptake,4.780638644953456,-45.91809257816258,1000.0,uptake
13,k_e,EX_k_e,3.888220832728331,3.499398749455358,3.888220832728579,uptake,9.849766714775493,8.864790043298278,9.849766714775518,uptake
14,leu__L_e,EX_leu__L_e,8.974522754350444,-991.9229295210841,8.97452275435097,uptake,22.73455117639728,-979.5389039412344,22.734551176397307,uptake
15,malthp_e,EX_malthp_e,95.93561491870655,53.00872009348565,107.5541746389892,uptake,146.85427020470823,0.0,212.1691807728555,uptake
16,met__L_e,EX_met__L_e,3.065848571129,0.0,3.065848571129176,uptake,7.75525376077514,0.0,72.70009069447335,uptake
17,mg2_e,EX_mg2_e,0.17280494548430642,0.15552445093586953,0.1728049454843173,uptake,0.43775507446823037,0.39397956702142206,0.43775507446823025,uptake
18,mn2_e,EX_mn2_e,0.013764636003418542,0.012388172403076192,0.01376463600341941,uptake,0.034869020917296545,0.031382118825568066,0.03486902091729653,uptake
19,nmn_e,EX_nmn_e,0.045377483090862175,0.040839734781002335,0.04537748309066128,uptake,0.0,0.0,1000.0,secretion
20,no2_e,EX_no2_e,24.699454076387383,0.0,666.6666666666666,uptake,0.0,-1000.0,0.0,secretion
21,o2_e,EX_o2_e,686.3004528622988,0.0,1000.0,uptake,0.11869848690696205,0.005063829594823425,1000.0,uptake
22,pro__L_e,EX_pro__L_e,4.403388728995205,0.0,4.403388728995486,uptake,11.154806684331389,-318.53210255542444,699.9439597247953,uptake
23,ser__L_e,EX_ser__L_e,18.957051116480713,0.0,1000.0,uptake,24.713027497112783,-1000.0,1000.0,uptake
24,so4_e,EX_so4_e,0.08641243268137426,0.07777118941323372,32.22062833229933,uptake,0.2189027680741423,0.19701249126673545,109.72082201504396,uptake
25,thr__L_e,EX_thr__L_e,20.68802879447506,0.0,1000.0,uptake,12.80147222785269,0.0,1000.0,uptake
26,trp__L_e,EX_trp__L_e,1.1323056502783206,1.0190750852504478,1.132305650278385,uptake,2.8683932793080826,-64.40873731073599,2.8683932793080804,uptake
27,zn2_e,EX_zn2_e,0.006792678548720283,0.00611341069384801,0.006792678548720712,uptake,0.017207432898405355,0.0154866896085654,0.017207432898405352,uptake
28,23ccmp_e,EX_23ccmp_e,0.0,0.0,1000.0,secretion,0.0,0.0,1000.0,secretion
29,23cgmp_e,EX_23cgmp_e,0.0,0.0,1000.0,secretion,0.0,0.0,1000.0,secretion
30,23cump_e,EX_23cump_e,0.0,0.0,1000.0,secretion,0.0,0.0,1000.0,secretion
