,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,ala__L_e,EX_ala__L_e,27.26215343824628,-1000.0,1000.0,uptake,-401.5347844770472,-1000.0,1000.0,secretion
1,arg__L_e,EX_arg__L_e,22.96010229627267,11.826078356993788,22.96010229627183,uptake,9.682929971487052,0.0,557.9008805828527,uptake
2,bz_e,EX_bz_e,0.004442340246973024,0.00399810622227572,0.0044423402469730205,uptake,0.0032735604652888036,0.002946204418776688,0.003273560465305563,uptake
3,ca2_e,EX_ca2_e,0.23122380985494578,0.2081014288694511,0.2312238098549456,uptake,0.1703888222182821,0.1533499399964542,0.17038882221828214,uptake
4,cit_e,EX_cit_e,0.015148380242178,0.013633542217960194,0.015148380242177989,uptake,0.0,0.0,1000.0,secretion
5,cl_e,EX_cl_e,0.23122380985494578,0.2081014288694511,0.2312238098549451,uptake,0.1703888222182821,0.1533499399964542,0.1703888222182825,uptake
6,cobalt2_e,EX_cobalt2_e,0.004442340246973024,0.00399810622227572,0.0044423402469730205,uptake,0.0032735604652888036,0.0029462044187599287,0.0032735604652887945,uptake
7,cu2_e,EX_cu2_e,0.031496192351038725,0.02834657311593484,0.031496192351038683,uptake,0.023209543698897606,0.020888589329007883,0.023209543698897644,uptake
8,fe2_e,EX_fe2_e,0.2983031475842386,-666.011875177784,0.2983031475842374,uptake,-64.44592539411876,-999.5721227322595,11.962543509072493,secretion
9,fe3_e,EX_fe3_e,0.3468579264836538,0.3121721338352883,666.5925201444612,uptake,64.92134458049264,0.23003964101792462,1000.0,uptake
10,glu__L_e,EX_glu__L_e,12.966969063901958,-645.6946951803386,53.23243355426772,uptake,451.31091904385244,-1000.0,1000.0,uptake
11,gua_e,EX_gua_e,10.755483242153822,0.0,37.885063123066736,uptake,0.0,0.0,0.0,secretion
12,h2s_e,EX_h2s_e,4.261003918091586,0.17343784792232078,259.6911517743906,uptake,5.53958449056723,-395.0143739584764,1000.0,uptake
13,his__L_e,EX_his__L_e,19.049732293874623,3.78772587285951,500.9052164614693,uptake,3.1013057136053073,-15.31921271023583,3.1013057136053077,uptake
14,hxan_e,EX_hxan_e,8.93436806961119,0.0,102.16226523027949,uptake,0.0,0.0,0.0,secretion
15,k_e,EX_k_e,8.671137198274067,7.8040234784466564,8.671137198274057,uptake,6.389760879011183,5.750784791110075,6.389760879011183,uptake
16,leu__L_e,EX_leu__L_e,20.014119938090044,18.01270794428103,20.014119938090026,uptake,14.748404699870305,-935.0107725509314,14.748404699870317,uptake
17,met__L_e,EX_met__L_e,6.837161450713699,6.153445305642326,6.83716145071369,uptake,0.0,0.0,5.105010838102061,secretion
18,mg2_e,EX_mg2_e,0.38537301642490973,0.3468357147824186,0.38537301642490945,uptake,0.2839813703638036,0.2555832333274237,0.28398137036380283,uptake
19,mn2_e,EX_mn2_e,0.030696571106583623,0.027626913995925248,0.0306965711065836,uptake,0.02262030281514565,0.020358272533631122,0.02262030281514559,uptake
20,nh4_e,EX_nh4_e,93.71116750990846,-1000.0,631.3494109677007,uptake,-36.84765489574906,-1000.0,206.54387355860513,secretion
21,nmn_e,EX_nmn_e,0.10119651082587211,0.0,0.10119651082518999,uptake,0.074571707399275,0.06711453665918299,0.07457170739904732,uptake
