,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,ade_e,EX_ade_e,3.0081788769831137,-31.528426007142894,1000.0,uptake,8.347938818954063,-17.80967313709289,67.88005845047266,uptake
1,arg__L_e,EX_arg__L_e,4.3554004531652994,0.0,103.91986040785189,uptake,12.08658726821855,-44.12207145860196,12.086587268218567,uptake
2,bz_e,EX_bz_e,0.0014724537692585675,-1000.0,0.0014724537695656177,uptake,0.00408617787777173,0.0036775600900114114,0.004086177877771734,uptake
3,ca2_e,EX_ca2_e,0.07664121868990839,0.0689770968209177,0.07664121868990859,uptake,0.21268555853801843,0.19141700268421674,0.2126855585380186,uptake
4,cl_e,EX_cl_e,0.07664121868990839,0.0689770968209177,0.07664121868990827,uptake,0.21268555853801843,0.19141700268421674,0.21268555853801918,uptake
5,cobalt2_e,EX_cobalt2_e,0.0014724537692585675,0.0013252083923327134,0.001472453769258571,uptake,0.00408617787777173,0.0036775600899945603,0.004086177877771734,uptake
6,cu2_e,EX_cu2_e,0.010439697224043238,0.009395727501638933,0.01043969722404314,uptake,0.02897100115340155,0.02607390103806142,0.028971001153401576,uptake
7,fe2_e,EX_fe2_e,0.09887527060571283,-999.8965277287311,0.0988752706057127,uptake,0.2743868444923717,-653.3639477952389,13.61565662845161,uptake
8,fe3_e,EX_fe3_e,0.11496919030370897,0.10347227127329006,1000.0,uptake,0.3190487686964168,0.0,653.8980398471149,uptake
9,gln__L_e,EX_gln__L_e,5.276449734911191,0.0,104.74880476141564,uptake,0.0,0.0,169.46413870740238,secretion
10,glu__L_e,EX_glu__L_e,12.740347340359707,-1000.0,613.2080339963618,uptake,748.2893216314699,-558.4618618296524,842.638903227659,uptake
11,gly_e,EX_gly_e,1.3327915292443933,-1000.0,103.2420825755831,uptake,-1000.0,-1000.0,100.00000000001435,secretion
12,gua_e,EX_gua_e,3.5650019943650033,0.0,1000.0,uptake,0.0,0.0,0.0,secretion
13,ile__L_e,EX_ile__L_e,4.277905211289227,-990.9312809212527,4.277905211288707,uptake,11.871531726511439,-539.3174602261957,11.871531726511451,uptake
14,k_e,EX_k_e,2.87412668582888,2.586714017245997,2.874126685828924,uptake,7.975933184958984,7.178339866463092,7.9759331849589925,uptake
15,leu__L_e,EX_leu__L_e,6.633860691178319,-987.5737020169097,6.633860691178547,uptake,18.40949805450376,-258.4314517509472,18.409498054503793,uptake
16,mal__L_e,EX_mal__L_e,7.139398243777856,0.0,1000.0,uptake,0.0,0.0,306.73278340214154,secretion
17,mg2_e,EX_mg2_e,0.12773536448318068,0.11496182803486286,0.127735364483181,uptake,0.3544759308966975,0.319028337807028,0.35447593089669777,uptake
18,mn2_e,EX_mn2_e,0.01017465554557671,0.009157189991019056,0.010174655545576734,uptake,0.028235489135402678,0.025411940221862432,0.028235489135402702,uptake
19,no3_e,EX_no3_e,113.54104573598065,0.0,497.3906978057056,uptake,831.2794568848348,75.89393071975532,1000.0,uptake
20,o2_e,EX_o2_e,0.6287331580562254,0.0,1000.0,uptake,70.61949175792822,0.008200959000664771,937.5329425803226,uptake
21,pi_e,EX_pi_e,9.650432554647923,-1000.0,14.174658038443038,uptake,40.29351402026208,-963.7112345047641,68.61710379470597,uptake
22,pro__L_e,EX_pro__L_e,3.2549326796345297,-97.07056058833327,3.25493267963426,uptake,9.032700507708308,0.0,33.12943045693744,uptake
23,ser__D_e,EX_ser__D_e,7.2422638640982555,-93.48491773702017,1000.0,uptake,0.0,-1000.0,1000.0000000000002,secretion
24,so4_e,EX_so4_e,0.06387504451043667,0.0,0.06387504451043681,uptake,0.1772583963377377,0.15953255670396477,68.90953255670419,uptake
25,thr__L_e,EX_thr__L_e,3.7354237936189847,0.0,1000.0,uptake,10.366102072782779,0.0,1000.0,uptake
